url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/CHODEN-Kinzang-3021625/,KINZANG,CHODEN,BHU,Taekwondo,02/14/2001,LHUENTSE,Bhutan,17,158,"5'2""",57,126,0,0,0,"[('Beginning', 'She took up the sport in 2013 (Athlete, 18 Aug 2018)'), ('Reason', '""My brothers encourage me to learn how to fight."" (Athlete, 18 Aug 2018)'), ('Coach', 'Gyaltshen Dorji [national], BHU; Pem Choki, BHU, from 2016 (kuenselonline.com, 08 Dec 2017; Athlete, 18 Aug 2018)'), ('Hero', 'Korean taekwondoka Lee Ah-Reum. (Athlete, 18 Aug 2018)'), ('Influence', 'Her parents. (Athlete, 18 Aug 2018)'), ('Languages', 'English'), ('Hobbies', 'Listening to music. (Athlete, 18 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Junior ChampionshipsRound 1-55kg2018Hammamet, TUN')]",['https://www.facebook.com/har.den.927'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021625.html
https://en.asiangames2018.id/athletes/athlete/DEMA-Sonam-3022286/,SONAM,DEMA,BHU,Archery,09/11/1996,PARO,Bhutan,22,180,"5'11""",75,165,0,0,0,"[('Beginning', 'She took up archery in 2014 in Thimphu, Bhutan. (Athlete, 18 Aug 2018)'), ('Reason', '""I chose to become an archer because it\'s something new. It\'s a game played by men and when I heard of women taking it up, I decided to grab the opportunity. Even if I could not serve the country by studying hard, I thought I could do something by becoming an archer. I thought I could win medals for my country."" (bbs.bt, 15 Nov 2017)'), ('Debut', '2015 for Bhutan (Athlete, 18 Aug 2018)'), ('Coach', 'Park Young-Sook [national], KOR; Tashi Tshering [national], BHU (Athlete, 18 Aug 2018)'), ('Ambition', 'To compete at the Olympic Games. (Athlete, 24 Apr 2018)'), ('Memorable', ""Winning bronze in the women's team recurve at the 2016 South Asian Games in India. (Athlete, 18 Aug 2018)""), ('Additional Information', 'Draw weight40lbs (worldarchery.org, 22 Oct 2017)'), ('Hero', 'Korean archer Ki Bo Bae. (bbs.bt, 15 Nov 2017)'), ('Influence', 'Her mother. (Athlete, 18 Aug 2018)'), ('Languages', 'English, Hindi'), ('Hobbies', 'Reading. (Athlete, 18 Aug 2018)'), ('Highlights', ""RankEventYearLocationWorld Championships31Recurve Mixed Team2017Mexico City, MEX42Recurve Women's Team2015Copenhagen, DEN57Recurve Individual2017Mexico City, MEX147Recurve Individual2015Copenhagen, DENAsian Championships9Recurve Mixed Team2017Dhaka, BAN9Recurve Women's Team2017Dhaka, BAN9Recurve Mixed Team2015Bangkok, THA9Recurve Women's Team2015Bangkok, THA17Recurve Individual2017Dhaka, BAN17Recurve Individual2015Bangkok, THASouth Asian Games3Recurve Women's Team2016IndiaWorld Ranking (as of 01 Aug 2018)227Recurve Individual2018"")]",['https://www.facebook.com/sonam.dema.9237'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022286.html
https://en.asiangames2018.id/athletes/athlete/DORJI-Lam-3017492/,LAM,DORJI,BHU,Archery,05/18/1995,PHUENTSHOLING,Bhutan,23,177,"5'10""",68,150,0,0,0,"[('Beginning', 'He took up archery in 2013 in Thimphu, Bhutan. (Athlete, 18 Aug 2018)'), ('Debut', '2014 for Bhutan (worldarchery.org, 22 Oct 2017)'), ('Coach', 'Park Young-Sook [national], KOR; Tashi Tshering [national], BHU (Athlete, 18 Aug 2018)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (kuenselonline.com, 13 Sep 2017)'), ('Memorable', ""Winning bronze in individual recurve and silver in men's team recurve at the 2017 Islamic Solidarity Sports Federation [ISSF] International Championship in Dhaka, Bangladesh. (Athlete, 18 Aug 2018)""), ('Additional Information', 'Draw weight44lbs (worldarchery.org, 22 Oct 2017)'), ('Influence', 'His father. (Athlete, 18 Aug 2018)'), ('Languages', 'English, Hindi, Nepali'), ('Hobbies', 'Playing football. (Athlete, 18 Aug 2018)'), ('Highlights', ""RankEventYearLocationWorld Championships27Recurve Men's Team2017Mexico City, MEX117Recurve Individual2017Mexico City, MEXWorld Cup189Recurve Individual2016Antalya, TURAsian Championships9Recurve Men's Team2017Dhaka, BAN9Recurve Men's Team2015Bangkok, THA9Recurve Mixed Team2015Bangkok, THA17Recurve Individual2017Dhaka, BAN33Recurve Individual2015Bangkok, THA"")]","['https://www.facebook.com/lam.dorji.5205', 'https://www.facebook.com/suzui.lam']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017492.html
https://en.asiangames2018.id/athletes/athlete/DORJI-Nima-3021091/,NIMA,DORJI,BHU,Boxing,01/01/1995,ZHEMGANG,Bhutan,23,168,"5'6""",56,123,0,0,0,"[('Beginning', 'He began boxing in 2008 in Bhutan. (Athlete, 18 Aug 2018)'), ('Debut', '2015 for Bhutan (Athlete, 18 Aug 2018)'), ('Coach', 'Tashi Phuntsho [national], BHU (Athlete, 18 Aug 2018)'), ('Memorable', 'Making his international debut in 2015. (Athlete, 18 Aug 2018)'), ('Hero', 'Ukrainian boxer Vasyl Lomachenko, US boxer Floyd Mayweather, US basketball player LeBron James. (Athlete, 18 Aug 2018)'), ('Nickname', 'Sagay (Facebook profile, 28 May 2018)'), ('Education', 'Royal Thimphu College, Bhutan'), ('Languages', 'English'), ('Hobbies', 'Basketball. (Athlete, 18 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships7Bantam (56kg)2017Tashkent, UZB9Bantam (56kg)2015Bangkok, THASouth Asian Games5Bantam (56kg)2016India')]",['https://www.facebook.com/nima.dorji.9237'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021091.html
https://en.asiangames2018.id/athletes/athlete/DORJI-Tandin-3014383/,TANDIN,DORJI,BHU,Archery,03/23/1986,,Bhutan,32,180,"5'11""",75,165,0,0,0,"[('Beginning', 'He took up the sport in 2016 in Bhutan. (Athlete, 18 Aug 2018)'), ('Reason', '""Archery is my country\'s national sport and it is also my hobby."" (Athlete, 18 Aug 2018)'), ('Debut', '2017 for Bhutan (kuenselonline.com, 13 Sep 2017)'), ('Coach', 'Park Young-Sook [national], KOR; Karma Tshering, BHU (worldarchery.org, 06 May 2018; Athlete, 18 Aug 2018)'), ('Additional Information', 'GeneralOCCUPATIONHe works at Bhutan Insurance Limited, an insurance company in Thimphu, Bhutan. (Facebook profile, 07 Aug 2018) '), ('Hero', 'Portuguese football player Cristiano Ronaldo. (Athlete, 18 Aug 2018)'), ('Influence', 'President of the Bhutanese Archery Federation Vgen Rinzin. (Athlete, 18 Aug 2018)'), ('Education', 'Business Administration - Sikkim Manipal University, Gangtok, IND'), ('Languages', 'English, German, Hindi, Nepali'), ('Highlights', ""RankEventYearLocationAsian Championships8Compound Men's Team2017Dhaka, BAN9Compound Individual2017Dhaka, BAN9Compound Mixed Team2017Dhaka, BANWorld Ranking (as of 01 Aug 2018)220Compound Individual2018"")]",['https://www.facebook.com/tAnDiNn'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014383.html
https://en.asiangames2018.id/athletes/athlete/DORJI-Tenzin-3021475/,TENZIN,DORJI,BHU,Taekwondo,01/18/1999,MONGAR,Bhutan,19,163,"5'4""",58,128,0,0,0,"[('Beginning', 'He took up the sport in 2008. (Athlete, 18 Aug 2018)'), ('Coach', 'Gyaltshen Dorji [national], BHU (kuenselonline.com, 08 Dec 2017; Athlete, 18 Aug 2018)'), ('Influence', 'Bhutanese taewkondoka Yonten Tharchen. (Athlete, 18 Aug 2018)'), ('Nickname', 'Tendo (Facebook profile, 19 Jul 2018)'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationAsian Championships1st Round-54kg2018Ho Chi Minh City, VIEAsian Indoor and Martial Arts GamesLast 16-54kg2017Ashgabat, TKMSemifinalIndividual Poomsae2017Ashgabat, TKMWorld Ranking (as of 01 Aug 2018)256-54kg2018')]",['https://www.facebook.com/profile.php?id=100004249577108'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021475.html
https://en.asiangames2018.id/athletes/athlete/DORJI-Ugen-3022306/,UGEN,DORJI,BHU,Golf,03/25/2000,THIMPHU,Bhutan,18,180,"5'11""",81,179,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022306.html
https://en.asiangames2018.id/athletes/athlete/DORJI-Yeshi-3021561/,YESHI,DORJI,BHU,Taekwondo,01/01/1996,THIMPHU,Bhutan,22,165,"5'5""",63,139,0,0,0,"[('Beginning', 'He took up the sport in 2015 (Athlete, 18 Aug 2018)'), ('Coach', 'Gyaltshen Dorji [national], BHU (kuenselonline.com, 08 Dec 2017; Athlete, 18 Aug 2018)'), ('Influence', 'Bhutanese taekwondoka Yonten Tharchen. (Athlete, 18 Aug 2018)'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationWorld Championships1st Round-58kg2017Muju, KORAsian Championships1st Round-58kg2018Ho Chi Minh City, VIEWorld Ranking (as of 01 Aug 2018)215-58kg2018')]",['https://www.facebook.com/yeshi.dorji.39545'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021561.html
https://en.asiangames2018.id/athletes/athlete/DRUGYEL-Tenzin-3021793/,TENZIN,DRUGYEL,BHU,Boxing,07/03/1998,TRASHIGANG,Bhutan,20,174,"5'9""",52,115,0,0,0,"[('Beginning', 'He began the sport in 2008 in Thimphu, Bhutan. (Athlete, 18 Aug 2018)'), ('Debut', '2017 for Bhutan (Athlete, 18 Aug 2018)'), ('Coach', 'Tashi Phuntsho [national], BHU; Penden Dorji [personal], BHU, from 2008 (Athlete, 18 Aug 2018)'), ('Hero', 'US boxer Muhammad Ali, Ukrainian boxer Vasyl Lomachenko. (Athlete, 18 Aug 2018)'), ('Influence', 'Coach Tashi Phuntsho. (Athlete, 18 Aug 2018)'), ('Hobbies', 'Basketball, football. (Athlete, 18 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021793.html
https://en.asiangames2018.id/athletes/athlete/KARMA-Karma-3022234/,KARMA,KARMA,BHU,Archery,06/06/1990,TSENKHARLA,Bhutan,28,165,"5'5""",53,117,0,0,0,"[('Beginning', 'She took up archery at age 18 in Thimphu, Bhutan. (Athlete, 18 Aug 2018)'), ('Reason', 'Her sister encouraged her to try archery. ""When I was in school I was very interested in sports, I used to do all of them. If I hadn\'t become an archer, I would have taken up athletics."" (worldarchery.org, 15 Aug 2016)'), ('Debut', '2010 for Bhutan (Athlete, 18 Aug 2018)'), ('Coach', 'Park Young-Sook [national], KOR; Tashi Tshering [national], BHU (Bhutan Olympic Committee Facebook page, 08 Aug 2018; Athlete, 18 Aug 2018)'), ('Training', 'She trains six days a week from 05:30 until 18:00. Her training includes cardiovascular exercise, shooting, stretching, yoga and meditation. (worldarchery.org, 17 Nov 2017)'), ('Awards', ""She was named Bhutan's flag bearer for the opening ceremony of the 2018 Asian Games in Indonesia. She fulfilled the same role at the opening ceremony of the 2016 Olympic Games in Rio de Janeiro. (AG Entries, 18 Aug 2018; worldarchery.org, 17 Nov 2017)""), ('Additional Information', 'Draw weight40lbs (worldarchery.org, 19 Jun 2016)GeneralOLYMPIC NAMEOrganisers at the 2016 Olympic Games in Rio de Janeiro had to create a second name for her at the event, as every competitor was required to have two names listed. One single name is a tradition in Bhutan, but her official name at the Games was Karma Karma. (worldarchery.org, 15 Aug 2016)HAND-PICKEDIn 2009 she was chosen to become a full-time archer by the Bhutan Archery Federation [BAF], which meant she had to give up her studies. ""In school, I didn\'t qualify for a college, but my sister told me that there was a vacancy in the Olympic archery programme, so I went for an interview and got selected. The day I took up archery, I always wanted to make it to the Olympics."" (worldarchery.org, 15 Aug 2016; theinfinitecurve.com, 14 Jul 2016; newindianexpress.com, 08 Feb 2016) '), ('Hero', 'Korean archer Ki Bo-Bae. (Athlete, 01 Aug 2016)'), ('Influence', 'Her coach, and her parents. (Athlete, 18 Aug 2018)'), ('Nickname', 'Petay, Karmo, Kermo (worldarchery.org, 19 Jun 2016; Facebook profile, 21 Apr 2016)'), ('Languages', 'English, Tibetan'), ('Hobbies', 'Music. (Athlete, 18 Aug 2018)'), ('Highlights', ""RankEventYearLocationOlympic Games33Recurve Individual2016Rio de Janeiro, BRAWorld Championships32Recurve Women's Team2013Antalya, TUR42Recurve Women's Team2015Copenhagen, DEN46Recurve Mixed Team2015Copenhagen, DEN57Recurve Individual2015Copenhagen, DEN57Recurve Individual2013Antalya, TURWorld Cup40Recurve Mixed Team2016Antalya, TUR122Recurve Individual2016Antalya, TURAsian Championships9Recurve Women's Team2017Dhaka, BAN9Recurve Women's Team2015Bangkok, THA33Recurve Individual2017Dhaka, BAN33Recurve Individual2015Bangkok, THASouth Asian Games3Recurve Individual2016India3Recurve Women's Team2016India3Recurve Mixed Team2016IndiaWorld Ranking (as of 01 Aug 2018)235Recurve Individual2018"")]",['https://www.facebook.com/karma.usel'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022234.html
