url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AALKANDARI-Abdulaziz-3007109/,Abdulaziz,Aalkandari,BRN,Football,09/16/1997,,,21,174,"5'9""",67,148,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007109.html
https://en.asiangames2018.id/athletes/athlete/ABBAS-Abbas-3010779/,Abbas,Abbas,BRN,Athletics,05/17/1996,,Nigeria,22,178,"5'10""",65,143,1,0,0,"[('Additional Information', 'GeneralNIGERIA TO BAHRAINHe was born in Kano, Nigeria, and chose to compete for Bahrain at age 16. He later disclosed that it was easy turning to Bahrain because of the poor treatment he had received from the Athletics Federation of Nigeria [AFN]. ""I never thought of running for another country. I wanted to represent my country, Nigeria, but a lot of things are happening in Nigeria and in the way the Nigerian federation treat athletes. I once ran in a relay and we had silver. When we came back, nobody called us to even thank us. I ran 47 seconds [in the 400m] when I was 15 but nobody encouraged me. Nobody said, \'Let\'s take care of this guy, next time he will do better.\'"" (Saddam Muhammad Facebook page, 15 Apr 2016; ogtv.com.ng. 06 Sep 2015)NATIONAL FIRSTSBy finishing second in the 400m semifinal at the 2013 World Youth Championships in Donetsk, Ukraine, he became the first athlete from Bahrain to qualify for a final in that distance at a youth or senior world championship. He was also the first Bahraini athlete to win a medal in a sprint event at the World Junior Championships, following his bronze medal in the 400m at the 2014 edition in Eugene, OR, United States of America. (gulf-daily-news.com, 12 Jul 2013; gulf-daily-news.com, 26 Jul 2014; SportsDeskOnline, 26 Jul 2018) '), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationResultAsian Games2400m2014Incheon, KOR45.62Heats200m2014Incheon, KORDNSOlympic GamesRound 1400m2016Rio de Janeiro, BRADSQWorld ChampionshipsHeats400m2015Beijing, CHN45.64World Challenge10400m2018Madrid, ESP45.77Asian Championships4400m2015Wuhan, CHN46.15')]","['https://twitter.com/abbas400m', 'https://www.facebook.com/abubakar.abbas.338', 'https://www.youtube.com/channel/UC7C5-bleurcGjbKLYFkUDpQ', 'https://twitter.com/fawazbh1986']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010779.html
https://en.asiangames2018.id/athletes/athlete/ABDO-Abdi-3010980/,Abdi,Abdo,BRN,Athletics,04/24/1997,,Ethiopia,21,180,"5'11""",70,154,0,0,0,"[('Additional Information', 'GeneralETHIOPIA TO BAHRAINHe was born in Ethiopia but has since chosen to represent Bahrain. (runnersweb.com, 08 Apr 2018; arrs.run, 12 Nov 2017) '), ('Highlights', 'RankEventYearLocationResultYouth Olympic Games43000m2014Nanjing, CHN8:08.91')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010980.html
https://en.asiangames2018.id/athletes/athlete/ABDULREDHA-Mohamed-3008209/,Mohamed,Abdulredha,BRN,Handball,09/27/1989,,,28,170,"5'7""",75,165,0,1,0,"[('Highlights', 'RankEventYearLocationAsian Championship2Men2018Republic of Korea')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008209.html
https://en.asiangames2018.id/athletes/athlete/ABUDREES-Mohamed-3005803/,Mohamed,Abudrees,BRN,Ju-Jitsu,02/05/1987,,Bahrain,31,170,"5'7""",62,137,0,0,0,"[('Coach', 'Reza Monfaradi [national], BRN (Reza Monfaradi Instagram profile, 23 Jul 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships5Newaza -69kg2016Ashgabat, TKM5Newaza Open2016Ashgabat, TKMAsian Indoor and Martial Arts Games17Newaza -69kg2017Ashgabat, TKM')]",['https://www.facebook.com/mbudrees'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005803.html
https://en.asiangames2018.id/athletes/athlete/ADEKOYA-Oluwakemi-3010986/,Oluwakemi,Adekoya,BRN,Athletics,01/16/1993,,Nigeria,25,162,"5'4""",53,117,2,0,0,"[('Beginning', 'She began the sport in 2000 as a hurdler and heptathlete. (Nigeria Athletics Incorporated Facebook page, 09 May 2014)'), ('Reason', 'She loved running. (Athlete, 13 Aug 2016)'), ('Debut', '2014 for Bahrain, in Doha, Qatar (Athlete, 13 Aug 2016)'), ('Memorable', 'Competing at the 2016 World Indoor Championships in Portland, OR, United States of America. (Athlete, 13 Aug 2016)'), ('Awards', 'She was named All-Athletics.com Athlete of the Year in 2014 in Asia. (ATL FM Sports Facebook page, 05 Jan 2015)'), ('Additional Information', ""GeneralNATIONAL FIRSTShe was the first athlete from Bahrain to win a world indoor championships title when she won the women's 400m final at the 2016 championships in Portland, OR, United States of America. (iaaf.org, 20 Mar 2016; SportsDeskOnline, 26 Jul 2018)NIGERIA TO BAHRAINShe was born in Lagos, Nigeria, but switched allegiance from Nigeria to Bahrain in early 2014. In her first race for her new country she set a national record, a personal best and clocked the fastest 400m hurdles time of the year at that time, with a 54.59 seconds victory. Her move to Bahrain was unknown to Athletics Federation of Nigeria [AFN] president Solomon Ogba, who lodged a complaint with the International Association of Athletics Federations [IAAF], insisting her move was out of process. However, because Adekoya had never formally registered with the AFN, the country could not block the move. (Athlete, 13 Aug 2016; 9jamirror Facebook page, 06 Sep 2015; iaaf.org, 09 May 2014; sportswithnee.com, 10 May 2014; vanguardngr.com, 07 Jun 2014; athletics-africa.com, 16 May 2014) ""), ('Hero', 'US runner Sanya Richards-Ross. (Athlete, 13 Aug 2016)'), ('Nickname', 'MJ (Facebook profile, 07 Nov 2017)'), ('Education', 'Accounting - University of Lagos, Lagos, NGR'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationResultAsian Games1400m2014Incheon, KOR51.591400m Hurdles2014Incheon, KOR55.77Olympic GamesSemifinal400m2016Rio de Janeiro, BRA50.88World ChampionshipsHeats400m Hurdles2015Beijing, CHNDSQDiamond League2400m Hurdles2016Doha, QAT54.873400m Hurdles2015Paris Saint-Denis, FRA54.124400m2016Paris Saint-Denis, FRA51.054400m Hurdles2015Oslo, NOR55.375400m Hurdles2016Birmingham, GBR55.285400m Hurdles2016Rome, ITA55.485400m Hurdles2016Rabat, MAR55.33DNF400m Hurdles2015London, GBRDNFWorld Challenge4400m Hurdles2018Turku, FIN57.546400m Hurdles2018Osaka, JPN57.35Asian Championships1400m Hurdles2015Wuhan, CHN54.31World Indoor Championships1400m2016Portland, OR, USA51.45')]","['https://twitter.com/kemiadekoya16', 'https://instagram.com/mizkem_mj/', 'https://www.facebook.com/profile.php?id=100008949437624', 'https://instagram.com/mizkem_mj/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010986.html
https://en.asiangames2018.id/athletes/athlete/AHMED-Ammar-3007035/,Ammar,Ahmed,BRN,Football,02/10/1999,,,19,198,"6'6""",70,154,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007035.html
https://en.asiangames2018.id/athletes/athlete/AHMED-Isa-3030336/,Isa,Ahmed,BRN,Handball,12/02/1994,,,23,160,"5'3""",70,154,0,1,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3030336.html
https://en.asiangames2018.id/athletes/athlete/AHMED-Mohamed-3008886/,Mohamed,Ahmed,BRN,Handball,07/20/1993,,,25,180,"5'11""",75,165,0,1,0,"[('Highlights', 'RankEventYearLocationWorld Championship23Men2017FranceAsian Championship2Men2018Republic of Korea2Men2014Bahrain')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008886.html
https://en.asiangames2018.id/athletes/athlete/AHMEDI-Abdulrahman-3030488/,Abdulrahman,Ahmedi,BRN,Football,04/16/1998,,,20,,,,,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3030488.html
