url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Anisah-Najihah-3022795/,ANISAH NAJIHAH,ABDULLAH,BRU,Pencak Silat,02/04/1997,BANDAR SERI BEGAWAN,Brunei Darussalam,21,145,"4'9""",40,88,0,0,0,"[('Beginning', 'She took up pencak silat in 2008. (Athlete, 25 Aug 2018)'), ('Reason', '""My mother forced me to start pencak silat to learn self-defence but somehow it became my passion."" (Athlete, 25 Aug 2018)'), ('Coach', 'Hassan Haji Tuah [national], BRU (Athlete, 25 Aug 2018)'), ('Memorable', 'Winning a gold medal at the 2015 ASEAN School Games in Brunei Darussalam. (Athlete, 25 Aug 2018)'), ('Influence', 'Her mother, her coach and her teammates. (Athlete, 25 Aug 2018)'), ('Education', 'Literature Studies - University of Brunei Darussalam, Brunei Darussalam'), ('Languages', 'English, Korean, Malay, Tagalog')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022795.html
https://en.asiangames2018.id/athletes/athlete/ANG-Guat-Lian-3015713/,GUAT LIAN,ANG,BRU,Wushu,12/30/1997,BANDAR SERI BEGAWAN,Brunei Darussalam,20,168,"5'6""",65,143,0,0,0,"[('Highlights', 'RankEventYearLocationSouth East Asian Games6Taijiquan (Compulsory)2017Kuala Lumpur, MAS8Taijijian2017Kuala Lumpur, MAS8Taijiquan2015Singapore, SIN8Taijijian2015Singapore, SIN8Taijiquan (Compulsory)2015Singapore, SIN8Taijiquan & Taijijian All-Round2013Naypyidaw, MYA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015713.html
https://en.asiangames2018.id/athletes/athlete/AR-RASYID-Muhammad-Noor-Firdaus-3015636/,Muhammad Noor Firdaus,Ar Rasyid,BRU,Athletics,10/22/1996,BANDAR SERI BEGAWAN,Brunei Darussalam,21,178,"5'10""",67,148,0,0,0,"[('Coach', 'Isidro Del Prado [national], PHI (borneobulletin.com.bn, 01 Aug 2017)'), ('Highlights', 'RankEventYearLocationResultWorld ChampionshipsHeats200m2017London, GBR22.36South East Asian Games5200m2017Kuala Lumpur, MAS21.4554 x 100m Relay2017Kuala Lumpur, MAS40.21')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015636.html
https://en.asiangames2018.id/athletes/athlete/HAJI-RAYA-Norleyermah-3015623/,NORLEYERMAH,HAJI RAYA,BRU,Pencak Silat,03/25/1987,BANDAR SERI BEGAWAN,Brunei Darussalam,31,151,"4'11""",47,104,0,0,0,"[('Beginning', 'She took up pencak silat in 2000. (bt.com.bn, 28 Oct 2007; Athlete, 29 Aug 2018)'), ('Reason', 'She wanted to beat her sister. (Athlete, 29 Aug 2018)'), ('Coach', 'Pg Hj Tejudin, BRU (Athlete, 29 Aug 2018)'), ('Memorable', 'Winning silver at the 2007 South East Asian Games in Nakhon Ratchasima, Thailand. (Athlete, 29 Aug 2018)'), ('Influence', 'Her sister. (Athlete, 29 Aug 2018)'), ('Relatives', 'Her sister Norleydiana has also represented Brunei Darussalam in pencak silat, and won gold at the 2003 South East Asian Games in Hanoi, Thailand. (bt.com.bn, 28 Oct 2007)'), ('Languages', 'Malay'), ('Hobbies', 'Sports. (Athlete, 29 Aug 2018)'), ('Highlights', 'RankEventYearLocationSouth East Asian Games2Single2017Kuala Lumpur, MAS2Single2007Nakhon Ratchasima, THA3Single2011Indonesia3Team2011Indonesia3Team2011Indonesia4Single2013Naypyidaw, MYA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015623.html
https://en.asiangames2018.id/athletes/athlete/HJ-ABDUL-MAJID-Mohd-Aritz-Maldini-3016974/,MOHD ARITZ MALDINI,HJ ABDUL MAJID,BRU,Golf,05/27/2000,BANDAR SERI BEGAWAN,Brunei Darussalam,18,165,"5'5""",83,183,0,0,0,"[('Beginning', 'He began the sport at age 14. (Athlete, 26 Aug 2018)'), ('Reason', 'His father introduced him to the sport. (Athlete, 26 Aug 2018)'), ('Coach', 'Fabian Del Rosario (Athlete, 26 Aug 2018)'), ('Memorable', 'Competing at the 2016 and 2017 KGM Amateur Open Championships. (Athlete, 26 Aug 2018)'), ('Hero', 'US golfer Tiger Woods. (Athlete, 26 Aug 2018)'), ('Influence', 'His father. (Athlete, 26 Aug 2018)'), ('Languages', 'English, Malay'), ('Hobbies', 'Playing golf. (Athlete, 26 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016974.html
https://en.asiangames2018.id/athletes/athlete/ISMAIL-Md-Fakhri-3015630/,Md Fakhri,Ismail,BRU,Athletics,03/06/1991,BANDAR SERI BEGAWAN,Brunei Darussalam,27,169,"5'7""",73,161,0,0,0,"[('Beginning', 'He took up the sport in 2013 in Brunei Darussalam. (Athlete, 26 Aug 2018)'), ('Reason', 'He decided to focus on athletics after being dropped from the national football team ahead of the 2011 South East Asian Games in Indonesia. A coach then recognised his potential at the 2012 Inter-Ministry Sports Festival in Brunei. ""There was a national track and field team coach at the competition and he approached me to train [with the national team]."" (thescoop.co, 03 May 2018)'), ('Debut', '2013 for Brunei Darussalam (Athlete, 05 Aug 2016)'), ('Coach', 'Isidro Del Prado [national], PHI (Athlete, 26 Aug 2018)'), ('Training', 'He trains for two-and-a-half hours per day, six days a week. (thescoop.co, 03 May 2018)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia, the 2019 South East Asian Games in Philippines, and the 2020 Olympic Games in Tokyo. (thescoop.co, 03 May 2018)'), ('Memorable', 'Competing at the 2016 Olympic Games in Rio de Janeiro. (Athlete, 26 Aug 2018)'), ('Awards', ""He was Brunei's flag bearer during the opening ceremony of the 2016 Olympic Games in Rio de Janeiro. (bt.com, 05 Aug 2016)""), ('Hero', 'Jamaican sprinter Usain Bolt, Chinese sprinter Su Bingtian. (Athlete, 26 Aug 2018)'), ('Relatives', 'His father represented Brunei Darussalam in football. (Athlete, 26 Aug 2018)'), ('Nickname', 'Armour Boy (Athlete, 26 Aug 2018)'), ('Injuries', 'He suffered a fractured ankle in 2012. (Athlete, 26 Aug 2018)'), ('Languages', 'English, Malay'), ('Hobbies', 'Football, playing video games. (Athlete, 26 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultOlympic GamesRound 1100m2016Rio de Janeiro, BRA10.95World ChampionshipsHeats100m2015Beijing, CHN10.72Asian ChampionshipsHeats100m2017Bhubaneswar, INDDNSSouth East Asian Games54 x 100m Relay2017Kuala Lumpur, MAS40.2154 x 100m Relay2015Singapore, SIN40.958100m2015Singapore, SIN10.67Heats100m2017Kuala Lumpur, MAS10.75')]","['https://www.facebook.com/Fakhri-ismail-1903996693207027', 'https://instagram.com/mfakhriismail', 'https://www.facebook.com/fakhri.ismail.7', 'https://instagram.com/mfakhriismail']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015630.html
https://en.asiangames2018.id/athletes/athlete/KAMARUL-ZAMAN-Wahidah-3015984/,WAHIDAH,KAMARUL ZAMAN,BRU,Karate,12/31/1998,BANDAR SERI BEGAWAN,Brunei Darussalam,19,156,"5'1""",55,121,0,0,0,"[('Beginning', 'She began the sport in 2011. (Athlete, 29 Aug 2018)'), ('Coach', 'Mohd Sofian Bin Abdullah (Athlete, 29 Aug 2018)'), ('Memorable', 'Competing at the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (Athlete, 29 Aug 2018)'), ('Influence', 'Her father. (Athlete, 29 Aug 2018)'), ('Education', 'Brunei Polytechnic, Brunei Darussalam'), ('Languages', 'English, Malay'), ('Hobbies', 'Listening to music, reading. (Athlete, 29 Aug 2018)'), ('Highlights', 'RankEventYearLocationSouth East Asian Games3Team Kata2017Kuala Lumpur, MAS7Team Kumite2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015984.html
https://en.asiangames2018.id/athletes/athlete/LACHKAR-Basma-3015708/,BASMA,LACHKAR,BRU,Wushu,03/25/2003,BANDAR SERI BEGAWAN,Brunei Darussalam,15,158,"5'2""",50,110,0,0,0,"[('Coach', 'Li Hui [national] (borneobulletin.com.bn, 04 Aug 2018)'), ('Awards', ""She was named Brunei Darussalam's flag bearer for the opening ceremony of the 2018 Asian Games in Indonesia. (AG Entries, 16 Aug 2018)""), ('Languages', 'English, Malay, Mandarin'), ('Highlights', 'RankEventYearLocationSouth East Asian Games2Taijiquan (Compulsory)2017Kuala Lumpur, MAS7Taijijian2017Kuala Lumpur, MAS')]",['https://www.facebook.com/basma.lachkar'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015708.html
https://en.asiangames2018.id/athletes/athlete/PG-ANAK-JAAFAR-Pg-Mohd-Nasir-3015662/,PG MOHD NASIR,PG ANAK JAAFAR,BRU,Equestrian,07/06/1989,BANDAR SERI BEGAWAN,Brunei Darussalam,29,176,"5'9""",106,234,0,0,0,"[('Beginning', 'He took up equestrian in 1999 and began riding competitively in 2005. (bt.com.bn, 15 Aug 2014)'), ('Ambition', 'To compete at 2018 Asian Games in Indonesia. (borneobulletin.com.bn, 15 Feb 2018)'), ('Memorable', 'Winning a bronze medal at the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (borneobulletin.com.bn, 15 Feb 2018)'), ('Additional Information', 'GeneralNATIONAL FIRSTHe became the first Bruneian rider to win a gold medal at a Competition Showjumping International [CSI] in Europe after claiming victory at the 2015 event in Oliva, Spain. He also became the first rider from the country to win an equestrian jumping medal at the South East Asian Games, claiming bronze at the 2017 Games in Kuala Lumpur, Malaysia. He had originally finished in fourth place, but Filipino rider Colin Syquia was stripped of his gold medal in February 2018 after his horse was found to have tested positive for a prohibited substance. (borneobulletin.com.bn, 15 Feb 2018, 12 Feb 2015)ABSENT IN INCHEONHe was unable to compete at the 2014 Asian Games in Incheon, Republic of Korea, following a dispute between him and the Brunei Darussalam National Olympic Council [BDNOC] over his eligibility to compete at the Games. The dispute arose after his athlete fitness test report was submitted after the closing date of the period of registration set by the Games organising committee, which resulted in the BDNOC stating that his registration could not be submitted. He attempted to appeal to the Court of Arbitration for Sport [CAS], but his application for an appeal was dismissed. (tas-cas.org, 10 Sep 2014) '), ('Relatives', 'His brother has represented Brunei Darussalam in equestrian. (bt.com.bn, 23 Aug 2009)'), ('Education', 'Business, Management - Brunel University , London, ENG'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationAsian GamesDSQJumping Individual2010Guangzhou, CHNSouth East Asian Games4Jumping Individual2017Kuala Lumpur, MAS8Jumping Individual2015Singapore, SIN')]","['https://twitter.com/Pg_Nasir89', 'https://instagram.com/pg_nasir', 'https://www.facebook.com/pg.nasir', 'https://instagram.com/pg_nasir']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015662.html
https://en.asiangames2018.id/athletes/athlete/PG-DATO-SETIA-YUSOF-Ak-Yusri-Amir-3016957/,AK YUSRI AMIR,PG DATO SETIA YUSOF,BRU,Weightlifting,07/19/1986,LONDON,Great Britain,32,170,"5'7""",84,185,0,0,0,"[('Beginning', 'He began the sport in January 2017 in London, England. (Athlete, 17 Aug 2018)'), ('Coach', 'Garth Cook, GBR, from 2017 (Athlete, 17 Aug 2018)'), ('Hero', 'Chinese weightlifters Tian Tao and Lu Xiaojun, Iranian weightlifter Kianoush Rostami. (Athlete, 17 Aug 2018)'), ('Influence', 'Chinese weightlifter Tian Tao. (Athlete, 17 Aug 2018)'), ('Education', 'Culinary Studies - Le Cordon Bleu, London, ENG'), ('Languages', 'English, Korean, Malay'), ('Hobbies', 'Discovering new food, travelling. (Athlete, 17 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016957.html
