url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/BEN-Seyha-3021772/,Seyha,Ben,CAM,Athletics,08/20/2001,PHNOM PENH,Cambodia,17,158,"5'2""",55,121,0,0,0,"[('Beginning', 'She took up the sport in 2001. (Athlete, 30 Aug 2018)'), ('Hero', 'Jamaican sprinter Usain Bolt. (Athlete, 30 Aug 2018)'), ('Languages', 'Khmer'), ('Hobbies', 'Listening to music, reading. (Athlete, 30 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021772.html
https://en.asiangames2018.id/athletes/athlete/CASANDRE-NICOLE-Tubbs-3004271/,TUBBS,CASANDRE NICOLE,CAM,Taekwondo,02/26/1999,PHNOM PENH,United States,19,180,"5'11""",57,126,0,0,0,"[('Beginning', 'She began the sport in 2011 in the United States of America. (teamusa.org, 2015; baomoi.com, 28 Aug 2017Athlete, 23 Aug 2018)'), ('Reason', 'She was introduced to taekwondo by her father. (baomoi.com, 28 Aug 2017)'), ('Coach', 'Greg Tubbs [personal, father] (Athlete, 23 Aug 2018)'), ('Additional Information', 'GeneralOCCUPATIONShe works as an instructor at the GT Sport Taekwondo Training Center in Plano, TX, United States of America. (Facebook profile, 27 May 2018)HERITAGEShe was born in Texas, United States of America, to a Cambodian mother and a US father. She originally competed for the United States of America before switching to represent Cambodia in 2017. (baomoi.com, 28 Aug 2017; SportsDeskOnline, 19 Jul 2018; teamusa.org, 2016) '), ('Hero', 'Korean taekwondoka Lee Dae-Hoon. (Athlete, 23 Aug 2018)'), ('Influence', 'Her father. (Athlete, 23 Aug 2018)'), ('Relatives', 'Her brother Daren Tubbs has also represented the United States of America and Cambodia in taekwondo. (taekwondodata.com, 2018)'), ('Languages', 'English, Khmer'), ('Hobbies', 'Playing basketball. (Athlete, 23 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Championships1st Round-57kg2017Muju, KORAsian ChampionshipsQuarterfinal-57kg2018Ho Chi Minh City, VIESouth East Asian Games3-57kg2017Kuala Pahang, MASWorld Junior Championships1st Round-55kg2016Burnaby, BC, CANWorld Ranking (as of 01 Aug 2018)93-62kg2018126-57kg2018')]","['https://instagram.com/casandre_tubbs/', 'https://www.facebook.com/profile.php?id=100007857646481', 'https://instagram.com/casandre_tubbs/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004271.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Lina-3010328/,Lina,Chan,CAM,Athletics,02/27/1982,KOMPONG CHAM,Cambodia,36,156,"5'1""",52,115,0,0,0,"[('Beginning', 'She began athletics in childhood, before embarking on a golfing career until 2016 when she returned to athletics. (ameblo.jp, 15 May 2018)'), ('Reason', 'She decided to return to athletics in 2016 with ambitions of competing at the 2020 Olympic Games in Tokyo. ""I was a fast runner in school, but I didn\'t apply enough effort."" (ameblo.jp, 15 May 2018)'), ('Coach', 'Yoshihiro Horigome, JPN (Athlete, 28 Aug 2018)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (Instagram profile, 16 Jul 2018; kengadaffi.blogspot.com, 09 Sep 2015)'), ('Awards', 'She was named a goodwill ambassador of the 2015 Cambodia Festival in Tokyo, Japan. (Facebook profile, 09 Apr 2015)'), ('Additional Information', 'GeneralGOLF TO ATHLETICSShe decided to switch from golf to athletics in 2016 as she felt she had a better chance of representing Cambodia at the 2020 Olympic Games in Tokyo in athletics. ""I discovered that competing in golf would be much harder due to my ranking, and the number of events on offer gave me little chance, so I made the switch. It has been a dream of mine to compete at the Olympic Games and athletics gives me that chance."" (Instagram profile, 19 Jun 2018; ameblo.jp, 15 May 2018; gms.kualalumpur2017.com.my, 30 Aug 2017; kengadaffi.blogspot.com, 09 Sep 2015)FROM CAMBODIA TO JAPANIn 1983 she moved from Cambodia to Japan after her family sought political asylum there. (asahi.com, 06 Feb 2015) '), ('Languages', 'Japanese, Khmer'), ('Hobbies', 'Playing golf. (Athlete, 28 Aug 2018)'), ('Highlights', 'GOLFRankEventYearLocationSouth East Asian Games20Individual2013Naypyidaw, MYA22Individual2015Singapore, SIN')]","['https://twitter.com/lina_olympian', 'https://instagram.com/chanlina.official/', 'http://ameblo.jp/chan-lina', 'https://instagram.com/chanlina.official/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010328.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Seyha-3021754/,Seyha,Chan,CAM,Athletics,08/09/1991,KANDAL,Cambodia,27,167,"5'6""",62,137,0,0,0,"[('Reason', 'Coach Nhem Sitha recognised her potential at age 13, and encouraged her to move from Kandal Province to Phnom Penh in Cambodia for better training conditions. (cambodiadaily.com, 21 Jul 2012)'), ('Hero', 'Jamaican sprinter Usain Bolt. (Athlete, 30 Aug 2018)'), ('Languages', 'Khmer'), ('Hobbies', 'Reading, listening to music. (Athlete, 30 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultOlympic Games1st Round200m2012London, GBR26.62World ChampionshipsHeats200m2011Daegu, KOR26.34South East Asian GamesHeats100m2013Naypyidaw, MYA12.75')]",['https://www.facebook.com/seyha.chan.982'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021754.html
https://en.asiangames2018.id/athletes/athlete/CHEY-Chan-Raksmey-3021565/,CHAN RAKSMEY,CHEY,CAM,Wrestling,09/18/1988,PHNOM PENH,Cambodia,30,163,"5'4""",53,117,0,0,0,"[('Reason', 'She loved the sport and wanted to increase her strength. (Athlete, 22 Aug 2018)'), ('Debut', '2005 for Cambodia (Athlete, 22 Aug 2018)'), ('Coach', 'Kim Soo-Gil, KOR (Athlete, 22 Aug 2018)'), ('Hero', 'Her brother. (Athlete, 22 Aug 2018)'), ('Languages', 'English'), ('Hobbies', 'Music. (Athlete, 22 Aug 2018)'), ('Highlights', 'RankEventYearLocationSouth East Asian Games3Freestyle 51 kg2013Naypyidaw, MYA3Freestyle 51 kg2009Vientiane, LAO4Freestyle 63 kg2011Indonesia')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021565.html
https://en.asiangames2018.id/athletes/athlete/CHHAY-Linly-3018406/,LINLY,CHHAY,CAM,Fencing,08/02/2002,PHNOM PENH,Cambodia,16,160,"5'3""",55,121,0,0,0,"[('Beginning', 'She took up the sport in 2014 at Hysa Fencing Club in Phnom Penh, Cambodia. (Athlete, 31 Aug 2018)'), ('Coach', 'San Sokseyha [personal], CAM (Athlete, 31 Aug 2018)'), ('Training', 'She trains in Phnom Penh, Cambodia. (U.S. Embassy Phnom Penh Cambodia Facebook page, 10 May 2018)'), ('Ambition', 'To compete at the Olympic Games. (U.S. Embassy Phnom Penh Cambodia Facebook page, 07 May 2018)'), ('Memorable', 'Winning silver in individual sabre at the 2018 SEAFF Junior and Cadet Fencing Championships in Kuala Lumpur, Malaysia. (Athlete, 31 Aug 2018)'), ('Influence', 'Coach San Sokseyha. (Athlete, 31 Aug 2018)'), ('Languages', 'Khmer'), ('Hobbies', 'Watching videos about fencing. (Athlete, 31 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships50Sabre Individual2018Bangkok, THA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018406.html
https://en.asiangames2018.id/athletes/athlete/CHIM-Theara-3011026/,THEARA,CHIM,CAM,Fencing,06/07/1997,PHNOM PENH,Cambodia,21,157,"5'2""",57,126,0,0,0,"[('Beginning', 'He began fencing in 2012 in Phnom Penh, Cambodia. (Athlete, 23 Aug 2018)'), ('Debut', '2013 for Cambodia (Athlete, 23 Aug 2018)'), ('Coach', 'Sok Ang, CAM, from 2012 (Athlete, 23 Aug 2018)'), ('Memorable', 'Winning bronze at the 2018 SEAFF Championships in Kuala Lumpur, Malaysia. (Athlete, 23 Aug 2018)'), ('Hero', 'Japanese fencer Yuki Ota. (Athlete, 23 Aug 2018)'), ('Influence', 'His coach. (Athlete, 23 Aug 2018)'), ('Languages', 'English, Khmer'), ('Hobbies', 'Sports, doing sports research, watching sports videos. (Athlete, 23 Aug 2018)'), ('Highlights', 'RankEventYearLocationSouth East Asian Games8Foil Team2015Singapore, SIN8Epee Team2015Singapore, SIN16Foil Individual2015Singapore, SINWorld Junior Championships147Foil Individual2017Plovdiv, BUL155Foil Individual2016Bourges, FRA')]","['https://instagram.com/eyakoreal/', 'https://www.facebook.com/profile.php?id=100010797663075', 'https://instagram.com/eyakoreal/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011026.html
https://en.asiangames2018.id/athletes/athlete/CHOEUN-Sokden-3021487/,Sokden,Choeun,CAM,Artistic Gymnastics,09/06/2000,KRATIE,Cambodia,18,158,"5'2""",42,93,0,0,0,"[('Beginning', 'He began fencing at age 15. (Athlete, 23 Aug 2018)'), ('Coach', 'Ny Pha Na, CAM, from 2015 (Athlete, 23 Aug 2018)'), ('Hero', 'Coach Ny Pha Na. (Athlete, 23 Aug 2018)'), ('Influence', 'Coach Ny Pha Na. (Athlete, 23 Aug 2018)'), ('Languages', 'Khmer')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021487.html
https://en.asiangames2018.id/athletes/athlete/CHON-Thoun-3021562/,THOUN,CHON,CAM,Wrestling,01/10/1990,KANDAL,Cambodia,28,168,"5'6""",65,143,0,0,0,"[('Beginning', 'He began the sport in Phnom Penh, Cambodia. (Athlete, 22 Aug 2018)'), ('Coach', 'Kim Soo-Gil [national], KOR (Athlete, 22 Aug 2018)'), ('Influence', 'His brother. (Athlete, 22 Aug 2018)'), ('Languages', 'English'), ('Hobbies', 'Listening to music. (Athlete, 22 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021562.html
https://en.asiangames2018.id/athletes/athlete/DIT-Samnang-3021564/,SAMNANG,DIT,CAM,Wrestling,01/04/1997,KOMPONG THOM ,Cambodia,21,155,"5'1""",50,110,0,0,0,"[('Beginning', 'She began the sport while at high school. (Athlete, 22 Aug 2018)'), ('Reason', 'It kept her healthy. (Athlete, 22 Aug 2018)'), ('Coach', 'Kim Soo-Gil [national], KOR (Athlete, 22 Aug 2018)'), ('Languages', 'English'), ('Hobbies', 'Reading, sports. (Athlete, 22 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021564.html
