url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ANNA-LEE-Fisher-3024744/,Fisher,Anna Lee,HKG,Sailing,06/13/1991,,"Hong Kong, China",27,176,"5'9""",66,146,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships64702018Jakarta, INA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024744.html
https://en.asiangames2018.id/athletes/athlete/AU-Chi-Fung-3022959/,Chi Fung,Au,HKG,Sport Climbing,07/05/1995,,"Hong Kong, China",23,175,"5'9""",52,115,0,0,0,"[('Coach', 'Choi Shun Yuk, HKG (Athlete, 23 Aug 2018)'), ('Memorable', ""Finishing in the top eight at the 2016 Asian Championships in Dayun, People's Republic of China. (Athlete, 23 Aug 2018)""), ('Hero', 'Hong Kong sport climbers Chan Cheung Chi Shoji, Yau Ka Chun and Lam Hei Yeung. (Athlete, 23 Aug 2018))'), ('Influence', 'Friend Yau Ka Chun. (Athlete, 23 Aug 2018)'), ('Languages', 'Cantonese, Mandarin'), ('Hobbies', 'Reading, running. (Athlete, 23 Aug 2018)'), ('Highlights', ""RankEventYearLocationWorld Championships90Lead2016Paris, FRA91Bouldering2016Paris, FRAWorld Cup (Ranking)17Combined201646Speed201556Speed201757Speed201673Bouldering2016146Combined2017World Cup23Speed2015Haiyang, CHN26Speed2017Chongqing, CHN27Speed2016Xiamen, CHN27Speed2015Chongqing, CHN28Speed2017Villars-sur-Ollon, SUI29Bouldering2016Munich, GER30Speed2017Arco, ITA31Lead2016Xiamen, CHN31Bouldering2015Haiyang, CHN31Bouldering2015Chongqing, CHN32Speed2016Chongqing, CHN33Bouldering2018Tai'an, CHN33Speed2017Nanjing, CHN41Bouldering2018Vail, CO, USA43Bouldering2016Chongqing, CHN46Speed2018Chongqing, CHN47Bouldering2017Vail, CO, USA49Bouldering2017Nanjing, CHN49Bouldering2017Chongqing, CHN51Speed2018Tai'an, CHN63Bouldering2018Chongqing, CHN66Lead2017Arco, ITA67Bouldering2018Hachioji, JPN68Lead2017Villars-sur-Ollon, SUI68Bouldering2016Kazo, JPN93Bouldering2017Munich, GERAsian Championships7Lead2016Duyun, CHN14Bouldering2016Duyun, CHN17Lead2017Tehran, IRI17Lead2015Ningbo, CHN18Lead2014Indonesia18Speed2014Indonesia19Speed2016Duyun, CHN22Speed2015Ningbo, CHN23Bouldering2015Ningbo, CHNWorld Ranking (as of 30 Jul 2018)90Speed2018"")]","['https://instagram.com/acfungfung/', 'https://www.facebook.com/fungfung.au', 'https://instagram.com/acfungfung/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022959.html
https://en.asiangames2018.id/athletes/athlete/AU-Chin-To-3026940/,Chin To,Au,HKG,Volleyball,02/13/1996,,,22,187,"6'2""",87,192,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships16Men2017Indonesia')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3026940.html
https://en.asiangames2018.id/athletes/athlete/AU-Chun-Ming-3025258/,CHUN MING,AU,HKG,Squash,02/01/1990,,"Hong Kong, China",28,165,"5'5""",67,148,1,1,0,"[('Beginning', 'He began playing squash at age 11. (hksi.org.hk, 01 Sep 2008)'), ('Coach', 'Faheem Khan [personal] (scmp.com, 25 Aug 2018)'), ('Memorable', 'Winning gold at the 2015 Asian Championships in Kuwait. (hongkongsport.org, 06 May 2015)'), ('Awards', 'In 2008 he received a Junior Sports Award from the Sports Federation and Olympic Committee of Hong Kong, China. (hksquash.org.hk, 01 Jul 2010)'), ('Hero', 'English squash player Lisa Aitken, Australian squash player Matthew Hopkin. (Facebook profile, 23 Dec 2017)'), ('Relatives', 'His sister Annie Au has also represented Hong Kong, China in squash, and finished ninth in singles at the 2017 World Championships in Manchester, England. (hk.on.cc, 24 Jun 2017; SportsDeskOnline, 19 Jul 2018)'), ('Nickname', 'Leo (Facebook profile, 23 Dec 2017)'), ('Injuries', 'He suffered an injury to his right shoulder in 2017. (news.mingpao.com, 16 Nov 2017)'), ('Education', 'Management - Hong Kong Polytechnic University, Hong Kong, China'), ('Languages', 'English, Mandarin'), ('Highlights', 'RankEventYearLocationAsian Games3Team2014Incheon, KOR3Team2010Guangzhou, CHN5Singles2014Incheon, KORWorld Championships17Singles2016Cairo, EGY17Singles2013Manchester, GBR33Singles2017Manchester, GBR33Singles2015Seattle, WA, USA33Singles2014Doha, QATWorld Team Championships3Team2017Marseille, FRA13Team2013Mulhouse, FRA13Team2013Mulhouse, FRAAsian Individual Championships1Singles2015Kuwait City, KUW3Singles2017Chennai, IND5Singles2013Islamabad, PAKEast Asian Games1Doubles X2009Hong Kong, CHN1Team2009Hong Kong, CHN3Singles2013Tianjin, CHNWorld Ranking (as of 01 Aug 2018)21Singles2018')]",['https://www.facebook.com/acming'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3025258.html
https://en.asiangames2018.id/athletes/athlete/AU-Hoi-Shun-Stephanie-3025399/,HOI SHUN STEPHANIE,AU,HKG,Swimming,05/30/1992,,"Hong Kong, China",26,172,"5'8""",56,123,0,1,1,"[('Beginning', 'She began training in competitive swimming at age nine in Hong Kong, China. (Facebook page, 25 Aug 2016; olympics.scmp.com, 29 Jul 2008)'), ('Awards', 'She was flag bearer for Hong Kong, China at the opening ceremony of the 2016 Olympic Games in Rio de Janeiro. (swimmingworldmagazine.com, 13 Jul 2016)In 2009 she received the Hong Kong Outstanding Student Award. (Facebook page, 12 Jul 2016)In 2007 and 2008 she received a Junior Sports Stars award at the Hong Kong Sports Stars Awards. (Facebook page, 12 Jul 2016; sportstar2013.hkolympic.org, 19 Nov 2013)'), ('Influence', 'Her family, and coach Zhang Di Yong. (Facebook page, 25 Aug 2016)'), ('Nickname', 'Little Fairy (Facebook page, 25 Aug 2016)'), ('Education', 'Economics, Environmental Studies, Policy Studies - University of California, Berkeley, United States'), ('Languages', 'Cantonese, English, Mandarin'), ('Hobbies', 'Ballet, singing, reading, art, music. (Facebook page, 25 Aug 2016)'), ('Highlights', ""RankEventYearLocationResultAsian Games34 x 100m Freestyle Relay2014Incheon, KOR3:39.9434 x 200m Freestyle Relay2014Incheon, KOR8:04.553Women's 4 x 100m Medley Relay2014Incheon, KOR4:07.1534 x 100m Freestyle Relay2010Guangzhou, CHN3:43.1744 x 200m Freestyle Relay2010Guangzhou, CHN8:08.11650m Backstroke2014Incheon, KOR28.376100m Backstroke2014Incheon, KOR1:02.21Heats200m Backstroke2014Incheon, KOR2:20.49Heats200m Freestyle2010Guangzhou, CHN2:05.05Heats400m Freestyle2010Guangzhou, CHN4:24.33Olympic GamesHeatsWomen's 4 x 100m Medley Relay2016Rio de Janeiro, BRA4:03.85Heats100m Backstroke2012London, GBR1:04.31Heats200m Backstroke2012London, GBR2:18.47Heats200m Freestyle2008Beijing, CHN2:00.85Heats400m Freestyle2008Beijing, CHN4:14.82Heats800m Freestyle2008Beijing, CHN8:41.66World ChampionshipsSemifinal50m Backstroke2013Barcelona, ESP28.33Heats50m Backstroke2015Kazan, RUS28.70Heats100m Backstroke2015Kazan, RUS1:01.41Heats4 x 100m Freestyle Relay2015Kazan, RUS3:42.11Heats4 x 200m Freestyle Relay2015Kazan, RUS8:06.51HeatsWomen's 4 x 100m Medley Relay2015Kazan, RUS4:04.54Heats100m Backstroke2013Barcelona, ESP1:02.10HeatsWomen's 4 x 100m Medley Relay2013Barcelona, ESP4:11.76East Asian Games250m Backstroke2013Tianjin, CHN28.9224 x 100m Freestyle Relay2009Hong Kong, CHN3:40.8024 x 200m Freestyle Relay2009Hong Kong, CHN8:04.8634 x 100m Freestyle Relay2013Tianjin, CHN3:45.7234 x 200m Freestyle Relay2013Tianjin, CHN8:16.143Women's 4 x 100m Medley Relay2013Tianjin, CHN4:05.993200m Freestyle2009Hong Kong, CHN2:01.673400m Freestyle2009Hong Kong, CHN4:14.584100m Backstroke2013Tianjin, CHN1:02.165200m Backstroke2013Tianjin, CHN2:15.21World Championships Short CourseSemifinal50m Backstroke2014Doha, QAT27.04Heats100m Backstroke2014Doha, QAT59.44Heats200m Backstroke2014Doha, QAT2:09.36Heats4 x 50m Freestyle Relay2014Doha, QAT1:35.80Heats4 x 50m Medley Relay2014Doha, QAT1:44.61Asian Indoor and Martial Arts Games1100m Backstroke2017Ashgabat, TKM58.9414 x 50m Medley Relay2017Ashgabat, TKM1:48.7914 x 100m Medley Relay2017Ashgabat, TKM3:58.3224 x 50m Freestyle Relay2017Ashgabat, TKM1:40.2624 x 100m Freestyle Relay2017Ashgabat, TKM3:40.18"")]","['https://www.facebook.com/Stephanie-Au-191570148364', 'https://instagram.com/stephaniehsau', 'https://www.facebook.com/mimiaux', 'http://weibo.com/u/2129055297', 'https://instagram.com/stephaniehsau']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3025399.html
https://en.asiangames2018.id/athletes/athlete/AU-Jasper-Tsz-Shun-3027040/,Jasper Tsz Shun,Au,HKG,Hockey,10/28/1996,,,21,170,"5'7""",63,139,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027040.html
https://en.asiangames2018.id/athletes/athlete/AU-Sin-Ying-3024499/,SIN YING,AU,HKG,Fencing,01/08/1989,,"Hong Kong, China",29,168,"5'6""",55,121,0,0,0,"[('Beginning', 'She began the sport at secondary school. (hkcna.hk, 01 Apr 2011)'), ('Reason', '""At first, I just went to the fencing hall for exercise. Then I fell in love with the sport, and the coach told me that I had talent and advised me to carry on training."" (hkcna.hk, 04 Jan 2011)'), ('Awards', ""She was a torch bearer during the relay for the 2011 World University Games in Shenzhen, People's Republic of China. (163.com, 11 Aug 2011)In 2010 she received a Sports Stars Award from the Sports Federation and Olympic Committee of Hong Kong, China. (hkbu.edu.hk, 24 Feb 2011)""), ('Education', 'Physical Education, Recreation Management - Hong Kong Baptist University, Hong Kong, China'), ('Languages', 'Cantonese, English'), ('Highlights', 'RankEventYearLocationAsian Games2Sabre Individual2010Guangzhou, CHN3Sabre Team2014Incheon, KOR3Sabre Team2010Guangzhou, CHN6Sabre Individual2014Incheon, KOROlympic Games26Sabre Individual2012London, GBRWorld Championships11Sabre Team2015Moscow, RUS12Sabre Team2017Leipzig, GER12Sabre Team2009Antalya, TUR13Sabre Team2012Kiev, UKR14Sabre Team2011Catania, ITA16Sabre Team2018Wuxi, CHN17Sabre Team2014Kazan, RUS17Sabre Team2013Budapest, HUN21Sabre Individual2014Kazan, RUS41Sabre Individual2011Catania, ITA46Sabre Individual2015Moscow, RUS54Sabre Individual2018Wuxi, CHN55Sabre Individual2009Antalya, TUR72Sabre Individual2017Leipzig, GER96Sabre Individual2013Budapest, HUNWorld Cup11Sabre Team2017/2018Orleans, FRA12Sabre Team2017/2018Baltimore, MD, USA12Sabre Team2016/2017Orleans, FRA14Sabre Team2017/2018Sint-Niklaas, BEL14Sabre Team2016/2017New York, NY, USA15Sabre Team2016/2017Yangzhou, CHN16Sabre Team2017/2018Athens, GRE17Sabre Team2016/2017Athens, GRE43Sabre Individual2014/2015Margarita Island53Sabre Individual2016/2017New York, NY, USA56Sabre Individual2017/2018Orleans, FRA57Sabre Individual2016/2017Yangzhou, CHN57Sabre Individual2015/2016Orleans, FRA88Sabre Individual2017/2018Athens, GREGrand Prix48Sabre Individual2014/2015Moscow, RUS71Sabre Individual2017/2018Moscow, RUS76Sabre Individual2015/2016Seoul, KOR82Sabre Individual2016/2017Cancun, MEX92Sabre Individual2016/2017Seoul, KOR96Sabre Individual2015/2016Boston, MA, USA127Sabre Individual2017/2018Seoul, KORSatellite2Sabre Individual2015/2016Istanbul, TURAsian Championships3Sabre Team2010Seoul, KOR4Sabre Team2018Bangkok, THA4Sabre Team2017Hong Kong, CHN4Sabre Team2015Singapore, SIN4Sabre Team2014Suwon, KOR4Sabre Team2013Shanghai, CHN5Sabre Team2016Wuxi, CHN13Sabre Individual2018Bangkok, THA15Sabre Individual2015Singapore, SIN16Sabre Individual2013Shanghai, CHN21Sabre Individual2016Wuxi, CHN26Sabre Individual2017Hong Kong, CHN28Sabre Individual2014Suwon, KOREast Asian Games3Sabre Team2013Tianjin, CHN5Sabre Individual2013Tianjin, CHNFIE World Ranking (as of 15 Aug 2018)67Sabre Individual2017/2018')]",['https://www.facebook.com/au.s.ying.5'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024499.html
https://en.asiangames2018.id/athletes/athlete/AU-Wing-Chi-Annie-3025262/,WING CHI ANNIE,AU,HKG,Squash,02/09/1989,,"Hong Kong, China",29,155,"5'1""",54,119,1,0,0,"[('Beginning', 'She began playing squash at age 12. (squashmad.com, 05 Feb 2014)'), ('Reason', 'She followed her brother into the sport. (youtube.com, 07 Apr 2010)'), ('Awards', ""She was named Asian Squash Federation [ASF] Player of the Year in 2012. (2014ag.hkolympic.org, 09 Aug 2014)She received a Hong Kong Sports Star Award in both 2011 and 2013, and a Hong Kong Junior Sports Star Award in 2004, 2005 and 2007. (Facebook profile, 09 May 2014; 2014ag.hkolympic.org, 09 Aug 2014)In 2008 she received the Women's International Squash Players Association [WISPA] Young Player of the Year Award. (squashsite.co.uk, 06 Sep 2008)""), ('Hero', 'US squash player Amanda Sobhy, Australian squash player Sarah Cardwell. (Facebook profile, 09 May 2014)'), ('Relatives', ""Her brother Leo Au Chun Ming has also represented Hong Kong, China in squash, and won bronze at the 2017 Men's World Team Championships in Marseille, France. (sportsroad.hk, 08 Jun 2015; SportsDeskOnline, 18 May 2018)""), ('Injuries', 'She contracted foot and mouth disease in July 2013. (scmp, 09 Jul 2013)'), ('Education', 'Management - Hong Kong Polytechnic University, Hong Kong, China'), ('Languages', 'Cantonese, English'), ('Hobbies', 'Music. (psaworldtour.com, 2017)'), ('Highlights', 'RankEventYearLocationAsian Games2Singles2010Guangzhou, CHN2Team2010Guangzhou, CHN3Singles2014Incheon, KOR3Team2014Incheon, KORWorld Championships9Singles2017Manchester, GBR9Singles2016El Gouna, EGY9Singles2015Kuala Lumpur, MAS9Singles2014Cairo, EGY9Singles2012Camana Bay, CAY9Singles2011Rotterdam, NED9Singles2010Sharm El Sheikh, EGY9Singles2009Amsterdam, NED9Singles2008Manchester, GBR17Singles2013George Town, MASWorld Team Championships3Team2016Paris, FRA4Team2014Niagara-on-the-Lake, ON, CAN8Team2012Nimes, FRA8Team2008Cairo, EGYAsian Individual Championships1Singles2013Islamabad, PAK1Team2010Chennai, IND2Singles2015Kuwait City, KUW2Singles2011George Town, MAS3Singles2017Chennai, INDEast Asian Games1Singles2013Tianjin, CHN1Doubles X2009Hong Kong, CHN1Team2009Hong Kong, CHN2Singles2009Hong Kong, CHN2Doubles W2009Hong Kong, CHNWorld Ranking (as of 01 Aug 2018)11Singles2018')]",['https://www.facebook.com/annie.au.545'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3025262.html
https://en.asiangames2018.id/athletes/athlete/AU-YEUNG-Wai-Kong-3025959/,Wai Kong,Au Yeung,HKG,Basketball,02/07/1989,,,29,183,"6'0""",75,165,0,0,0,"[('Highlights', 'RankEventYearLocationAsia Cup12Men2015Changsha, CHN15Men2017Beirut, LIB')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3025959.html
https://en.asiangames2018.id/athletes/athlete/AU-YEUNG-Wai-Yan-3026917/,Wai Yan,Au Yeung,HKG,Beach Volleyball,02/26/1988,,,30,170,"5'7""",64,141,0,0,0,"[('Highlights', 'RankEventYearLocationWorld Tour9Women2018Daegu, KOR9Women2018Singapore, SIN9Women2018Bangkok, THA13Women2018Ulsan, KOR13Women2018Manila, PHI13Women2018Kuah, MAS17Women2018Nanjing, CHN19Women2018Nantong, CHNAsian Championships17Women2017Songkhla, THA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3026917.html
