url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/Memo-5345107/,MEMO,,INA,Rowing,01/08/1995,,,23,193.0,"6'4""",85.0,187.0,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_5345107.html
https://en.asiangames2018.id/athletes/athlete/ABADI-Teuku-Tegar-3023826/,Teuku Tegar,Abadi,INA,Athletics,12/13/1998,,Indonesia,19,172.0,"5'8""",63.0,139.0,0,0,0,"[('Beginning', 'He took up pole vault at junior high in Tuban, Indonesia. (bloktuban.com, 03 Aug 2016)'), ('Reason', 'He initially played football from an early age. Constant injuries playing football initiated his parents to enrol him into athletics at the Indonesian Athletics Federation [PASI]. ""I never knew what a pole vault was until my parents enrolled me to PASI."" (bloktuban.com, 03 Aug 2016)'), ('Coach', 'Sainih [national], INA (republika.co.id, 14 Feb 2018)'), ('Influence', 'His parents. (bloktuban.com, 03 Aug 2016)'), ('Nickname', 'Tegar (surabaya.tribunnews.com, 03 Aug 2016)'), ('Languages', 'Indonesian'), ('Highlights', 'RankEventYearLocationResultSouth East Asian GamesNMPole Vault2017Kuala Lumpur, MASNM')]","['https://instagram.com/teukutegar', 'https://www.facebook.com/abady.egar', 'https://instagram.com/teukutegar']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3023826.html
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Rahmat-Erwin-3018308/,RAHMAT ERWIN,ABDULLAH,INA,Weightlifting,10/13/2000,,Indonesia,17,170.0,"5'7""",73.0,161.0,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018308.html
https://en.asiangames2018.id/athletes/athlete/ABDURRAHMAN-WAHYU-Muhammad-3017225/,MUHAMMAD,ABDURRAHMAN WAHYU,INA,Taekwondo,04/05/1995,,Indonesia,23,167.0,"5'6""",57.0,126.0,0,0,0,"[('Beginning', 'He took up the sport at age 14 in 2009 while he was at high school. (Athlete, 16 Aug 2018)'), ('Coach', 'Ade Muhammad Sujud [club], INA; Shin Seung-Jung [national], KOR (Athlete, 16 Aug 2018)'), ('Ambition', 'To win gold at the 2018 Asian Games in Indonesia. (Athlete, 16 Aug 2018)'), ('Hero', 'Indonesian military officer General Soedirman. (Athlete, 16 Aug 2018)'), ('Influence', 'His parents, and his coach. (Athlete, 16 Aug 2018)'), ('Nickname', 'Wahyu (Athlete, 16 Aug 2018)'), ('Injuries', 'He suffered from ankle and knee injuries in 2017. (Athlete, 16 Aug 2018)'), ('Education', 'Marketing Management - STIE Kesatuan Bogor, Indonesia'), ('Languages', 'English, Indonesian, Korean'), ('Hobbies', 'Exercising, reading. (Athlete, 16 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Poomsae Championships3Team Poomsae2014Aguascalientes, MEX4Team Poomsae2013Bali, INASouth East Asian Games2Team Poomsae2013Naypyidaw, MYA3Team Poomsae2017Kuala Pahang, MAS3Team Poomsae2015Singapore, SIN3Pair Poomsae X2013Naypyidaw, MYAAsian Indoor and Martial Arts Games1Team Poomsae2017Ashgabat, TKM')]","['https://instagram.com/ma.wahyu/', 'https://www.facebook.com/mizuhashi.kaito', 'https://instagram.com/ma.wahyu/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017225.html
https://en.asiangames2018.id/athletes/athlete/ABU-Dzar-Yulianto-3022172/,Dzar Yulianto,Abu,INA,Sport Climbing,07/30/1985,,Indonesia,33,170.0,"5'7""",61.0,134.0,1,0,0,"[('Coach', 'Caly Setiawan [national]; Hendra Basir [national] (fpti.or.id, 24 Jul 2018; tribunnews.com, 17 Apr 2018)'), ('Languages', 'Indonesian'), ('Highlights', ""RankEventYearLocationWorld Championships18Speed2011Arco, ITA102Bouldering2011Arco, ITAWorld Cup (Ranking)25Speed201726Speed201675Combined2017World Cup9Speed2016Chongqing, CHN10Speed2017Villars-sur-Ollon, SUI13Speed2016Nanjing, CHN16Speed2017Xiamen, CHN18Speed2018Tai'an, CHN20Speed2018Moscow, RUS20Speed2017Wujiang, CHN21Speed2018Chongqing, CHN45Bouldering2016Chongqing, CHNAsian Championships12Speed2015Ningbo, CHNSouth East Asian Games1Speed Track2011Indonesia1Speed Relay2011IndonesiaWorld Ranking (as of 30 Jul 2018)26Speed2018"")]","['https://instagram.com/abudzar_firlyazri/', 'https://www.facebook.com/abudzar.yulianto', 'https://instagram.com/abudzar_firlyazri/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022172.html
https://en.asiangames2018.id/athletes/athlete/ADESTA-Putu-Wiradamungga-3017516/,PUTU WIRADAMUNGGA,ADESTA,INA,Kurash,12/02/1991,,Indonesia,26,173.0,"5'8""",90.0,198.0,0,0,0,"[('Beginning', 'He took up judo in 2003. (Athlete, 14 Sep 2014)'), ('Reason', 'His parents established the Bali Judo Club in Indonesia. (Athlete, 14 Sep 2014; tempo.co, 23 Jul 2012)'), ('Memorable', 'Competing at the 2012 Olympic Games in London. (Athlete, 14 Sep 2014)'), ('Hero', 'Greek judoka Ilias Iliadis, Indonesian footballer Bambang Pamungkas. (Athlete, 14 Sep 2014)'), ('Influence', 'His parents and his family. (Athlete, 14 Sep 2014)'), ('Injuries', 'He missed three months in 2013 after damaging knee ligaments. (Athlete, 14 Sep 2014)'), ('Education', 'Sport and Recreation Studies - Ganesha University of Education, Denpasar, INA'), ('Languages', 'English, Indonesian'), ('Hobbies', 'Working out. (Athlete, 14 Sep 2014)'), ('Highlights', 'RankEventYearLocationAsian Games9-81 kg2014Incheon, KOROlympic Games17-81 kg2012London, GBRAsian Championships9-81 kg2013Bangkok, THASouth East Asian Games3-81 kg2013Naypyidaw, MYA5-81 kg2011Indonesia')]","['https://twitter.com/wiradamungga', 'https://instagram.com/putuadesta/', 'https://www.facebook.com/batu.kuahpindang', 'https://instagram.com/putuadesta/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017516.html
https://en.asiangames2018.id/athletes/athlete/ADI-PUTRA-Komang-Harik-3025168/,KOMANG HARIK,ADI PUTRA,INA,Pencak Silat,10/14/1994,,Indonesia,23,173.0,"5'8""",69.0,152.0,1,0,0,"[('Beginning', 'He took up pencak silat at age 12 in 2006 in Denpasar, Indonesia. (Athlete, 16 Aug 2018)'), ('Reason', '""Pencak silat is my hobby and I happened to be born into a family of pencak silat practitioners."" (Athlete, 16 Aug 2018)'), ('Coach', 'Kadek Sastra, INA, from 2010 (Athlete, 16 Aug 2018)'), ('Ambition', 'To win gold at the 2018 Asian Games in Indonesia. (Athlete, 16 Aug 2018)'), ('Hero', 'Portuguese footballer Cristiano Ronaldo. (Athlete, 16 Aug 2018)'), ('Influence', 'His parents, and his friends. (Athlete, 16 Aug 2018)'), ('Education', 'Sports and Recreation - Institute of Teacher Training and Education, Bali, INA'), ('Languages', 'Indonesian'), ('Hobbies', 'Sports. (Athlete, 16 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Championships3Class E : 65kg to 70kg2016Denpasar, INAAsian Championships1Class E : 65kg to 70kg2017Chungju, KORSouth East Asian Games3Class F : 70kg to 75kg2017Kuala Lumpur, MAS')]","['https://twitter.com/harikadiputra', 'https://instagram.com/harikadiputra', 'https://www.facebook.com/HARIK.ANAG.SOLUNA', 'https://instagram.com/harikadiputra']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3025168.html
https://en.asiangames2018.id/athletes/athlete/ADITYA-Yudha-Tri-3020555/,Yudha Tri,Aditya,INA,Trampoline Gymnastics,03/23/1990,,Indonesia,28,163.0,"5'4""",60.0,132.0,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3020555.html
https://en.asiangames2018.id/athletes/athlete/ADJHARI-Riski-Moehammad-Adjhari-3020916/,RISKI MOEHAMMAD ADJHARI,ADJHARI,INA,Baseball,08/05/1996,,Indonesia,22,182.0,"6'0""",80.0,176.0,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3020916.html
https://en.asiangames2018.id/athletes/athlete/ADMADI-Puguh-3019890/,PUGUH,ADMADI,INA,Cycling Track,11/12/1988,,Indonesia,29,170.0,"5'7""",70.0,154.0,0,0,0,"[('Coach', 'Dadang Haries Purnomo [national], INA (viva.co.id, 21 May 2018)'), ('Relatives', 'His sister Santia Tri Kusuma and his brothers Priyo Susanto and Reno Yudo have all competed in cycling track at national level. (viva.co.id, 13 Mar 2018; seatsjakarta.wordpress.com, 09 Dec 2013; pedalku.com, 11 May 2013)'), ('Highlights', 'CYCLING TRACKRankEventYearLocationAsian Championships10Team Sprint2018Nilai, MAS13Keirin2018Nilai, MAS20Sprint2018Nilai, MASSouth East Asian Games3Team Sprint2017Kuala Lumpur, MAS4Sprint2017Kuala Lumpur, MASAsian Indoor and Martial Arts Games9Sprint2017Ashgabat, TKM11Keirin2017Ashgabat, TKMUCI Ranking (as of 07 Aug 2018)106Keirin2018/2019109Sprint2018/2019CYCLING BMXRankEventYearLocationAsian Championships8Men2015Naypyidaw, MYA11Men2014Siak Sri Indrapura, INA')]","['https://twitter.com/puguhadmadi', 'https://instagram.com/admadipuguh', 'https://www.facebook.com/admadi.puguh', 'https://instagram.com/admadipuguh']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3019890.html
