url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/Navdeep-3003934/,Navdeep,,IND,Handball,08/07/1994,,,24,170,"5'7""",78,172,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championship12Men2018Republic of Korea')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003934.html
https://en.asiangames2018.id/athletes/athlete/ABRAHAM-Minimol-3019776/,Minimol,Abraham,IND,Volleyball,03/27/1988,,,30,185,"6'1""",76,168,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games9Women2010Guangzhou, CHNAsian Championships11Women2013Thailand')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3019776.html
https://en.asiangames2018.id/athletes/athlete/ABRAHAM-Samira-Mariam-3010693/,SAMIRA MARIAM,ABRAHAM,IND,Triathlon,01/14/1989,MADRAS,India,29,163,"5'4""",50,110,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010693.html
https://en.asiangames2018.id/athletes/athlete/ACHANTA-Sharath-Kamal-3007844/,SHARATH KAMAL,ACHANTA,IND,Table Tennis,07/12/1982,MACHILIPATNAM,India,36,185,"6'1""",90,198,0,0,2,"[('Beginning', 'He began playing table tennis at age four in Chennai, India, at the table tennis club where his father was a coach. He turned professional at age 16. (ttfi.org, 26 Apr 2016; indiatoday.intoday.in, 06 Aug 2009)'), ('Reason', 'His father Srinivasa Rao and uncle Muralidhara Rao were table tennis coaches. ""They would probably have started coaching me before I was born if they had the chance."" (sportskeeda.com, 13 Jan 2010)'), ('Debut', '2003 for India, Asian Championship in Bangkok, Thailand (sportskeeda.com, 29 Apr 2013)'), ('Coach', 'Massimo Costantini [national] (thehindu.com, 24 Feb 2018)'), ('Awards', 'In 2004 he received the Arjuna Award in recognition of outstanding achievements in Indian table tennis. (sportskeeda.com, 13 Jan 2010)'), ('Additional Information', 'GripShakehand (ITTF, 02 Aug 2016)Style of playAttack (ITTF, 02 Aug 2016)GeneralNATIONAL FIRSTSHe became the first Indian table tennis player to win a singles gold medal at the Commonwealth Games when he won in Melbourne in 2006. He also became the first Indian player to win an event on the Pro Tour, when he won the Egypt Open in Cairo in July 2010. (ittf.com, 17 Dec 2010; Sportstar, 01 Apr 2006; SportsDeskOnline, 29 Jul 2018)OCCUPATIONHe joined the Indian Oil Corporation under a sports quota programme that allows him to train and compete internationally. (kreedon.com, 20 Apr 2018; Instagram profile, 27 Jul 2018) '), ('Hero', 'Swiss tennis player Roger Federer, Indian badminton player Pullela Gopichand, Belarusian table tennis player Vladimir Samsonov. (newindianexpress.com, 16 Jul 2013; sportskeeda.com, 29 Apr 2013; indiatoday.intoday.in, 06 Aug 2009)'), ('Injuries', 'He suffered a torn hamstring injury in April 2015 that kept him out of competition for eight months after surgery to reattach it to his hip. (sportstarlive.com, 17 Apr 2016; Facebook profile, 16 Apr 2016; tabletennista.com, 05 May 2015)'), ('Education', 'Accounting, Commerce - Loyola College, Chennai, IND'), ('Languages', 'English, Hindi, Spanish'), ('Hobbies', 'Watching movies, listening to music, reading. (Facebook profile, 10 Apr 2018)'), ('Highlights', ""RankEventYearLocationAsian Games5Team2010Guangzhou, CHN9Team2006Doha, QATQuarterfinalTeam2014Incheon, KOR3rd RoundMen's Doubles2014Incheon, KOR3rd RoundSingles2010Guangzhou, CHN3rd RoundSingles2006Doha, QAT2nd RoundMixed Doubles2010Guangzhou, CHN2nd RoundMen's Doubles2010Guangzhou, CHN2nd RoundSingles2014Incheon, KOR2nd RoundMixed Doubles2014Incheon, KOR1st RoundMixed Doubles2006Doha, QAT1st RoundMen's Doubles2006Doha, QATOlympic Games2nd RoundSingles2008Beijing, CHN2nd RoundSingles2004Athens, GRE1st RoundSingles2016Rio de Janeiro, BRAWorld Championships13Team2018Halmstad, SWE25Team2016Kuala Lumpur, MAS27Team2012Dortmund, GER28Team2004Doha, QAT29Team2010Moscow, RUS33Team2014Tokyo, JPN33Team2008Guangzhou, CHN35Team2006Bremen, GER3rd RoundSingles2017Dusseldorf, GER3rd RoundSingles2015Suzhou, CHN3rd RoundSingles2009Yokohama, JPN2nd RoundMen's Doubles2017Dusseldorf, GER2nd RoundMen's Doubles2009Yokohama, JPN2nd RoundMen's Doubles2007Zagreb, CRO2nd RoundSingles2013Paris, FRA2nd RoundMixed Doubles2013Paris, FRA2nd RoundMixed Doubles2011Rotterdam, NED2nd RoundMixed Doubles2005Shanghai, CHN1st RoundMen's Doubles2015Suzhou, CHN1st RoundMen's Doubles2011Rotterdam, NED1st RoundSingles2011Rotterdam, NED1st RoundMixed Doubles2009Yokohama, JPN1st RoundSingles2007Zagreb, CRO1st RoundMixed Doubles2007Zagreb, CRO1st RoundSingles2005Shanghai, CHN1st RoundSingles2003Paris, FRAITTF World Tour3Singles2017New Delhi, IND3Men's Doubles2017Stockholm, SWEQuarterfinalMen's Doubles2018Gold Coast, QLD, AUSQuarterfinalMen's Doubles2018Doha, QATQuarterfinalMen's Doubles2017New Delhi, INDQuarterfinalMen's Doubles2017Budapest, HUNQuarterfinalSingles2016Linz, AUT2nd RoundSingles2018Gold Coast, QLD, AUS2nd RoundSingles2018Doha, QAT2nd RoundSingles2016Stockholm, SWE2nd RoundSingles2016Zagreb, CRO1st RoundMen's Doubles2018Budapest, HUN1st RoundMen's Doubles2016Stockholm, SWE1st RoundMen's Doubles2016Linz, AUTAsian Championships7Team2013Busan, KOR8Team2017Wuxi, CHN8Team2015Bangkok, THA4th RoundSingles2017Wuxi, CHN4th RoundSingles2015Bangkok, THA3rd RoundMen's Doubles2017Wuxi, CHN3rd RoundMen's Doubles2013Busan, KOR3rd RoundSingles2013Busan, KOR2nd RoundMixed Doubles2013Busan, KORSouth Asian Games1Singles2006Colombo, SRI1Men's Doubles2006Colombo, SRI1Mixed Doubles2006Colombo, SRI1Men's Doubles2004Islamabad, PAK1Mixed Doubles2004Islamabad, PAK1Team2004Islamabad, PAK2Singles2004Islamabad, PAKCommonwealth Games1Team2018Gold Coast, QLD, AUS1Men's Doubles2010Delhi, IND1Singles2006Melbourne, VIC, AUS1Team2006Melbourne, VIC, AUS2Men's Doubles2018Gold Coast, QLD, AUS2Men's Doubles2014Glasgow, GBR3Singles2018Gold Coast, QLD, AUS3Singles2010Delhi, IND3Team2010Delhi, IND4Mixed Doubles2018Gold Coast, QLD, AUSWorld Ranking (as of 01 Aug 2018)33Singles2018"")]","['https://twitter.com/sharathkamal1', 'https://www.facebook.com/sharathkamal/', 'https://instagram.com/sharathkamal/', 'https://www.facebook.com/sharath.kamal.1', 'https://www.facebook.com/sharathkamal', 'https://instagram.com/sharathkamal/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007844.html
https://en.asiangames2018.id/athletes/athlete/AHLAWAT-Deepak-3003911/,Deepak,Ahlawat,IND,Handball,10/12/1992,,,25,172,"5'8""",78,172,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games9Men2010Guangzhou, CHNAsian Championship12Men2018Republic of Korea')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003911.html
https://en.asiangames2018.id/athletes/athlete/AHONGSHANGBAM-Sarjubala-3004017/,SARJUBALA,AHONGSHANGBAM,IND,Pencak Silat,10/05/1996,"KHUNDRAKPAM MAYAI LEIKAI, MANI",India,21,168,"5'6""",64,141,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004017.html
https://en.asiangames2018.id/athletes/athlete/AKAASH-ASHOK-KUMAR-3005946/,,AKAASH ASHOK KUMAR,IND,Bowling,11/25/1986,"BENGALURU, KARNATAKA",India,31,169,"5'7""",75,165,0,0,0,"[('Reason', 'He initially started playing just for fun. After success in his first competition, a student tournament, he decided to pursue the sport competitively. ""When I started, it was more as entertainment and a passion. But I got trained by professionals and it helped me get into the sport seriously. Then the federation started looking for talent at college level."" (dnasyndication.com, 12 Sep 2011 deccanchronicle.com, 16 Dec 2013)'), ('Awards', 'He received the Most Promising Player award at the 2010 National Championships in India. (aircelntbc2010.tbfi.org.in, 29 Jun 2010)'), ('Languages', 'English, Hindi'), ('Highlights', 'RankEventYearLocationResultAsian Games27Trios2010Guangzhou, CHN336232Doubles2010Guangzhou, CHN241485All Events2010Guangzhou, CHN451688Singles2010Guangzhou, CHN1079Asian Championships14Trios2015Bangkok, THA373817Team of Five2016Hong Kong, CHN548119Doubles2016Hong Kong, CHN244020Team of Five2015Bangkok, THA559631Trios2012Hong Kong, CHN336734Trios2016Hong Kong, CHN327736Doubles2015Bangkok, THA235046Doubles2012Hong Kong, CHN231361Singles2016Hong Kong, CHN115376All Events2016Hong Kong, CHN458182All Events2015Bangkok, THA468290Singles2012Hong Kong, CHN1124101Singles2015Bangkok, THA1105102All Events2012Hong Kong, CHN4460Asian Indoor and Martial Arts Games9Team of Four2017Ashgabat, TKM17Doubles2017Ashgabat, TKM23Singles2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005946.html
https://en.asiangames2018.id/athletes/athlete/AKSHAT-3007368/,,AKSHAT,IND,Rowing,06/01/1999,,,19,180,"5'11""",68,150,0,0,0,"[('Beginning', 'He began rowing in 2014 in Pune, India. (Athlete, 17 Aug 2018)'), ('Debut', '2017 for India, Asian Championship in Thailand (Athlete, 17 Aug 2018)'), ('Coach', 'Ismail Baig [national], IND (Athlete, 17 Aug 2018)'), ('Ambition', 'To win an Olympic medal. (Athlete, 17 Aug 2018)'), ('Memorable', 'Winning bronze in the lightweight four event at the 2017 Asian Championships in Pattaya, Thailand. (Athlete, 17 Aug 2018)'), ('Hero', 'British rower Steve Redgrave. (Athlete, 17 Aug 2018)'), ('Influence', 'His father (Athlete, 17 Aug 2018)'), ('Nickname', 'Akki (Athlete, 17 Aug 2018)'), ('Languages', 'English, Hindi'), ('Hobbies', 'Listening to music. (Athlete, 17 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian Championships3Lightweight Four2017Pattaya, THA6:03.12World Junior Championships19Pair2017Trakai, LTU7:25.28')]",['https://www.facebook.com/akshaygujjar.gujjar.5'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007368.html
https://en.asiangames2018.id/athletes/athlete/AMALRAJ-Anthony-Arputharaj-3007853/,ANTHONY ARPUTHARAJ,AMALRAJ,IND,Table Tennis,01/24/1986,POLUR,India,32,164,"5'5""",67,148,0,0,1,"[('Beginning', 'He began playing table tennis at age seven under the guidance of his father, who also played the sport competitively. At age 10, he joined the Petroleum Sports Promotion Board [PSPB] Table Tennis Academy in Ajmer, India, to train at elite level. (ultimatetabletennis.in, 23 Aug 2017; livemint.com, 01 Feb 2012; thefangarage.com, 15 Jul 2017)'), ('Reason', '""I picked it up looking at my father, who was a table tennis player. He was my childhood coach and I owe a huge part of my success to the training given by him."" (ultimatetabletennis.in, 23 Aug 2017; thehindu.com, 06 Sep 2014)'), ('Coach', 'N Ravichandran [national], IND (redbull.com, 20 Jul 2017)'), ('Ambition', 'To break into the world top 100 rankings. (timesofindia.indiatimes.com, 29 Jul 2017)'), ('Memorable', 'Beating multiple Indian national champion Sharath Kamal during the 2012 National and Inter-State Championships in Lucknow, India. (rediff.com, 07 Sep 2017)'), ('Awards', ""In August 2017 he received the Arjuna Award from the Indian government's Ministry of Youth Affairs and Sports in recognition of his sporting achievements. The Arjuna Award is the highest sporting award in India. (ultimatetabletennis.in, 23 Aug 2017)In 2012 he was named Sportsperson of the Year by the Calcutta Sports Journalists' Club [CSJC]. (cricketcountry.com, 19 Apr 2012)""), ('Additional Information', ""Style of playAttack (ultimatetabletennis.in, 01 Jul 2017)GeneralNATIONAL FIRSTIn April 2017 paired with Soumyajit Ghosh they became the first Indian men's doubles pair to win a title on either the ITTF Challenge Series or ITTF World Tour. They marked the achievement at the 2017 Challenge Chile Open in Santiago, Chile. (ittf.com, 30 Apr 2017)OCCUPATIONHe joined the Oil and Natural Gas Corporation of India under a sports quota programme that allows him to train and compete internationally. (sportstarlive.com, 02 Aug 2017)FAMILY TABLE TENNIS ACADEMYHis father, Arputharaj Anthony, runs the Amala Annai Table Tennis Academy for underprivileged children in Chennai, India. Amalraj and his sisters help their father to manage and run the academy. (thehindu.com, 06 Sep 2014) ""), ('Hero', 'Indian table tennis player Kamlesh Mehta. (ultimatetabletennis.in, 01 Jul 2017)'), ('Relatives', 'His father, Arputharaj Anthony, played table tennis competitively. His sisters, Mary Benita and Mary Judith have played table tennis at state level in India. (thehindu.com, 06 Sep 2014)'), ('Languages', 'English, Hindi, Tamil'), ('Highlights', ""RankEventYearLocationAsian Games5Team2010Guangzhou, CHNQuarterfinalTeam2014Incheon, KOR3rd RoundMen's Doubles2014Incheon, KOR3rd RoundMixed Doubles2014Incheon, KOR3rd RoundSingles2010Guangzhou, CHN1st RoundMixed Doubles2010Guangzhou, CHN1st RoundMen's Doubles2010Guangzhou, CHNWorld Championships13Team2018Halmstad, SWE25Team2016Kuala Lumpur, MAS27Team2012Dortmund, GER29Team2010Moscow, RUS33Team2014Tokyo, JPN33Team2008Guangzhou, CHN2nd RoundMixed Doubles2013Paris, FRA1st RoundMen's Doubles2011Rotterdam, NED1st RoundSingles2013Paris, FRA1st RoundMixed Doubles2011Rotterdam, NED1st RoundMixed Doubles2009Yokohama, JPNITTF World Tour3Men's Doubles2017Panagyurishte, BUL3Men's Doubles2016Panagyurishte, BULQuarterfinalMen's Doubles2017Linz, AUTQuarterfinalMen's Doubles2017New Delhi, INDQuarterfinalSingles2016Panagyurishte, BULQuarterfinalMen's Doubles2015De Haan, BEL1st RoundMen's Doubles2018Gold Coast, QLD, AUS1st RoundMen's Doubles2018Bremen, GER1st RoundMen's Doubles2017Brisbane, QLD, AUS1st RoundSingles2017Brisbane, QLD, AUS1st RoundSingles2017New Delhi, IND1st RoundSingles2015De Haan, BELAsian Championships7Team2013Busan, KOR3rd RoundSingles2013Busan, KORSouth Asian Games1Singles2016Guwahati, IND1Mixed Doubles2016Guwahati, IND1Team2016Guwahati, IND1Men's Doubles2010Dhaka, BAN1Mixed Doubles2010Dhaka, BAN2Men's Doubles2016Guwahati, IND2Singles2010Dhaka, BANCommonwealth Games1Team2018Gold Coast, QLD, AUS2Men's Doubles2014Glasgow, GBR3Team2010Delhi, INDWorld Ranking (as of 01 Aug 2018)156Singles2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007853.html
https://en.asiangames2018.id/athletes/athlete/AMIT-3000854/,,AMIT,IND,Boxing,10/16/1995,MAINA ROHTAK,India,22,161,"5'3""",49,108,1,0,0,"[('Beginning', 'He began boxing in 2008. (firstpost.com, 19 Apr 2018)'), ('Reason', '""My uncle trains boxers near my village. My brother used to go there and I used to go with my brother for physical fitness. He saw something in me and he started training me."" (firstpost.com, 19 Apr 2018)'), ('Coach', 'Santiago Nieva [national]; Anil Dhankar [personal], IND (firstpost.com, 19 Apr 2018; timesofindia.indiatimes.com, 11 Apr 2018)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia. (firstpost.com, 19 Apr 2018)'), ('Memorable', 'Winning silver in light flyweight category at the 2018 Commonwealth Games in Gold Coast, QLD, Australia. (dnaindia.com, 10 Apr 2018)'), ('Additional Information', 'GeneralOCCUPATIONHe joined the Indian Army under a sports quota programme that allows him to train and compete internationally. (firstpost.com, 26 Mar 2018) '), ('Injuries', 'He suffered an injury to his left arm during the gold medal match of the light flyweight category at the 2018 Commonwealth Games in Gold Coast, QLD, Australia. (firstpost.com, 19 Apr 2018)'), ('Languages', 'English, Hindi'), ('Highlights', 'RankEventYearLocationWorld Championships5Light Fly (46-49kg)2017Hamburg, GERAsian Championships3Light Fly (46-49kg)2017Tashkent, UZBCommonwealth Games2Light Fly (46-49kg)2018Gold Coast, QLD, AUSChemie Pokal3Light Fly (46-49kg)2018Halle, GERGrand Prix Usti1Fly (52kg)2017Usti nad Labem, CZEStrandja Memorial1Light Fly (46-49kg)2018Sofia, BUL3Light Fly (46-49kg)2017Sofia, BUL')]",['https://www.facebook.com/Amit-Panghal-361850154327535/'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000854.html
