url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AAL-EZIREJ-Karrar-K-3000630/,Karrar K.,Aal Ezirej,IRQ,Boxing,03/13/1995,,,23,175,"5'9""",,,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games5Light Welter (64kg)2014Incheon, KORAsian Championships9Light Welter (64kg)2017Tashkent, UZB')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000630.html
https://en.asiangames2018.id/athletes/athlete/ABDLKAN-Ali-Adnan-Chyad-3003489/,Ali Adnan Chyad,Abdlkan,IRQ,Handball,02/15/1992,,,26,198,"6'6""",95,209,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003489.html
https://en.asiangames2018.id/athletes/athlete/ABDULELAH-Maryam-Abdulhameed-3008044/,Maryam Abdulhameed,Abdulelah,IRQ,Athletics,04/20/2000,BAGHDAD,Iraq,18,165,"5'5""",48,106,0,0,0,"[('Highlights', 'RankEventYearLocationResultWorld Junior ChampionshipsQualificationHigh Jump2018Tampere, FIN1.77World Youth Championships10High Jump2017Nairobi, KEN1.70')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008044.html
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Abdullah-Majeed-Abdullah-3029802/,Abdullah Majeed Abdullah,Abdullah,IRQ,Basketball 3x3,07/21/1996,,,22,200,"6'7""",90,198,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029802.html
https://en.asiangames2018.id/athletes/athlete/ABDULWAHID-Muntadher-Falih-Abdulwahid-3008703/,Muntadher Falih Abdulwahi,Abdulwahid,IRQ,Athletics,01/02/1998,BABEL,Iraq,20,188,"6'2""",74,163,0,0,0,"[('Awards', ""He was the flag bearer for Iraq at the opening ceremony of the 2014 Youth Olympic Games in Nanjing, People's Republic of China. (olympic.org, 01 Aug 2014)""), ('Highlights', 'RankEventYearLocationResultAsian Games6Pole Vault2014Incheon, KOR5.25Youth Olympic Games3Pole Vault2014Nanjing, CHN5.05World Junior Championships8Pole Vault2016Bydgoszcz, POL5.30World Youth Championships4Pole Vault2015Cali, COL5.10')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008703.html
https://en.asiangames2018.id/athletes/athlete/AL-AKAYSHEE-Ali-Abdulridha-3008017/,Ali Abdulridha,Al Akayshee,IRQ,Handball,05/23/1991,,,27,188,"6'2""",85,187,0,0,0,"[('Beginning', 'He began playing handball in 2007 at a club in Najaf, Iraq (Athlete, 18 Aug 2018)'), ('Reason', '""I loved the sport because my uncle used to be a coach in the club of my city and I used to go with him to see him train players and this made me love it."" (Athlete, 18 Aug 2018)'), ('Coach', 'Mohammed Dhafer [national] (AG Entries, 22 Aug 2018)'), ('Memorable', 'Winning bronze at the 2017 Islamic Solidarity Games in Baku, Azerbaijan. (Athlete, 18 Aug 2018)'), ('Hero', 'Tunisian handball player Anwar Ayad. (Athlete, 18 Aug 2018)'), ('Influence', 'Coach Zafer Abdelsaheb. (Athlete, 18 Aug 2018)'), ('Education', 'Sport Studies'), ('Languages', 'Arabic'), ('Hobbies', 'Coaching. (Athlete, 18 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008017.html
https://en.asiangames2018.id/athletes/athlete/AL-ALABD-Ali-Ahmed-Sabah-3000208/,Ali Ahmed Sabah,Al Alabd,IRQ,Ju-Jitsu,05/06/1992,BAGHDAD,Iraq,26,168,"5'6""",69,152,0,0,0,"[('Highlights', 'RankEventYearLocationWorld Championships17Newaza -69kg2016Wroclaw, POLAsian Championships3Newaza -69kg2018Aktau, KAZAsian Indoor and Martial Arts Games3Newaza -69kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000208.html
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Ahmed-Makki-Saleh-3003462/,Ahmed Makki Saleh,Al Azzawi,IRQ,Handball,03/02/1990,,,28,182,"6'0""",80,176,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003462.html
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Mohammed-Ali-Mahdi-3004339/,Mohammed Ali Mahdi,Al Azzawi,IRQ,Handball,10/31/1997,,,20,180,"5'11""",80,176,0,0,0,"[('Beginning', 'He began playing in Baghdad, Iraq (Athlete, 18 Aug 2018)'), ('Reason', '""Because it is a sport that depends on strength and high fitness."" (Athlete, 18 Aug 2018)'), ('Debut', '2017 for Iraq (Athlete, 18 Aug 2018)'), ('Coach', 'Mohammed Dhafer [national] (AG Entries, 20 Aug 2018)'), ('Memorable', 'Winning bronze at the 2017 Islamic Solidarity Games in Baku, Azerbaijan. (Athlete, 18 Aug 2018)'), ('Influence', 'His father and his family. (Athlete, 18 Aug 2018)'), ('Languages', 'Arabic, English, French'), ('Hobbies', 'Swimming, football, tennis. (Athlete, 18 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004339.html
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Mustafa-Mohammed-3003684/,Mustafa Mohammed,Al Azzawi,IRQ,Handball,05/12/1989,,,29,194,"6'4""",92,203,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003684.html
