url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDUL-KAREEM-Zaid-3029019/,ZAID,ABDUL KAREEM,JOR,Taekwondo,06/19/2001,,Jordan,17,171,"5'7""",56,123,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships2nd Round-54kg2018Ho Chi Minh City, VIEWorld Junior ChampionshipsRound 1-55kg2018Hammamet, TUNWorld Ranking (as of 01 Aug 2018)113-54kg2018')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029019.html
https://en.asiangames2018.id/athletes/athlete/ABO-ALRUB-Rama-3000477/,RAMA,ABO ALRUB,JOR,Taekwondo,06/08/2001,AMMAN,Jordan,17,174,"5'9""",57,126,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships1st Round-57kg2018Ho Chi Minh City, VIEWorld Junior Championships3rd Round-55kg2016Burnaby, BC, CANWorld Ranking (as of 01 Aug 2018)133-57kg2018')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000477.html
https://en.asiangames2018.id/athletes/athlete/ABU-ISHRAIKH-Nabeel-3000200/,NABEEL,ABU ISHRAIKH,JOR,Basketball 3x3,10/25/2000,AMMAN,Jordan,17,177,"5'10""",60,132,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000200.html
https://en.asiangames2018.id/athletes/athlete/ABUGHAUSH-Ahmad-3000398/,AHMAD,ABUGHAUSH,JOR,Taekwondo,02/01/1996,AMMAN,Jordan,22,178,"5'10""",68,150,0,0,1,"[('Reason', 'He followed his older brother Mohamed into the sport. (assabeel.net, 19 Aug 2016)'), ('Coach', 'Chang Wen-Ping [national], TPE (kazpravda.kz, 30 Mar 2016)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (assawsana.com, 22 Aug 2016)'), ('Awards', ""He was named Jordan's flag bearer for the opening ceremony of the 2018 Asian Games in Indonesia. (AG Entries, 18 Aug 2018)He was named the 2012 Sportsman of the Year by the Jordan Olympic Committee. (joc.jo, 16 May 2016)""), ('Additional Information', 'GeneralNATIONAL FIRSTHe became the first Jordanian athlete from any sport to win a medal at the Olympic Games when he claimed gold in the featherweight category at the 2016 Games in Rio de Janeiro. (ONS, 19 Aug 2016) '), ('Education', 'Business Management - University of Jordan, Amman, JOR'), ('Languages', 'Arabic, English'), ('Hobbies', 'Playing video games, watching and playing football. (assawsana.com, 22 Aug 2016)'), ('Highlights', 'RankEventYearLocationOlympic Games1-68kg2016Rio de Janeiro, BRAWorld Championships3-68kg2017Muju, KOR2nd Round-54kg2011Gyeongju, KOR2nd Round-68kg2015Chelyabinsk, RUSGrand Prix FinalLast 16-68kg2017Abidjan, CIVGrand Prix1-68kg2017London, GBR3-68kg2017Moscow, RUSWorld Ranking (as of 01 Aug 2018)3-68kg201867-74kg2018')]","['https://twitter.com/ahmadabughaush', 'https://instagram.com/ahmadabughaush/', 'https://www.facebook.com/ahmad.abughaush.3', 'https://instagram.com/ahmadabughaush/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000398.html
https://en.asiangames2018.id/athletes/athlete/AGHA-NIMER-Amr-3005063/,AMR,AGHA NIMER,JOR,Bridge,10/13/1988,AMMAN,Jordan,29,188,"6'2""",97,214,0,0,0,"[('Highlights', 'RankEventYearLocationWorld Bridge Games46Open Team2016Wroclaw, POL')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005063.html
https://en.asiangames2018.id/athletes/athlete/AL-KUZAI-Bader-3000268/,Bader,Al Kuzai,JOR,Ju-Jitsu,04/15/1995,AMMAN,Jordan,23,180,"5'11""",85,187,0,0,0,"[('Education', 'American University of Madaba, Jordan'), ('Languages', 'Arabic, English'), ('Highlights', 'RankEventYearLocationWorld Championships13Newaza -85kg2017Bogota, COLAsian Indoor and Martial Arts Games5Newaza -85kg2017Ashgabat, TKM')]","['https://instagram.com/baderkhuzai/', 'https://www.facebook.com/bader.khuzai', 'https://instagram.com/baderkhuzai/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000268.html
https://en.asiangames2018.id/athletes/athlete/AL-MRIHEEL-Reem-3000486/,REEM,AL MRIHEEL,JOR,Boxing,12/31/1988,AMMAN,Jordan,29,155,"5'1""",48,106,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000486.html
https://en.asiangames2018.id/athletes/athlete/AL-RASHED-Abdallah-3005679/,ABDALLAH,AL RASHED,JOR,Ju-Jitsu,06/02/1992,AMMAN,Jordan,26,166,"5'5""",56,123,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005679.html
https://en.asiangames2018.id/athletes/athlete/AL-RASHEED-Haidar-3000267/,Haidar,Al Rasheed,JOR,Ju-Jitsu,12/16/1992,AMMAN,Syria Arab Republic,25,172,"5'8""",85,187,1,0,0,"[('Beginning', 'He began the sport at age 11 in Jordan. (Facebook page, 12 Jul 2018)'), ('Reason', 'His parents encouraged him to try the sport. (joc.jo, 18 Oct 2016)'), ('Relatives', 'His brother Hamzeh has also represented Jordan in ju-jitsu, and won gold in the 77kg ne-waza event at the 2017 World Championships in Bogota, Colombia. (jordantimes.com, 26 Nov 2017; SportsDeskOnline, 22 May 2018)'), ('Nickname', 'Gardena (Facebook page, 12 Jul 2018)'), ('Education', 'American University of Madaba, Jordan'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationWorld Championships2Newaza -85kg2017Bogota, COL3Newaza -85kg2016Wroclaw, POLWorld Games4Newaza -85kg2017Wroclaw, POLAsian Championships1Newaza -85kg2016Ashgabat, TKM5Newaza -85kg2018Aktau, KAZ5Newaza -85kg2017Hanoi, VIE9Newaza Open2016Ashgabat, TKMAsian Indoor and Martial Arts Games2Newaza -77kg2017Ashgabat, TKM3Newaza -85kg2017Ashgabat, TKM8Newaza Open2017Ashgabat, TKM')]","['https://twitter.com/HaiderHRasheed', 'https://www.facebook.com/HaiderHRasheed92', 'https://instagram.com/HaiderHRasheed/', 'https://instagram.com/HaiderHRasheed/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000267.html
https://en.asiangames2018.id/athletes/athlete/AL-RASHEED-Hamzeh-3004385/,Hamzeh,Al Rasheed,JOR,Ju-Jitsu,04/18/1995,AMMAN,Jordan,23,165,"5'5""",77,170,0,0,0,"[('Relatives', 'His brother Haidar has also represented Jordan in ju-jitsu, and won silver in the 85kg ne-waza event at the 2017 World Championships in Bogota, Colombia. (jordantimes.com, 26 Nov 2017; SportsDeskOnline, 22 May 2018)'), ('Education', 'Business Administration - Princess Sumaya University for Technology, Amman, JOR'), ('Languages', 'Arabic, English'), ('Highlights', 'RankEventYearLocationWorld Championships1Newaza -77kg2017Bogota, COL5Newaza -77kg2015Tunis, TUN17Newaza -77kg2016Wroclaw, POLAsian Championships1Newaza -77kg2017Hanoi, VIE')]","['https://twitter.com/Hamzeh_R', 'https://www.facebook.com/Hamzeh.Rasheed']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004385.html
