url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDIKHAMIT-Arailym-3029331/,Arailym,Abdikhamit,KAZ,Handball,03/03/1999,,,19,195,"6'5""",106,234,0,0,0,"[('Highlights', 'RankEventYearLocationWorld Championship22Women2015DenmarkAsian Championship4Women2015IndonesiaWorld Junior Championship23Women2016Russian FederationWorld Youth Championship19Women2016Slovakia')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029331.html
https://en.asiangames2018.id/athletes/athlete/ABDIRBEKOVA-Dayana-3021299/,Dayana,Abdirbekova,KAZ,Rhythmic Gymnastics,04/10/2002,,Kazakhstan,16,167,"5'6""",49,108,1,0,0,"[('Coach', 'Aliya Yusupova [national], KAZ; Lola Adilbekova [personal], KAZ (prosports.kz, 11 Jul 2018; kazsports.kz, 20 Dec 2017)'), ('Awards', 'She has received the title of Master of Sport of International Class in Kazakhstan. (kazsports.kz, 20 Dec 2017)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021299.html
https://en.asiangames2018.id/athletes/athlete/ABDULABAYEV-Ilgam-3030308/,Ilgam,Abdulabayev,KAZ,Hockey,04/08/1992,,,26,176,"5'9""",73,161,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3030308.html
https://en.asiangames2018.id/athletes/athlete/ABDULLIN-Ilfat-3028369/,ILFAT,ABDULLIN,KAZ,Archery,01/09/1998,,Kazakhstan,20,,,,,0,0,0,"[('Coach', 'Grigory Kim [national], KAZ (prosports.kz, 08 Aug 2018)'), ('Nickname', 'Ilfa (Facebook profile, 15 Jan 2017)'), ('Education', ""Physical Education, Teaching - Kazakhstan Engineering and Pedagogical University of People's Friendship, Shymkent, KAZ""), ('Languages', 'English, Kazakh, Russian, Turkish'), ('Highlights', ""RankEventYearLocationWorld Cup9Recurve Mixed Team2018Shanghai, CHN17Recurve Individual2018Berlin, GER57Recurve Individual2018Antalya, TUR57Recurve Individual2018Shanghai, CHN57Recurve Individual2016Antalya, TURAsian Championships33Recurve Individual2017Dhaka, BANWorld Youth Championships17Recurve Individual2017Rosario, ARG20Recurve Men's Team2017Rosario, ARGWorld Ranking (as of 01 Aug 2018)87Recurve Individual2018"")]","['https://instagram.com/abdullin.ilfat/', 'https://www.facebook.com/profile.php?id=100007990503492', 'https://instagram.com/abdullin.ilfat/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3028369.html
https://en.asiangames2018.id/athletes/athlete/ABIKEYEVA-Elmira-3029288/,Elmira,Abikeyeva,KAZ,Basketball,04/11/1997,,,21,170,"5'7""",55,121,0,0,0,"[('Highlights', 'RankEventYearLocationAsia Cup10Women2017Bengaluru, IND')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029288.html
https://en.asiangames2018.id/athletes/athlete/ABILDA-Dana-3029330/,Dana,Abilda,KAZ,Handball,10/18/1996,,,21,169,"5'7""",63,139,0,0,0,"[('Highlights', 'RankEventYearLocationWorld Championship22Women2015DenmarkAsian Championship4Women2015IndonesiaWorld Junior Championship23Women2016Russian Federation')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029330.html
https://en.asiangames2018.id/athletes/athlete/ADILKHANOVA-Alina-3021296/,Alina,Adilkhanova,KAZ,Rhythmic Gymnastics,09/26/2001,,Kazakhstan,17,166,"5'5""",43,95,2,0,0,"[('Beginning', 'She took up the sport in Karaganda, Kazakhstan. (gimnastika.pro, 2017)'), ('Debut', '2017 for Kazakhstan, World Cup in Baku, Azerbaijan (vestikavkaza.ru, 28 Apr 2017)'), ('Coach', 'Aliya Yusupova [national], KAZ (prosports.kz, 11 Jul 2018)'), ('Ambition', 'To compete at the Olympic Games. (prosports.kz, 22 Nov 2017)'), ('Awards', 'She holds the title of Master of Sport of International Class in Kazakhstan. (kazsports.kz, 20 Dec 2017)'), ('Languages', 'English, Russian'), ('Highlights', 'RankEventYearLocationResultWorld Championships20Individual Clubs2017Pesaro, ITA15.65027Individual Hoop2017Pesaro, ITA14.75028Individual All-Around2017Pesaro, ITA57.35028Individual Ball2017Pesaro, ITA14.45049Individual Ribbon2017Pesaro, ITA12.500World Cup12Individual Clubs2018Sofia, BUL15.20012Individual Ribbon2018Sofia, BUL13.90013Individual All-Around2018Sofia, BUL59.40013Individual Hoop2017Baku, AZE15.90015Individual Hoop2018Sofia, BUL15.65017Individual Ball2018Sofia, BUL14.65017Individual Ball2017Baku, AZE15.20021Individual Ribbon2017Baku, AZE13.85023Individual All-Around2017Baku, AZE58.30024Individual Hoop2018Pesaro, ITA15.10028Individual Clubs2017Baku, AZE13.35034Individual Ball2018Pesaro, ITA13.60052Individual All-Around2018Pesaro, ITA28.700DNSIndividual Clubs2018Pesaro, ITADNSDNSIndividual Ribbon2018Pesaro, ITADNSAsian Championships1Individual All-Around2018Kuala Lumpur, MAS63.2501Individual Ball2018Kuala Lumpur, MAS16.8001Individual Ribbon2018Kuala Lumpur, MAS16.2501Team All-Around2017Astana, KAZ166.1002Individual Hoop2018Kuala Lumpur, MAS16.1502Team All-Around2018Kuala Lumpur, MAS148.8003Individual Clubs2018Kuala Lumpur, MAS15.7003Individual Hoop2017Astana, KAZ16.5507Individual Ribbon2017Astana, KAZ14.7008Individual All-Around2017Astana, KAZ60.8509Individual Ball2017Astana, KAZ16.2509Individual Clubs2017Astana, KAZ15.450World Ranking List (as of 29 Apr 2018)29Individual Ribbon20181031Individual All-Around2018933Individual Clubs20181038Individual Hoop2018645Individual Ball20182')]","['https://instagram.com/adilkhanova.a/', 'https://www.facebook.com/alina.adilkhanova.3', 'http://vk.com/ad011', 'https://instagram.com/adilkhanova.a/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021296.html
https://en.asiangames2018.id/athletes/athlete/ADILOV-Shakir-3029446/,SHAKIR,ADILOV,KAZ,Cycling Mountain Bike,02/17/1995,,Kazakhstan,23,189,"6'2""",78,172,0,0,0,"[('Beginning', 'He began cycling at age 11 in Taraz, Kazakhstan, and switched to mountain bike in 2013. (Athlete, 02 Aug 2018)'), ('Debut', 'Turned professional in 2015'), ('Coach', 'Alexander Dymovskikh [personal], KAZ, from 2015; Evgeny Yakovlev, KAZ, from 2014; Anatoliy Golovin, KAZ, from 2006 (Athlete, 02 Aug 2018)'), ('Ambition', 'To finish in the top 10 athletes at the 2018 Asian Games in Indonesia. (Athlete, 02 Aug 2018)'), ('Memorable', 'Winning gold in the cross-country eliminator at the 2018 National Championships. (Athlete, 02 Aug 2018)'), ('Awards', 'He has received the title of Master of Sport in Kazakhstan. (Athlete, 02 Aug 2018)'), ('Hero', 'Swiss mountain biker Nino Schurter. (Athlete, 02 Aug 2018)'), ('Influence', 'His coach. (Athlete, 02 Aug 2018)'), ('Education', 'Physical Education - Taraz State Pedagogical University, Kazakhstan'), ('Languages', 'Kazakh, Russian'), ('Hobbies', 'Cars. (Athlete, 02 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships5Cross-country Team Relay2017Xuancheng, CHN17Cross-country2016Chainat, THA21Cross-country2018Cebu, PHI22Cross-country2017Xuancheng, CHN30Cross-country Eliminator2016Chainat, THA35Cross-country2015Malacca, MASWorld Championships (Under 23)73Cross-country2015Vallnord, AND92Cross-country2016Nove Mesto na Morave, CZEDNSCross-country2017Cairns, QLD, AUSUCI Ranking (as of 31 Jul 2018)223Cross-country2018')]","['https://instagram.com/adilov_shakir/', 'https://www.facebook.com/profile.php?id=100005369172422', 'http://vk.com/id323874950', 'https://instagram.com/adilov_shakir/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029446.html
https://en.asiangames2018.id/athletes/athlete/AGAMBAYEVA-Margarita-3017098/,Margarita,Agambayeva,KAZ,Sport Climbing,10/24/1999,,Kazakhstan,18,,,,,0,0,0,"[('Beginning', 'She began the sport in 2012 in Chapayevo, Kazakhstan. (Athlete, 05 Jun 2018)'), ('Reason', '""I came to try it at school, liked it, and went on."" (Athlete, 05 Jun 2018)'), ('Coach', 'Tamara Ulzhabayeva, KAZ, from 2013 (Athlete, 05 Jun 2018)'), ('Ambition', 'To compete at the Olympic Games. (Athlete, 05 Jun 2018)'), ('Memorable', 'Winning gold in lead climbing at the 2017 Asian Junior Championships in Singapore. (Athlete, 05 Jun 2018; prosports.kz, 20 Jul 2017)'), ('Awards', 'She has received the title of Master of Sport in Kazakhstan. (Athlete, 05 Jun 2018; kazsports.kz, 20 Dec 2017)'), ('Hero', 'Kazakhstani sport climber Tamara Ulzhabayeva. (Athlete, 05 Jun 2018)'), ('Influence', 'Her parents, and her coach. (Athlete, 05 Jun 2018)'), ('Languages', 'Kazakh, Russian'), ('Highlights', 'RankEventYearLocationWorld Cup38Speed2018Chamonix, FRA85Lead2018Chamonix, FRAAsian Championships15Lead2017Tehran, IRI16Bouldering2017Tehran, IRIDSQSpeed2017Tehran, IRIWorld Youth Championships11Speed2018Saanich, BC, CAN13Speed2017Innsbruck, AUT34Lead2017Innsbruck, AUT36Lead2018Saanich, BC, CAN38Bouldering2018Saanich, BC, CAN45Bouldering2017Innsbruck, AUT9Combined2015Arco, ITA15Speed2015Arco, ITA16Combined2016Guangzhou, CHN19Speed2016Guangzhou, CHN34Bouldering2016Guangzhou, CHN37Lead2016Guangzhou, CHN41Bouldering2015Arco, ITA45Lead2015Arco, ITA')]",['http://vk.com/id185815946'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017098.html
https://en.asiangames2018.id/athletes/athlete/AGAYEVA-Albina-3017421/,ALBINA,AGAYEVA,KAZ,Golf,08/22/1999,,Kazakhstan,19,174,"5'9""",68,150,0,0,0,"[('Languages', 'English, Kazakh')]","['https://instagram.com/albina_agayeva/', 'https://instagram.com/albina_agayeva/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017421.html
