url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABASOV-Gianzhali-3024040/,GIANZHALI,ABASOV,KGZ,Karate,11/02/1994,BISHKEK,Kyrgyzstan,23,187,"6'2""",84,185,0,0,0,"[('Beginning', 'He took up the sport in 2006 in Bishkek, Kyrgyzstan. (Athlete, 09 Mar 2018)'), ('Reason', '""My neighbours were doing it, so I also followed."" (Athlete, 09 Mar 2018)'), ('Coach', 'Dmitry Kazanov [club], KGZ (Athlete, 09 Mar 2018)'), ('Ambition', 'To win gold at the Asian Games, and to qualify for the Olympic Games. (Athlete, 09 Mar 2018)'), ('Memorable', 'Winning bronze in the 84kg category at the 2017 Asian Championships in Astana, Kazakhstan. (Athlete, 09 Mar 2018)'), ('Awards', 'He has received the title of Master of Sport in Kyrgyzstan. (Athlete, 09 Mar 2018)'), ('Hero', 'US swimmer Michael Phelps. (Athlete, 09 Mar 2018)'), ('Influence', 'His mother. (Athlete, 09 Mar 2018)'), ('Education', 'Business Law - American University of Central Asia, Bishkek, KGZ'), ('Languages', 'Azerbaijani, English, Kyrgyz, Russian, Turkish'), ('Hobbies', 'Playing football, reading, playing computer games. (Athlete, 09 Mar 2018)'), ('Highlights', 'RankEventYearLocationAsian Games11-75kg2014Incheon, KORKarate 1 Premier League17-84kg2017Dubai, UAE35-84kg2018Dubai, UAE35-84kg2018Paris, FRAAsian Championships3-84kg2017Astana, KAZWorld Ranking (as of 01 Aug 2018)90-84kg2018')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024040.html
https://en.asiangames2018.id/athletes/athlete/ABDILAEV-Urmatbek-3024043/,URMATBEK,ABDILAEV,KGZ,Karate,05/31/1996,BISHKEK,Kyrgyzstan,22,173,"5'8""",65,143,0,0,0,"[('Beginning', 'He began the sport at age nine in Jalal-Abad, Kyrgyzstan. (Athlete, 12 Mar 2018)'), ('Reason', 'He became involved in the sport when his school started teaching karate. (Athlete, 12 Mar 2018)'), ('Coach', 'Bakytbek Rahman Uulu, KGZ, from 2005 (Athlete, 12 Mar 2018)'), ('Ambition', 'To win a medal at the Asian Games, and to claim gold at the Asian championships. (Athlete, 12 Mar 2018)'), ('Awards', 'He has received the title of Master of Sport in Kyrgyzstan. (Athlete, 12 Mar 2018)'), ('Hero', 'Kyrgyzstani karateka Talant Khalmurzaev. (Athlete, 12 Mar 2018)'), ('Influence', 'Coach Bakytbek Rahman Uulu, and his mother. (Athlete, 12 Mar 2018)'), ('Nickname', 'Urmat (Facebook profile, 23 Jan 2018)'), ('Education', 'Engineering - Kyrgyz State Technical University, Bishkek, KGZ'), ('Languages', 'Kyrgyz, Russian'), ('Hobbies', 'Football. (Athlete, 12 Mar 2018)'), ('Highlights', 'RankEventYearLocationAsian Games17-60kg2014Incheon, KORWorld Championships15-60kg2016Linz, AUTAsian Championships11-67kg2017Astana, KAZWorld Ranking (as of 01 Aug 2018)155-60kg2018')]",['https://www.facebook.com/urmat.abdilaev'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024043.html
https://en.asiangames2018.id/athletes/athlete/ABDIZHAMIL-UULU-Alymgeldi-3005446/,Alymgeldi,Abdizhamil Uulu,KGZ,Ju-Jitsu,01/04/1995,OSH,Kyrgyzstan,23,170,"5'7""",62,137,0,0,0,"[('Coach', 'Murtazali Murtazaliev [national], KGZ (kabar.kg, 03 Mar 2018)'), ('Highlights', 'RankEventYearLocationAsian Indoor and Martial Arts Games7Newaza -62kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005446.html
https://en.asiangames2018.id/athletes/athlete/ABDRAIMOV-Turar-3009655/,TURAR,ABDRAIMOV,KGZ,Volleyball,07/25/1990,LYILYK,Kyrgyzstan,28,190,"6'3""",90,198,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009655.html
https://en.asiangames2018.id/athletes/athlete/ABDRAKHMAN-UULU-Kubatbek-3024013/,KUBATBEK,ABDRAKHMAN UULU,KGZ,Fencing,03/22/1996,BISHKEK,Kyrgyzstan,22,181,"5'11""",75,165,0,0,0,"[('Beginning', 'He took up the sport at age eight in Bishkek, Kyrgyzstan. (Athlete, 05 Jul 2018)'), ('Reason', '""I got interested in this sport because as a child I liked \'The Three Musketeers\' movie. Besides, there was a fencing group at my school."" (Athlete, 05 Jul 2018)'), ('Debut', '2015 for Kyrgyzstan, Grand Prix in Heidenheim, Germany (Athlete, 05 Jul 2018)'), ('Coach', 'Nurtay Abdyl-Khamitov [national], KGZ; Valery Karyakin [personal], KGZ (Athlete, 05 Jul 2018)'), ('Ambition', 'To be ranked among the top 16 epee fencers in the world. (Athlete, 05 Jul 2018)'), ('Memorable', 'Winning bronze in team epee at the 2015 Asian U23 Championships in Ulaanbaatar, Mongolia. (Athlete, 05 Jul 2018)'), ('Awards', 'In 2015 he received the title of Master of Sport in Kyrgyzstan. (Athlete, 05 Jul 2018)'), ('Hero', 'US boxer Muhammad Ali. (Athlete, 05 Jul 2018)'), ('Nickname', 'Kubat (Facebook profile, 01 Jul 2017)'), ('Education', 'Diplomatic Academy of the Ministry of Foreign Affairs, Bishkek, KGZ'), ('Languages', 'English, Kyrgyz, Russian'), ('Hobbies', 'Swimming, playing table tennis and football. (Athlete, 05 Jul 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships9Epee Team2018Bangkok, THA11Epee Team2017Hong Kong, CHN56Epee Individual2017Hong Kong, CHN59Epee Individual2018Bangkok, THAWorld Junior Championships103Epee Individual2015Tashkent, UZBFIE World Ranking (as of 15 Aug 2018)291Epee Individual2017/2018')]",['https://www.facebook.com/kubat.abdrakhmanov'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024013.html
https://en.asiangames2018.id/athletes/athlete/ABDUGANIEV-Kanatbek-3000233/,KANATBEK,ABDUGANIEV,KGZ,Wushu,07/13/1992,OSH,Kyrgyzstan,26,174,"5'9""",65,143,0,0,0,"[('Coach', 'Tagaibek Omurzhanov [national], KGZ (24.kg, 17 Dec 2017; ru.siluxgc.com, 30 Mar 2018)'), ('Awards', 'He has received the title of Master of Sport in Kyrgyzstan. (sport.gov.kg, 13 Nov 2017)'), ('Nickname', 'Kanat (24.kg, 21 May 2018)'), ('Highlights', 'RankEventYearLocationWorld Championships5Sanda -70kg2017Kazan, RUSAsian Championships5Sanda -70kg2016Taoyuan, TPE')]","['https://instagram.com/kanatbekabduganiev/', 'https://instagram.com/kanatbekabduganiev/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000233.html
https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Sirozhiddin-3009213/,SIROZHIDDIN,ABDULLAEV,KGZ,Boxing,08/31/1995,OSH,Kyrgyzstan,23,168,"5'6""",56,123,0,0,0,"[('Coach', 'Daniyar Dzhusubaliev [national], KGZ; Marat Shamamatov [personal], KGZ (sport.gov.kg, 09 Jul 2018, 18 Jan 2018)'), ('Awards', 'He has received the title of Master of Sport in Kyrgyzstan. (sport.gov.kg, 09 Jul 2018)'), ('Languages', 'Kyrgyz, Russian'), ('Highlights', 'RankEventYearLocationAsian Championships17Bantam (56kg)2017Tashkent, UZB')]",['http://ok.ru/profile/566937541590'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009213.html
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMANOV-Abdurakhman-3009236/,ABDURAKHMAN,ABDURAKHMANOV,KGZ,Boxing,03/08/1997,DJALAL ABAD,Kyrgyzstan,21,175,"5'9""",69,152,0,0,0,"[('Coach', 'Daniyar Dzhusubaliev [national], KGZ; Marat Shamamatov [personal], KGZ (sport.gov.kg, 09 Jul 2018, 18 Jan 2018)'), ('Awards', 'He has received the title of Candidate for Master of Sport in Kyrgyzstan. (sport.gov.kg, 09 Jul 2018)'), ('Education', 'Jalal-Abad State University, Kyrgyzstan'), ('Languages', 'Kyrgyz, Russian')]",['http://ok.ru/profile/568264286604'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009236.html
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMANOV-Odilzhon-3023288/,Odilzhon,Abdurakhmanov,KGZ,Football,03/18/1996,,,22,174,"5'9""",67,148,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3023288.html
https://en.asiangames2018.id/athletes/athlete/ABDYL-KHAMITOVA-Kamilia-3024018/,KAMILIA,ABDYL KHAMITOVA,KGZ,Fencing,06/04/2001,BISHKEK,Kyrgyzstan,17,168,"5'6""",53,117,0,0,0,"[('Beginning', 'She took up the sport in 2013 at age 12 at the Musketeers sports club in Bishkek, Kyrgyzstan. (Athlete, 14 Aug 2018)'), ('Reason', '""It was my childhood\'s dream, given the example of my grandfather who was a Master of Sport in the Soviet Union."" (Athlete, 14 Aug 2018)'), ('Debut', '2017 for Kyrgyzstan, World Championships in Leipzig, Germany (Athlete, 14 Aug 2018)'), ('Coach', 'Nurtay Abdyl-Khamitov, KGZ, from 2014 (Athlete, 14 Aug 2018)'), ('Ambition', 'To compete at the Olympic Games. (Athlete, 14 Aug 2018)'), ('Memorable', 'Finishing second at an international tournament in Jordan. (Athlete, 14 Aug 2018)'), ('Hero', 'Russian fencer Sofya Velikaya. (Athlete, 14 Aug 2018)'), ('Influence', 'Her coach. (Athlete, 14 Aug 2018)'), ('Nickname', 'Keiml (Athlete, 14 Aug 2018)'), ('Languages', 'English, Russian'), ('Hobbies', 'Languages, reading, dancing. (Athlete, 14 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Championships121Epee Individual2017Leipzig, GERAsian Championships40Epee Individual2018Bangkok, THAWorld Junior Championships84Epee Individual2018Verona, ITA85Epee Individual2017Plovdiv, BUL98Epee Individual2015Tashkent, UZB140Epee Individual2016Bourges, FRAWorld Cadet Championships49Epee Individual2018Verona, ITA72Epee Individual2017Plovdiv, BUL79Epee Individual2015Tashkent, UZB84Epee Individual2016Bourges, FRAFIE World Ranking (as of 15 Aug 2018)235Epee Individual2017/2018')]",['https://www.facebook.com/kamilya.abdulhamitova'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024018.html
