url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AHN-Daemyeong-3017599/,DAEMYEONG,AHN,KOR,Shooting,11/23/1990,,Republic of Korea,27,180,"5'11""",85,187,0,0,1,"[('Beginning', 'He began the sport in her sixth grade of primary school. (gimhaenews.co.kr, 05 Jul 2011)'), ('Reason', 'His father used to go hunting, but his lower limbs were impaired following a traffic accident. Afterwards his father took up shooting Para sport, and often took him to the shooting range. (gimhaenews.co.kr, 05 Jul 2011; knnews.co.kr, 24 Sep 2005)'), ('Coach', 'Kim Jo-Young [club], KOR (national.sports.or.kr, 06 Nov 2017)'), ('Education', 'Korea National Sport University, Seoul, KOR'), ('Languages', 'Korean'), ('Highlights', 'RankEventYearLocationResultWorld Championships45Trap Mixed Team2017Moscow, RUS8151Trap2017Moscow, RUS115World Cup18Trap Mixed Team2018Tucson, AZ, USA12236Trap Mixed Team2018Changwon, KOR12743Trap2018Tucson, AZ, USA10248Trap2017Larnaca, CYP11549Trap2018Changwon, KOR112Asian Championships20Trap2017Astana, KAZ108World Ranking (as of 01 Aug 2018)100Trap20181')]",['https://www.facebook.com/profile.php?id=100002096541095'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017599.html
https://en.asiangames2018.id/athletes/athlete/AHN-Euntschan-3013314/,EUNTSCHAN,AHN,KOR,Squash,01/02/1986,,Republic of Korea,32,166,"5'5""",57,126,0,0,0,"[('Beginning', 'She began the sport at age 13 through a summer sports programme. (WISPA, 11 Jun 2008)'), ('Highlights', 'RankEventYearLocationAsian Games9Singles2006Doha, QATEast Asian Games3Doubles W2009Hong Kong, CHN3Team2009Hong Kong, CHN')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013314.html
https://en.asiangames2018.id/athletes/athlete/AHN-Joonsung-3014432/,Joonsung,AHN,KOR,Judo,08/25/1997,,Republic of Korea,21,173,"5'8""",73,161,0,0,1,"[('Beginning', 'He took up the sport in grade seven of middle school. (sports.donga.com, 04 Sep 2014)'), ('Reason', 'He was encouraged to try the sport by his father. (sports.donga.com, 04 Sep 2014)'), ('Coach', 'Geum Ho-Yeon [national], KOR (judo.sports.or.kr, 29 Jan 2018, 19 May 2017)'), ('Additional Information', 'Preferred techniquesSeoi-nage, Uchi-mata (news.chosun.com, 02 Dec 2016)'), ('Influence', 'His father Ahn Byeong-Keun. (sports.donga.com, 04 Sep 2014)'), ('Relatives', 'His father Ahn Byeong-Keun was a judoka at international level. He won gold at the 1984 Olympic Games in Los Angeles and the 1986 Asian Games in Seoul, Republic of Korea. (SportsDeskOnline, 05 Aug 2018; sports.donga.com, 04 Sep 2014)'), ('Education', 'Yong In University, Republic of Korea'), ('Languages', 'Korean'), ('Highlights', 'RankEventYearLocationGrand Slam3-73 kg2017Tokyo, JPN17-73 kg2016Tokyo, JPNWorld Junior Championships17-73 kg2017Zagreb, CROIJF World Ranking (as of 01 Aug 2018)58-73 kg2018')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014432.html
https://en.asiangames2018.id/athletes/athlete/AHN-Taeeun-3013184/,TAEEUN,AHN,KOR,Karate,08/22/1990,,Republic of Korea,28,162,"5'4""",54,119,0,0,0,"[('Beginning', 'She began the sport in 2006 at Geunghwa Girls High School in Gyeongju, Republic of Korea. (kbmaeil.com, 28 Nov 2010)'), ('Reason', ""She initially took up taekwondo. When she entered high school, she became interested in karate after watching a training session. (kbmaeil.com, 28 Nov 2010; Korea University Sport Federation's Naver blog, 16 Jun 2014)""), ('Coach', 'Son Yeong-Ik [national], KOR (news.joins.com, 20 Jun 2017)'), ('Additional Information', ""GeneralNATIONAL FIRSTShe became the first female karateka from Republic of Korea to win a medal at the Asian Games, when she finished third at the 2010 Games in Guangzhou, People's Republic of China. (SportsDeskOnline, 2018; ysnews.co.kr, 21 Dec 2010) ""), ('Nickname', 'Caroline (Facebook profile, 28 May 2018)'), ('Education', 'Dongwon Institute of Science and Technology, Yangsan, KOR'), ('Languages', 'English, Korean'), ('Highlights', 'RankEventYearLocationAsian Games3-55kg2010Guangzhou, CHN7-55kg2014Incheon, KORWorld Championships7-55kg2014Bremen, GER21-55kg2010Belgrade, SRB33Team Kumite2016Linz, AUT34-55kg2016Linz, AUT35Team Kumite2014Bremen, GERKarate 1 Premier League5-55kg2016Okinawa, JPN7-55kg2015Okinawa, JPN20-55kg2018Dubai, UAE22-55kg2017Halle, GER33-61kg2017Dubai, UAE35-55kg2018Paris, FRA35-55kg2015Paris, FRA36-55kg2017Paris, FRAAsian Championships3-55kg2011Guangzhou, CHN5-55kg2015Yokohama, JPNWorld Ranking (as of 01 Aug 2018)57-55kg2018')]","['https://instagram.com/caroline__ahn/', 'https://www.facebook.com/taeeun.ahn', 'https://instagram.com/caroline__ahn/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013184.html
https://en.asiangames2018.id/athletes/athlete/AN-Baul-3014426/,Baul,AN,KOR,Judo,03/25/1994,,Republic of Korea,24,169,"5'7""",66,146,1,0,0,"[('Beginning', 'He got involved in judo in his fifth year of primary school in Anyang, Republic of Korea. (sportsq.co.kr, 29 Sep 2015)'), ('Reason', 'His uncle suggested the sport to him. (sportsq.co.kr, 29 Sep 2015)'), ('Coach', 'Seon Chan-Jong [club], KOR; Geum Ho-Yeon [national], KOR (isplus.live.joins.com, 27 Nov 2017; judo.sports.or.kr, 19 May 2017)'), ('Ambition', 'To win gold at the 2018 Asian Games in Indonesia and the 2020 Olympic Games in Tokyo. (news.joins.com, 09 Aug 2016; sportsq.co.kr, 29 Sep 2015)'), ('Awards', 'In 2016 he was presented with the Best Judoka of the Year award by the Korea Judo Association. (news1.kr, 02 Feb 2017)'), ('Additional Information', 'Preferred techniquesSeoi-nage (IJF, 17 Jul 2016)'), ('Hero', 'Korean judoka Choi Min-Ho. (sportsq.co.kr, 29 Sep 2015)'), ('Injuries', 'He injured his left elbow in the semifinals at the 2016 Olympic Games in Rio de Janeiro. (sedaily.com, 08 Aug 2016)He suffered an injury to his left shoulder three weeks before the 2016 Olympic Games. (sedaily.com, 08 Aug 2016)He sustained an injury to his left knee in 2013. (sportsq.co.kr, 29 Sep 2015)'), ('Education', 'Yong In University, Republic of Korea'), ('Languages', 'Korean'), ('Highlights', 'RankEventYearLocationOlympic Games2-66 kg2016Rio de Janeiro, BRAWorld Championships1-66 kg2015Astana, KAZ2Team2015Astana, KAZ3Team2017Budapest, HUN7-66 kg2017Budapest, HUNGrand Slam1-66 kg2018Paris, FRA1-66 kg2015Abu Dhabi, UAE3-66 kg2017Tokyo, JPN3-66 kg2016Paris, FRA7-66 kg2016Tokyo, JPN9-66 kg2015Tokyo, JPNGrand Prix1-66 kg2016Dusseldorf, GER3-66 kg2018Hohhot, CHN3-66 kg2015Dusseldorf, GERWorld Cup1-66 kg2017Rome, ITA1-66 kg2015Warsaw, POLAsian Championships1-66 kg2017Hong Kong, CHN2-66 kg2015Kuwait City, KUWWorld Junior Championships17-66 kg2014Miami, FL, USAIJF World Ranking (as of 01 Aug 2018)6-66 kg2018')]","['https://instagram.com/anbaul/', 'https://www.facebook.com/kh.batsengel', 'https://instagram.com/anbaul/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014426.html
https://en.asiangames2018.id/athletes/athlete/AN-Changrim-3014427/,Changrim,AN,KOR,Judo,03/02/1994,,Republic of Korea,24,173,"5'8""",73,161,0,1,1,"[('Beginning', 'He got involved in judo at age six in Japan. (sportsseoul.com, 07 Jan 2016)'), ('Reason', 'He was encouraged to take up the sport by his father, who owned a gym. (sportsseoul.com, 07 Jan 2016)'), ('Coach', 'Seon Chan-Jong [club], KOR; Geum Ho-Yeon [national], KOR (news.joins.com, 27 Nov 2017; judo.sports.or.kr, 19 May 2017)'), ('Ambition', 'To win gold at the 2020 Olympic Games in Tokyo. (yonhapnews.co.kr, 07 Oct 2017)'), ('Memorable', 'Winning gold at the 2013 World Cadet Championships in Miami, FL, United States of America. (Uni-Bro Global Media Center YouTube channel, 07 Jul 2015)'), ('Additional Information', 'Preferred techniquesSeoi-nage (IJF, 17 Jul 2016)GeneralBACK HOMEHe was born in Kyoto because his family had settled in Japan when his grandfather studied at university in Tokyo. He took up judo in Japan, and continued the sport at the University of Tsukuba. In 2013 he won gold medals in the individual and team events at the All Japan Student Judo Tournament, and received an offer to represent Japan in international competition from the All Japan Judo Federation. However, he wanted to compete for his homeland, so he transferred to Yong In University in 2014 and was selected in the Republic of Korea national team the same year. (sportsseoul.com, 07 Jan 2016; yonhapnews.co.kr, 06 Jul 2015; news.donga.com, 29 Dec 2014) '), ('Influence', 'Korean judoka Ahn Byung-Keun. (news.donga.com, 29 Dec 2014)'), ('Injuries', 'An injury to his ankle meant he was unable to compete at the 2016 Grand Slam in Tokyo, Japan. (yonhapnews.co.kr, 29 Nov 2016)'), ('Education', 'Yong In University, Republic of Korea'), ('Languages', 'Japanese, Korean'), ('Highlights', 'RankEventYearLocationOlympic Games9-73 kg2016Rio de Janeiro, BRAWorld Championships2Team2015Astana, KAZ3-73 kg2017Budapest, HUN3Team2017Budapest, HUN3-73 kg2015Astana, KAZ33-73 kg2014Chelyabinsk, RUSGrand Slam1-73 kg2016Paris, FRA1-73 kg2015Abu Dhabi, UAE2-73 kg2017Paris, FRA2-73 kg2015Tokyo, JPN3-73 kg2018Paris, FRAGrand Prix1-73 kg2018Hohhot, CHN1-73 kg2015Jeju, KOR2-73 kg2018Antalya, TUR3-73 kg2016Dusseldorf, GER3-73 kg2015Dusseldorf, GERWorld Cup2-73 kg2015Warsaw, POLAsian Championships1-73 kg2017Hong Kong, CHN1-73 kg2015Kuwait City, KUWWorld Junior Championships1-73 kg2014Miami, FL, USAIJF World Ranking (as of 01 Aug 2018)7-73 kg2018')]","['https://instagram.com/anchangrim73/', 'https://www.facebook.com/changrim.an', 'https://instagram.com/anchangrim73/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014427.html
https://en.asiangames2018.id/athletes/athlete/AN-Chihong-3013839/,CHIHONG,AN,KOR,Baseball,07/02/1990,,Republic of Korea,28,178,"5'10""",90,198,1,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013839.html
https://en.asiangames2018.id/athletes/athlete/AN-Hyoju-3016315/,Hyoju,An,KOR,Hockey,11/25/1987,,,30,168,"5'6""",55,121,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games1Women2014Incheon, KOROlympic Games11Women2016Rio de Janeiro, BRAWorld Cup6Women2010Rosario, ARG7Women2014The Hague, NED12Women2018London, GBRWorld League Final3Women2017Auckland, NZL8Women2015Rosario, ARGAsia Cup2Women2013Kuala Lumpur, MAS3Women2017Kakamigahara, JPN')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016315.html
https://en.asiangames2018.id/athletes/athlete/AN-Sehyeon-3016690/,SEHYEON,AN,KOR,Swimming,10/14/1995,,Republic of Korea,22,168,"5'6""",56,123,0,0,2,"[('Beginning', 'She began the sport in her first year of primary school in Ulsan, Republic of Korea. (daily.hankooki.com, 01 Jan 2016; sktinsight.com, 24 Aug 2017)'), ('Coach', 'Yoo Yun-Kyum [national], KOR; Michael Bohl [personal], AUS, from 2015 (news.chosun.com, 05 Mar 2016; news.chosun.com, 21 Jan 2018; spotvnews.co.kr, 21 Dec 2017)'), ('Ambition', 'To win multiple gold medals at the 2018 Asian Games in Indonesia. (star.mt.co.kr, 21 Mar 2018)'), ('Memorable', 'Finishing fifth and setting a national record in the 100m butterfly at the 2017 World Championships in Budapest, Hungary. (imbc.com, 06 Aug 2017)'), ('Awards', ""In 2018 she was presented with a Rookie Award at the Korea Athletics Grand Awards. (star.mt.co.kr, 21 Mar 2018)She received Best Athlete Award at the 2017 MBN Women's Sports Grand Awards in Republic of Korea. (news.mk.co.kr, 14 Dec 2017)In 2013 she was awarded the Top Athlete Award by the Korean Swimming Association. (spojoy.com, 12 Feb 2014)""), ('Additional Information', 'GeneralAMBASSADORIn September 2017 she was named as an honorary ambassador for the 2019 World Championships in Gwangju, Republic of Korea. (swimswam.com, 19 Sep 2017) '), ('Nickname', 'Goddess of the Butterfly (sktinsight.com, 24 Aug 2017)'), ('Injuries', 'She damaged a ligament in her right thumb when she touched a touch pad during training at the end of May 2016. She was sidelined for three weeks. She suffered the same injury at the 2016 Olympic Games in Rio de Janeiro. (news.hankyung.com, 22 Jul 2016; imbc.com, 06 Aug 2017)She had fluid in her shoulder while competing at the 2014 Asian Games in Incheon, Republic of Korea. (imbc.com, 06 Aug 2017)She suffered an injury to her right elbow ahead of the 2013 World Championships in Barcelona, Spain. She twice had a surgery on her elbow in 2014 and 2015. (imbc.com, 06 Aug 2017; view.asiae.co.kr, 13 Aug 2014; daily.hankooki.com, 01 Jan 2016)'), ('Education', 'Daelim University College, Anyang, KOR'), ('Languages', 'Korean'), ('Highlights', ""RankEventYearLocationResultAsian Games2Women's 4 x 100m Medley Relay2014Incheon, KOR4:04.82550m Butterfly2014Incheon, KOR26.965100m Butterfly2014Incheon, KOR59.225200m Butterfly2014Incheon, KOR2:10.14Olympic GamesSemifinal100m Butterfly2016Rio de Janeiro, BRA57.95Semifinal200m Butterfly2016Rio de Janeiro, BRA2:08.69World Championships4200m Butterfly2017Budapest, HUN2:06.675100m Butterfly2017Budapest, HUN57.07Semifinal100m Butterfly2015Kazan, RUS58.44Heats50m Butterfly2015Kazan, RUS26.90Heats200m Butterfly2013Barcelona, ESP2:13.26Heats4 x 100m Freestyle Relay2013Barcelona, ESP3:55.67Heats4 x 200m Freestyle Relay2013Barcelona, ESP8:32.98Heats100m Butterfly2011Shanghai, CHN1:00.76East Asian Games4100m Butterfly2013Tianjin, CHN59.234Women's 4 x 100m Medley Relay2013Tianjin, CHN4:06.577200m Butterfly2013Tianjin, CHN2:17.49Mare Nostrum2100m Butterfly2017Canet-en-Roussillon, FRA57.284100m Butterfly2017Barcelona, ESP58.094200m Butterfly2017Barcelona, ESP2:08.897200m Butterfly2017Canet-en-Roussillon, FRA2:11.382050m Butterfly2017Canet-en-Roussillon, FRA26.96"")]","['https://instagram.com/sehyeon2', 'https://www.facebook.com/profile.php?id=100003096451413', 'https://instagram.com/sehyeon2']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016690.html
https://en.asiangames2018.id/athletes/athlete/AN-Seonjin-3028164/,SEONJIN,AN,KOR,Cycling Track,03/01/1993,,Republic of Korea,25,165,"5'5""",56,123,0,0,0,"[('Coach', 'Um In-Young [national], KOR; Jang Sun-Hee [national], KOR (cycling.or.kr, 04 Jul 2018)'), ('Nickname', 'Amanda (Instagram profile, 19 Aug 2018; Facebook profile, 10 May 2018)'), ('Languages', 'Korean')]","['https://instagram.com/anseonjin93/', 'https://www.facebook.com/seonjin.an.3', 'https://instagram.com/anseonjin93/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3028164.html
