url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDULMOTAALY-Abdulmotaaly-3030466/,ABDULMOTAALY,ABDULMOTAALY,KSA,Paragliding,04/02/1984,,Kingdom of Saudi Arabia,34,170,"5'7""",72,159,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3030466.html
https://en.asiangames2018.id/athletes/athlete/ABU-ALRAHI-Muneer-3010888/,Muneer,Abu Alrahi,KSA,Handball,03/25/1990,,,28,168,"5'6""",64,141,0,0,0,"[('Beginning', 'He began playing at the Mudhar Club in Saudi Arabia. (Athlete, 26 Aug 2018)'), ('Reason', '""All my family play handball."" (Athlete, 26 Aug 2018)'), ('Coach', 'Mariano Ortega [national] (AG Entries, 22 Aug 2018)'), ('Languages', 'Arabic'), ('Hobbies', 'Shooting and horse riding. (Athlete, 26 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Championship20Men2017FranceAsian Championship4Men2016Bahrain')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010888.html
https://en.asiangames2018.id/athletes/athlete/ABU-HARBESH-Rana-3015433/,RANA,ABU HARBESH,KSA,Badminton,10/07/1995,,Kingdom of Saudi Arabia,22,159,"5'3""",59,130,0,0,0,"[('Beginning', 'She took up the sport in 2014 at Princess Nourah Bint Abdulrahman University in Riyadh, Saudi Arabia. (Athlete, 22 Aug 2018)'), ('Debut', '2018 for Saudi Arabia (Athlete, 22 Aug 2018)'), ('Memorable', 'Competing at the 2018 Asian Games in Indonesia. (Athlete, 22 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015433.html
https://en.asiangames2018.id/athletes/athlete/ABULJADAYEL-Yara-Ahmed-3023827/,Yara Ahmed,Abuljadayel,KSA,Athletics,09/29/1998,,Kingdom of Saudi Arabia,19,164,"5'5""",55,121,0,0,0,"[('Beginning', 'She took up the sport at age 15. (Athlete, 19 Aug 2018)'), ('Coach', 'Tolbert Kebba, USA (Athlete, 19 Aug 2018)'), ('Ambition', 'To compete at the Olympic Games. (Athlete, 19 Aug 2018)'), ('Education', 'Economics, Politics - Northeastern University, Boston, MA, USA'), ('Languages', 'Arabic, English, French')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3023827.html
https://en.asiangames2018.id/athletes/athlete/AHMAD-Saud-3014601/,SAUD,AHMAD,KSA,JetSki,10/30/1984,JEDDAH,Kingdom of Saudi Arabia,33,166,"5'5""",70,154,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014601.html
https://en.asiangames2018.id/athletes/athlete/AKBAR-Yousef-Mohammedali-H-3009783/,YOUSEF MOHAMMEDALI H,AKBAR,KSA,Bowling,08/08/1985,RIYADH,Kingdom of Saudi Arabia,33,170,"5'7""",80,176,0,0,0,"[('Coach', 'Rick Benoit [national], USA (2017wc.worldbowling.org, 24 Nov 2017)'), ('Education', 'Fashion Design, Logistics - Fashion Design Studio, Sydney, NSW, AUS'), ('Languages', 'Arabic, English'), ('Highlights', 'RankEventYearLocationResultAsian Games3Team of Five2006Doha, QAT634914Doubles2006Doha, QAT264925Trios2006Doha, QAT358266All Events2006Doha, QAT487681Singles2006Doha, QAT1158World Championships11Trios2006Busan, KOR381315Singles2006Busan, KOR134521Team of Five2006Busan, KOR595227Team of Five2017Las Vegas, NV, USA38Doubles2017Las Vegas, NV, USA48Trios2017Las Vegas, NV, USA69Doubles2006Busan, KOR243475All Events2006Busan, KOR495581Singles2017Las Vegas, NV, USA86All Events2017Las Vegas, NV, USA')]","['https://twitter.com/yousef_akbar', 'https://www.facebook.com/mr.yousef.akbar', 'https://www.yousefakbar.com/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009783.html
https://en.asiangames2018.id/athletes/athlete/AL-DUHAYLIB-Mohsen-Hussain-A-3015993/,MOHSEN HUSSAIN A,AL DUHAYLIB,KSA,Weightlifting,05/01/1994,Dammam,Kingdom of Saudi Arabia,24,171,"5'7""",69,152,0,0,0,"[('Beginning', 'He began weightlifting in Al Qatif, Saudi Arabia, in 2002 (Athlete, 29 Jul 2016)'), ('Reason', 'He began the sport because his older brother was a weightlifter. (Athlete, 29 Jul 2016)'), ('Coach', 'Hussein El Selim [national], KSA (sabq.org, 23 Feb 2017)'), ('Memorable', 'Finishing second at the Asian championships. (Athlete, 29 Jul 2016)'), ('Awards', 'He was named the Best Weightlifter at the 2012 Arab Championships in Morocco. (alriyadh.com, 22 Jun 2016)'), ('Languages', 'Arabic'), ('Highlights', 'RankEventYearLocationResultAsian Games1269kg2014Incheon, KOR277Olympic Games1669kg2016Rio de Janeiro, BRA297World Championships1269kg2017Anaheim, CA, USA2951269kg - Snatch2017Anaheim, CA, USA1351469kg - Clean & Jerk2017Anaheim, CA, USA1602269kg2015Houston, TX, USA3052269kg - Clean & Jerk2015Houston, TX, USA1692669kg - Snatch2015Houston, TX, USA1363169kg - Snatch2014Almaty, KAZ126NoM69kg2014Almaty, KAZNoMNoM69kg - Clean & Jerk2014Almaty, KAZNoMAsian Championships869kg2016Tashkent, UZB301969kg - Snatch2016Tashkent, UZB1361069kg - Clean & Jerk2016Tashkent, UZB165Asian Indoor and Martial Arts Games569kg2017Ashgabat, TKM299')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015993.html
https://en.asiangames2018.id/athletes/athlete/AL-HABASHI-Nawaf-Abdullah-9953694/,Nawaf Abdullah,Al Habashi,KSA,Football,06/23/1998,,,20,,,,,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_9953694.html
https://en.asiangames2018.id/athletes/athlete/AL-HABIB-Hassan-3010970/,HASSAN,AL HABIB,KSA,Handball,09/07/1993,Dammam,Kingdom of Saudi Arabia,25,190,"6'3""",101,223,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010970.html
https://en.asiangames2018.id/athletes/athlete/AL-HIZAM-Hussain-Asim-3013247/,Hussain Asim,Al Hizam,KSA,Athletics,01/04/1998,,Kingdom of Saudi Arabia,20,,,78,172,0,0,0,"[('Beginning', 'He took up athletics at age eight in Saudi Arabia, and began to focus on pole vault in 2012. (kansan.com, 18 Apr 2017)'), ('Reason', 'His father introduced him to the sport. ""I found it to be something unique that not a lot of people can do. Some people might get mad at me when I say \'everyone could run or long jump,\' but not a lot of people can pole vault."" (kansan.com, 18 Apr 2017)'), ('Coach', 'Tom Hays [club], USA (kansan.com, 18 Apr 2017)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (kansan.com, 18 Apr 2017)'), ('Influence', 'His father Asim. (alriyadh.com, 16 Jun 2012; arriyahiyah.com, 27 Jul 2014)'), ('Injuries', 'He fractured his spine during a training session in 2014 after missing the pit on his jump. He spent a year rehabilitating in Los Angeles, CA, United States of America. (kansan.com, 18 Apr 2017)'), ('Education', 'Finance - University of Kansas, Lawrence, KS, USA'), ('Languages', 'Arabic, English'), ('Highlights', 'RankEventYearLocationResultAsian Games9Pole Vault2014Incheon, KOR4.95Asian Championships7Pole Vault2017Bhubaneswar, IND5.20Youth Olympic Games4Pole Vault2014Nanjing, CHN4.85World Junior ChampionshipsQualificationPole Vault2016Bydgoszcz, POL5.10World Youth Championships11Pole Vault2015Cali, COLNM')]","['https://twitter.com/Hussain_pv_', 'https://www.facebook.com/hussain.alhizam']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013247.html
