url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AKKHASITH-Viengxay-3012169/,VIENGXAY,AKKHASITH,LAO,Boxing,09/19/1999,Vientiane Capital,Lao People's Democratic Republic,19,167,"5'6""",52,115,0,0,0,"[('Beginning', ""He began boxing in 2015 in Vientiane, Lao People's Democratic Republic. (Athlete, 27 Aug 2018)""), ('Coach', 'Souksavane Sengthavisouk, LAO (Athlete, 27 Aug 2018)'), ('Hero', 'Filipino boxer Manny Pacquiao. (Athlete, 27 Aug 2018)'), ('Education', 'Parpasack College, Vientiane, LAO'), ('Languages', 'Lao'), ('Hobbies', 'Watching television. (Athlete, 27 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012169.html
https://en.asiangames2018.id/athletes/athlete/ALIYA-Maniphone-3012174/,MANIPHONE,ALIYA,LAO,Soft Tennis,10/10/1974,Vientiane Capital,Lao People's Democratic Republic,43,155,"5'1""",53,117,0,0,0,"[('Highlights', ""RankEventYearLocationAsian Championships17Singles2016Chiba, JPN17Mixed Doubles2016Chiba, JPN17Women's Doubles2016Chiba, JPN"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012174.html
https://en.asiangames2018.id/athletes/athlete/BANNAVONG-Kingphet-3015226/,KINGPHET,BANNAVONG,LAO,Paragliding,08/08/1978,VIENTIANE,Lao People's Democratic Republic,40,170,"5'7""",75,165,0,0,0,"[('Languages', 'Lao'), ('Highlights', 'RankEventYearLocationResultAsian-Oceanic Accuracy Championships50Individual Accuracy2018Sara Buri, THA3388')]",['https://www.facebook.com/phet.nanavong'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015226.html
https://en.asiangames2018.id/athletes/athlete/BANXAVANG-Chiep-3010828/,CHIEP,BANXAVANG,LAO,Sepaktakraw,04/07/1997,Khammouane Province,Lao People's Democratic Republic,21,160,"5'3""",53,117,0,0,1,"[('Beginning', 'She took up the sport at age 15 at school. (Athlete, 28 Aug 2018)'), ('Coach', 'Chanday Phiathep (Athlete, 28 Aug 2018)'), ('Memorable', 'Winning a gold medal in beach sepaktakraw at the 2014 Asian Beach Games in Phuket, Thailand. (Athlete, 28 Aug 2018)'), ('Hero', 'Portuguese footballer Cristiano Ronaldo. (Athlete, 28 Aug 2018)'), ('Influence', 'Her mother. (Athlete, 28 Aug 2018)'), ('Education', 'National University of Laos, Vientiane, LAO'), ('Languages', 'Lao, Thai'), ('Highlights', 'RankEventYearLocationSouth East Asian Games3Quadrant2017Kuala Lumpur, MAS5Doubles2017Kuala Lumpur, MAS5Regu2015Singapore, SIN')]",['https://www.facebook.com/banxavang.chiep'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010828.html
https://en.asiangames2018.id/athletes/athlete/BOTSAVANG-O-Khe-3005403/,O KHE,BOTSAVANG,LAO,Pencak Silat,09/18/1990,Vientiane Capital,Lao People's Democratic Republic,28,165,"5'5""",70,154,0,0,0,"[('Beginning', 'He took up the sport in 2009. (Athlete, 27 Aug 2018)'), ('Coach', 'Olanh Sihalath, LAO (Athlete, 27 Aug 2018)'), ('Education', 'National University of Laos, Vientiane, LAO'), ('Languages', 'Lao, Thai'), ('Hobbies', 'Sport, tourism. (Athlete, 27 Aug 2018)'), ('Highlights', 'RankEventYearLocationSouth East Asian Games2Class A: 45kg to 50kg2009Vientiane, LAO')]",['https://www.facebook.com/okhe.bsv'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005403.html
https://en.asiangames2018.id/athletes/athlete/BOUNKONG-Bounphachan-3010508/,Bounphachan,Bounkong,LAO,Football,11/29/2000,,,17,170,"5'7""",55,121,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010508.html
https://en.asiangames2018.id/athletes/athlete/BOUNMALAY-Tiny-3010638/,Tiny,Bounmalay,LAO,Football,06/06/1993,,,25,172,"5'8""",62,137,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games17Olympic2014Incheon, KORSouth East Asian Games5Olympic2015Singapore, SGP')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010638.html
https://en.asiangames2018.id/athletes/athlete/BOUNNAVONG-Vanxay-3005400/,VANXAY,BOUNNAVONG,LAO,Pencak Silat,04/18/1998,Vientiane Capital,Lao People's Democratic Republic,20,165,"5'5""",57,126,0,0,0,"[('Beginning', ""He took up the sport in 2015 in Vientiane, Lao People's Democratic Republic. (Athlete, 27 Aug 2018)""), ('Coach', 'Sy Abd Abdul Rahman, INA (Athlete, 27 Aug 2018)'), ('Languages', 'Lao, Thai')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005400.html
https://en.asiangames2018.id/athletes/athlete/BOUNPASEUTH-Phitthasanh-3011404/,PHITTHASANH,BOUNPASEUTH,LAO,Sepaktakraw,03/25/1998,Vientiane Capital,Lao People's Democratic Republic,20,170,"5'7""",62,137,0,1,0,"[('Beginning', 'He took up the sport at age nine at primary school. (Athlete, 28 Aug 2018)'), ('Memorable', 'Winning a silver medal in chinlone at the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (Athlete, 28 Aug 2018)'), ('Influence', 'His father. (Athlete, 28 Aug 2018)'), ('Languages', 'Lao')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011404.html
https://en.asiangames2018.id/athletes/athlete/BOUNPHAIVANH-Laksanaxay-3011406/,LAKSANAXAY,BOUNPHAIVANH,LAO,Sepaktakraw,10/10/1994,Vientiane Capital,Lao People's Democratic Republic,23,163,"5'4""",55,121,0,1,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011406.html
