url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/A-MALIK-Nur-Syazreen-3004574/,NUR SYAZREEN,A MALIK,MAS,Pencak Silat,05/28/1988,AMPANG,Malaysia,30,157,"5'2""",45,99,0,0,1,"[('Memorable', 'Winning gold in the ganda event at the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (thestar.com.my, 26 Aug 2017)'), ('Highlights', 'RankEventYearLocationWorld Championships2Double2016Denpasar, INASouth East Asian Games1Double2017Kuala Lumpur, MAS1Double2013Naypyidaw, MYA')]",['https://www.facebook.com/syaz.reen.12'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004574.html
https://en.asiangames2018.id/athletes/athlete/ABD-RAHIM-Muhammad-Razie-3004426/,Muhammad Razie,Abd Rahim,MAS,Hockey,08/25/1987,,,31,173,"5'8""",60,132,0,1,0,"[('Highlights', 'RankEventYearLocationAsian Games2Men2010Guangzhou, CHN4Men2014Incheon, KOR6Men2006Doha, QATWorld Cup12Men2014The Hague, NEDAsia Cup2Men2017Dhaka, BAN4Men2013Ipoh, MASSouth East Asian Games1Men2017Kuala Lumpur, MAS1Men2015Singapore, SIN1Men2007Nakhon Ratchasima, THA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004426.html
https://en.asiangames2018.id/athletes/athlete/ABD-RAHMAN-Mohammad-Hairi-3004469/,Mohammad Hairi,Abd Rahman,MAS,Hockey,01/19/1990,,,28,177,"5'10""",70,154,0,1,0,"[('Highlights', 'RankEventYearLocationSouth East Asian Games1Men2013Yangon, MYA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004469.html
https://en.asiangames2018.id/athletes/athlete/ABD-RAHMAN-Nurshahira-3023055/,Nurshahira,Abd Rahman,MAS,Handball,12/24/1991,,,26,170,"5'7""",63,139,0,0,0,"[('Coach', 'Syihabuddin Ismail [national] (AG Entries, 20 Aug 2018)'), ('Languages', 'Malay')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3023055.html
https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhamad-Norhaffizi-3009903/,MUHAMAD NORHAFFIZI,ABD RAZAK,MAS,Sepaktakraw,01/01/1993,JOHOR,Malaysia,25,179,"5'10""",80,176,1,1,0,"[('Coach', 'Abdul Talib Ahmad [national]; Ahmad Sufian Nafiah [national]; Najib Iman [national] (thesportivo.com, 06 Dec 2017)'), ('Relatives', ""His younger brother Norfaizzul Abd Razak has played in Malaysia's Sepak Takraw League [STL]. (utusan.com.my, 22 Nov 2016)""), ('Highlights', 'RankEventYearLocationSouth East Asian Games3Team Regu2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009903.html
https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhammad-Zulkifli-3009873/,MUHAMMAD ZULKIFLI,ABD RAZAK,MAS,Sepaktakraw,06/18/1993,TERENGGANU,Malaysia,25,180,"5'11""",75,165,1,1,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009873.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-AZIH-Muhamad-Nor-Azam-3005474/,Muhamad Nor Azam,Abdul Azih,MAS,Football,01/03/1995,,,23,165,"5'5""",60,132,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005474.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-AZIZ-Ahmad-Syukri-3006117/,Ahmad Syukri,Abdul Aziz,MAS,Sailing,02/14/1996,SELANGOR,Malaysia,22,172,"5'8""",55,121,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games14202014Incheon, KORISAF World Championships134702018Aarhus, DENClass World Championships344702017Thessaloniki, GREWorld Cup284702017Hyeres, FRAAsian Championships14202014Incheon, KOR34202012Langkawi, MAS64702018Jakarta, INASouth East Asian Games14702017Kuala Lumpur, MAS14202013Naypyidaw, MYA3Optimist2011IndonesiaClass World Championships Juniors234702016Kiel, GER')]",['https://www.facebook.com/abdulaziz.ahmad.37'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006117.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-HADI-Farah-Ann-3005391/,Farah Ann,Abdul Hadi,MAS,Artistic Gymnastics,05/03/1994,SELANGOR,Malaysia,24,165,"5'5""",52,115,0,0,0,"[('Beginning', 'She first tried gymnastics at age three. (Athlete, 13 Aug 2018)'), ('Reason', '""I was an active child and my parents decided sports was a great avenue for me to pursue."" (Athlete, 13 Aug 2018)'), ('Debut', '2010 for Malaysia, Pacific Rim Championships in Melbourne, Australia (Athlete, 13 Aug 2018)'), ('Coach', 'Nataliya Sinkova [national], UKR (Athlete, 13 Aug 2018)'), ('Training', 'A typical day involves a morning gym session and an afternoon gymnastics session. (thesundaily.my, 11 Apr 2018)'), ('Ambition', 'To compete at the Olympic Games. (Athlete, 13 Aug 2018)'), ('Memorable', 'Winning two gold medals at the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (Athlete, 13 Aug 2018)'), ('Awards', ""She received the United Malays National Organisation's 2015 Icon Award for sports during a ceremony at the UMNO General Assembly in December 2015. (intlgymnast.com, 20 Dec 2015)""), ('Hero', 'US gymnast Nastia Liukin. (Athlete, 13 Aug 2018)'), ('Influence', 'Her family, and her coach. (Athlete, 13 Aug 2018)'), ('Relatives', 'Her sister Katrina has represented Malaysia in artistic swimming. She won two gold medals at the 2011 South East Asian Games in Indonesia. (SportsDeskOnline, 19 May 2015; thestar.com.my, 30 Sep 2010)'), ('Injuries', 'A torn ankle ligament in 2016 ruled her out of action for two months. (Athlete, 13 Aug 2018)A shoulder ligament tear in 2014 took her three months to recover from. (Athlete, 13 Aug 2018)She fractured her back in 2010 and her recovery period was six months. (Athlete, 13 Aug 2018)In 2005 she suffered a knee fracture and calf muscle tear that took her four months to recover from. (Athlete, 13 Aug 2018)'), ('Education', 'Humanities, Social and Behavioral Science - Monash University, Subang Jaya, MAS'), ('Languages', 'English, Malay'), ('Hobbies', 'Reading, scuba diving. (Athlete, 13 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian Games7Floor Exercise2014Incheon, KOR13.2667Individual All-Around2014Incheon, KOR51.75013Balance Beam2014Incheon, KOR13.00013Vault2014Incheon, KOR13.10028Uneven Bars2014Incheon, KOR10.450World Championships66Floor Exercise2014Nanning, CHN12.96669Individual All-Around2015Glasgow, GBR51.96586Floor Exercise2015Glasgow, GBR13.033100Uneven Bars2015Glasgow, GBR12.566102Individual All-Around2014Nanning, CHN49.132103Balance Beam2015Glasgow, GBR12.500113Balance Beam2014Nanning, CHN12.300149Individual All-Around2011Tokyo, JPN43.074158Balance Beam2011Tokyo, JPN11.300160Floor Exercise2011Tokyo, JPN11.533168Uneven Bars2014Nanning, CHN10.633188Uneven Bars2011Tokyo, JPN7.675World Cup2Uneven Bars2016Ljubljana, SLO13.1005Balance Beam2017/2018Melbourne, VIC, AUS11.1005Floor Exercise2016Ljubljana, SLO12.8506Floor Exercise2017/2018Melbourne, VIC, AUS11.9006Balance Beam2016Ljubljana, SLO12.6507Uneven Bars2017/2018Melbourne, VIC, AUS11.2339Floor Exercise2016Doha, QAT13.3509Floor Exercise2015Doha, QAT12.90010Vault2017/2018Melbourne, VIC, AUS12.18315Uneven Bars2015Doha, QAT10.95015Vault2015Doha, QAT13.05019Uneven Bars2016Doha, QAT12.20021Uneven Bars2016Anadia, POR11.85024Balance Beam2016Doha, QAT12.10025Floor Exercise2016Anadia, POR11.80026Balance Beam2015Doha, QAT10.200Asian Championships4Team2017Bangkok, THA142.7504Team2015Hiroshima, JPN196.6006Floor Exercise2015Hiroshima, JPN13.1508Individual All-Around2015Hiroshima, JPN51.35011Uneven Bars2015Hiroshima, JPN11.95012Individual All-Around2017Bangkok, THA47.50012Balance Beam2015Hiroshima, JPN12.60013Uneven Bars2017Bangkok, THA11.85020Balance Beam2017Bangkok, THA11.35026Vault2015Hiroshima, JPN13.55030Floor Exercise2017Bangkok, THA11.050South East Asian Games1Floor Exercise2017Kuala Lumpur, MAS13.4501Team2017Kuala Lumpur, MAS200.9501Floor Exercise2015Singapore, SIN13.7331Team2015Singapore, SIN206.2002Individual All-Around2015Singapore, SIN51.8502Uneven Bars2011Indonesia12.3753Balance Beam2015Singapore, SIN13.3003Uneven Bars2015Singapore, SIN12.2003Vault2015Singapore, SIN13.3165Uneven Bars2017Kuala Lumpur, MAS11.8505Floor Exercise2011Indonesia12.1505Individual All-Around2011Indonesia47.53410Balance Beam2017Kuala Lumpur, MAS11.80013Vault2017Kuala Lumpur, MAS6.725Commonwealth Games6Team2018Gold Coast, QLD, AUS137.85012Individual All-Around2018Gold Coast, QLD, AUS46.87513Uneven Bars2018Gold Coast, QLD, AUS12.55018Floor Exercise2018Gold Coast, QLD, AUS11.80026Balance Beam2018Gold Coast, QLD, AUS10.400World Ranking List (as of 14 Apr 2018)31Balance Beam2017/20181635Floor Exercise2017/20181435Uneven Bars2017/20181248Vault2017/20187')]","['https://twitter.com/farahannhadi?lang=en', 'https://instagram.com/farahann94', 'https://www.facebook.com/farah.gym', 'https://instagram.com/farahann94']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005391.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-HALIL-Nur-Afisa-3007566/,NUR AFISA,ABDUL HALIL,MAS,Archery,09/30/1998,NEGERI SEMBILAN,Malaysia,19,156,"5'1""",47,104,0,0,0,"[('Beginning', 'She took up archery in 2012. (worldarchery.org, 22 Oct 2017)'), ('Debut', '2013 for Malaysia (worldarchery.org, 22 Oct 2017)'), ('Coach', 'Lee Jae-Hyung [national], KOR (thestar.com.my, 17 Nov 2017)'), ('Highlights', ""RankEventYearLocationWorld Championships19Recurve Women's Team2017Mexico City, MEX38Recurve Women's Team2015Copenhagen, DEN41Recurve Mixed Team2015Copenhagen, DEN57Recurve Individual2017Mexico City, MEX57Recurve Individual2015Copenhagen, DENWorld Cup23Recurve Mixed Team2016Shanghai, CHN33Recurve Individual2017Shanghai, CHN33Recurve Individual2016Shanghai, CHN57Recurve Individual2018Shanghai, CHN57Recurve Individual2015Shanghai, CHNSouth East Asian Games1Recurve Women's Team2017Kuala Lumpur, MAS3Recurve Women's Team2015Singapore5Recurve Individual2017Kuala Lumpur, MAS9Recurve Individual2015SingaporeWorld Ranking (as of 01 Aug 2018)169Recurve Individual2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007566.html
