url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDUL-LATHEEF-Zakariyya-3005033/,Zakariyya,Abdul Latheef,MDV,Basketball,08/22/1991,,,27,176,"5'9""",75,165,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005033.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-MATHEEN-Azina-3021189/,Azina,Abdul Matheen,MDV,Football,09/10/1991,,,27,154,"5'1""",49,108,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021189.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHEED-Ismail-3024687/,ISMAIL,ABDUL RASHEED,MDV,Athletics,01/31/1995,,Maldives,23,165,"5'5""",62,137,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024687.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHEED-Zeina-3004539/,ZEINA,ABDUL RASHEED,MDV,Tennis,11/07/1986,,Maldives,31,156,"5'1""",47,104,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004539.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Aishath-3021182/,Aishath,Abdul Razzaq,MDV,Football,10/20/1980,,,37,158,"5'2""",60,132,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021182.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Aminath-Nabeeha-3005203/,AMINATH NABEEHA,ABDUL RAZZAQ,MDV,Badminton,06/13/1999,,Maldives,19,154,"5'1""",50,110,0,0,0,"[('Awards', 'In 2017 she was named the Most Promising Individual Sports Player by Maldivian news website Mihaaru. (edition.mv, 05 May 2018)'), ('Relatives', ""Her twin sister Fathimath Abdul Razzaq has also represented Maldives in badminton, and the pair competed together in doubles at the 2018 Asian Championships in Wuhan, People's Republic of China. (timesofindia.indiatimes.com, 10 Jun 2018; SportsDeskOnline, 19 Jul 2018)""), ('Nickname', 'Naby (Facebook profile, 07 Jun 2018)'), ('Languages', 'Dhivehi'), ('Highlights', ""RankEventYearLocationAsian GamesLast 16Team2014Incheon, KORLast 32Women's Doubles2014Incheon, KORAsian ChampionshipsLast 32Women's Doubles2018Wuhan, CHNWorld Ranking (as of 02 Aug 2018)176Women's Doubles2018"")]",['https://www.facebook.com/NabyAbdulRazzaq'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005203.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Fathimath-Nabaaha-3005204/,FATHIMATH NABAAHA,ABDUL RAZZAQ,MDV,Badminton,06/13/1999,,Maldives,19,154,"5'1""",50,110,0,0,0,"[('Awards', 'She was named the 2017 Best Individual Sports Player by Maldivian news website Mihaaru. (edition.mv, 05 May 2018)'), ('Relatives', ""Her twin sister Aminath Abdul Razzaq has also represented Maldives in badminton, and the pair competed together in doubles at the 2018 Asian Championships in Wuhan, People's Republic of China. (timesofindia.indiatimes.com, 10 Jun 2018; SportsDeskOnline, 19 Jul 2018)""), ('Nickname', 'Naba (Facebook profile, 03 Jun 2018)'), ('Languages', 'English'), ('Highlights', ""RankEventYearLocationAsian ChampionshipsLast 32Women's Doubles2018Wuhan, CHNLast 32Mixed Doubles2018Wuhan, CHNWorld Ranking (as of 02 Aug 2018)176Women's Doubles2018225Mixed Doubles2018259Singles2018"")]",['https://www.facebook.com/fathmathnabaaa'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005204.html
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Ali-Shamal-3011433/,Ali Shamal,Abdulla,MDV,Football,03/21/1999,,,19,157,"5'2""",59,130,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011433.html
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Azzam-3011423/,Azzam,Abdulla,MDV,Football,03/16/1999,,,19,158,"5'2""",62,137,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011423.html
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Faaih-Fazeel-3004526/,FAAIH FAZEEL,ABDULLA,MDV,Tennis,07/19/1996,,Maldives,22,178,"5'10""",60,132,0,0,0,"[('Beginning', 'He began playing tennis in 2005 in Maldives. (Athlete, 15 Aug 2018)'), ('Reason', 'He saw other people playing and became interested in the sport. (Athlete, 15 Aug 2018)'), ('Coach', 'Adhikari Kumar [national], NEP (Athlete, 15 Aug 2018)'), ('Awards', 'He was flag bearer for Maldives at the 2017 Islamic Solidarity Games in Baku, Azerbaijan. (Athlete, 15 Aug 2018)'), ('Hero', 'Swiss tennis player Roger Federer, Spanish tennis player Rafael Nadal, Serbian tennis player Novak Djokovic, British tennis player Andy Murray. (Athlete, 15 Aug 2018)'), ('Languages', 'Dhivehi, English'), ('Hobbies', 'Drawing. (Athlete, 15 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004526.html
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Mohamed-3023131/,MOHAMED,ABDULLA,MDV,Shooting,04/14/1977,,Maldives,41,165,"5'5""",70,154,0,0,0,"[('Highlights', 'RankEventYearLocationResultAsian Games1450m Rifle Prone Team2006Doha, QAT1651')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3023131.html
https://en.asiangames2018.id/athletes/athlete/ABDULLA-ZUBAIR-ABDUL-BAAIS-9957206/,ABDUL BAAIS,ABDULLA ZUBAIR,MDV,Rowing,10/02/1997,,,20,,,,,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_9957206.html
https://en.asiangames2018.id/athletes/athlete/ADAM-Asfag-3017228/,Asfag,Adam,MDV,Beach Volleyball,10/04/1987,,,30,159,"5'3""",69,152,0,0,0,"[('Highlights', 'BEACH VOLLEYBALLRankEventYearLocationAsian Championships17Men2017Songkhla, THAVOLLEYBALLRankEventYearLocationAsian Games16Men2014Incheon, KOR17Men2006Doha, QAT')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017228.html
https://en.asiangames2018.id/athletes/athlete/ADAM-Fairooz-3107655/,FAIROOZ,ADAM,MDV,Volleyball,11/26/1994,,Maldives,23,159,"5'3""",60,132,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3107655.html
https://en.asiangames2018.id/athletes/athlete/ADAM-Isham-3011509/,Isham,Adam,MDV,Football,10/25/1995,,,22,156,"5'1""",55,121,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011509.html
https://en.asiangames2018.id/athletes/athlete/ADAM-Naseem-3021758/,Naseem,Adam,MDV,Volleyball,05/01/1992,,,26,170,"5'7""",70,154,0,0,0,"[('Beginning', 'He began playing volleyball at school in Male, Maldives. (Athlete, 19 Aug 2018)'), ('Debut', '2015 for Maldives (Athlete, 19 Aug 2018)'), ('Coach', 'Mohamed Sajid [national], MDV (Athlete, 19 Aug 2018)'), ('Hero', 'Portuguese footballer Cristiano Ronaldo. (Athlete, 19 Aug 2018)'), ('Influence', 'Maldivian volleyball player Ahmed Abdul Kareem. (Athlete, 19 Aug 2018)'), ('Languages', 'Dhivehi, English')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021758.html
https://en.asiangames2018.id/athletes/athlete/ADAM-Shaufa-3023217/,SHAUFA,ADAM,MDV,Volleyball,06/02/1994,,Maldives,24,156,"5'1""",49,108,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3023217.html
https://en.asiangames2018.id/athletes/athlete/AFA-Ismail-3024696/,ISMAIL,AFA,MDV,Athletics,11/01/1993,,Maldives,24,160,"5'3""",59,130,0,0,0,"[('Beginning', 'She first took up sprinting at the start of 2010 in Male, Maldives. (Athlete, 01 Aug 2016)'), ('Debut', '2011 for Maldives (Athlete, 01 Aug 2016)'), ('Coach', 'Ahmed Faail, MDV (Athlete, 01 Aug 2016)'), ('Memorable', 'Competing at the 2012 Olympic Games in London. (Athlete, 01 Aug 2016)'), ('Awards', 'She was flag bearer for Maldives at the closing ceremony of the 2016 Olympic Games in Rio de Janeiro. (olympic.org, 21 Aug 2016)'), ('Hero', 'British heptathlete Jessica Ennis-Hill, US sprinter Allyson Felix. (Athlete, 01 Aug 2016)'), ('Influence', 'Her parents. (Athlete, 01 Aug 2016)'), ('Injuries', 'In 2015 she sustained an injury to her backbone. (Athlete, 01 Aug 2016)'), ('Languages', 'Dhivehi, English'), ('Highlights', 'RankEventYearLocationResultOlympic GamesPreliminary round100m2012London, GBR12.52Round 1200m2016Rio de Janeiro, BRA24.96World ChampionshipsHeats200m2013Moscow, RUS26.16Heats200m2011Daegu, KOR26.48Asian ChampionshipsSemifinal100m2017Bhubaneswar, IND12.79Heats200m2017Bhubaneswar, IND26.38Heats100m2015Wuhan, CHN12.96Heats200m2015Wuhan, CHN26.27Heats100m2013Pune, IND13.06Heats200m2013Pune, IND26.51')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024696.html
