url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ARKAR-MOE-Naw-3003261/,NAW,ARKAR MOE,MYA,Canoe/Kayak Sprint,10/21/1986,,,31,,,,,0,0,0,"[('Coach', 'Win Pe [national] (myanmarinternationaltv.com, 09 May 2018)'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games1500m Small Racing Boat2007Nakhon Ratchasima, THA2500m Small Racing Boat2015Singapore, SIN2:35.7842200m Mini Racing Boat2015Singapore, SIN1:07.0923200m Small Racing Boat2015Singapore, SIN1:00.798')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003261.html
https://en.asiangames2018.id/athletes/athlete/ARKAR-MOE-Naw-3003261/,NAW,ARKAR MOE,MYA,Canoe/Kayak Sprint,10/21/1986,,,31,,,,,0,0,0,"[('Coach', 'Win Pe [national] (myanmarinternationaltv.com, 09 May 2018)'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games1500m Small Racing Boat2007Nakhon Ratchasima, THA2500m Small Racing Boat2015Singapore, SIN2:35.7842200m Mini Racing Boat2015Singapore, SIN1:07.0923200m Small Racing Boat2015Singapore, SIN1:00.798')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003261.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Htike-Htike-3002674/,Htike Htike,Aung,MYA,Football,02/01/1995,,,23,172,"5'8""",60,132,0,0,0,"[('Highlights', 'RankEventYearLocationFIFA U-20 World Cup23U202015New ZealandSouth East Asian Games4Olympic2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002674.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Lwin-Moe-3002739/,Lwin Moe,Aung,MYA,Football,12/10/1999,,,18,172,"5'8""",58,128,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002739.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Nay-Lin-3005411/,Nay Lin,Aung,MYA,Volleyball,06/09/1993,,,25,178,"5'10""",66,146,0,0,0,"[('Highlights', 'RankEventYearLocationSouth East Asian Games3Men2015Singapore4Men2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005411.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Sai-Min-3003142/,SAI MIN,AUNG,MYA,Canoe/Kayak Sprint,06/11/1989,,,29,,,,,0,0,0,"[('Coach', 'Win Pe [national] (myanmarinternationaltv.com, 09 May 2018)'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games3200m Small Racing Boat2015Singapore, SIN53.746')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003142.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Sai-Min-3003142/,SAI MIN,AUNG,MYA,Canoe/Kayak Sprint,06/11/1989,,,29,,,,,0,0,0,"[('Coach', 'Win Pe [national] (myanmarinternationaltv.com, 09 May 2018)'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games3200m Small Racing Boat2015Singapore, SIN53.746')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003142.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Saw-Moe-3003136/,SAW MOE,AUNG,MYA,Canoe/Kayak Sprint,02/19/1991,,,27,,,,,0,0,0,"[('Coach', 'Win Pe [national] (myanmarinternationaltv.com, 09 May 2018)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia. (myanmarinternationaltv.com, 09 May 2018)'), ('Languages', 'Burmese'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games1500m Mini Racing Boat2015Singapore, SIN2:38.8262500m Small Racing Boat2015Singapore, SIN2:22.0862200m Mini Racing Boat2015Singapore, SIN1:00.8253200m Small Racing Boat2015Singapore, SIN53.746')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003136.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Saw-Moe-3003136/,SAW MOE,AUNG,MYA,Canoe/Kayak Sprint,02/19/1991,,,27,,,,,0,0,0,"[('Coach', 'Win Pe [national] (myanmarinternationaltv.com, 09 May 2018)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia. (myanmarinternationaltv.com, 09 May 2018)'), ('Languages', 'Burmese'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games1500m Mini Racing Boat2015Singapore, SIN2:38.8262500m Small Racing Boat2015Singapore, SIN2:22.0862200m Mini Racing Boat2015Singapore, SIN1:00.8253200m Small Racing Boat2015Singapore, SIN53.746')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003136.html
https://en.asiangames2018.id/athletes/athlete/AUNG-Si-Thu-3002723/,Si Thu,Aung,MYA,Football,10/16/1996,,,21,172,"5'8""",59,130,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002723.html
