url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ADHIKARI-Anu-3019022/,ANU,ADHIKARI,NEP,Karate,12/11/1994,NUWAKOT,Nepal,23,150,"4'11""",49,108,0,0,0,"[('Coach', 'Sobhit Raj Prasain [national] (myrepublica.com, 30 Apr 2018)'), ('Education', 'Public Youth Campus, Kathmandu, NEP'), ('Languages', 'English, Nepali'), ('Highlights', 'RankEventYearLocationAsian Games11-50kg2014Incheon, KORKarate 1 Premier League19-55kg2016Dubai, UAESouth Asian Games2-55kg2010Dhaka, BAN')]","['https://www.facebook.com/measanu/', 'https://www.facebook.com/anu.adhikari.186']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3019022.html
https://en.asiangames2018.id/athletes/athlete/ADHIKARI-Bimal-3018921/,BIMAL,ADHIKARI,NEP,Paragliding,03/17/1984,KASKI,Nepal,34,158,"5'2""",65,143,0,1,0,"[('Coach', 'Sanu Babu Sunuwar [national], NEP (thehimalayantimes.com, 21 Apr 2018)'), ('Education', 'Computer Engineering'), ('Languages', 'English, Nepali'), ('Highlights', 'RankEventYearLocationResultWorld Championships38Team Cross Country2015Roldanillo, COL3477129Cross Country Individual2015Roldanillo, COL3065')]","['https://instagram.com/ccnparagliding/', 'https://www.facebook.com/bimal.adhikari.121', 'https://instagram.com/ccnparagliding/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018921.html
https://en.asiangames2018.id/athletes/athlete/ADHIKARI-Hari-Bahadur-3016839/,Hari Bahadur,Adhikari,NEP,Volleyball,07/24/1991,,,27,185,"6'1""",75,165,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016839.html
https://en.asiangames2018.id/athletes/athlete/ADHIKARI-Kamal-Bahadur-3017113/,KAMAL BAHADUR,ADHIKARI,NEP,Weightlifting,07/20/1977,CHITWAN,Nepal,41,158,"5'2""",68,150,0,0,0,"[('Beginning', 'He began competing in weightlifting in 2000. (wavemag.com.np, 01 Oct 2006)'), ('Reason', 'He took up weightlifting to stay healthy and get stronger, and started entering competitions when he was in the army. (wavemag.com.np, 01 Oct 2006)'), ('Coach', 'Dinesh Bhujel [national]; Pradip Shrestha [national]; Rukesh Tandukar [national] (inheadline.com, 05 Mar 2018)'), ('Awards', ""He was named Nepal's flag bearer for the opening ceremony of the 2018 Asian Games in Indonesia. (AG Entries, 16 Aug 2018)He was named Best Lifter at the 2018 National Championships in Lalitpur, Nepal. (kathmandupost.ekantipur.com, 13 Apr 2018)He was named the 2009 Weightlifter of the Year by the Nepal National and International Players' Association [NNIPA]. (thehimalayantimes.com, 02 Jan 2010)""), ('Additional Information', 'GeneralCOACHHe has served as a coach for fellow Nepalese weightlifter Manita Shrestha. (myrepublica.nagariknetwork.com, 27 Apr 2018)NATIONAL FIRSTIn 2006 he became the first weightlifter representing Nepal to win a gold medal at the South Asian Games when he was victorious in Colombo, Sri Lanka. (chinadaily.com.cn, 01 Nov 2010) '), ('Education', 'Nepal Art College, Kathmandu, NEP'), ('Languages', 'English, Nepali'), ('Highlights', 'RankEventYearLocationResultAsian Games1169kg2006Doha, QAT2551369kg2014Incheon, KOR2651469kg2010Guangzhou, CHN270Olympic Games2069kg2008Beijing, CHN268Asian Championships1085kg2017Ashgabat, TKM2851085kg - Snatch2017Ashgabat, TKM1251085kg - Clean & Jerk2017Ashgabat, TKM160South Asian Games169kg2006Colombo, SRI266World Ranking (as of 30 Jun 2018)5977kg2018264')]",['https://www.facebook.com/kamalbahadur.adhikari'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017113.html
https://en.asiangames2018.id/athletes/athlete/AIRY-Sher-Singh-3016244/,SHER SINGH,AIRY,NEP,Fencing,07/16/1989,DARCHULA,Nepal,29,165,"5'5""",70,154,0,0,0,"[('Beginning', 'She began the sport in 2015 in Nepal. (Athlete, 19 Aug 2018)'), ('Debut', '2018 for Nepal (Athlete, 19 Aug 2018)'), ('Coach', 'Abhishek Karki, from 2015 (Athlete, 19 Aug 2018)'), ('Memorable', 'Winning a bronze medal at the national championships. (Athlete, 19 Aug 2018)'), ('Influence', 'Coach Abhishek Karki. (Athlete, 19 Aug 2018)'), ('Languages', 'English, Hindi, Nepali'), ('Hobbies', 'Singing, dancing. (Athlete, 19 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships17Foil Team2018Bangkok, THA73Foil Individual2018Bangkok, THA')]",['https://www.facebook.com/shersingh.airy'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016244.html
https://en.asiangames2018.id/athletes/athlete/ARYAL-Suman-3027286/,Suman,Aryal,NEP,Football,-,,,"
",166,"5'5""",65,143,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027286.html
https://en.asiangames2018.id/athletes/athlete/AWALE-Gyanu-3014579/,GYANU,AWALE,NEP,Archery,10/11/1993,KAVERPALANCHOK,Nepal,24,165,"5'5""",57,126,0,0,0,"[('Relatives', 'Her younger sister Aisha Tamang has also represented Nepal in archery, and competed at the 2018 South Asian Archery Championships in Dhaka, Bangladesh.(thelongestwayhome.com, 19 Apr 2016)'), ('Languages', 'English, Nepali'), ('Highlights', 'RankEventYearLocationAsian Championships9Recurve Mixed Team2017Dhaka, BAN33Recurve Individual2017Dhaka, BAN')]",['https://www.facebook.com/fiona.lama.5'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014579.html
https://en.asiangames2018.id/athletes/athlete/B-K-Ajit-3018125/,AJIT,B K,NEP,Golf,04/29/1993,KASKI,Nepal,25,161,"5'3""",63,139,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018125.html
https://en.asiangames2018.id/athletes/athlete/B-K-Bishal-Bahadur-3028747/,Bishal Bahadur,B K,NEP,Volleyball,08/13/1995,,,23,184,"6'0""",75,165,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3028747.html
https://en.asiangames2018.id/athletes/athlete/BAJRACHARYA-Samrakshyak-Bhushan-3027338/,SAMRAKSHYAK BHUSHAN,BAJRACHARYA,NEP,Tennis,01/30/2001,,Nepal,17,175,"5'9""",67,148,0,0,0,"[('Beginning', 'He began playing tennis at age five. (Athlete, 17 Aug 2018; inheadline.com, 20 Sep 2017)'), ('Reason', 'Both of his parents were coaches and they motivated him to play tennis. (Athlete, 17 Aug 2018; inheadline.com, 20 Sep 2017)'), ('Coach', 'Surya Bhushan Bajracharya [national, father], NEP; Rani Devi Konda Bajracharya [national, mother], NEP (Athlete, 17 Aug 2018; myrepublica.nagariknetwork.com, 11 Jun 2017; inheadline.com, 06 Nov 2017)'), ('Additional Information', ""GeneralYOUNGESTAt age 12 he became the youngest winner of the Nepal Junior Open U18 section. He achieved the feat at the 2013 edition of the tournament. (thehimalayantimes.com, 24 Nov 2013)SCHOLARSHIPIn 2017 he received a full scholarship at Brisbane Boys' College in Queensland, Australia. (myrepublica.nagariknetwork.com, 06 Jan 2018) ""), ('Hero', 'Serbian tennis player Novak Djokovic, Austrian tennis player Dominic Thiem. (myrepublica.nagariknetwork.com, 11 Jun 2017; Athlete, 17 Aug 2018)'), ('Influence', 'His parents. (Athlete, 17 Aug 2018)'), ('Relatives', 'His younger brother is Samyak has played tennis at an elite level. His parents Surya Bhushan Bajracharya and Rani Devi Konda Bajracharya have worked as coaches of the Nepal national tennis squad. (myrepublica.nagariknetwork.com, 11 Jun 2017; thehimalayantimes.com, 24 Nov 2013)'), ('Languages', 'English, Hindi, Nepali'), ('Hobbies', 'Sports in general, swimming. (Athlete, 17 Aug 2018)'), ('Highlights', ""RankEventYearLocationAsian GamesLast 32Men's Doubles2014Incheon, KORLast 64Singles2014Incheon, KORSouth Asian GamesQuarterfinalMen's Doubles2016Guwahati, INDLast 16Singles2016Guwahati, IND"")]",['https://www.facebook.com/sbhushanbajracharya'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027338.html
