url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AL-AASMI-Rashid-Huwaishal-Moghrab-3000024/,Rashid Huwaishal Moghrab,Al Aasmi,OMA,Athletics,06/03/1997,MUSCAT,Oman,21,167,"5'6""",69,152,0,0,0,"[('Coach', 'Hamoud Al-Dalhami [national]; Mohammed al Hooti [national] (linker.ws, 16 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian ChampionshipsHeats200m2017Bhubaneswar, IND22.13Heats4 x 100m Relay2017Bhubaneswar, IND41.08')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000024.html
https://en.asiangames2018.id/athletes/athlete/AL-ABRI-Yousuf-Mohammed-Nasser-3000103/,YOUSUF MOHAMMED NASSER,AL ABRI,OMA,Shooting,08/03/1986,MUSCAT,Oman,32,163,"5'4""",70,154,0,0,0,"[('Beginning', 'He began the sport in 2008 in Oman. (Athlete, 20 Aug 2018)'), ('Debut', '2009 (Athlete, 20 Aug 2018)'), ('Coach', 'Muslim Akhatry [national], OMA (Athlete, 20 Aug 2018)'), ('Influence', 'His friends. (Athlete, 20 Aug 2018)'), ('Languages', 'Arabic, English'), ('Hobbies', 'Football, swimming. (Athlete, 20 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultWorld Championships10910m Air Rifle2014Granada, ESP601.9Asian Championships2410m Air Rifle2013Tehran, IRI597.8')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000103.html
https://en.asiangames2018.id/athletes/athlete/AL-ADAWI-Issa-Samir-Hamed-3000004/,ISSA SAMIR HAMED,AL ADAWI,OMA,Swimming,03/20/1999,MUSCAT,Oman,19,168,"5'6""",70,154,0,0,0,"[('Beginning', 'He began the sport at age 12 in Oman. (omanobserver.om, 25 Jan 2018)'), ('Debut', '2012 for Oman (omanobserver.om, 25 Jan 2018)'), ('Coach', 'Kamal Khoumeri [national], ALG (omanobserver.om, 25 Jan 2018)'), ('Training', 'He has six practice sessions a week, last two to three hours each. (omanobserver.om, 25 Jan 2018)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (omanobserver.om, 25 Jan 2018)'), ('Memorable', 'Competing at the 2013 World Cup event in Doha, Qatar. (Athlete, 28 Sep 2014)'), ('Awards', 'In 2014 he won the award for the Best Swimmer in his class [age 15 to 17] at the Gulf Cooperation Council [GCC] Short Course Swimming Championships in Kuwait. (muscatdaily.com, 03 Mar 2014)'), ('Additional Information', 'GeneralSCHOLARSHIP IN JAPANHe received a scholarship to study in Japan at the University of Tokyo in preparation for the 2020 Olympic Games in Tokyo. (alwatan.com, 14 Mar 2018) '), ('Hero', 'Australian swimmer Ian Thorpe, US swimmer Michael Phelps. (omanobserver.om, 25 Jan 2018; Athlete, 28 Sep 2014)'), ('Influence', 'His parents. (Athlete, 28 Sep 2014)'), ('Injuries', 'He sustained a knee injury in 2013. (Athlete, 28 Sep 2014)'), ('Education', 'University of Tokyo, Japan'), ('Languages', 'Arabic, English'), ('Highlights', 'RankEventYearLocationResultAsian GamesHeats100m Freestyle2014Incheon, KOR55.81Heats200m Freestyle2014Incheon, KOR2:02.67Heats400m Freestyle2014Incheon, KOR4:26.11')]",['https://www.facebook.com/#!/issa.aladawi.7?fref=ts'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000004.html
https://en.asiangames2018.id/athletes/athlete/AL-AJMI-Murshid-Mohamed-Murshid-3000043/,MURSHID MOHAMED MURSHID,AL AJMI,OMA,Weightlifting,02/06/2000,MUSCAT,Oman,18,170,"5'7""",85,187,0,0,0,"[('Coach', 'Mazen Hameed El-Badry [national] (alwatan.com, 19 Dec 2017)'), ('Highlights', 'RankEventYearLocationResultYouth World Championships385kg - Clean & Jerk2017Bangkok, THA173585kg2017Bangkok, THA298677kg - Snatch2016George Town, MAS1321385kg - Snatch2017Bangkok, THA125NoM77kg2016George Town, MASNoMNoM77kg - Clean & Jerk2016George Town, MASNoMWorld Ranking (as of 31 Dec 2015)3585kg2018319 (in progress)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000043.html
https://en.asiangames2018.id/athletes/athlete/AL-BADRI-Hatem-Hamood-Salim-3021160/,HATEM HAMOOD SALIM,AL BADRI,OMA,Athletics,11/10/1992,MUSCAT,Oman,25,158,"5'2""",70,154,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021160.html
https://en.asiangames2018.id/athletes/athlete/AL-BALUSHI-Muad-Darwish-Abdul-R-3000093/,MUAD DARWISH 'ABDUL RAHMAN,AL BALUSHI,OMA,Shooting,11/30/1987,MUSCAT,Oman,30,162,"5'4""",75,165,0,0,0,"[('Highlights', 'RankEventYearLocationResultWorld Cup7810m Air Pistol2018Changwon, KOR5629310m Air Pistol2017Munich, GER56410310m Air Pistol2018Munich, GER56310810m Air Pistol2015Munich, GER561Asian Championships3010m Air Pistol2017Wako, JPN5613810m Air Pistol2015Kuwait City, KUW563')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000093.html
https://en.asiangames2018.id/athletes/athlete/AL-BALUSHI-Wadha-Nasiir-Nasser-3000118/,WADHA NASIIR NASSER,AL BALUSHI,OMA,Shooting,11/30/1989,MUSCAT,Oman,28,162,"5'4""",75,165,0,0,0,"[('Beginning', 'She began shooting in 2013. (Athlete, 22 Aug 2018)'), ('Reason', '""This was my favorite hobby since I was young."" (Athlete, 22 Aug 2018)'), ('Debut', '2013 for Oman, in Bahrain (Athlete, 22 Aug 2018)'), ('Coach', 'Shukhrat Akhmedov, UZB, from 2015 (Athlete, 22 Aug 2018)'), ('Memorable', 'Winning a bronze medal at the 2014 Asian Championships in Kuwait, and competing at the 2016 Olympic Games in Rio de Janeiro. (Athlete, 22 Aug 2018)'), ('Additional Information', 'GeneralNATIONAL FIRSTShe became the first female shooter to represent Oman at the Olympic Games when she competed in the 10m air pistol at the 2016 Olympic Games in Rio de Janeiro. (stepfeed.com, 26 Jul 2016; SportsDeskOnline, 08 Aug 2018) '), ('Hero', 'Sultan of Oman Sayyid Qaboos bin Said Al Said. (Athlete, 22 Aug 2018)'), ('Education', 'Al Zahra College For Women, Muscat, OMA'), ('Languages', 'Arabic, English, Hindi'), ('Hobbies', 'Swimming, football, volleyball. (Athlete, 22 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian Games2310m Air Pistol2014Incheon, KOR3742925m Pistol2014Incheon, KOR566Olympic Games2610m Air Pistol2016Rio de Janeiro, BRA379World Championships3610m Air Pistol2014Granada, ESP3787425m Pistol2014Granada, ESP555World Cup1810m Air Pistol2016Baku, AZE3812310m Air Pistol2015Changwon, KOR3812810m Air Pistol2015Munich, GER3803525m Pistol2017Qabala, AZE5703810m Air Pistol2015Fort Benning, GA, USA3784210m Air Pistol2016Munich, GER3794425m Pistol2016Baku, AZE5624825m Pistol2017Munich, GER5715025m Pistol2015Fort Benning, GA, USA5665210m Air Pistol2017Qabala, AZE3665610m Air Pistol2017Munich, GER3755910m Air Pistol2015Qabala, AZE3736025m Pistol2015Changwon, KOR5626825m Pistol2016Munich, GER5616825m Pistol2015Qabala, AZE5627325m Pistol2015Munich, GER563Asian Championships310m Air Pistol2014Kuwait City, KUW177.32010m Air Pistol2015Kuwait City, KUW3762810m Air Pistol2017Wako, JPN3683525m Pistol2015Kuwait City, KUW556')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000118.html
https://en.asiangames2018.id/athletes/athlete/AL-BATTASHI-Asad-Sultan-Obaid-3000042/,ASAD SULTAN OBAID,AL BATTASHI,OMA,Weightlifting,04/03/1996,MUSCAT,,22,,,,,0,0,0,"[('Coach', 'Mazen El-Badry [national] (omandaily.om, 07 May 2018)'), ('Additional Information', 'GeneralSANCTIONHe received a two-year ban from April 2014 until April 2016 after testing positive for the banned substances metenolone and methylandrosterone. (iwf.net, 01 May 2017) '), ('Education', 'Information Technology - College of Applied Sciences, Sur, OMA'), ('Languages', 'Arabic'), ('Highlights', 'RankEventYearLocationResultAsian Championships777kg - Snatch2017Ashgabat, TKM144877kg2017Ashgabat, TKM319877kg - Clean & Jerk2017Ashgabat, TKM175')]","['https://instagram.com/asad_g85', 'https://www.facebook.com/asad.albattashi', 'https://instagram.com/asad_g85']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000042.html
https://en.asiangames2018.id/athletes/athlete/AL-BULUSHI-Jamal-Saleh-Mohamed-3000095/,JAMAL SALEH MOHAMED,AL BULUSHI,OMA,Shooting,04/27/1976,MUSCAT,Oman,42,158,"5'2""",63,139,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000095.html
https://en.asiangames2018.id/athletes/athlete/AL-FAZARI-Hamed-Salim-Hamed-3000081/,HAMED SALIM HAMED,AL FAZARI,OMA,Hockey,02/21/1996,MUSCAT,Oman,22,158,"5'2""",68,150,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000081.html
https://en.asiangames2018.id/athletes/athlete/AL-GAHAFFI-Fakhari-Khamis-Bakhit-3000109/,FAKHARI KHAMIS BAKHIT,AL GAHAFFI,OMA,Shooting,07/14/1984,MUSCAT,Oman,34,161,"5'3""",70,154,0,0,0,"[('Highlights', 'RankEventYearLocationResultWorld Championships72Trap2014Granada, ESP5686Trap2015Lonato, ITA50World Cup23Trap2015Larnaca, CYP6733Trap2016San Marino, SMR6441Trap2016Baku, AZE5053Trap2017Larnaca, CYP5062Trap2015Al Ain, UAE5363Trap2015Qabala, AZE60Asian Championships21Trap2017Astana, KAZ5734Trap2015Kuwait City, KUW48')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000109.html
