url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AN-Jae-Yong-3027560/,Jae Yong,AN,PRK,Judo,04/03/1995,,DPR Korea,23,160,"5'3""",63,139,0,0,0,"[('Highlights', 'RankEventYearLocationGrand Prix5-60 kg2015Tashkent, UZB17-60 kg2015Qingdao, CHNAsian Championships7-60 kg2017Hong Kong, CHNIJF World Ranking (as of 01 Aug 2018)151-60 kg2018')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027560.html
https://en.asiangames2018.id/athletes/athlete/AN-Ji-Song-3027686/,JI SONG,AN,PRK,Table Tennis,04/03/1996,,DPR Korea,22,173,"5'8""",66,146,0,0,0,"[('Additional Information', 'GripShakehand (Official ITTF YouTube Channel, 01 Jul 2016)'), ('Highlights', ""RankEventYearLocationITTF World Tour2Men's Doubles2015Pyongyang, PRK3Men's Doubles2016Pyongyang, PRK2nd RoundSingles2018Incheon, KOR1st RoundSingles2016Pyongyang, PRK1st RoundSingles2015Pyongyang, PRKWorld Ranking (as of 01 Aug 2018)201Singles2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027686.html
https://en.asiangames2018.id/athletes/athlete/AN-Ok-Sim-3027673/,Ok Sim,An,PRK,Handball,01/03/1991,,,27,160,"5'3""",56,123,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027673.html
https://en.asiangames2018.id/athletes/athlete/AN-Song-Il-3027689/,Song Il,An,PRK,Football,08/05/1996,,,22,176,"5'9""",68,150,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027689.html
https://en.asiangames2018.id/athletes/athlete/CHA-Hyo-Sim-3027680/,HYO SIM,CHA,PRK,Table Tennis,07/15/1994,,DPR Korea,24,165,"5'5""",60,132,0,1,0,"[('Coach', 'Kim Jin-Myong [national], PRK (ittf.com, 24 Feb 2018)'), ('Highlights', ""RankEventYearLocationWorld Championships3Team2018Halmstad, SWE3Team2016Kuala Lumpur, MASITTF World Tour3Women's Doubles2018Incheon, KORQuarterfinalWomen's Doubles2016Pyongyang, PRKQuarterfinalSingles2015Pyongyang, PRK1st RoundSingles2016Pyongyang, PRK1st RoundWomen's Doubles2015Pyongyang, PRKAsian Championships5Team2017Wuxi, CHN5Team2015Bangkok, THA4th RoundSingles2015Bangkok, THA2nd RoundSingles2017Wuxi, CHNWorld Ranking (as of 01 Aug 2018)91Singles2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027680.html
https://en.asiangames2018.id/athletes/athlete/CHA-Ye-Gyong-3027633/,YE GYONG,CHA,PRK,Artistic Swimming,08/18/2000,,DPR Korea,18,168,"5'6""",50,110,0,0,1,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027633.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Chol-Man-3027579/,CHOL MAN,CHOE,PRK,Boxing,02/17/1997,,DPR Korea,21,178,"5'10""",64,141,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027579.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Chun-Il-3027674/,Chun Il,Choe,PRK,Handball,10/12/1992,,,25,165,"5'5""",66,146,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027674.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Hye-Song-3027586/,HYE SONG,CHOE,PRK,Boxing,04/11/1991,,DPR Korea,27,161,"5'3""",63,139,0,0,1,"[('Highlights', 'RankEventYearLocationAsian Championships3Light (60kg)2017Ho Chi Minh City, VIE')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027586.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Hyo-Sim-3027538/,HYO SIM,CHOE,PRK,Weightlifting,12/05/1993,,DPR Korea,24,158,"5'2""",63,139,0,1,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027538.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Hyon-Hwa-3027681/,HYON HWA,CHOE,PRK,Table Tennis,12/04/1992,,DPR Korea,25,157,"5'2""",53,117,0,1,0,"[('Additional Information', 'GripShakehand (Official ITTF YouTube Channel, 14 Apr 2017)'), ('Highlights', ""RankEventYearLocationWorld Championships3Team2018Halmstad, SWEITTF World TourQuarterfinalWomen's Doubles2015Pyongyang, PRK1st RoundWomen's Doubles2016Pyongyang, PRK1st RoundSingles2015Chengdu, CHNAsian Championships5Team2017Wuxi, CHNLast 16Women's Doubles2017Wuxi, CHNQuarterfinalSingles2017Wuxi, CHNWorld Ranking (as of 01 Aug 2018)295Singles2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027681.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Il-3027685/,IL,CHOE,PRK,Table Tennis,09/12/1993,,DPR Korea,25,176,"5'9""",70,154,0,0,0,"[('Additional Information', 'GripShakehand (ITTF, 19 Feb 2016)Style of playAttack (ITTF, 19 Feb 2016)'), ('Highlights', ""RankEventYearLocationAsian GamesQuarterfinalTeam2014Incheon, KOR2nd RoundSingles2014Incheon, KORWorld Championships9Team2016Kuala Lumpur, MAS15Team2014Tokyo, JPN17Team2018Halmstad, SWE2nd RoundMixed Doubles2017Dusseldorf, GER2nd RoundSingles2015Suzhou, CHN1st RoundMen's Doubles2017Dusseldorf, GER1st RoundSingles2017Dusseldorf, GERITTF World Tour1Singles2015Pyongyang, PRK1Men's Doubles2015Pyongyang, PRKQuarterfinalSingles2016Pyongyang, PRKQuarterfinalMen's Doubles2016Pyongyang, PRK1st RoundMen's Doubles2015Chengdu, CHNAsian Championships3Mixed Doubles2015Bangkok, THA7Team2017Wuxi, CHN9Team2015Bangkok, THA5th RoundSingles2015Bangkok, THA3rd RoundMixed Doubles2017Wuxi, CHN3rd RoundMen's Doubles2015Bangkok, THA2nd RoundMen's Doubles2017Wuxi, CHN2nd RoundSingles2017Wuxi, CHNWorld Ranking (as of 01 Aug 2018)160Singles2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027685.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Jon-Wi-3027532/,JON WI,CHOE,PRK,Weightlifting,06/29/1993,,DPR Korea,25,170,"5'7""",77,170,1,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027532.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Kyong-Im-3027752/,Kyong Im,Choe,PRK,Football,07/15/1993,,,25,170,"5'7""",57,126,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027752.html
https://en.asiangames2018.id/athletes/athlete/CHOE-Pong-Im-3027677/,Pong Im,Choe,PRK,Handball,06/10/1997,,,21,162,"5'4""",64,141,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027677.html
https://en.asiangames2018.id/athletes/athlete/HAM-Yu-Song-3027687/,YU SONG,HAM,PRK,Table Tennis,02/16/1999,,DPR Korea,19,171,"5'7""",163,359,0,0,0,"[('Additional Information', 'GripShakehand (ittf.com, 18 Jul 2018)'), ('Highlights', ""RankEventYearLocationITTF World Tour2nd RoundSingles2018Incheon, KORWorld Junior ChampionshipsFinal 5-6Team2016Cape Town, RSA2nd RoundSingles2016Cape Town, RSA1st RoundMen's Doubles2016Cape Town, RSAWorld Ranking (as of 01 Aug 2018)226Singles2018"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027687.html
https://en.asiangames2018.id/athletes/athlete/HAN-Chun-Yon-3027678/,Chun Yon,Han,PRK,Handball,04/13/1997,,,21,167,"5'6""",62,137,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027678.html
https://en.asiangames2018.id/athletes/athlete/HAN-Jong-Hyang-3027665/,Jong Hyang,Han,PRK,Handball,01/17/1990,,,28,168,"5'6""",58,128,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games5Women2010Guangzhou, CHN')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3027665.html
