url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Kiria-Tikanah-3006549/,KIRIA TIKANAH,ABDUL RAHMAN,SGP,Fencing,06/25/2000,SINGAPORE,Singapore,18,172,"5'8""",55,121,0,0,0,"[('Coach', 'Henry Koh [club] (Blade Club Fencing Facebook page, 01 Apr 2018)'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationGrand Prix129Epee Individual2016/2017Doha, QATSatellite3Epee Individual2016/2017Taipei, TPEAsian Championships6Epee Team2018Bangkok, THA11Epee Team2017Hong Kong, CHN25Epee Individual2017Hong Kong, CHN36Epee Individual2018Bangkok, THAWorld Junior Championships25Epee Team2017Plovdiv, BUL54Epee Individual2017Plovdiv, BULWorld Cadet Championships28Epee Individual2017Plovdiv, BULFIE World Ranking (as of 15 Aug 2018)231Epee Individual2017/2018')]",['https://www.facebook.com/kiria.tikanah'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006549.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Muhammad-Iqbal-3004879/,MUHAMMAD IQBAL,ABDUL RAHMAN,SGP,Pencak Silat,07/30/1993,SINGAPORE,Singapore,25,178,"5'10""",75,165,0,0,0,"[('Beginning', 'He began the sport at age six at a mosque. (myactivesg.com, 01 Jan 2016)'), ('Education', 'ITE College East, Singapore'), ('Languages', 'English, Indonesian'), ('Highlights', 'RankEventYearLocationWorld Championships2Single2016Denpasar, INA3Team2016Denpasar, INAAsian Championships1Single2016Singapore, SINSouth East Asian Games3Single2015Singapore, SIN4Single2017Kuala Lumpur, MAS4Team2011Indonesia5Single2013Naypyidaw, MYA5Single2011Indonesia')]","['https://instagram.com/iqbal_abdulrahman/', 'https://www.facebook.com/AboiAhh', 'https://instagram.com/iqbal_abdulrahman/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004879.html
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Abdul-Raaziq-3004851/,ABDUL RAAZIQ,ABDUL RASHID,SGP,Pencak Silat,04/14/1998,SINGAPORE,Singapore,20,173,"5'8""",61,134,0,0,0,"[('Beginning', 'He took up the sport in 2009 in Singapore. (Athlete, 24 Aug 2018)'), ('Reason', 'He wanted to be able to defend himself. (Athlete, 24 Aug 2018)'), ('Coach', 'Muhammad Fiqri [national], INA (Athlete, 24 Aug 2018)'), ('Nickname', 'Ajiq (Facebook profile, 26 Mar 2018)'), ('Education', 'Leisure Management, Sport Management - Republic Polytechnic, Singapore'), ('Languages', 'English, Malay'), ('Highlights', 'RankEventYearLocationWorld Championships3Class F : 70kg to 75kg2016Denpasar, INAAsian Championships3Class F : 70kg to 75kg2017Chungju, KOR3Class F : 70kg to 75kg2016Singapore, SINSouth East Asian Games5Class F : 70kg to 75kg2017Kuala Lumpur, MAS5Class D : 60kg to 65kg2015Singapore, SIN')]",['https://www.facebook.com/raaziq.rashid'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004851.html
https://en.asiangames2018.id/athletes/athlete/AMRAN-Mohamad-Farhan-3004856/,MOHAMAD FARHAN,AMRAN,SGP,Sepaktakraw,10/29/1980,SINGAPORE,Singapore,37,178,"5'10""",75,165,0,0,2,"[('Reason', '""I was introduced to the sport by my neighbours and my love for the sport developed since then."" (myactivesg.com, 05 Jun 2015)'), ('Coach', 'Padzli Othman [national], SGP (beritaharian.sg, 01 Jan 2018 )'), ('Training', 'He trains five times a week. (Kampung Sembawang Facebook page, 13 Jul 2018)'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationAsian Games3Doubles2014Incheon, KOR7Regu2014Incheon, KORSouth East Asian Games2Regu2015Singapore, SIN3Doubles2015Singapore, SIN3Team Doubles2015Singapore, SIN3Team Regu2015Singapore, SIN')]",['https://www.facebook.com/farhan.nadiah'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004856.html
https://en.asiangames2018.id/athletes/athlete/ANG-An-Jun-3002529/,An Jun,Ang,SGP,Water Polo,07/19/1994,,,24,187,"6'2""",80,176,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games5Men2014Incheon, KORAsian Championship5Men2016Tokyo, JPNSouth East Asian Games1Men2017Kuala Lumpur, MAS1Men2015Singapore, SIN')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002529.html
https://en.asiangames2018.id/athletes/athlete/ANG-Han-Teng-3005270/,HAN TENG,ANG,SGP,Archery,08/20/1992,SINGAPORE,Singapore,26,164,"5'5""",64,141,0,0,0,"[('Beginning', 'He took up archery in 2012. (myactivesg.com, 17 Aug 2017)'), ('Reason', 'His family encouraged him to take up the sport. (myactivesg.com, 17 Aug 2017)'), ('Coach', 'Sng Beow Leng [national], SGP (straitstimes.com, 18 Aug 2017)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia. He also aspires to have a career in sports psychology. (makeachamp.com, 2017; LinkedIn profile, 2018)'), ('Memorable', ""Winning a gold medal in the men's individual recurve event at the 2014 ASEAN University Games in Palembang, Indonesia. (myactivesg.com, 17 Aug 2017; susc.com.sg, 18 Dec 2014)""), ('Additional Information', 'GeneralNATIONAL FIRSTHe, along with teammates Pang Toh Jin and Alan Lee, became the first male Singaporean archers to win a medal in the team compound event at the South East Asian Games, when they took silver at the 2017 edition in Kuala Lumpur, Malaysia. (straitstimes.com, 18 Aug 2017; SportsDeskOnline, 17 Apr 2018) '), ('Relatives', 'His mother Low Luan Eng, and his brother and sister, have all represented Singapore in archery. (marketing-interactive.com, 25 Jun 2015; myactivesg.com, 17 Aug 2017)'), ('Education', 'Sports Management, Sports Science - Nanyang Technological University, Singapore'), ('Languages', 'English, Mandarin'), ('Highlights', ""RankEventYearLocationWorld Cup33Compound Individual2015Shanghai, CHNAsian Championships9Compound Individual2015Bangkok, THASouth East Asian Games2Compound Men's Team2017Kuala Lumpur, MAS4Compound Men's Team2015Singapore5Compound Individual2017Kuala Lumpur, MAS5Compound Mixed Team2017Kuala Lumpur, MAS6Compound Mixed Team2015Singapore7Compound Individual2015SingaporeWorld Ranking (as of 01 Aug 2018)112Compound Individual2018"")]","['https://twitter.com/hantengg', 'https://instagram.com/hantengg/', 'https://www.facebook.com/hanteng', 'https://www.linkedin.com/in/han-teng-ang-378666107/', 'https://instagram.com/hantengg/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005270.html
https://en.asiangames2018.id/athletes/athlete/ANG-Shaun-Jun-3008458/,SHAUN JUN,ANG,SGP,Canoe/Kayak Sprint,12/13/1993,,,24,169,"5'7""",75,165,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008458.html
https://en.asiangames2018.id/athletes/athlete/ANG-Wei-Ming-Sean-3002553/,Wei Ming Sean,Ang,SGP,Water Polo,04/03/1996,,,22,181,"5'11""",79,174,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games5Men2014Incheon, KORAsian Championship5Men2016Tokyo, JPNSouth East Asian Games1Men2017Kuala Lumpur, MAS1Men2015Singapore, SIN1Men2013Naypyidaw, MYA')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002553.html
https://en.asiangames2018.id/athletes/athlete/BERTHIER-Amita-Marie-Nicolette-3006519/,AMITA MARIE NICOLETTE,BERTHIER,SGP,Fencing,12/15/2000,SINGAPORE,Singapore,17,171,"5'7""",53,117,0,0,1,"[('Beginning', 'She took up the sport at the Z Fencing Academy in Novena, Singapore. (straitstimes.com, 03 Sep 2017)'), ('Reason', ""Her father originally enrolled her and her sister Aarya in the Junior Soccer School and League [JSSL] football academy in Singapore. However, Amita's school did not have football as a curricular activity, so she switched to fencing. (straitstimes.com, 03 Sep 2017)""), ('Coach', 'Andrey Klyushin [national], RUS; Ralf Bissdorf [personal] (straitstimes.com, 17 Dec 2017; straitstimes.com, 10 Apr 2018)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia. (straitstimes.com, 17 Dec 2017)'), ('Additional Information', 'GeneralLIVING IN THE USAIn January 2017 she ended her studies in Singapore and moved to the United States of America, where she began training at the Marx Fencing Academy in Concord, Massachusetts. She plans to begin studying at the University of Notre Dame in Indiana, in September 2018, and compete for the university\'s fencing team. ""I knew if I wanted to win medals something had to give, and in my case it was school. After a month break at the end of 2017, I visited family in Europe to recharge after a long year and it was then I received the offer from Notre Dame."" (Facebook profile, Dec 2017; straitstimes.com, 03 Sep 2017, 13 Jan 2018) '), ('Influence', 'Her father, and coach Ralf Bissdorf. (straitstimes.com, 03 Sep 2017)'), ('Relatives', 'Her sister Araya has also represented Singapore in fencing [foil], and was named as a reserve for the 2018 Asian Games in Indonesia. (straitstimes.com, 31 Mar 2016; Fencing Singapore Facebook page, 31 May 2018)'), ('Injuries', 'In February 2018 she suffered a sprained ankle while competing at the Junior World Cup event in Modling, Austria. (straitstimes.com, 18 Feb 2018)'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationWorld Championships21Foil Individual2017Leipzig, GERGrand Prix69Foil Individual2017/2018Shanghai, CHNAsian Championships5Foil Team2018Bangkok, THA5Foil Team2017Hong Kong, CHN5Foil Team2016Wuxi, CHN20Foil Individual2018Bangkok, THA25Foil Individual2017Hong Kong, CHNSouth East Asian Games1Foil Individual2017Kuala Lumpur, MASWorld Junior Championships2Foil Team2018Verona, ITA13Foil Individual2018Verona, ITA14Foil Team2017Plovdiv, BUL22Foil Individual2017Plovdiv, BUL38Foil Individual2015Tashkent, UZB41Foil Individual2016Bourges, FRAWorld Cadet Championships3Foil Individual2017Plovdiv, BUL6Foil Individual2016Bourges, FRA12Foil Individual2015Tashkent, UZBFIE World Ranking (as of 15 Aug 2018)130Foil Individual2017/2018')]","['https://instagram.com/amita_berthier/', 'https://www.facebook.com/amita.berthier.98', 'https://instagram.com/amita_berthier/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006519.html
https://en.asiangames2018.id/athletes/athlete/BIN-ABDUL-RAHMAN-Mohamad-Irwan-3002630/,MOHAMAD IRWAN,BIN ABDUL RAHMAN,SGP,Shooting,08/21/1999,SINGAPORE,Singapore,19,170,"5'7""",55,121,0,0,0,"[('Beginning', 'He took up shooting in 2012 at the Singapore Sports School. (myactivesg.com, 22 Aug 2017; ISSF, 30 Apr 2018)'), ('Reason', '""I wasn\'t a sporty person before my secondary school days but I became interested in shooting after joining the Learn To Shoot Programme. I thought shooting was similar to computer games, so I took it up. Even though the reality is very different."" (straitstimes.com, 20 May 2017; gc2018.com, 04 Oct 2017)'), ('Coach', 'Lim Chea Rong [personal, club], SGP (straitstimes.com, 20 Mar 2017; gc2018.com, 05 Mar 2018; straitstimes.com, 29 Apr 2018)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia, and win a gold medal at the Olympic Games. (todayonline.com, 22 Aug 2017; gc2018.com, 07 Oct 2017)'), ('Memorable', 'Winning silver in the 10m air rifle event at the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (todayonline.com, 22 Aug 2017)'), ('Hero', 'US shooter Matthew Emmons. (gc2018.com, 05 Mar 2018)'), ('Influence', 'Coach Lim Chea Rong. (gc2018.com, 05 Mar 2018'), ('Nickname', 'E1 (gc2018.com, 05 Mar 2018)'), ('Education', 'Leisure Management, Sports Management - Republic Polytechnic, Singapore'), ('Languages', 'English, Malay'), ('Hobbies', 'Cycling, playing computer games, running, bowling. (gc2018.com, 05 Mar 2018; ISSF, 30 Apr 2018)'), ('Highlights', 'RankEventYearLocationResultWorld Cup1210m Air Rifle Mixed Team2018Munich, GER836.42910m Air Rifle Mixed Team2018Changwon, KOR829.93410m Air Rifle2016Bangkok, THA617.53610m Air Rifle2017Munich, GER624.43710m Air Rifle2017Qabala, AZE620.36810m Air Rifle2018Changwon, KOR617.77310m Air Rifle2018Munich, GER621.2Asian Championships810m Air Rifle2017Wako, JPN118.03310m Air Rifle2015Kuwait City, KUW612.6South East Asian Games210m Air Rifle2017Kuala Lumpur, MAS241.8Commonwealth Games810m Air Rifle2018Gold Coast, QLD, AUS119.9Junior World Championships5310m Air Rifle2017Suhl, GER616.3World Ranking (as of 01 Aug 2018)9710m Air Rifle201822')]","['https://instagram.com/mohamadirwaan/', 'https://www.facebook.com/irwanrahman.abdulrahman', 'https://instagram.com/mohamadirwaan/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002630.html
