url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABESING-WIJESEKARA-Lakmal-3022422/,Lakmal,Abesing Wijesekara,SRI,Volleyball,03/13/1991,,,27,166,"5'5""",81,179,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships13Men2015Islamic Republic of Iran15Men2013United Arab Emirates')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3022422.html
https://en.asiangames2018.id/athletes/athlete/ABEYSINGHE-Kyle-Charles-3017117/,KYLE CHARLES,ABEYSINGHE,SRI,Swimming,02/04/2000,HOKANDARA,United States,18,185,"6'1""",82,181,0,0,0,"[('Beginning', 'He began swimming at age five. (sundaytimes.lk, 14 Aug 2017)'), ('Reason', 'His father was a coach, his older brothers were successful swimmers and he enjoyed the sport. (sundaytimes.lk, 14 Aug 2017)'), ('Coach', 'Manoj Abeysinghe [personal, father], SRI, from 2013 (sundaytimes.lk, 14 Aug 2017)'), ('Ambition', 'To win an Olympic medal. (sundaytimes.lk, 14 Aug 2017)'), ('Memorable', 'Winning two silver medals at the 2017 Commonwealth Youth Games in Nassau, Bahamas. (sundaytimes.lk, 14 Aug 2017)'), ('Additional Information', 'GeneralFATHER AND COACHHis father Manoj has coached him from the age of 13. ""At training, I don\'t see him as my father, I only see him as my coach. He is an amazing coach. He knows how to take the best out of someone. He provides great inspiration and he keeps me mentally focused."" (sundaytimes.lk, 14 Aug 2017)OHIO STATE COMMITMENTFollowing in the footsteps of his brother Matthew, in June 2018 he committed to swim for Ohio State University in the United States of America on a swimming scholarship. (Killer Whale Aquatics Facebook Page, 20 Jun 2018)MOVE TO SRI LANKAHe grew up in the United States of America, spending time in Pennsylvania and Ohio before his family moved to Colombo, Sri Lanka, in 2010. (daytondailynews.com, 30 Jul 2016) '), ('Influence', 'His parents. (sundaytimes.lk, 14 Aug 2017)'), ('Relatives', 'His father Manoj established the Killer Whale Aquatics club in Colombo, Sri Lanka, and has coached his three older brothers in the discipline too. His brothers Andrew, Dillon and Matthew have all represented their country, and Matthew competed at the 2016 Olympic Games in Rio de Janeiro. (daytondailynews.com, 30 Jul 2016; sundaytimes.lk, 24 Jul 2016)'), ('Languages', 'English'), ('Highlights', ""RankEventYearLocationResultSouth Asian Games14 x 100m Freestyle Relay2016India3:30.1124 x 200m Freestyle Relay2016India7:58.992Men's 4 x 100m Medley Relay2016India3:58.113400m Freestyle2016India4:11.07Commonwealth Games84 x 100m Freestyle Relay2018Gold Coast, QLD, AUSDSQHeats50m Freestyle2018Gold Coast, QLD, AUS23.73Heats100m Freestyle2018Gold Coast, QLD, AUS52.20World Championships Short CourseHeats50m Freestyle2016Windsor, ON, CAN23.23Heats100m Freestyle2016Windsor, ON, CAN50.23Heats200m Freestyle2016Windsor, ON, CAN1:50.15Heats200m Individual Medley2016Windsor, ON, CAN2:04.17World Junior ChampionshipsHeats50m Freestyle2017Indianapolis, IN, USA23.59Heats100m Freestyle2017Indianapolis, IN, USA51.00Heats100m Backstroke2017Indianapolis, IN, USA1:00.74Heats200m Individual Medley2017Indianapolis, IN, USA2:11.56Heats4 x 100m Freestyle Relay2017Indianapolis, IN, USA3:34.12Heats50m Freestyle2015Singapore, SIN24.96Heats100m Freestyle2015Singapore, SIN53.99Heats200m Freestyle2015Singapore, SIN1:59.79Heats400m Freestyle2015Singapore, SIN4:18.80Heats200m Individual Medley2015Singapore, SIN2:15.84Heats4 x 100m Freestyle Relay2015Singapore, SIN3:55.57Heats4 x 100m Freestyle Relay2015Singapore, SIN3:47.67HeatsMen's 4 x 100m Medley Relay2015Singapore, SIN4:12.86HeatsMixed 4 x 100m Medley Relay2017Indianapolis, IN, USADNS"")]","['https://instagram.com/kabeysinghe_kwa/?hl=en', 'https://www.facebook.com/profile.php?id=100005046918833', 'https://instagram.com/kabeysinghe_kwa/?hl=en']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017117.html
https://en.asiangames2018.id/athletes/athlete/ABEYSINGHE-Matthew-Duncan-3018297/,MATTHEW DUNCAN,ABEYSINGHE,SRI,Swimming,03/19/1996,,United States,22,182,"6'0""",85,187,0,0,0,"[('Beginning', 'He began swimming at age four. (dailynews.lk, 02 Jul 2010)'), ('Reason', 'He was coached by his father. (dailysports.lk, 05 Jul 2016)'), ('Coach', 'Manoj Abeysinghe [father], SRI (island.lk, 03 Apr 2018)'), ('Awards', 'He won the Ada Derana Sportsman of the Year Award in 2016. (LinkedIn profile, 2017; Ada Derana YouTube channel, 25 Sep 2016)He was named Sports Star of the Year and the Most Outstanding Sportsman of the Year for 2016 at the Sri Lankan Presidential Sports Awards in 2017. (sundaytimes.lk, 21 May 2017)'), ('Additional Information', 'GeneralFAMILY AFFAIRHis father and coach Manoj is the founder of Killer Whales Aquatic Club in Colombo, Sri Lanka. He has trained and competed alongside his brothers from a young age. ""It was a competition whatever we did, from seeing who could finish our milk at the dinner table to playing video games or football in the backyard."" (killerwhales.lk, 01 Aug 2014; thepapare.com, 29 Mar 2018)MOVE TO SRI LANKAHe was born and raised in the United States of America, studying and training in Dayton, Ohio, until his family moved to Sri Lanka in 2010. (whio.com, 09 Aug 2016) '), ('Influence', 'His family. (Facebook profile, 10 Jul 2016)'), ('Relatives', 'His brother Andrew was a gold medallist in swimming at the 2006 South Asian Games, and his brothers Kyle and Dillon have also represented Sri Lanka in swimming. (dailynews.lk, 02 Jul 2010; dailysports.lk, 05 Jul 2016)'), ('Injuries', 'He dislocated his knee in late-2016 and suffered an injury to his finger in 2017, returning to competition in December 2017. (thepapare.com, 29 Mar 2018; thepapare.com, 03 Dec 2017; Instagram profile, 28 Dec 2016)'), ('Education', 'Sports Psychology - Ohio State University, Columbus, OH, USA'), ('Languages', 'English'), ('Highlights', ""RankEventYearLocationResultOlympic GamesHeats100m Freestyle2016Rio de Janeiro, BRA50.96World ChampionshipsHeats100m Freestyle2015Kazan, RUS50.93Heats4 x 100m Freestyle Relay2015Kazan, RUS3:42.94Heats200m Freestyle2011Shanghai, CHN1:55.33Heats400m Freestyle2011Shanghai, CHN4:09.45South Asian Games150m Freestyle2016India23.331100m Freestyle2016India51.231200m Freestyle2016India1:52.281100m Butterfly2016India55.421200m Individual Medley2016India2:09.631400m Individual Medley2016India4:40.4714 x 100m Freestyle Relay2016India3:30.1124 x 200m Freestyle Relay2016India7:58.992Men's 4 x 100m Medley Relay2016India3:58.11350m Backstroke2016India27.494100m Backstroke2016India1:01.52Commonwealth Games84 x 100m Freestyle Relay2018Gold Coast, QLD, AUSDSQSemifinal50m Freestyle2018Gold Coast, QLD, AUS22.84Semifinal100m Freestyle2018Gold Coast, QLD, AUS49.43World Championships Short CourseHeats100m Freestyle2014Doha, QAT49.75Heats50m Backstroke2014Doha, QAT25.57Heats100m Backstroke2014Doha, QAT56.05Heats100m Individual Medley2014Doha, QAT56.71Youth Olympic GamesSemifinal100m Freestyle2014Nanjing, CHN50.68Heats200m Freestyle2014Nanjing, CHN1:52.41"")]","['https://instagram.com/mabeysinghe/?hl=en', 'https://www.facebook.com/matthew.abeysinghe', 'https://www.linkedin.com/in/matthew-abeysinghe-bbb030138/', 'https://instagram.com/mabeysinghe/?hl=en']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018297.html
https://en.asiangames2018.id/athletes/athlete/ABEYSOORIYA-Supun-Chinthaka-3013691/,SUPUN CHINTHAKA,ABEYSOORIYA,SRI,Baseball,05/02/1987,GALEWELA,Sri Lanka,31,180,"5'11""",78,172,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013691.html
https://en.asiangames2018.id/athletes/athlete/ALAHAKOON-PATHIRANALAGE-Madurika-H-3013439/,MADURIKA HANSAMALI,ALAHAKOON PATHIRANALAGE,SRI,Kabaddi,10/22/1993,TRINCOMALEE,Sri Lanka,24,166,"5'5""",58,128,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013439.html
https://en.asiangames2018.id/athletes/athlete/ANDAHENDIGE-Shamil-Malinda-Silva-3021791/,Shamil Malinda Silva,Andahendige,SRI,Volleyball,12/21/1985,,,32,198,"6'6""",90,198,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships14Men2017IndonesiaSouth Asian Games2Men2016Guwahati, IND2Men2006Colombo, SRI')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021791.html
https://en.asiangames2018.id/athletes/athlete/ARACHCHI-APPUHAMILAGE-DON-D-K-3025254/,DILSHAN KAVIN,ARACHCHI APPUHAMILAGE DON,SRI,Artistic Gymnastics,11/21/1996,,Sri Lanka,21,179,"5'10""",68,150,0,0,0,[],"['https://instagram.com/srilankangymnast/', 'https://instagram.com/srilankangymnast/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3025254.html
https://en.asiangames2018.id/athletes/athlete/ARTIGALA-ABERATHNA-Gayanthika-Thushari-3018526/,Gayanthika Thushari,Artigala Aberathna,SRI,Athletics,12/23/1986,SOORIYAWEWA,Sri Lanka,31,165,"5'5""",61,134,0,0,0,"[('Coach', 'G.L. Sajith Jayalal [personal, national], SRI (sundaytimes.lk, 10 Sep 2017; Athlete, 01 Sep 2018)'), ('Languages', 'Sinhala'), ('Highlights', 'RankEventYearLocationResultAsian Games7800m2014Incheon, KOR2:06.21World Cross Country Championships66Individual Cross Country Long Distance2017Kampala, UGA37:32Asian Championships2800m2017Bhubaneswar, IND2:05.276800m2015Wuhan, CHN2:07.46South Asian Games2800m2016India2:09.6421500m2016India4:25.75Commonwealth GamesHeats800m2018Gold Coast, QLD, AUS2:04.72')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018526.html
https://en.asiangames2018.id/athletes/athlete/ASIRI-Sandaruwan-3013456/,sandaruwan,asiri,SRI,Kabaddi,10/22/1987,VAUNIYAWA,Sri Lanka,30,166,"5'5""",75,165,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013456.html
https://en.asiangames2018.id/athletes/athlete/ASLAM-Saja-3012652/,saja,aslam,SRI,Kabaddi,04/21/1997,Ampara,Sri Lanka,21,182,"6'0""",72,159,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012652.html
https://en.asiangames2018.id/athletes/athlete/BADDE-GEDARA-Sanjeewa-Udayasiri-J-3013038/,SANJEEWA UDAYASIRI JAYARA,BADDE GEDARA,SRI,Baseball,01/07/1990,DAMBULLA,Sri Lanka,28,168,"5'6""",70,154,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013038.html
https://en.asiangames2018.id/athletes/athlete/BALAWARDHANA-Pethum-Nuwan-3018919/,PETHUM NUWAN,BALAWARDHANA,SRI,Wushu,03/12/1991,,Sri Lanka,27,174,"5'9""",60,132,0,0,0,"[('Beginning', 'He took up the sport in 2014 while serving in the navy. (Athlete, 25 Aug 2018)'), ('Reason', 'He got involved in wushu as a hobby and because he wanted to improve his health. He also believed he would have the chance to win a medal for his country. (Athlete, 25 Aug 2018)'), ('Coach', 'Kapila Badra Sabahapahi, SRI (Athlete, 25 Aug 2018)'), ('Memorable', 'Finishing fifth at the 2017 World Championships in Kazan, Russian Federation. (Athlete, 25 Aug 2018)'), ('Hero', 'Coach Kapila Badra Sabahapahi. (Athlete, 25 Aug 2018)'), ('Influence', 'President of the Wushu Federation of Sri Lanka, Manel Dharmakeerthie. (Athlete, 25 Aug 2018)'), ('Languages', 'English, Sinhala'), ('Hobbies', 'Martial arts. (Athlete, 25 Aug 2018)'), ('Highlights', 'RankEventYearLocationWorld Championships5Sanda -60kg2017Kazan, RUS9Sanda -60kg2015Jakarta, INA')]",['https://www.facebook.com/pathum.nuwan.75'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018919.html
https://en.asiangames2018.id/athletes/athlete/BANDARA-Meethalawe-Vidanalage-Ish-3013077/,MEETHALAWE VIDANALAGE ISHAN RA,BANDARA,SRI,Boxing,05/16/1991,HINGURAKGODA,Sri Lanka,27,159,"5'3""",52,115,0,0,0,"[('Beginning', 'He began boxing at school. (Athlete, 22 Aug 2018)'), ('Reason', 'He took up the sport as a hobby. (Athlete, 22 Aug 2018)'), ('Debut', '2018 for Sri Lanka, Commonwealth Games in Gold Coast, Australia (Athlete, 22 Aug 2018)'), ('Coach', 'Sampath Jayathilaka, SRI (Athlete, 22 Aug 2018)'), ('Memorable', 'Winning bronze at the 2018 Commonwealth Games in Gold Coast, QLD, Australia. (Athlete, 22 Aug 2018)'), ('Hero', 'US boxers Muhammad Ali and Mike Tyson. (Athlete, 22 Aug 2018)'), ('Influence', 'His brother. (Athlete, 22 Aug 2018)'), ('Languages', 'English, Sinhala'), ('Hobbies', 'Listening to music, playing games. (Athlete, 22 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships7Fly (52kg)2017Tashkent, UZBSouth Asian Games3Fly (52kg)2016IndiaCommonwealth Games3Fly (52kg)2018Gold Coast, QLD, AUS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013077.html
https://en.asiangames2018.id/athletes/athlete/BENTHU-HEWAGE-Wasantha-Lakmal-3021794/,Wasantha Lakmal,Benthu Hewage,SRI,Volleyball,10/16/1992,,,25,197,"6'6""",97,214,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships14Men2017IndonesiaSouth Asian Games2Men2016Guwahati, IND')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021794.html
https://en.asiangames2018.id/athletes/athlete/BODIYABADU-WIJESINGHEGE-T-S-R-3024294/,THARANGA SAMPATH RUPASINGHE,BODIYABADU WIJESINGHEGE,SRI,Rowing,11/15/1990,,,27,183,"6'0""",72,159,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3024294.html
https://en.asiangames2018.id/athletes/athlete/BOGAHALANDA-Gnanasagari-Gunasingha-3021780/,GNANASAGARI GUNASINGHA,BOGAHALANDA,SRI,Beach Volleyball,02/11/1983,MEDIRIGIRIYA,Sri Lanka,35,171,"5'7""",65,143,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021780.html
https://en.asiangames2018.id/athletes/athlete/BOTHALE-APPUHAMILAGE-DON-R-S-N-3029808/,Ravidu Seran Nimanka,Bothale Appuhamilage Don,SRI,Hockey,02/24/1997,,,21,,,50,110,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3029808.html
https://en.asiangames2018.id/athletes/athlete/CHAKRAWARTHIGE-Rehan-Rumesh-Silva-3013230/,Rehan Rumesh Silva,Chakrawarthige,SRI,Rugby Sevens,11/15/1996,,,21,188,"6'2""",79,174,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013230.html
https://en.asiangames2018.id/athletes/athlete/CHANDRADAS-Dansha-Dayan-3013498/,Dansha Dayan,Chandradas,SRI,Rugby Sevens,01/21/1993,,,25,182,"6'0""",87,192,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013498.html
