url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ADRIBE-Hani-3016165/,HANI,ADRIBE,SYR,Basketball,10/04/1990,DAMASCUS,Syria Arab Republic,27,205,"6'9""",95,209,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016165.html
https://en.asiangames2018.id/athletes/athlete/AL-AHMAD-Ahmad-3015991/,Ahmad,Al Ahmad,SYR,Football,10/18/1996,,,21,160,"5'3""",58,128,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015991.html
https://en.asiangames2018.id/athletes/athlete/AL-ASTA-Mhd-Feda-Aldin-3004377/,MHD FEDA ALDIN,AL ASTA,SYR,Wrestling,01/30/1999,DAMASCUS,Syria Arab Republic,19,178,"5'10""",74,163,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004377.html
https://en.asiangames2018.id/athletes/athlete/AL-AWAD-Iz-Aldin-3016088/,Iz Aldin,Al Awad,SYR,Football,10/11/1991,,,26,172,"5'8""",67,148,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016088.html
https://en.asiangames2018.id/athletes/athlete/AL-BARAZI-Azad-3005021/,AZAD,AL BARAZI,SYR,Swimming,01/04/1988,SAUDIA,Kingdom of Saudi Arabia,30,205,"6'9""",90,198,0,0,0,"[('Beginning', ""He grew up as a water polo player and started swimming competitively at age 16. He was 'discovered' while he was swimming laps at the town pool near his grandmother's home in 2010. (swimswam.com, 14 Apr 2016)""), ('Reason', '""Swimming is a way of life - it\'s not just a sport. It helps you throughout the long run. Getting up every morning, hopping into that cold pool, swimming and putting in heart and dedication."" (kaleo.org, 11 Mar 2010)'), ('Additional Information', 'GeneralDUAL CITIZENHe and his family moved to the United States of America in 1996. He has dual citizenship in the Syrian Arab Republic and the United States of America. He was invited to apply for Syrian citizenship in order to represent the country internationally. (aljazeera.com, 20 Feb 2014; kaleo.org, 11 Mar 2010)OCCUPATIONIn 2007 he began working as a lifeguard at the Los Angeles County Fire Department Lifeguard Division in California, United States of America. He also makes hand paddles from recycled surfboards under the brand name EZ-A Handboards. He has an inventory in three local surf shops and sells his merchandise over social media. (washingtonpost.com, 13 Mar 2016) '), ('Relatives', ""Muhsin al-Barazi, his grandfather's cousin, became prime minister of Syria in 1949 but was killed a month later by a firing squad during a coup d'etat. Juan Barazi, another relative, was a noted race car driver who competed in the Le Mans Series. (washingtonpost.com, 13 Mar 2016; aljazeera.com, 20 Feb 2014)""), ('Nickname', 'EZ-A (washingtonpost.com, 13 Mar 2016)'), ('Education', 'Human Movement Studies - University of Hawaii, Honolulu, HI, USA'), ('Languages', 'Arabic, English'), ('Hobbies', 'Surfing. (washingtonpost.com, 13 Mar 2016)'), ('Highlights', 'RankEventYearLocationResultOlympic GamesHeats100m Breaststroke2016Rio de Janeiro, BRA1:02.22Heats100m Breaststroke2012London, GBR1:03.48World ChampionshipsHeats50m Breaststroke2017Budapest, HUN28.13Heats100m Breaststroke2017Budapest, HUN1:02.26Heats100m Breaststroke2015Kazan, RUS1:02.51Heats200m Breaststroke2015Kazan, RUS2:18.19Heats100m Breaststroke2011Shanghai, CHN1:04.23Heats200m Breaststroke2011Shanghai, CHN2:19.71Asian Championships550m Breaststroke2016Tokyo, JPN27.995100m Breaststroke2016Tokyo, JPN1:01.78Heats200m Breaststroke2016Tokyo, JPN2:22.37World Championships Short CourseHeats50m Breaststroke2016Windsor, ON, CAN27.23Heats100m Breaststroke2016Windsor, ON, CAN59.55Heats50m Breaststroke2014Doha, QAT28.17Heats100m Breaststroke2014Doha, QAT1:00.26Heats200m Breaststroke2014Doha, QAT2:10.21Heats200m Breaststroke2016Windsor, ON, CANDSQ')]","['https://twitter.com/azadalbarazi', 'https://instagram.com/eza_surf', 'https://www.facebook.com/azad.albarazi', 'https://instagram.com/eza_surf']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005021.html
https://en.asiangames2018.id/athletes/athlete/AL-GHAMIAN-Mohammad-Ammar-3016360/,Mohammad Ammar,Al Ghamian,SYR,Basketball,02/25/2001,,,17,203,"6'8""",85,187,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016360.html
https://en.asiangames2018.id/athletes/athlete/AL-GHAMIAN-Mohammad-Ammar-3016360/,Mohammad Ammar,Al Ghamian,SYR,Basketball,02/25/2001,,,17,203,"6'8""",85,187,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016360.html
https://en.asiangames2018.id/athletes/athlete/AL-MOAKEE-Tarek-3005186/,TAREK,AL MOAKEE,SYR,Cycling Road,08/09/1997,DAMASCUS,Syria Arab Republic,21,175,"5'9""",72,159,0,0,0,"[('Additional Information', 'GeneralFROM SYRIA TO GERMANYIn 2015 he moved from the Syrian Arab Republic to Germany to flee the war. He and Syrian cyclists Yalmaz Habash, Nazir Jaser and Nabil Allaham crossed the Mediterranean Sea together on a boat and then continued on foot. After 28 days they arrived in Germany by plane. (riffreporter.de, 04 Dec 2016; mopo.de, 20 Aug 2016) '), ('Injuries', 'In March 2017 he was involved in a crash during a race in Berlin, Germany. He fell through the back window of a parked car, sustaining cuts to his face and neck. (Facebook team page, 27 Mar 2017; maz-online.de, 27 Mar 2017)'), ('Languages', 'Arabic')]","['https://www.facebook.com/profile.php?id=100003946104015', 'http://app.strava.com/athletes/20267131']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005186.html
https://en.asiangames2018.id/athletes/athlete/AL-MOAKEE-Tarek-3005186/,TAREK,AL MOAKEE,SYR,Cycling Road,08/09/1997,DAMASCUS,Syria Arab Republic,21,175,"5'9""",72,159,0,0,0,"[('Additional Information', 'GeneralFROM SYRIA TO GERMANYIn 2015 he moved from the Syrian Arab Republic to Germany to flee the war. He and Syrian cyclists Yalmaz Habash, Nazir Jaser and Nabil Allaham crossed the Mediterranean Sea together on a boat and then continued on foot. After 28 days they arrived in Germany by plane. (riffreporter.de, 04 Dec 2016; mopo.de, 20 Aug 2016) '), ('Injuries', 'In March 2017 he was involved in a crash during a race in Berlin, Germany. He fell through the back window of a parked car, sustaining cuts to his face and neck. (Facebook team page, 27 Mar 2017; maz-online.de, 27 Mar 2017)'), ('Languages', 'Arabic')]","['https://www.facebook.com/profile.php?id=100003946104015', 'http://app.strava.com/athletes/20267131']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005186.html
https://en.asiangames2018.id/athletes/athlete/AL-OSH-Sharif-3016131/,Sharif,Al Osh,SYR,Basketball,03/14/1988,,,30,185,"6'1""",87,192,0,0,0,"[('Highlights', 'RankEventYearLocationAsia Cup10Men2017Beirut, LIB')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3016131.html
