url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AEADWONG-Nattipong-3017918/,Nattipong,Aeadwong,THA,Artistic Gymnastics,05/21/1998,PHATTHALUNG,Thailand,20,172,"5'8""",63,139,0,0,0,"[('Beginning', 'He began the sport in 2002 in Phatthalung, Thailand. (Athlete, 26 Aug 2018)'), ('Reason', 'His family encouraged him to try the sport. (Athlete, 26 Aug 2018)'), ('Coach', 'Pornpong, THA (Athlete, 26 Aug 2018)'), ('Hero', 'His parents. (Athlete, 26 Aug 2018)'), ('Influence', 'His coach. (Athlete, 26 Aug 2018)'), ('Education', 'National College of Sport, Sukhothai, THA'), ('Languages', 'Thai'), ('Highlights', 'RankEventYearLocationResultWorld Championships37Vault2017Montreal, QC, CAN13.100106Pommel Horse2017Montreal, QC, CAN11.033110Floor Exercise2017Montreal, QC, CAN11.266112Rings2017Montreal, QC, CAN10.566South East Asian Games3Team2017Kuala Lumpur, MAS293.2005Pommel Horse2017Kuala Lumpur, MAS12.6006Parallel Bars2017Kuala Lumpur, MAS13.0007Rings2017Kuala Lumpur, MAS11.45012Vault2017Kuala Lumpur, MAS12.87513Horizontal Bar2017Kuala Lumpur, MAS12.00018Floor Exercise2017Kuala Lumpur, MAS12.000')]","['https://instagram.com/nattipong21', 'https://instagram.com/nattipong21']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3017918.html
https://en.asiangames2018.id/athletes/athlete/AMSAM-ANG-Patsapong-3001552/,Patsapong,Amsam Ang,THA,Athletics,10/02/1997,RATCHABURI,Thailand,20,169,"5'7""",64,141,0,0,1,"[('Beginning', 'He took up athletics in 2007. (Athlete, 16 Aug 2018)'), ('Coach', 'Sompong Saombankuay, THA (Athlete, 16 Aug 2018)'), ('Education', 'Institute of Physical Education, Thailand'), ('Languages', 'Thai'), ('Highlights', 'RankEventYearLocationResultAsian Championships4Pole Vault2017Bhubaneswar, IND5.40South East Asian Games2Pole Vault2017Kuala Lumpur, MAS5.30World Junior ChampionshipsQualificationPole Vault2016Bydgoszcz, POL4.95')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001552.html
https://en.asiangames2018.id/athletes/athlete/ANANTI-Chitchai-3021807/,Chitchai,Ananti,THA,Basketball,06/26/1990,,,28,188,"6'2""",65,143,0,0,0,"[('Highlights', 'RankEventYearLocationSouth East Asian Games3Men2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021807.html
https://en.asiangames2018.id/athletes/athlete/ANGSUTHASAWIT-Jai-3008174/,JAI,ANGSUTHASAWIT,THA,Cycling Track,02/16/1995,Australia,Australia,23,166,"5'5""",75,165,1,0,0,"[('Beginning', 'He took up cycling in 2006. (LinkedIn profile, 1 Jan 2018)'), ('Additional Information', ""GeneralREPRESENTING THAILANDHe previously competed in track cycling for Australia, including at the 2013 World Championships in Glasgow, Scotland, where he won gold in the junior team sprint. He also won gold in the men's team sprint at the 2016 Australian national championships in Adelaide, SA. In September 2017, he chose to begin representing Thailand. (SportsDeskOnline, 26 Jul 2018; Facebook page, 20 Jul 2018; Thai-Australian Association of South Australia's Facebook page, 25 Sep 2017, sbs.com.au, 04 Feb 2016; cyclingnews.com, 08 Aug 2013) ""), ('Nickname', 'Tj (Facebook profile, 20 Jul 2018)'), ('Injuries', ""In 2018, he fractured his collarbone in a crash during the final of the men's keirin event at the Hong Kong International Track Cup. (Facebook profile, 01 Apr 2018; Instagram profile, 31 Mar 2018)""), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationAsian Championships9Keirin2018Nilai, MAS9Team Sprint2018Nilai, MASUCI Ranking (as of 07 Aug 2018)100Keirin2018/2019190Sprint2018/2019')]","['https://www.facebook.com/tjjaiathlete', 'https://instagram.com/tjjai', 'https://www.facebook.com/tjjai.angsuthasawit', 'https://www.linkedin.com/in/jai-angsuthasawit-0a3168167/', 'https://instagram.com/tjjai']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008174.html
https://en.asiangames2018.id/athletes/athlete/ANIRUTH-DEVA-Fuangvich-3018422/,FUANGVICH,ANIRUTH DEVA,THA,Equestrian,07/28/1963,BANGKOK,Thailand,55,172,"5'8""",67,148,0,0,1,"[('Beginning', 'He began riding at a young age. (Thailand Tatler, 01 Mar 2017)'), ('Reason', '""I grew up with horses and equestrian sport as my late father General Deva was involved with horses in Thailand. He was one of the main group of people who initiated the formation of the equestrian federation here in Thailand. I think [equestrian] is in my blood. On my mother\'s side, my grandfather was the first chairman of the polo club in Lumpini Park [in Bangkok, Thailand], so of course he rode a lot and so did my mum."" (fei.org, 26 Feb 2018; Thailand Tatler, 01 Mar 2017)'), ('Coach', 'Maxime Livio [personal], FRA (fei.org, 26 Feb 2018)'), ('Memorable', 'Winning team gold in eventing at the 1998 Asian Games in Bangkok, Thailand, claiming team gold and individual bronze in dressage at the 1995 South East Asian Games in Chiang Mai, Thailand, and assisting in the development of equestrian sport in Thailand. (fei.org, 26 Feb 2018)'), ('Additional Information', 'GeneralOTHER ACTIVITIESHe has served as general secretary and vice president of the Thailand Equestrian Federation. He is also the director of the equestrian section at Thai Polo Equestrian Club in Pattaya, Thailand. (Facebook profile, 10 Jul 2018; fei.org, 26 Feb 2018; bangkokpost.com, 09 Sep 2014)FUTHER EDUCATIONHe also studied at Sasin Graduate Institute of Business Administration of Chulalongkorn University. (Facebook profile, 10 Jul 2018) '), ('Nickname', 'Sam (Facebook profile, 10 Jul 2018)'), ('Education', 'Chulalongkorn University, Bangkok, THA'), ('Languages', 'English, Thai'), ('Highlights', 'EQUESTRIAN EVENTINGRankEventYearLocationAsian Games1Eventing Team1998Bangkok, THA4Eventing Individual1998Bangkok, THA6Eventing Team2014Incheon, KOR17Eventing Individual2014Incheon, KOREQUESTRIAN JUMPINGRankEventYearLocationWorld Cup South East Asian League4Jumping Individual2015/2016Pattaya, THAELJumping Individual2015/2016Pattaya, THA')]","['https://www.facebook.com/fuangvich.aniruthdeva', 'https://www.facebook.com/sam.aniruthdeva']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3018422.html
https://en.asiangames2018.id/athletes/athlete/ANUTARAPORN-Suvaporn-3002268/,SUVAPORN,ANUTARAPORN,THA,Archery,10/03/1970,RATCHABURI,Thailand,47,168,"5'6""",59,130,0,0,0,"[('Education', 'Ramkhamhaeng University, Bangkok, THA'), ('Languages', 'English, Thai'), ('Highlights', ""RankEventYearLocationWorld Cup24Compound Mixed Team2016Shanghai, CHN33Compound Individual2018Shanghai, CHN33Compound Individual2016Shanghai, CHN33Compound Individual2015Shanghai, CHN57Compound Individual2017Shanghai, CHNAsian Championships8Compound Women's Team2015Bangkok, THA9Compound Mixed Team2015Bangkok, THA17Compound Individual2017Dhaka, BAN17Compound Individual2015Bangkok, THASouth East Asian Games2Compound Women's Team2013Naypyidaw, MYA4Compound Women's Team2017Kuala Lumpur, MAS9Compound Individual2017Kuala Lumpur, MAS14Compound Individual2013Naypyidaw, MYA17Compound Individual2015SingaporeWorld Ranking (as of 01 Aug 2018)106Compound Individual2018"")]","['https://www.facebook.com/PUM.goldfish/', 'https://instagram.com/suvaporn_anutaraporn/', 'https://www.facebook.com/suvaporn.anutaraporn', 'https://instagram.com/suvaporn_anutaraporn/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002268.html
https://en.asiangames2018.id/athletes/athlete/AOENTHACHAI-Thanyalak-3028675/,THANYALAK,AOENTHACHAI,THA,Canoe/Kayak Sprint,04/05/1997,,,21,158,"5'2""",64,141,0,0,0,"[('Highlights', 'RankEventYearLocationResultSouth East Asian Games2Kayak Four (K4) 500m2015Singapore, SIN1:41.586')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3028675.html
https://en.asiangames2018.id/athletes/athlete/APINYAPONG-Wilavan-3012710/,Wilavan,Apinyapong,THA,Volleyball,06/06/1984,,,34,174,"5'9""",70,154,0,1,0,"[('Highlights', 'RankEventYearLocationAsian Games3Women2014Incheon, KOR4Women2006Doha, QAT5Women2010Guangzhou, CHNWorld Championship13Women2010JapanWorld Grand Prix6Women20169Women201510Women2017Asian Championships1Women2013Thailand1Women2009Vietnam2Women2017Philippines3Women2015ChinaSouth East Asian Games1Women2017Kuala Lumpur, MAS1Women2013Naypyidaw, MYA1Women2011Indonesia1Women2009Vientiane, LAO1Women2007Nakhon Ratchasima, THA1Women2005Manila, PHI1Women2003Ho Chi Minh City, VIE')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012710.html
https://en.asiangames2018.id/athletes/athlete/APIROMVILAICHAI-Darongpan-3021808/,DARONGPAN,APIROMVILAICHAI,THA,Basketball,03/04/1985,SUKHOTHAI,Thailand,33,183,"6'0""",76,168,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3021808.html
https://en.asiangames2018.id/athletes/athlete/APISUK-Inkarat-3012539/,INKARAT,APISUK,THA,Badminton,04/07/1993,BANGKOK,Thailand,25,180,"5'11""",71,157,0,0,0,"[('Coach', 'Rexy Mainaky [national], INA (nationmultimedia.com, 20 May 2018)'), ('Nickname', 'Ice (siamsport.co.th, 06 Apr 2018)'), ('Education', 'Kasetsart University, Bangkok, THA'), ('Languages', 'Thai'), ('Highlights', ""RankEventYearLocationBWF World Tour3Men's Doubles2018Akita, JPN3Men's Doubles2018Calgary, AB, CANQuarterfinalMen's Doubles2018Auckland, NZLLast 16Men's Doubles2018Ho Chi Minh City, VIELast 16Men's Doubles2018Basel, SUILast 16Men's Doubles2018Bangkok, THALast 16Men's Doubles2017Bangkok, THALast 16Men's Doubles2017Bangkok, THALast 16Men's Doubles2016Bangkok, THALast 32Men's Doubles2018Singapore, SINLast 32Men's Doubles2018Bangkok, THALast 32Men's Doubles2018Fullerton, CA, USALast 32Men's Doubles2018Melbourne, GBRLast 32Men's Doubles2017Ho Chi Minh City, VIELast 32Men's Doubles2017Taipei, TPEWorld Ranking (as of 02 Aug 2018)46Men's Doubles2018"")]","['https://instagram.com/iceinkarat/', 'https://www.facebook.com/iceze.apisuk?lst=672003342%3A1642045776%3A1531967405', 'https://instagram.com/iceinkarat/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012539.html
