url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDIRAHMANOV-Sanjar-3008771/,SANJAR,ABDIRAHMANOV,TKM,Kurash,04/21/1995,ASHGABAT,Turkmenistan,23,189,"6'2""",92,203,0,0,0,"[('Beginning', 'He took up the sport in 2002 in Koytendag, Turkmenistan. (Athlete, 18 Aug 2018)'), ('Coach', 'Murad Kurbanov, TKM, from 2015; Firuddin Khudayberdiyev [national], TKM (Athlete, 18 Aug 2018)'), ('Memorable', 'Winning bronze in the 81kg division at the 2016 Asian Beach Games in Da Nang, Vietnam. (Athlete, 18 Aug 2018)'), ('Nickname', 'Maynak (Athlete, 18 Aug 2018)'), ('Languages', 'Russian, Turkmen'), ('Hobbies', 'Sports. (Athlete, 18 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Indoor and Martial Arts Games5-90 kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008771.html
https://en.asiangames2018.id/athletes/athlete/AGAMYRADOV-Annageldi-3007739/,ANNAGELDI,AGAMYRADOV,TKM,Wushu,06/12/1998,,Turkmenistan,20,172,"5'8""",68,150,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007739.html
https://en.asiangames2018.id/athletes/athlete/AGAYEV-Mirali-3009064/,Mirali,Agayev,TKM,Ju-Jitsu,07/20/1995,,Turkmenistan,23,172,"5'8""",63,139,0,0,0,"[('Coach', 'Dovletmyrat Kasymov [national], TKM (Athlete, 13 Jul 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships9Fighting System -62kg2018Aktau, KAZ13Newaza -62kg2018Aktau, KAZAsian Indoor and Martial Arts Games9Newaza -56kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009064.html
https://en.asiangames2018.id/athletes/athlete/ALLABERDYYEV-Nedir-3008761/,NEDIR,ALLABERDYYEV,TKM,Kurash,08/13/1993,ASHGABAT,Turkmenistan,25,178,"5'10""",75,165,0,0,0,"[('Beginning', 'He began the sport in 2002 at age nine in Koytendag, Turkmenistan. (Athlete, 18 Aug 2018)'), ('Coach', 'Murad Kurbanov [personal], TKM, from 2015; Firuddin Khudayberdiyev [national], TKM (Athlete, 18 Aug 2018)'), ('Memorable', 'Winning silver in the 66kg division at the 2017 Asian Indoor and Martial Arts Games in Ashgabat, Turkmenistan. (Athlete, 18 Aug 2018)'), ('Education', 'National Institute of Sports and Tourism of Turkmenistan, Ashgabat, TKM'), ('Languages', 'Russian, Turkmen'), ('Hobbies', 'Bodybuilding. (Athlete, 18 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Indoor and Martial Arts Games2-66 kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008761.html
https://en.asiangames2018.id/athletes/athlete/ASHYROV-Dayanch-3010213/,DAYANCH,ASHYROV,TKM,Weightlifting,03/30/1994,,Turkmenistan,24,186,"6'1""",85,187,0,0,0,"[('Beginning', 'He began weightlifting in 2004 in Ashgabat, Turkmenistan. (Athlete, 18 Sep 2014)'), ('Reason', 'His neighbour, who was a weightlifting coach, convinced him to try the sport. (ashgabat2017.com, 22 Sep 2017)'), ('Coach', 'Agamurat Janmuradov [national], TKM (sng.today, 17 Aug 2017)'), ('Hero', 'Turkmenistani weightlifter Altimurat Orazdurdiev. (Athlete, 18 Sep 2014)'), ('Education', 'Coaching, Teaching - National Institute of Sports and Tourism, Ashgabat, TKM'), ('Languages', 'Turkmen'), ('Highlights', 'RankEventYearLocationResultAsian Games777kg2014Incheon, KOR325World Championships1585kg - Snatch2015Houston, TX, USA1572277kg - Snatch2014Almaty, KAZ1452477kg2014Almaty, KAZ3132777kg - Clean & Jerk2014Almaty, KAZ168NoM85kg2017Anaheim, CA, USANoMNoM85kg - Snatch2017Anaheim, CA, USANoMNoM85kg - Clean & Jerk2017Anaheim, CA, USANoMNoM85kg2015Houston, TX, USANoMNoM85kg - Clean & Jerk2015Houston, TX, USANoMAsian Championships485kg - Snatch2017Ashgabat, TKM155685kg2017Ashgabat, TKM341685kg - Clean & Jerk2017Ashgabat, TKM186785kg - Snatch2016Tashkent, UZB1541085kg2016Tashkent, UZB3291385kg - Clean & Jerk2016Tashkent, UZB175Asian Indoor and Martial Arts Games485kg2017Ashgabat, TKM356')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010213.html
https://en.asiangames2018.id/athletes/athlete/ATAYEV-Kerim-3010229/,KERIM,ATAYEV,TKM,Basketball 3x3,03/09/1999,,Turkmenistan,19,183,"6'0""",82,181,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010229.html
https://en.asiangames2018.id/athletes/athlete/ATAYEV-Merdan-3007098/,MERDAN,ATAYEV,TKM,Swimming,05/08/1995,,Turkmenistan,23,200,"6'7""",90,198,0,0,0,"[('Beginning', 'He began swimming in 2005 in Ashgabat, Turkmenistan. (Athlete, 17 Sep 2014)'), ('Reason', 'His father took him to a swimming pool. (Athlete, 17 Sep 2014; Athlete, 02 Aug 2016)'), ('Debut', '2014 for Turkmenistan, in Istanbul, Turkey (Athlete, 17 Sep 2014)'), ('Coach', 'Sergey Yepifanov, TKM, from 2012 (Athlete, 02 Aug 2016; trend.az, 20 Jun 2017)'), ('Memorable', 'Qualifying for the 2016 Olympic Games in Rio de Janeiro. (Athlete, 02 Aug 2016)'), ('Awards', ""He was Turkmenistan's flag bearer at the closing ceremony of the 2016 Olympic Games in Rio de Janeiro. (ashgabat2017.com, 24 Sep 2017)He holds the title of Master of Sport in Turkmenistan. (trend.az, 20 Jun 2017)""), ('Hero', 'US swimmer Aaron Peirsol. (Athlete, 02 Aug 2016)'), ('Influence', 'His parents. (Athlete, 02 Aug 2016)'), ('Education', 'Coaching - National Institute of Sports and Tourism of Turkmenistan, Ashgabat, TKM'), ('Languages', 'Russian, Turkmen'), ('Hobbies', 'Water polo. (Athlete, 02 Aug 2016)'), ('Highlights', 'RankEventYearLocationResultAsian Games7100m Backstroke2014Incheon, KOR56.63Heats50m Backstroke2014Incheon, KOR26.31Olympic GamesHeats100m Backstroke2016Rio de Janeiro, BRA56.34World ChampionshipsHeats50m Backstroke2015Kazan, RUS26.64Heats100m Backstroke2015Kazan, RUS57.57Asian Championships850m Backstroke2016Tokyo, JPN26.008100m Backstroke2016Tokyo, JPN55.94World Championships Short CourseHeats50m Backstroke2014Doha, QAT25.80Heats100m Backstroke2014Doha, QAT56.82Asian Indoor and Martial Arts Games5100m Backstroke2017Ashgabat, TKM52.86750m Backstroke2017Ashgabat, TKM24.77104 x 50m Freestyle Relay2017Ashgabat, TKM1:35.96114 x 50m Medley Relay2017Ashgabat, TKM1:44.90')]",['http://vk.com/id349417582'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007098.html
https://en.asiangames2018.id/athletes/athlete/AVEZMETOVA-Sayara-3009018/,Sayara,Avezmetova,TKM,Ju-Jitsu,11/24/1999,,Turkmenistan,18,172,"5'8""",50,110,0,0,0,"[('Beginning', 'She began the sport in 2015 in Turkmenabat, Turkmenistan. (Athlete, 07 Jun 2018)'), ('Debut', '2016 for Turkmenistan, Asian Championships in Ashgabat, Turkmenistan (Athlete, 07 Jun 2018)'), ('Coach', 'Rustam Imamkulyyev [national], TKM; Dovletmyrat Kasymov, TKM; Serdar Achilov, TKM (Athlete, 07 Jun 2018)'), ('Ambition', 'To win a medal at the 2018 Asian Games in Indonesia. (Athlete, 07 Jun 2018)'), ('Memorable', 'Winning gold in the 49kg category at the 2018 World Junior Championships in Abu Dhabi, United Arab Emirates. (Athlete, 07 Jun 2018)'), ('Awards', 'She has received the title of Master of Sport of International Class in Turkmenistan. (Athlete, 07 Jun 2018)'), ('Hero', 'Turkmen judoka and sambo wrestler Gulbadam Babamuratova. (Athlete, 07 Jun 2018)'), ('Languages', 'Russian, Turkmen, Uzbek'), ('Highlights', 'RankEventYearLocationAsian Championships5Newaza -49kg2016Ashgabat, TKM7Newaza -49kg2018Aktau, KAZWorld Junior Championships1Newaza -49kg2018Abu Dhabi, UAE')]",['http://vk.com/id452005572'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009018.html
https://en.asiangames2018.id/athletes/athlete/AYNAZAROVA-Jennet-3007616/,JENNET,AYNAZAROVA,TKM,Wushu,08/13/1992,,Turkmenistan,26,178,"5'10""",60,132,0,0,0,"[('Beginning', 'She began the sport in 2005 in Ashgabat, Turkmenistan. (Athlete, 17 Sep 2014)'), ('Reason', 'She found the sport to be beautiful. (Athlete, 17 Sep 2014)'), ('Coach', 'Yazmyrat Annamyradov [national], TKM (turkmenistan.gov.tm, 21 Feb 2017)'), ('Awards', ""She was named among the 10 best athletes of the year for 2014 in Turkmenistan, by the nation's State Sports Committee. (arzuw.news, 16 Jan 2015)""), ('Hero', 'Turkmenistan weightlifter Altimurat Orazdurdiev. (Athlete, 17 Sep 2014)'), ('Influence', 'Her father. (Athlete, 17 Sep 2014)'), ('Languages', 'Russian, Turkmen'), ('Highlights', 'RankEventYearLocationAsian Games3Sanda -60kg2014Incheon, KOR')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007616.html
https://en.asiangames2018.id/athletes/athlete/BABAMURATOVA-Gulbadam-3010200/,Gulbadam,BABAMURATOVA,TKM,Judo,08/24/1991,,Turkmenistan,27,166,"5'5""",54,119,0,0,0,"[('Beginning', 'She won her first gold medal at age 12 at a regional tournament in Turkmenistan, where she was noticed by coach Gapur Babakuliyev. He recognised her talent and suggested she join a specialised martial arts school in Turkmenabat, Turkmenistan. (turkmenistan.gov.tm, 20 Jun 2015)'), ('Coach', 'Chemengul Geldibayeva [national], TKM (Athlete, 03 May 2018)'), ('Ambition', 'To win gold in wrestling sambo at the 2018 World Championships in Bucharest, Romania. (turkmenportal.com, 13 Nov 2017)'), ('Awards', ""In 2017 she received the Order for Love for Independent Turkmenistan from the country's president. (news.zehinli.info, 16 Nov 2017)In 2014 and 2015 she was named Best Athlete of the Year in Turkmenistan. (gundogar-news.com, 02 Apr 2016)She has received the title of Honoured Master of Sport in Turkmenistan. (turkmenportal.com, 13 Nov 2017)""), ('Additional Information', 'Preferred techniquesTani-otoshi (judobase.ijf.org, 06 Apr 2018)'), ('Hero', 'Albanian judoka Majlinda Kelmendi. (Athlete, 16 Sep 2014)'), ('Influence', 'Her coach. (Athlete, 16 Sep 2014)'), ('Education', 'Coaching - National Institute of Sports and Tourism of Turkmenistan, Ashgabat, TKM'), ('Languages', 'English, Russian, Turkmen'), ('Highlights', 'JUDORankEventYearLocationAsian Games2-52 kg2014Incheon, KOR9-52 kg2010Guangzhou, CHNOlympic Games17-52 kg2016Rio de Janeiro, BRAWorld Championships5-52 kg2015Astana, KAZ17-52 kg2014Chelyabinsk, RUS17-52 kg2011Paris, FRA33-52 kg2010Tokyo, JPNGrand Slam9-52 kg2015Paris, FRA17-52 kg2015Tokyo, JPNGrand Prix1-52 kg2016Samsun, TUR1-52 kg2015Tashkent, UZB2-52 kg2015Qingdao, CHN3-52 kg2018Tbilisi, GEO3-52 kg2018Agadir, MAR3-52 kg2016Dusseldorf, GER5-52 kg2018Antalya, TUR5-52 kg2016Tbilisi, GEO7-52 kg2015Jeju, KOR7-52 kg2015Zagreb, CRO9-52 kg2016Havana, CUB9-52 kg2015Tbilisi, GEO17-52 kg2018Hohhot, CHNWorld Cup1-52 kg2015Taipei, TPE5-52 kg2018Taipei, TPEAsian Championships3-52 kg2016Tashkent, UZB5-52 kg2015Kuwait City, KUW9-52 kg2013Bangkok, THAIJF World Ranking (as of 01 Aug 2018)29-52 kg2018SAMBORankEventYearLocationWorld Championships152kg2017Sochi, RUS152kg2012Minsk, BLR252kg2011Vilnius, LTU352kg2016Sofia, BULAsian Championships152kg2017Tashkent, UZBAsian Indoor and Martial Arts Games152kg2017Ashgabat, TKM')]","['https://www.facebook.com/gulbadam.babamuratova.3', 'http://ok.ru/profile/538698663477']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010200.html
