url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/AN-Hoyu-3012105/,HOYU,AN,TPE,Golf,06/14/2003,,Chinese Taipei,15,170,"5'7""",70,154,0,0,0,"[('Beginning', 'She began playing golf at age nine in 2012 in Taichung, Chinese Taipei. (Athlete, 15 Aug 2018)'), ('Reason', 'Her father introduced her to the sport. (twgolf.org, 16 Mar 2018)'), ('Coach', 'Kao Shang-Hung, TPE, from 2014 (Athlete, 15 Aug 2018)'), ('Hero', 'US basketball player Kyrie Irving. (Athlete, 15 Aug 2018)'), ('Influence', 'Coach Kao Shang-Hung. (Athlete, 15 Aug 2018)'), ('Nickname', 'Anmei [Little Sister An]. (Athlete, 15 Aug 2018)'), ('Injuries', 'She was affected by a knee injury ahead of the 2018 Asian Games in Indonesia. (Athlete, 15 Aug 2018)'), ('Languages', 'English, Mandarin'), ('Hobbies', 'Watching basketball. (Instagram profile, 28 May 2018)'), ('Highlights', 'RankEventYearLocationLPGA Tour60Individual2017Taipei, TPE121Individual2018Adelaide, SA, AUSLadies European Tour42Individual2017Barwon Heads, VIC, AUS121Individual2018Barwon Heads, VIC, AUS')]","['https://instagram.com/angel_an0614/', 'https://www.facebook.com/profile.php?id=100012954888893', 'https://instagram.com/angel_an0614/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012105.html
https://en.asiangames2018.id/athletes/athlete/AN-Tingyao-3012603/,TINGYAO,AN,TPE,Swimming,08/26/1997,,Chinese Taipei,21,183,"6'0""",74,163,0,0,0,"[('Coach', 'Tseng Cheng-Tsung (sports.ettoday.net, 15 Apr 2018 )'), ('Ambition', 'To compete in the 2020 Olympic Games in Tokyo. (tw.running.biji.co, 01 Jun 2017)'), ('Education', 'Physical Education - Fu Jen Catholic University, New Taipei, TPE'), ('Languages', 'Mandarin'), ('Highlights', ""RankEventYearLocationResultWorld ChampionshipsHeats200m Freestyle2017Budapest, HUN1:52.09Heats400m Freestyle2017Budapest, HUN3:59.57Asian Championships34 x 200m Freestyle Relay2016Tokyo, JPN7:28.903Men's 4 x 100m Medley Relay2016Tokyo, JPN3:45.9864 x 100m Freestyle Relay2016Tokyo, JPN3:26.43Heats100m Freestyle2016Tokyo, JPN51.76Heats200m Freestyle2016Tokyo, JPN1:51.55Heats400m Freestyle2016Tokyo, JPN4:02.98World Championships Short CourseHeats200m Freestyle2016Windsor, ON, CAN1:49.24Heats400m Freestyle2016Windsor, ON, CAN3:59.29Asian Indoor and Martial Arts Games1200m Freestyle2017Ashgabat, TKM1:44.7314 x 50m Freestyle Relay2017Ashgabat, TKM1:28.0814 x 100m Freestyle Relay2017Ashgabat, TKM3:14.602200m Individual Medley2017Ashgabat, TKM1:56.9044 x 100m Medley Relay2017Ashgabat, TKM3:38.27"")]","['https://www.facebook.com/andy826/', 'https://www.facebook.com/profile.php?id=100013013775831']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3012603.html
https://en.asiangames2018.id/athletes/athlete/BAO-Hsile-3013550/,Hsile,Bao,TPE,Basketball,11/07/1990,,,27,196,"6'5""",80,176,0,0,0,"[('Highlights', 'RankEventYearLocationAsia Cup4Women2015Wuhan, CHN5Women2017Bengaluru, IND')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013550.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Chiahsin-3009209/,CHIAHSIN,CHAN,TPE,Soft Tennis,12/25/1992,,Chinese Taipei,25,165,"5'5""",57,126,0,0,1,"[('Beginning', 'She began playing soft tennis in 2003 while she was at school. (Athlete, 15 Aug 2018)'), ('Coach', 'Ye Yu-Ming [national], TPE (Athlete, 15 Aug 2018)'), ('Memorable', 'Competing at the 2014 Asian Games in Incheon, Republic of Korea. (Athlete, 15 Aug 2018)'), ('Additional Information', 'GeneralFURTHER EDUCATIONShe studied for a postgraduate degree in the department of exercise and social sciences at the University of Taipei in Chinese Taipei. (ndltd.ncl.edu.tw, 16 Jun 2017) '), ('Influence', 'Her coach. (Athlete, 15 Aug 2018)'), ('Nickname', 'Ball (Athlete, 15 Aug 2018)'), ('Education', 'Taipei Physical Education College , Chinese Taipei'), ('Languages', 'Mandarin'), ('Hobbies', 'Exercising. (Athlete, 15 Aug 2018)'), ('Highlights', ""RankEventYearLocationAsian Games3Team2014Incheon, KOR5Women's Doubles2014Incheon, KORWorld Championships9Women's Doubles2015New Delhi, IND9Singles2011Mungyeong, KORAsian Championships9Women's Doubles2012Chiayi, TPE"")]",['https://www.facebook.com/jiaxin.zhan1'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009209.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Haocheng-3007659/,HAOCHENG,CHAN,TPE,Kurash,10/27/1992,,Chinese Taipei,25,170,"5'7""",64,141,0,0,1,"[('Beginning', 'He began the sport in 2013. (uonlineblog.blogspot.com, 27 Mar 2014)'), ('Education', 'Taiwan Sport University, Taoyuan, TPE'), ('Languages', 'Mandarin'), ('Highlights', 'KURASHRankEventYearLocationAsian Indoor and Martial Arts Games8-66 kg2013Incheon, KORJUDORankEventYearLocationWorld Cup3-66 kg2017Taipei, TPEAsian Championships9-66 kg2017Hong Kong, CHNIJF World Ranking187-66 kg2018')]",['https://www.facebook.com/profile.php?id=100001564153736'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007659.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Haoching-3010603/,HAOCHING,CHAN,TPE,Tennis,09/19/1993,,Chinese Taipei,25,180,"5'11""",65,143,0,1,0,"[('Beginning', 'She first tried the sport at age two. (cw.com.tw, 05 Jan 2016)'), ('Reason', ""Her sister played under the guidance of their father on the family's private tennis court, and after watching them train she wanted to play too. (cw.com.tw, 05 Jan 2016)""), ('Awards', 'In 2016 she was named in the Top Ten Outstanding Youth of Chinese Taipei by the Junior Chamber International Taiwan. (ettoday.net, 09 Nov 2016)'), ('Hero', 'Chinese Taipei tennis player Chan Yung-Jan [her older sister]. (xzbu.com, 22 Jan 2013)'), ('Relatives', 'Her older sister Chan Yung-Jan has represented Chinese Taipei in tennis and competed as her doubles partner in WTA events. (tw.asiatatler.com, 05 May 2016; bbc.com, 15 Jul 2015)'), ('Nickname', 'Taipei Sharapova, Angel (wtatennis.com, 26 Oct 2015; sports.qq.com, 19 Sep 2013)'), ('Injuries', 'She was affected by a back injury at the 2018 French Open in Paris, but she was able to compete at the tournament. (tw.sports.yahoo.com, 05 Jun 2018)She was affected by a shoulder injury during the 2017 Wimbledon Open in London, England. (upower.com.hk, 15 Jul 2017)'), ('Education', 'Taiwan Sport University, Taoyuan, TPE'), ('Languages', 'English, Mandarin'), ('Hobbies', 'Music, acting, fashion. (Instagram profile, 23 Jun 2018)'), ('Highlights', ""RankEventYearLocationAsian Games1Team2014Incheon, KOR2Mixed Doubles2014Incheon, KORSemifinalWomen's Doubles2014Incheon, KOROlympic GamesQuarterfinalWomen's Doubles2016Rio de Janeiro, BRAGrand Slam2Mixed Doubles2017US Open2Women's Doubles2017Wimbledon2Mixed Doubles2014WimbledonSemifinalWomen's Doubles2018Roland GarrosQuarterfinalWomen's Doubles2017US OpenQuarterfinalWomen's Doubles2016Roland GarrosQuarterfinalMixed Doubles2016Roland GarrosQuarterfinalWomen's Doubles2016Australian OpenQuarterfinalWomen's Doubles2015US OpenQuarterfinalMixed Doubles2013US OpenLast 16Mixed Doubles2018WimbledonLast 16Mixed Doubles2018Australian OpenLast 16Women's Doubles2018Australian OpenLast 16Women's Doubles2017Roland GarrosLast 16Mixed Doubles2017Roland GarrosLast 16Mixed Doubles2016US OpenLast 16Women's Doubles2015WimbledonLast 16Women's Doubles2015Roland GarrosLast 16Mixed Doubles2015Australian OpenLast 16Mixed Doubles2014US OpenLast 16Women's Doubles2014Australian OpenLast 16Women's Doubles2012Roland GarrosLast 32Women's Doubles2018WimbledonLast 32Mixed Doubles2018Roland GarrosLast 32Mixed Doubles2017WimbledonLast 32Mixed Doubles2017Australian OpenLast 32Women's Doubles2016US OpenLast 32Mixed Doubles2016WimbledonLast 32Women's Doubles2016WimbledonLast 32Mixed Doubles2016Australian OpenLast 32Mixed Doubles2015Roland GarrosLast 32Women's Doubles2014US OpenLast 32Women's Doubles2014Roland GarrosLast 32Mixed Doubles2014Roland GarrosLast 32Mixed Doubles2014Australian OpenLast 32Women's Doubles2013Roland GarrosLast 64Women's Doubles2017Australian OpenLast 64Mixed Doubles2015WimbledonLast 64Women's Doubles2015Australian OpenLast 64Women's Doubles2014WimbledonLast 64Women's Doubles2013US OpenLast 64Women's Doubles2013WimbledonLast 64Mixed Doubles2013WimbledonLast 64Women's Doubles2013Australian OpenLast 64Women's Doubles2012US OpenLast 64Women's Doubles2012WimbledonWTA Race1Women's Doubles2018Dubai Duty Free Tennis Championships1Women's Doubles2017Prudential Hong Kong Tennis Open1Women's Doubles2017Taiwan Open1Women's Doubles2016Prudential Hong Kong Tennis Open1Women's Doubles2016Qatar Total Open1Women's Doubles2016Taiwan Open1Women's Doubles2015Japan Women's Open Tennis1Women's Doubles2015Western & Southern Open1Women's Doubles2015Nurnberger Versicherungscup1Women's Doubles2015PTT Thailand Open2Women's Doubles2017Wimbledon2Women's Doubles2017Aegon Classic Birmingham2Women's Doubles2017Internationaux de Strasbourg2Women's Doubles2016Aegon International Eastbourne2Women's Doubles2015China Open2Women's Doubles2015Toray Pan Pacific OpenSemifinalWomen's Doubles2018Roland GarrosSemifinalWomen's Doubles2018Taiwan OpenSemifinalWomen's Doubles2017Dubai Duty Free Tennis ChampionshipsSemifinalWomen's Doubles2016China OpenSemifinalWomen's Doubles2016Dongfeng Motor Wuhan OpenSemifinalWomen's Doubles2016Western & Southern OpenSemifinalWomen's Doubles2016Aegon Classic BirminghamSemifinalWomen's Doubles2016Apia International SydneySemifinalWomen's Doubles2015BNP Paribas WTA Finals, SINSemifinalWomen's Doubles2015Dongfeng Motor Wuhan OpenSemifinalWomen's Doubles2015Qatar Total OpenQuarterfinalWomen's Doubles2018Citi OpenQuarterfinalWomen's Doubles2018Nature Valley ClassicQuarterfinalWomen's Doubles2018Miami OpenQuarterfinalWomen's Doubles2017US OpenQuarterfinalWomen's Doubles2017Aegon Open NottinghamQuarterfinalWomen's Doubles2016BNP Paribas WTA Finals, SINQuarterfinalWomen's Doubles2016Aegon Open NottinghamQuarterfinalWomen's Doubles2016Roland GarrosQuarterfinalWomen's Doubles2016Mutua Madrid OpenQuarterfinalWomen's Doubles2016Australian OpenQuarterfinalWomen's Doubles2015US OpenQuarterfinalWomen's Doubles2015Connecticut OpenQuarterfinalWomen's Doubles2015Rogers Cup, CANQuarterfinalWomen's Doubles2015Bank of the West ClassicQuarterfinalWomen's Doubles2015Collector Swedish OpenQuarterfinalWomen's Doubles2015Aegon International EastbourneQuarterfinalWomen's Doubles2015Apia International SydneyLast 16Women's Doubles2018Rogers CupLast 16Women's Doubles2018Nature Valley InternationalLast 16Women's Doubles2018Nature Valley OpenLast 16Women's Doubles2018Internationaux de StrasbourgLast 16Women's Doubles2018Internazionali BNL d'ItaliaLast 16Women's Doubles2018Mutua Madrid OpenLast 16Women's Doubles2018BNP Paribas OpenLast 16Women's Doubles2018Qatar Total OpenLast 16Women's Doubles2018Australian OpenLast 16Women's Doubles2018Sydney InternationalLast 16Women's Doubles2018Brisbane InternationalLast 16Women's Doubles2017China OpenLast 16Women's Doubles2017Toray Pan Pacific OpenLast 16Women's Doubles2017Bank of the West ClassicLast 16Women's Doubles2017Aegon International EastbourneLast 16Women's Doubles2017Roland GarrosLast 16Women's Doubles2017Volvo Car OpenLast 16Women's Doubles2017Miami OpenLast 16Women's Doubles2017BNP Paribas OpenLast 16Women's Doubles2017Qatar Total OpenLast 16Women's Doubles2017Apia International SydneyLast 16Women's Doubles2017ASB ClassicLast 16Women's Doubles2016Toray Pan Pacific OpenLast 16Women's Doubles2016Rogers Cup, CANLast 16Women's Doubles2016BNP Paribas OpenLast 16Women's Doubles2016Brisbane InternationalLast 16Women's Doubles2015WimbledonLast 16Women's Doubles2015Aegon Classic BirminghamLast 16Women's Doubles2015Aegon Open NottinghamLast 16Women's Doubles2015Roland GarrosLast 16Women's Doubles2015Family Circle CupLast 16Women's Doubles2015Miami OpenLast 16Women's Doubles2015Brisbane InternationalLast 32Women's Doubles2018WimbledonLast 32Women's Doubles2017Dongfeng Motor Wuhan OpenLast 32Women's Doubles2017Internazionali BNL d'ItaliaLast 32Women's Doubles2017Mutua Madrid OpenLast 32Women's Doubles2016US OpenLast 32Women's Doubles2016WimbledonLast 32Women's Doubles2016Miami OpenLast 32Women's Doubles2015Internazionali BNL d'ItaliaLast 32Women's Doubles2015BNP Paribas OpenLast 32Women's Doubles2015Dubai Duty Free Tennis ChampionshipsLast 64Women's Doubles2017Australian OpenLast 64Women's Doubles2015Australian OpenEast Asian Games1Mixed Doubles2013Tianjin, CHN1Women's Doubles2013Tianjin, CHN1Team2013Tianjin, CHN"")]","['https://www.facebook.com/angelhcchan/', 'https://instagram.com/angelhcchan/', 'https://instagram.com/angelhcchan/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010603.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Pihan-3013270/,Pihan,Chan,TPE,Football,04/27/1992,,,26,159,"5'3""",54,119,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Games5Senior2014Incheon, KOREast Asian Games4Senior2013Asia')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013270.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Tzuhsien-3010566/,TZUHSIEN,CHAN,TPE,Baseball,02/24/1994,,Chinese Taipei,24,182,"6'0""",93,205,0,0,1,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010566.html
https://en.asiangames2018.id/athletes/athlete/CHAN-Yungjan-3010602/,YUNGJAN,CHAN,TPE,Tennis,08/17/1989,,Chinese Taipei,29,171,"5'7""",68,150,0,1,0,"[('Beginning', ""She began playing tennis at age six on the family's private tennis court in Taichung, Chinese Taipei. (taiwanopen.com.tw, 05 Feb 2016; cw.com.tw, 05 Jan 2016)""), ('Reason', 'Her father introduced her to the sport as he is a tennis coach. (vogue.com.tw, 17 Nov 2014; Athlete, 22 Nov 2010)'), ('Debut', 'Turned professional in 2004'), ('Coach', 'Li Chun Chiu [national], TPE (setn.com,29 Aug 2017)'), ('Hero', 'Swiss tennis player Martina Hingis. (k.sina.cn, 11 Feb 2017)'), ('Influence', 'Her father. (Athlete, 22 Nov 2010)'), ('Relatives', 'Her sister Chan Hao-Ching has represented Chinese Taipei in tennis and competed as her doubles partner in WTA events. (tw.asiatatler.com, 05 May 2016; bbc.com, 15 Jul 2015)'), ('Nickname', 'Latisha (wtatennis.com, 26 Oct 2015)'), ('Injuries', 'In June 2008 she withdrew from the tour event in Birmingham, England, with a back injury. (sonyericssonwtatour.com, 15 Jul 2008)'), ('Education', 'Sports Management - Taiwan Sport University, Chinese Taipei'), ('Languages', 'English, Mandarin'), ('Hobbies', 'Baking, charity, fashion. (Facebook page, 22 Jun 2018)'), ('Highlights', ""RankEventYearLocationAsian Games1Team2014Incheon, KOR1Women's Doubles2010Guangzhou, CHN1Mixed Doubles2010Guangzhou, CHN1Team2006Doha, QAT2Team2010Guangzhou, CHN2Women's Doubles2006Doha, QATSemifinalWomen's Doubles2014Incheon, KORQuarterfinalSingles2006Doha, QATOlympic GamesQuarterfinalWomen's Doubles2016Rio de Janeiro, BRALast 16Women's Doubles2008Beijing, CHNLast 64Singles2008Beijing, CHNGrand Slam1Mixed Doubles2018Roland Garros1Women's Doubles2017US Open2Women's Doubles2015Australian Open2Mixed Doubles2011Australian Open2Women's Doubles2007US Open2Women's Doubles2007Australian OpenSemifinalWomen's Doubles2017Roland GarrosSemifinalMixed Doubles2016US OpenSemifinalMixed Doubles2015US OpenSemifinalMixed Doubles2014US OpenSemifinalMixed Doubles2011WimbledonSemifinalWomen's Doubles2010US OpenQuarterfinalMixed Doubles2018WimbledonQuarterfinalWomen's Doubles2018Australian OpenQuarterfinalWomen's Doubles2017WimbledonQuarterfinalWomen's Doubles2016Roland GarrosQuarterfinalMixed Doubles2016Roland GarrosQuarterfinalMixed Doubles2016Australian OpenQuarterfinalWomen's Doubles2016Australian OpenQuarterfinalWomen's Doubles2015US OpenQuarterfinalMixed Doubles2015Roland GarrosQuarterfinalMixed Doubles2010US OpenQuarterfinalMixed Doubles2010WimbledonQuarterfinalWomen's Doubles2008Roland GarrosQuarterfinalMixed Doubles2008Australian OpenQuarterfinalWomen's Doubles2007Roland GarrosLast 16Mixed Doubles2018Australian OpenLast 16Mixed Doubles2017US OpenLast 16Mixed Doubles2017Australian OpenLast 16Mixed Doubles2016WimbledonLast 16Women's Doubles2015Roland GarrosLast 16Mixed Doubles2013US OpenLast 16Women's Doubles2012Roland GarrosLast 16Mixed Doubles2011US OpenLast 16Women's Doubles2011Roland GarrosLast 16Mixed Doubles2011Roland GarrosLast 16Women's Doubles2011Australian OpenLast 16Women's Doubles2010Roland GarrosLast 16Mixed Doubles2010Roland GarrosLast 16Women's Doubles2010Australian OpenLast 16Women's Doubles2008Australian OpenLast 16Women's Doubles2007WimbledonLast 32Women's Doubles2018WimbledonLast 32Women's Doubles2018Roland GarrosLast 32Mixed Doubles2017Roland GarrosLast 32Women's Doubles2016US OpenLast 32Women's Doubles2016WimbledonLast 32Mixed Doubles2015WimbledonLast 32Mixed Doubles2015Australian OpenLast 32Women's Doubles2014US OpenLast 32Women's Doubles2014Roland GarrosLast 32Singles2011Roland GarrosLast 32Women's Doubles2011WimbledonLast 32Singles2010US OpenLast 32Women's Doubles2009US OpenLast 64Women's Doubles2017Australian OpenLast 64Women's Doubles2015WimbledonLast 64Mixed Doubles2014WimbledonLast 64Women's Doubles2014WimbledonLast 64Women's Doubles2014Australian OpenLast 64Singles2013Australian OpenLast 64Women's Doubles2013US OpenLast 64Women's Doubles2013Australian OpenLast 64Singles2012Roland GarrosLast 64Women's Doubles2012US OpenLast 64Women's Doubles2012WimbledonLast 64Women's Doubles2011US OpenLast 64Singles2010WimbledonLast 64Women's Doubles2010WimbledonLast 64Singles2009Australian OpenLast 64Women's Doubles2009WimbledonLast 64Women's Doubles2009Australian OpenLast 64Singles2008US OpenLast 64Women's Doubles2008US OpenLast 64Women's Doubles2008WimbledonRound 1Singles2014US OpenRound 1Singles2014Australian OpenRound 1Singles2011US OpenRound 1Singles2010Roland GarrosRound 1Singles2010Australian OpenRound 1Singles2009WimbledonRound 1Singles2008WimbledonRound 1Singles2008Roland GarrosRound 1Singles2008Australian OpenRound 1Singles2007US OpenRound 1Singles2007WimbledonRound 1Singles2007Roland GarrosRound 1Singles2007Australian OpenRound 1Singles2006US OpenRound 1Singles2006WimbledonRound 1Singles2005US OpenWTA Race1Women's Doubles2018Mubadala Silicon Valley Classic1Women's Doubles2017Prudential Hong Kong Tennis Open1Women's Doubles2017China Open1Women's Doubles2017Dongfeng Motor Wuhan Open1Women's Doubles2017US Open1Women's Doubles2017Western & Southern Open1Women's Doubles2017Aegon International Eastbourne1Women's Doubles2017Mallorca Open1Women's Doubles2017Internazionali BNL d'Italia1Women's Doubles2017Mutua Madrid Open1Women's Doubles2017BNP Paribas Open1Women's Doubles2017Taiwan Open1Women's Doubles2016Prudential Hong Kong Tennis Open1Women's Doubles2016Qatar Total Open1Women's Doubles2016Taiwan Open1Women's Doubles2015Japan Women's Open Tennis1Women's Doubles2015Western & Southern Open1Women's Doubles2015PTT Thailand Open2Women's Doubles2018Rogers Cup2Women's Doubles2018Sydney International2Women's Doubles2017Internationaux de Strasbourg2Women's Doubles2016Aegon International Eastbourne2Women's Doubles2015China Open2Women's Doubles2015Toray Pan Pacific Open2Women's Doubles2015Aegon International Eastbourne2Women's Doubles2015Australian OpenSemifinalWomen's Doubles2018Internationaux de StrasbourgSemifinalWomen's Doubles2018Brisbane InternationalSemifinalWomen's Doubles2017BNP Paribas WTA Finals, SINSemifinalWomen's Doubles2017Roland GarrosSemifinalWomen's Doubles2017Miami OpenSemifinalWomen's Doubles2017Qatar Total OpenSemifinalWomen's Doubles2016China OpenSemifinalWomen's Doubles2016Dongfeng Motor Wuhan OpenSemifinalWomen's Doubles2016Western & Southern OpenSemifinalWomen's Doubles2016Aegon Classic BirminghamSemifinalWomen's Doubles2016Apia International SydneySemifinalWomen's Doubles2015BNP Paribas WTA Finals, SINSemifinalWomen's Doubles2015Dongfeng Motor Wuhan OpenSemifinalWomen's Doubles2015Aegon Classic BirminghamSemifinalWomen's Doubles2015Aegon Open NottinghamQuarterfinalWomen's Doubles2018Mutua Madrid OpenQuarterfinalWomen's Doubles2018Miami OpenQuarterfinalWomen's Doubles2018Dubai Duty Free Tennis ChampionshipsQuarterfinalWomen's Doubles2018Australian OpenQuarterfinalWomen's Doubles2017Rogers Cup, CANQuarterfinalWomen's Doubles2017WimbledonQuarterfinalWomen's Doubles2017Dubai Duty Free Tennis ChampionshipsQuarterfinalWomen's Doubles2016BNP Paribas WTA Finals, SINQuarterfinalWomen's Doubles2016Aegon Open NottinghamQuarterfinalWomen's Doubles2016Roland GarrosQuarterfinalWomen's Doubles2016Mutua Madrid OpenQuarterfinalWomen's Doubles2016Australian OpenQuarterfinalWomen's Doubles2015US OpenQuarterfinalWomen's Doubles2015Rogers Cup, CANQuarterfinalWomen's Doubles2015Bank of the West ClassicQuarterfinalWomen's Doubles2015Collector Swedish OpenLast 16Women's Doubles2018Nature Valley InternationalLast 16Women's Doubles2018Nature Valley ClassicLast 16Women's Doubles2018BNP Paribas OpenLast 16Women's Doubles2018Qatar Total OpenLast 16Women's Doubles2017Toray Pan Pacific OpenLast 16Women's Doubles2017Volvo Car OpenLast 16Women's Doubles2017Apia International SydneyLast 16Women's Doubles2017ASB ClassicLast 16Women's Doubles2016Toray Pan Pacific OpenLast 16Women's Doubles2016Rogers Cup, CANLast 16Women's Doubles2016Internazionali BNL d'ItaliaLast 16Women's Doubles2016BNP Paribas OpenLast 16Women's Doubles2016Brisbane InternationalLast 16Women's Doubles2015Roland GarrosLast 16Women's Doubles2015Family Circle CupLast 32Women's Doubles2018WimbledonLast 32Women's Doubles2018Roland GarrosLast 32Women's Doubles2018Internazionali BNL d'ItaliaLast 32Women's Doubles2016US OpenLast 32Women's Doubles2016WimbledonLast 32Women's Doubles2016Miami OpenLast 32Singles2015PTT Thailand OpenLast 32Women's Doubles2015Internazionali BNL d'ItaliaLast 32Women's Doubles2015Dubai Duty Free Tennis ChampionshipsLast 64Women's Doubles2017Australian OpenLast 64Women's Doubles2015WimbledonAsian Championships1Women's Doubles2006Tashkent, UZB2Singles2006Tashkent, UZBEast Asian Games1Women's Doubles2013Tianjin, CHN1Team2013Tianjin, CHN1Singles2005Macau, CHN1Women's Doubles2005Macau, CHN2Mixed Doubles2013Tianjin, CHNQuarterfinalSingles2013Tianjin, CHN"")]","['https://twitter.com/latishachanyj', 'https://www.facebook.com/latishayjchan/', 'https://instagram.com/latishayjchan/', 'https://instagram.com/latishayjchan/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010602.html
https://en.asiangames2018.id/athletes/athlete/CHANG-Chi-Wen-3007734/,Chi Wen,Chang,TPE,Triathlon,07/16/1998,,Chinese Taipei,20,160,"5'3""",55,121,0,0,0,"[('Coach', 'Tien Wei-chang [national], TPE (Chinese Taipei Triathlon Association Facebook page, 25 May 2018)'), ('Ambition', 'To compete at the Olympic Games. (Athlete, 15 Aug 2018)'), ('Hero', 'Japanese triathlete Ai Ueda. (Athlete, 15 Aug 2018)'), ('Influence', 'Coach Chris Tien. (Athlete, 15 Aug 2018)'), ('Nickname', 'Cheer (Athlete, 15 Aug 2018)'), ('Education', 'Sport and Recreation Studies - National Pingtung University of Science and Technology, Chinese Taipei'), ('Languages', 'Mandarin'), ('Hobbies', 'Reading comics, watching animation. (Athlete, 15 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultWorld Triathlon Series46Women2018Yokohama, JPN2:07:23World Cup25Women2017Miyazaki, JPN2:04:2139Women2016Tongyeong, KOR1:06:3941Women2017Tongyeong, KOR1:06:52Junior World ChampionshipsDNFWomen2017Rotterdam, NEDDNF')]","['https://instagram.com/cheer_0716/', 'https://www.facebook.com/profile.php?id=100000366607252', 'https://instagram.com/cheer_0716/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007734.html
