url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ABDIXOLIKOV-Bobir-3001497/,Bobir,Abdixolikov,UZB,Football,04/23/1997,,,21,172,"5'8""",64,141,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001497.html
https://en.asiangames2018.id/athletes/athlete/ABDUJABBOROV-Shakhboz-3005067/,SHAKHBOZ,ABDUJABBOROV,UZB,Rowing,09/06/1996,,,22,178,"5'10""",82,181,1,0,0,"[('Beginning', 'He took up the sport in 2011 in Shirin, Uzbekistan. (Athlete, 16 Aug 2018)'), ('Debut', '2013 for Uzbekistan (Athlete, 16 Aug 2018)'), ('Coach', 'Vyacheslav Didrikh [national], UZB; Sergey Tyan [personal], UZB, from 2012 (Athlete, 16 Aug 2018; olympic.uz, 31 Jul 2018)'), ('Influence', 'His parents, and his coach. (Athlete, 16 Aug 2018)'), ('Languages', 'Russian, Uzbek'), ('Hobbies', 'Studying foreign languages. (Athlete, 16 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian Championships4Quadruple Sculls2017Pattaya, THA5:50.155Double Sculls2017Pattaya, THA6:09.29Youth Olympic Games16Single Sculls2014Nanjing, CHN3:32.81World Championships Under 2319Double Sculls2017Plovdiv, BUL6:36.11')]","['https://www.facebook.com/shahboz.abdujabborov', 'http://ok.ru/profile/527019140480']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005067.html
https://en.asiangames2018.id/athletes/athlete/ABDULHAMIDOVA-Surayyokhon-3000721/,SURAYYOKHON,ABDULHAMIDOVA,UZB,Handball,11/18/1996,,Uzbekistan,21,170,"5'7""",68,150,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000721.html
https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Ayubkhon-3000776/,AYUBKHON,ABDULLAEV,UZB,Pencak Silat,08/17/1999,,Uzbekistan,19,175,"5'9""",60,132,0,0,0,"[('Beginning', 'He began the sport in 2009 in Tashkent, Uzbekistan. (Athlete, 25 Aug 2018)'), ('Reason', '""Pencak silat educates a person to be strong and hardy."" (Athlete, 25 Aug 2018)'), ('Coach', 'Aziz Djurabaev, UZB, from 2009 (Athlete, 25 Aug 2018)'), ('Influence', 'His coach. (Athlete, 25 Aug 2018)'), ('Languages', 'Uzbek'), ('Hobbies', 'Sports. (Athlete, 25 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000776.html
https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Muminjon-3001008/,MUMINJON,ABDULLAEV,UZB,Wrestling,12/24/1989,,Uzbekistan,28,190,"6'3""",130,287,1,0,0,"[('Beginning', 'He began wrestling in 1998 in Samarkand, Uzbekistan. (Athlete, 09 Aug 2016)'), ('Reason', '""It is the most beautiful sport."" (Athlete, 09 Aug 2016)'), ('Debut', '2009 for Uzbekistan, Grand Prix in Uzbekistan (Athlete, 09 Aug 2016)'), ('Coach', 'Ravshan Ruzikulov [national], UZB; Sharof Mamatkulov [personal], UZB (sports.uz, 24 Feb 2018; Athlete, 15 Jun 2018)'), ('Ambition', 'To win a medal at the Olympic Games. (Athlete, 15 Jun 2018)'), ('Memorable', 'Competing at the Olympic Games in 2012 and 2016. (Athlete, 15 Jun 2018)'), ('Awards', 'He has received the title of Master of Sport of International Class in Uzbekistan. (Athlete, 15 Jun 2018)'), ('Hero', 'Russian Greco-Roman wrestler Alexander Karelin. (Athlete, 09 Aug 2016)'), ('Influence', 'His mother. (Athlete, 09 Aug 2016)'), ('Education', 'Uzbek State Institute of Physical Education, Chirchiq, UZB'), ('Languages', 'Russian, Uzbek'), ('Hobbies', 'Football. (Athlete, 15 Jun 2018)'), ('Highlights', 'RankEventYearLocationOlympic Games15Greco-Roman 130 kg2016Rio de Janeiro, BRA15Greco-Roman Super Heavyweight2012London, GBRWorld Championships14Greco-Roman 130 kg2017Paris, FRA23Greco-Roman 130 kg2015Las Vegas, NV, USA27Greco-Roman Super Heavyweight2011Istanbul, TURAsian Championships2Greco-Roman 130 kg2018Bishkek, KGZ3Greco-Roman 130 kg2017New Delhi, IND3Greco-Roman Heavyweight2010New Delhi, IND5Greco-Roman 130 kg2016Bangkok, THAAsian Indoor and Martial Arts Games3Greco-Roman 130 kg2017Ashgabat, TKM')]",['https://www.facebook.com/mumin.abdullayov'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001008.html
https://en.asiangames2018.id/athletes/athlete/ABDUMAJIDOVA-Oysuluv-3002610/,OYSULUV,ABDUMAJIDOVA,UZB,Kurash,08/16/1997,,Uzbekistan,21,164,"5'5""",52,115,0,0,1,"[('Beginning', 'She took up the sport in 2013 in the College of Olympic Reserve in Andizhan, Uzbekistan. (Athlete, 31 Aug 2018)'), ('Debut', '2017 for Uzbekistan, World Championships in Istanbul, Turkey (Athlete, 31 Aug 2018)'), ('Coach', 'Rizamat Soliev [national], UZB; Sobir Pardayev [personal], UZB (uza.uz, 26 Feb 2018; Athlete, 31 Aug 2018)'), ('Memorable', 'Winning silver in the 52kg category at the 2017 World Championships in Istanbul, Turkey. (Athlete, 31 Aug 2018)'), ('Influence', 'Her mother. (Athlete, 31 Aug 2018)'), ('Education', 'Coaching, Teaching - Andizhan State University, Uzbekistan'), ('Highlights', 'KURASHRankEventYearLocationWorld Championships2-52 kg2017Istanbul, TURJUDORankEventYearLocationGrand Prix9-52 kg2017Tashkent, UZB')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002610.html
https://en.asiangames2018.id/athletes/athlete/ABDUMALIKOVA-Mukhlisa-3002611/,MUKHLISA,ABDUMALIKOVA,UZB,Kurash,11/17/1996,,Uzbekistan,21,165,"5'5""",63,139,0,0,1,"[('Beginning', 'She took up the sport in 2010 in the Namangan region of Uzbekistan. (Athlete, 31 Aug 2018)'), ('Reason', '""It is our national sport."" (Athlete, 31 Aug 2018)'), ('Coach', 'Rizamat Soliev [national], UZB; Komiljon Butayev [personal], UZB (uza.uz, 26 Feb 2018; Athlete, 31 Aug 2018)'), ('Memorable', 'Winning silver at the 2012 World Junior Championships in Bournemouth, England, and claiming gold at both the 2015 Asian Junior Championships in Chinese Taipei and the 2018 Asian Championships in Pune, India. (Athlete, 31 Aug 2018)'), ('Awards', 'She has received the title of Master of Sport in Uzbekistan. (mahallagzt.uz, 22 Dec 2016)'), ('Influence', 'Her parents. (Athlete, 31 Aug 2018)'), ('Education', 'Namangan State University, Uzbekistan'), ('Hobbies', 'Design. (Athlete, 31 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Championships1-63 kg2018Pune, IND')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002611.html
https://en.asiangames2018.id/athletes/athlete/ABDUMANNONOVA-Oyazimkhon-3000722/,OYAZIMKHON,ABDUMANNONOVA,UZB,Handball,01/12/2000,,Uzbekistan,18,168,"5'6""",69,152,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3000722.html
https://en.asiangames2018.id/athletes/athlete/ABDURAIMOVA-Nigina-3001257/,NIGINA,ABDURAIMOVA,UZB,Tennis,07/07/1994,,Uzbekistan,24,182,"6'0""",79,174,0,0,0,"[('Beginning', 'She began playing tennis at age nine. (Athlete, 16 Aug 2018)'), ('Reason', 'Her grandmother introduced her to the sport. (Athlete, 16 Aug 2018)'), ('Coach', 'Pyotr Lebed [national], UZB (Athlete, 16 Aug 2018)'), ('Memorable', 'Reaching the semifinals stage of the 2014 Tashkent Open in Uzbekistan, and placing first at the 2016 International Tournament in Karuizawa, Japan. (Athlete, 16 Aug 2018)'), ('Awards', 'In 2014 she received the Shukhrat Medal from the president of Uzbekistan. (pixland.uz, 13 Oct 2016; mfa.uz, 23 Aug 2014)'), ('Hero', 'US tennis player Venus Williams. (pixland.uz, 13 Oct 2016)'), ('Influence', 'Her grandmother, and her uncle. (Athlete, 16 Aug 2018)'), ('Relatives', 'Her grandfather Berador Abduraimov played football at club level in the Soviet Union, while her father Jasur Abduraimov played the sport at club level in Uzbekistan. (footballfacts.ru, 2018; tennisportal.ru, 19 Dec 2013)'), ('Education', 'Uzbek State Institute of Physical Education, Tashkent, UZB'), ('Languages', 'English, Russian, Uzbek'), ('Hobbies', 'Shopping, reading, travelling. (Athlete, 16 Aug 2018)'), ('Highlights', ""RankEventYearLocationAsian GamesQuarterfinalWomen's Doubles2014Incheon, KORQuarterfinalTeam2010Guangzhou, CHNLast 16Singles2014Incheon, KORLast 16Team2014Incheon, KORLast 16Women's Doubles2010Guangzhou, CHNLast 32Mixed Doubles2010Guangzhou, CHNWTA RaceSemifinalWomen's Doubles2016Tashkent OpenQuarterfinalWomen's Doubles2017Citi OpenQuarterfinalWomen's Doubles2015Tashkent OpenLast 16Women's Doubles2017Tashkent OpenLast 16Singles2016Guangzhou International Women's OpenLast 16Women's Doubles2016Guangzhou International Women's OpenLast 16Singles2015Tashkent OpenLast 32Singles2017Tashkent OpenLast 32Singles2015Baku CupLast 32Singles2015Katowice OpenAsian Championships1Singles2013Bangkok, THASemifinalWomen's Doubles2013Bangkok, THA"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001257.html
https://en.asiangames2018.id/athletes/athlete/ABDURAKHIMOV-Rasuljon-3001713/,Rasuljon,Abdurakhimov,UZB,Artistic Gymnastics,10/03/1996,,Uzbekistan,21,164,"5'5""",56,123,0,0,0,"[('Beginning', 'He began the sport in 2002. (db.gymnastics.uz, 2018)'), ('Coach', 'Ruslan Irgashev, UZB (db.gymnastics.uz, 2018)'), ('Awards', 'He has received the title of Master of Sport in Uzbekistan. (db.gymnastics.uz, 2018)'), ('Nickname', 'Rasul (Facebook profile, 24 Sep 2014)'), ('Education', 'Uzbek State Institute of Physical Education, Tashkent, UZB'), ('Highlights', 'RankEventYearLocationResultAsian Games7Team2014Incheon, KOR323.57534Horizontal Bar2014Incheon, KOR12.45034Parallel Bars2014Incheon, KOR13.75047Rings2014Incheon, KOR12.65061Floor Exercise2014Incheon, KOR11.850World Championships32Team2014Nanning, CHN322.526127Individual All-Around2014Nanning, CHN76.064176Parallel Bars2014Nanning, CHN13.066183Floor Exercise2014Nanning, CHN13.433202Pommel Horse2014Nanning, CHN11.833214Horizontal Bar2014Nanning, CHN11.666232Rings2014Nanning, CHN11.833Asian Championships19Individual All-Around2017Bangkok, THA72.50020Horizontal Bar2017Bangkok, THA12.85034Floor Exercise2017Bangkok, THA12.45034Rings2017Bangkok, THA11.50038Pommel Horse2017Bangkok, THA11.90041Parallel Bars2017Bangkok, THA11.600')]",['https://www.facebook.com/profile.php?id=100008298342635'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001713.html
