url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/BAC-THI-Khiem-3010486/,KHIEM,BAC THI,VIE,Taekwondo,08/14/2000,HANOI,Vietnam,18,160,"5'3""",55,121,0,0,0,"[('Coach', 'Nguyen Thanh Huy [national], VIE (nld.com.vn, 19 May 2018)'), ('Languages', 'Vietnamese'), ('Highlights', 'RankEventYearLocationWorld Championships1st Round-67kg2017Muju, KORAsian Championships1st Round-73kg2018Ho Chi Minh City, VIEAsian Indoor and Martial Arts GamesQuarterfinal-62kg2017Ashgabat, TKMWorld Junior Championships3rd Round-63kg2016Burnaby, BC, CANWorld Ranking (as of 01 Aug 2018)109-62kg2018110-67kg2018126-73kg2018')]",['https://www.facebook.com/bacthi.khiem'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010486.html
https://en.asiangames2018.id/athletes/athlete/BUI-Minh-Quan-3002730/,MINH QUAN,BUI,VIE,Kurash,02/06/1992,HO CHI MINH,Vietnam,26,180,"5'11""",81,179,0,0,0,"[('Highlights', 'KURASHRankEventYearLocationAsian Indoor and Martial Arts Games5-81 kg2017Ashgabat, TKMJUDORankEventYearLocationSouth East Asian Games3-81 kg2015Singapore, SIN')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002730.html
https://en.asiangames2018.id/athletes/athlete/BUI-Nguyen-Hai-Yen-3001876/,Nguyen Hai Yen,Bui,VIE,Artistic Gymnastics,02/27/2000,HANOI,Vietnam,18,145,"4'9""",35,77,0,0,0,"[('Beginning', 'She took up the sport in Hanoi, Vietnam. (Athlete, 22 Aug 2018)'), ('Reason', 'She liked the sport. (Athlete, 22 Aug 2018)'), ('Debut', '2016 for Vietnam, World Cup in Hungary (Athlete, 22 Aug 2018)'), ('Coach', 'Nguyen Thi Thanh Thuy [national]; Nguyen Thi Thuy Duong [personal] (vietnamnews.vn, 24 Jul 2018; Athlete, 22 Aug 2018)'), ('Languages', 'Vietnamese'), ('Highlights', 'RankEventYearLocationResultWorld Championships118Balance Beam2017Montreal, QC, CAN7.000World Cup12Vault2016Szombathely, HUN11.62514Balance Beam2016Szombathely, HUN9.250Asian Championships10Team2017Bangkok, THA113.70011Vault2017Bangkok, THA12.62530Individual All-Around2017Bangkok, THA39.70036Uneven Bars2017Bangkok, THA7.65037Floor Exercise2017Bangkok, THA10.75041Balance Beam2017Bangkok, THA9.000South East Asian Games5Team2017Kuala Lumpur, MAS168.0006Uneven Bars2017Kuala Lumpur, MAS10.0006Vault2017Kuala Lumpur, MAS11.87514Floor Exercise2017Kuala Lumpur, MAS11.45023Balance Beam2017Kuala Lumpur, MAS9.600')]",['https://www.facebook.com/profile.php?id=100005457513019'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001876.html
https://en.asiangames2018.id/athletes/athlete/BUI-Quang-Huy-3013991/,QUANG HUY,BUI,VIE,Rowing,07/12/1996,,,22,186,"6'1""",65,143,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013991.html
https://en.asiangames2018.id/athletes/athlete/BUI-Thanh-Thuy-3007211/,Thanh Thuy,Bui,VIE,Football,07/17/1998,,,20,155,"5'1""",47,104,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007211.html
https://en.asiangames2018.id/athletes/athlete/BUI-Thi-Hai-Yen-3001097/,THI HAI YEN,BUI,VIE,Sepaktakraw,01/25/1996,HANOI,Vietnam,22,165,"5'5""",50,110,0,0,1,"[('Nickname', 'Yen Li (Facebook profile, 26 Jul 2018)'), ('Languages', 'English, Thai, Vietnamese'), ('Highlights', 'RankEventYearLocationAsian Games3Team Regu2014Incheon, KORSouth East Asian Games3Regu2015Singapore, SIN')]",['https://www.facebook.com/Yenli.2112'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3001097.html
https://en.asiangames2018.id/athletes/athlete/BUI-Thi-Nga-3015120/,Thi Nga,Bui,VIE,Volleyball,08/15/1994,,,24,186,"6'1""",65,143,0,0,0,"[('Highlights', 'RankEventYearLocationAsian Championships5Women2017Philippines5Women2015China6Women2013ThailandSouth East Asian Games2Women2015Singapore2Women2013Naypyidaw, MYA3Women2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3015120.html
https://en.asiangames2018.id/athletes/athlete/BUI-Thi-Thu-Thao-3004331/,Thi Thu Thao,Bui,VIE,Athletics,04/29/1992,HANOI,Vietnam,26,168,"5'6""",50,110,1,0,0,"[('Beginning', 'She took up the sport in 2007. (tinthethao.com.vn, 23 Feb 2015)'), ('Reason', 'She was spotted by a coach, who encouraged her to take up the sport. (cand.com.vn, 26 Aug 2017)'), ('Coach', 'Nguyen Manh Hieu [personal] (vietnamnews.vn, 14 Feb 2018)'), ('Training', 'She trains at the Hanoi National Sports Training Center in Vietnam. (dantri.com.vn, 15 Feb 2018)'), ('Ambition', 'To win a gold medal at the 2018 Asian Games in Indonesia. (vietnamnews.vn, 14 Feb 2018)'), ('Awards', 'She was named the Female Athlete of the Year at the 2017 Victory Cup awards ceremony in Hanoi, Vietnam. (nhandan.com.vn, 17 Jan 2018)'), ('Additional Information', 'GeneralFAMILYShe uses her sporting career to help her family financially, including providing medical care for her ailing father. ""I want to care for my parents and family. So I always try to strive to win medals and save a little bonus to send more to my parents."" (dantri.com.vn, 15 Feb 2018) '), ('Injuries', 'She missed the majority of 2012 after suffering a torn left thigh muscle, as well as back, knee and foot injuries. (tinthethao.com.vn, 23 Feb 2015)'), ('Highlights', 'RankEventYearLocationResultAsian Games2Long Jump2014Incheon, KOR6.44Asian Championships1Long Jump2017Bhubaneswar, IND6.54South East Asian Games1Long Jump2017Kuala Lumpur, MAS6.682Long Jump2015Singapore, SIN6.653Long Jump2013Naypyidaw, MYA6.145Long Jump2011Indonesia6.115Heptathlon2011Indonesia4609')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004331.html
https://en.asiangames2018.id/athletes/athlete/BUI-Thuy-An-3007047/,Thuy An,Bui,VIE,Football,10/05/1990,,,27,156,"5'1""",50,110,0,0,0,"[('Highlights', ""RankEventYearLocationAsian Games5Senior2010Guangzhou, CHNAFC Women's Asian Cup7Senior2018JordanSouth East Asian Games1Senior2017Kuala Lumpur, MAS"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007047.html
https://en.asiangames2018.id/athletes/athlete/BUI-Thuy-Thu-Thuy-3002640/,THUY THU THUY,BUI,VIE,Shooting,10/08/2002,HA NOI,Vietnam,15,163,"5'4""",70,154,0,0,0,"[('Beginning', 'She began training in 2014 in Hanoi, Vietnam. (thethao.thanhnien.vn, 19 Jun 2017)'), ('Reason', 'Her parents encouraged her to try the sport. (thethao.thanhnien.vn, 19 Jun 2017)'), ('Coach', 'Nguyen Thi Nhung [national], VIE (vietnamnews.vn, 04 Aug 2017)'), ('Highlights', 'RankEventYearLocationResultWorld Cup610m Air Pistol Mixed Team2018Fort Benning, GA, USA7662625m Pistol2018Fort Benning, GA, USA5592810m Air Pistol2018Fort Benning, GA, USA5612910m Air Pistol Mixed Team2018Changwon, KOR7563810m Air Pistol2018Changwon, KOR5685725m Pistol2018Changwon, KOR553Junior World Championships4925m Pistol2017Suhl, GER5545810m Air Pistol2017Suhl, GER368World Ranking (as of 01 Aug 2018)6910m Air Pistol20183511225m Pistol20182')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002640.html
https://en.asiangames2018.id/athletes/athlete/BUI-Tien-Dung-3006041/,Tien Dung,Bui,VIE,Football,10/02/1995,,,22,170,"5'7""",76,168,0,0,0,"[('Highlights', 'RankEventYearLocationSouth East Asian Games3Olympic2015Singapore, SGP5Olympic2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006041.html
https://en.asiangames2018.id/athletes/athlete/BUI-Tien-Dung-3006032/,Tien Dung,Bui,VIE,Football,02/28/1997,,,21,170,"5'7""",70,154,0,0,0,"[('Highlights', 'RankEventYearLocationFIFA U-20 World Cup22U202017Republic of KoreaSouth East Asian Games5Olympic2017Kuala Lumpur, MAS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006032.html
https://en.asiangames2018.id/athletes/athlete/BUI-Truong-Giang-3002287/,TRUONG GIANG,BUI,VIE,Wushu,12/07/1996,HA NOI,Vietnam,21,168,"5'6""",62,137,0,1,0,"[('Languages', 'English, Vietnamese'), ('Highlights', 'RankEventYearLocationAsian Games2Sanda -56kg2014Incheon, KOR')]","['https://instagram.com/giangbui0712/', 'https://www.facebook.com/truonggiang.bui.161', 'https://instagram.com/giangbui0712/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3002287.html
https://en.asiangames2018.id/athletes/athlete/BUI-Van-Dong-3004448/,van Dong,Bui,VIE,Athletics,03/23/1995,HANOI,Vietnam,23,175,"5'9""",68,150,0,0,0,"[('Beginning', 'He began training in the sport in 2009. (baohoabinh.com.vn, 19 Nov 2017)'), ('Ambition', 'To compete at the 2018 Asian Games in Indonesia. (baohoabinh.com.vn, 19 Nov 2017)'), ('Additional Information', 'GeneralNATIONAL FIRSTHe became the first Vietnamese male athlete to win a gold medal in long jump at the South East Asian Games, following his victory at the 2017 Games in Kuala Lumpur, Malaysia. (baohoabinh.com.vn, 19 Nov 2017; SportsDeskOnline, 08 May 2018) '), ('Injuries', 'He struggled with a thigh injury following the 2017 South East Asian Games in Kuala Lumpur, Malaysia. (thethao.sggp.org.vn, 18 Oct 2017)'), ('Education', 'Tu Son University of Physical Education and Sports, Vietnam'), ('Highlights', 'RankEventYearLocationResultSouth East Asian Games1Long Jump2017Kuala Lumpur, MAS7.83')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004448.html
https://en.asiangames2018.id/athletes/athlete/BUI-THI-Thu-Ha-3003949/,THU HA,BUI THI,VIE,Fencing,02/14/1995,HANOI,Vietnam,23,160,"5'3""",55,121,0,0,0,"[('Beginning', 'She took up fencing in 2009. (Facebook profile, 18 Aug 2018)'), ('Coach', 'Pham Anh Tuan [club]; Sergey Koryazhkin [national], RUS; Sim Moyeob [national], KOR (tapchithethao.vn, 01 Aug 2018)'), ('Nickname', 'Ammy (Facebook profile, 18 Aug 2018)'), ('Education', 'Sport Studies - Hanoi University of Education and Sport , Vietnam'), ('Languages', 'English, Vietnamese'), ('Hobbies', 'Modelling, makeup. (Facebook profile, 18 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Games5Sabre Team2014Incheon, KORWorld Championships23Sabre Team2015Moscow, RUS83Sabre Individual2015Moscow, RUSGrand Prix112Sabre Individual2016/2017Seoul, KOR130Sabre Individual2015/2016Boston, MA, USAAsian Championships6Sabre Team2015Singapore, SIN6Sabre Team2014Suwon, KOR7Sabre Team2017Hong Kong, CHN7Sabre Team2016Wuxi, CHN7Sabre Team2013Shanghai, CHN17Sabre Individual2018Bangkok, THA29Sabre Individual2016Wuxi, CHN30Sabre Individual2013Shanghai, CHN35Sabre Individual2017Hong Kong, CHN35Sabre Individual2014Suwon, KORSouth East Asian Games1Sabre Team2015Singapore, SIN3Sabre Individual2017Kuala Lumpur, MASWorld Junior Championships62Sabre Individual2015Tashkent, UZBFIE World Ranking (as of 15 Aug 2018)146Sabre Individual2017/2018')]","['https://instagram.com/ha.ammy/', 'https://www.facebook.com/ha.ammy.7', 'https://instagram.com/ha.ammy/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003949.html
https://en.asiangames2018.id/athletes/athlete/CAN-Tat-du-3005762/,TAT DU,CAN,VIE,Wrestling,04/10/1992,HANOI,Vietnam,26,168,"5'6""",60,132,0,0,0,"[('Nickname', 'Doan Du (Facebook profile, 25 Jul 2018)'), ('Languages', 'Vietnamese'), ('Highlights', 'RankEventYearLocationWorld Championships27Freestyle 70 kg2015Las Vegas, NV, USA29Freestyle Welterweight2013Budapest, HUN37Freestyle Welterweight2011Istanbul, TURAsian Championships7Freestyle 70 kg2016Bangkok, THA7Freestyle 70 kg2015Doha, QAT8Freestyle 70 kg2014Astana, KAZ9Freestyle Welterweight2013New Delhi, INDSouth East Asian Games1Freestyle Welterweight2013Naypyidaw, MYA1Freestyle Middleweight2011Indonesia')]",['https://www.facebook.com/ongdu.vnd'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005762.html
https://en.asiangames2018.id/athletes/athlete/CAN-Thi-Hong-3003554/,THI HONG,CAN,VIE,Sambo,05/23/1999,HANOI,Vietnam,19,165,"5'5""",50,110,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3003554.html
https://en.asiangames2018.id/athletes/athlete/CAN-Thi-Thuy-3004360/,Thi Thuy,Can,VIE,Athletics,06/01/1998,HANOI,Vietnam,20,168,"5'6""",50,110,0,0,0,"[('Beginning', 'She took up the sport in 2010 in Hanoi, Vietnam. (Athlete, 30 Aug 2018)'), ('Coach', 'Vladimir Hristov Simeonov, BUL (Athlete, 30 Aug 2018)'), ('Memorable', 'Winning silver in the 4x400m relay at the 2016 Asian Junior Championships in Ho Chi Minh City, Vietnam. (Athlete, 30 Aug 2018)'), ('Hero', 'Vietnamese sprinter Quach Thi Lan. (Athlete, 30 Aug 2018)'), ('Influence', 'Coach Hoang Lan Anh. (Athlete, 30 Aug 2018)'), ('Languages', 'Vietnamese'), ('Hobbies', 'Listening to music, reading. (Athlete, 30 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3004360.html
