url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/ALABDI-Abdulazizhussein-Saleh-3006317/,Abdulazizhussein Saleh,Alabdi,YEM,Athletics,12/19/1998,AMRAN,Yemen,19,168,"5'6""",69,152,0,0,0,"[('Beginning', 'He took up athletics in 2012 in Amran, Yemen. (Athlete, 29 Aug 2018)'), ('Debut', '2014 for Yemen, in China (Athlete, 29 Aug 2018)'), ('Influence', 'His older brother. (Athlete, 29 Aug 2018)'), ('Languages', 'Arabic'), ('Hobbies', 'Football. (Athlete, 29 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian ChampionshipsDNS1500m2015Wuhan, CHNDNSDNS5000m2015Wuhan, CHNDNS')]",['https://www.facebook.com/rrqq2'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006317.html
https://en.asiangames2018.id/athletes/athlete/ALARIFI-Shihab-Abdulrahman-Ghaleb-3007296/,SHIHAB ABDULRAHMAN GHALEB,ALARIFI,YEM,Taekwondo,07/14/1998,Sana'a - YEM,Yemen,20,166,"5'5""",58,128,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007296.html
https://en.asiangames2018.id/athletes/athlete/ALAZZANI-Hussein-Abdullah-Hussein-3006186/,HUSSEIN ABDULLAH HUSSEIN ABDUL,ALAZZANI,YEM,Wrestling,01/01/1998,SANA'A,Yemen,20,175,"5'9""",70,154,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006186.html
https://en.asiangames2018.id/athletes/athlete/ALDUBHANI-Muneer-Ahmed-Ali-3007836/,MUNEER AHMED ALI,ALDUBHANI,YEM,Table Tennis,01/01/1996,Sana'a - YEM,Yemen,22,165,"5'5""",50,110,0,0,0,"[('Coach', 'Nabil Dhmari [national] (Yemeni Table Tennis Association Facebook page, 26 Jul 2018)'), ('Highlights', ""RankEventYearLocationAsian GamesGroup stageTeam2014Incheon, KOR2nd RoundSingles2014Incheon, KOR2nd RoundMen's Doubles2014Incheon, KORWorld Championships65Team2016Kuala Lumpur, MAS77Team2014Tokyo, JPN87Team2012Dortmund, GERAsian Championships18Team2015Bangkok, THA2nd RoundSingles2015Bangkok, THA1st RoundMen's Doubles2015Bangkok, THA"")]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007836.html
https://en.asiangames2018.id/athletes/athlete/ALGARBI-Nabil-Mohammed-Saghir-3006456/,Nabil Mohammed Saghir,Algarbi,YEM,Athletics,11/03/1993,,Yemen,24,178,"5'10""",70,154,0,0,0,"[('Beginning', 'He took up athletics in 2008 in Dhamar, Yemen. (Athlete, 29 Aug 2018)'), ('Coach', 'Fouad Ayad [national]; Mohamed Ayad [national] (Athlete, 29 Aug 2018)'), ('Memorable', 'Qualifying for the final of the 3000m at the 2009 World Youth Championships in Bressanone, Italy. (Athlete, 29 Aug 2018)'), ('Influence', 'His coaches Fouad Ayad and Mohamed Ayad. (Athlete, 29 Aug 2018)'), ('Languages', 'Arabic'), ('Hobbies', 'Volleyball. (Athlete, 29 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian Games113000m Steeplechase2010Guangzhou, CHN9:16.80DNFMarathon2014Incheon, KORDNFOlympic Games1st Round1500m2012London, GBR3:55.46World ChampionshipsHeats1500m2013Moscow, RUS3:59.45Heats1500m2011Daegu, KOR3:50.17Asian ChampionshipsDNF3000m Steeplechase2013Pune, INDDNFDNS5000m2013Pune, INDDNS')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006456.html
https://en.asiangames2018.id/athletes/athlete/ALHAJJ-Helal-Ali-Mohammed-3006446/,HELAL ALI MOHAMMED,ALHAJJ,YEM,Wushu,07/20/1995,SANA'A,Yemen,23,170,"5'7""",60,132,0,0,0,"[('Coach', 'Ameen Saleh Masoud [national] (Athlete, 17 Aug 2018)'), ('Memorable', 'Winning a bronze medal at the 2017 Islamic Solidarity Games in Baku, Azerbaijan. (Athlete, 17 Aug 2018)'), ('Education', ""Sana'a University, Yemen""), ('Languages', 'Arabic, English'), ('Hobbies', 'Billiards, table tennis, basketball, football. (Athlete, 17 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Games9Sanda -60kg2014Incheon, KOR')]",['https://www.facebook.com/profile.php?id=100003152015383'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006446.html
https://en.asiangames2018.id/athletes/athlete/ALHUMAIDHA-Noor-Aldeenmohammed-Farea-Mahdi-3005752/,Noor Aldeenmohammed Farea,Alhumaidha,YEM,Athletics,06/04/2000,,Yemen,18,168,"5'6""",69,152,0,0,0,"[('Beginning', 'He took up athletics in 2014 in Dhamar, Yemen. (Athlete, 29 Aug 2018)'), ('Coach', 'Fouad Ayad [national], YEM (Athlete, 29 Aug 2018)'), ('Memorable', 'Winning silver in the 3000m at the 2017 Asian Youth Championships in Bangkok, Thailand. (Athlete, 29 Aug 2018)'), ('Hero', 'His coach Fouad Ayad. (Athlete, 29 Aug 2018)'), ('Influence', 'His mother. (Athlete, 29 Aug 2018)'), ('Education', 'Cairo University, Egypt'), ('Languages', 'Arabic'), ('Hobbies', 'Football. (Athlete, 29 Aug 2018)'), ('Highlights', 'RankEventYearLocationResultAsian Championships121500m2017Bhubaneswar, IND4:01.60World Youth Championships133000m2017Nairobi, KENDNF')]","['https://www.facebook.com/profile.php?id=100011423004047', 'https://www.facebook.com/people/%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%B6%D9%87/100007725250123']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005752.html
https://en.asiangames2018.id/athletes/athlete/ALI-Omar-Ahmed-Ahmed-3006835/,OMAR AHMED AHMED,ALI,YEM,Table Tennis,01/01/1991,TAIZ,Yemen,27,169,"5'7""",75,165,0,0,0,"[('Debut', '2009 for Yemen (ittf.com, 13 May 2013)'), ('Coach', 'Nabil Dhmari [national] (Yemeni Table Tennis Association Facebook page, 26 Jul 2018)'), ('Education', ""Physical Education - Sana'a University, Yemen""), ('Languages', 'Arabic'), ('Highlights', ""RankEventYearLocationAsian Games13Team2006Doha, QATGroup stageTeam2014Incheon, KOR2nd RoundSingles2014Incheon, KOR2nd RoundMen's Doubles2014Incheon, KOR1st RoundMen's Doubles2006Doha, QATWorld Championships65Team2016Kuala Lumpur, MAS75Team2008Guangzhou, CHN77Team2014Tokyo, JPN77Team2006Bremen, GER89Team2010Moscow, RUSAsian Championships18Team2015Bangkok, THA2nd RoundSingles2015Bangkok, THA1st RoundMen's Doubles2015Bangkok, THA"")]",['https://www.facebook.com/alkdes'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006835.html
https://en.asiangames2018.id/athletes/athlete/ALJARRAH-Hussein-Mohammed-Hezam-3011916/,Hussein Mohammed Hezam,ALJARRAH,YEM,Judo,04/25/1993,DHAMAR-YEM,Yemen,25,166,"5'5""",81,179,0,0,0,"[('Highlights', 'JUDORankEventYearLocationWorld Championships33-81 kg2014Chelyabinsk, RUSGrand Prix33-81 kg2015Samsun, TURWorld Cup9-81 kg2015Casablanca, MARKURASHRankEventYearLocationAsian Indoor and Martial Arts Games5-81 kg2017Ashgabat, TKM9-73kg2013Incheon, KORSAMBORankEventYearLocationAsian Indoor and Martial Arts Games982kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011916.html
https://en.asiangames2018.id/athletes/athlete/ALJARRAH-Hussein-Mohammed-Hezam-3011916/,Hussein Mohammed Hezam,ALJARRAH,YEM,Judo,04/25/1993,DHAMAR-YEM,Yemen,25,166,"5'5""",81,179,0,0,0,"[('Highlights', 'JUDORankEventYearLocationWorld Championships33-81 kg2014Chelyabinsk, RUSGrand Prix33-81 kg2015Samsun, TURWorld Cup9-81 kg2015Casablanca, MARKURASHRankEventYearLocationAsian Indoor and Martial Arts Games5-81 kg2017Ashgabat, TKM9-73kg2013Incheon, KORSAMBORankEventYearLocationAsian Indoor and Martial Arts Games982kg2017Ashgabat, TKM')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011916.html
https://en.asiangames2018.id/athletes/athlete/ALKHUDHARI-Yuosef-Ali-Ali-3007297/,YUOSEF ALI ALI,ALKHUDHARI,YEM,Wushu,01/01/1990,Sana'a - YEM,Yemen,28,160,"5'3""",57,126,0,0,0,"[('Beginning', ""He began the sport in Sana'a, Yemen. (Athlete, 18 Nov 2010)""), ('Reason', 'He enjoyed competing in the sport. (Athlete, 18 Nov 2010)'), ('Hero', 'Actor Jackie Chan, English footballer Wayne Rooney. (Athlete, 18 Nov 2010)'), ('Influence', 'Coach Zou Rong. (Athlete, 18 Nov 2010)'), ('Education', ""Science - Sana'a University, Sana'a, YEM""), ('Languages', 'Arabic, English'), ('Highlights', 'RankEventYearLocationAsian Games13Taijiquan & Taijijian All-Round2014Incheon, KOR17Taijiquan & Taijijian All-Round2010Guangzhou, CHN')]",['https://www.facebook.com/yousef.alkhudhari'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007297.html
https://en.asiangames2018.id/athletes/athlete/ALKHULAQI-Ahmed-Salem-Ali-3006596/,AHMED SALEM ALI,ALKHULAQI,YEM,Taekwondo,08/14/1999,JEDDAH-KSA,Kingdom of Saudi Arabia,19,170,"5'7""",63,139,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006596.html
https://en.asiangames2018.id/athletes/athlete/ALMADHFARI-Ali-Ahmed-Omar-3008049/,ALI AHMED OMAR,ALMADHFARI,YEM,Karate,12/30/1986,ALBAIDHA - YEM,Yemen,31,165,"5'5""",60,132,0,0,0,"[('Beginning', 'He took up the sport in 1997 in Aden, Yemen. (Athlete, 26 Aug 2018)'), ('Reason', 'He wanted to learn self-defence. (Athlete, 26 Aug 2018)'), ('Coach', 'Ahmed Al-Ridai [national]l Fouad Salem [personal], YEM, from 1997 (sahafah24.net, 21 Apr 2018; Athlete, 26 Aug 2018)'), ('Influence', 'His parents. (Athlete, 26 Aug 2018)'), ('Languages', 'Arabic, English'), ('Hobbies', 'Football. (Athlete, 26 Aug 2018)'), ('Highlights', 'RankEventYearLocationAsian Games11-55kg2014Incheon, KORKarate 1 Premier League36-60kg2017Dubai, UAE')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008049.html
https://en.asiangames2018.id/athletes/athlete/ALMADHFARI-Entesar-Mohsen-Ali-Saleh-3011886/,Entesar Mohsen Ali Saleh,Almadhfari,YEM,Athletics,04/02/1996,ALBAIDHA-YEM,Yemen,22,165,"5'5""",66,146,0,0,0,"[('Beginning', ""She took up athletics in 2014 in Sana'a, Yemen. (Athlete, 29 Aug 2018)""), ('Coach', 'Mohamed Ahmed El-Ashashy [national], YEM (Athlete, 29 Aug 2018)'), ('Influence', 'Her mother. (Athlete, 29 Aug 2018)'), ('Languages', 'Arabic'), ('Hobbies', 'Fencing, volleyball. (Athlete, 29 Aug 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3011886.html
https://en.asiangames2018.id/athletes/athlete/ALMAGHREBI-Mohammed-Abdullah-Derhem-3005941/,MOHAMMED ABDULLAH DERHEM,ALMAGHREBI,YEM,Wrestling,01/01/1998,,Yemen,20,174,"5'9""",57,126,0,0,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3005941.html
https://en.asiangames2018.id/athletes/athlete/ALMAHAQERI-Taha-Mohammed-Mohammed-3007832/,TAHA MOHAMMED MOHAMMED,ALMAHAQERI,YEM,Table Tennis,01/01/1993,Sana'a - YEM,Yemen,25,165,"5'5""",65,143,0,0,0,"[('Coach', 'Nabil Dhmari [national] (Yemeni Table Tennis Association Facebook page, 26 Jul 2018)'), ('Languages', 'Arabic'), ('Highlights', 'RankEventYearLocationWorld Championships65Team2016Kuala Lumpur, MAS77Team2014Tokyo, JPN87Team2012Dortmund, GER89Team2010Moscow, RUSAsian Championships18Team2015Bangkok, THA1st RoundSingles2015Bangkok, THA')]",['https://www.facebook.com/profile.php?id=100007391177336'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007832.html
