url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/AAL-EZIREJ-Karrar-K-3000630/,AAL EZIREJ Karrar K.,Karrar K.,Aal Ezirej,Iraq,IRQ,Boxing
https://en.asiangames2018.id/athletes/athlete/ABDLKAN-Ali-Adnan-Chyad-3003489/,ABDLKAN Ali Adnan Chyad,Ali Adnan Chyad,Abdlkan,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/ABDULELAH-Maryam-Abdulhameed-3008044/,ABDULELAH Maryam Abdulhameed,Maryam Abdulhameed,Abdulelah,Iraq,IRQ,Athletics
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Abdullah-Majeed-Abdullah-3029802/,ABDULLAH Abdullah Majeed Abdullah,Abdullah Majeed Abdullah,Abdullah,Iraq,IRQ,Basketball 3x3
https://en.asiangames2018.id/athletes/athlete/ABDULWAHID-Muntadher-Falih-Abdulwahid-3008703/,ABDULWAHID Muntadher Falih Abdulwahid,Muntadher Falih Abdulwahi,Abdulwahid,Iraq,IRQ,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-AKAYSHEE-Ali-Abdulridha-3008017/,AL AKAYSHEE Ali Abdulridha,Ali Abdulridha,Al Akayshee,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-ALABD-Ali-Ahmed-Sabah-3000208/,AL ALABD Ali Ahmed Sabah,Ali Ahmed Sabah,Al Alabd,Iraq,IRQ,Ju-Jitsu
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Ahmed-Makki-Saleh-3003462/,AL AZZAWI Ahmed Makki Saleh,Ahmed Makki Saleh,Al Azzawi,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Mohammed-Ali-Mahdi-3004339/,AL AZZAWI Mohammed Ali Mahdi,Mohammed Ali Mahdi,Al Azzawi,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Mustafa-Mohammed-3003684/,AL AZZAWI Mustafa Mohammed,Mustafa Mohammed,Al Azzawi,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-BAGHDADI-Raed-Abd-Zaid-Alwan-3003483/,AL BAGHDADI Raed Abd Zaid Alwan,Raed Abd Zaid Alwan,Al Baghdadi,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-BAZI-Amir-Yahyaa-Abdulameer-3000205/,AL BAZI Amir Yahyaa Abdulameer,Amir Yahyaa Abdulameer,Al Bazi,Iraq,IRQ,Ju-Jitsu
https://en.asiangames2018.id/athletes/athlete/AL-BEHADILI-Maytham-Oudah-3003692/,AL BEHADILI Maytham Oudah,Maytham Oudah,Al Behadili,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-BEHADILI-Mohanad-Adil-Talib-3003690/,AL BEHADILI Mohanad Adil Talib,Mohanad Adil Talib,Al Behadili,Iraq,IRQ,Handball
https://en.asiangames2018.id/athletes/athlete/AL-DAGHMAN-Eshaq-Ibrahim-Mohammed-3000317/,AL DAGHMAN Eshaq Ibrahim Mohammed,ESHAQ IBRAHIM MOHAMMED,AL DAGHMAN,Iraq,IRQ,Archery
https://en.asiangames2018.id/athletes/athlete/AL-IBRAHEEMI-Hussein-Falah-Hasan-3008064/,AL IBRAHEEMI Hussein Falah Hasan,Hussein Falah Hasan,Al Ibraheemi,Iraq,IRQ,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-KARBOOLI-Ahmed-Esam-Mohammed-3008046/,AL KARBOOLI Ahmed Esam Mohammed,Ahmed Esam Mohammed,Al Karbooli,Iraq,IRQ,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-KHAFAJI-Danah-Husein-Abdulrazzaq-3008024/,AL KHAFAJI Danah Husein Abdulrazzaq,Danah Husein Abdulrazzaq,Al Khafaji,Iraq,IRQ,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-KHAFAJI-Mohammed-Riyadh-Jasim-3000471/,AL KHAFAJI Mohammed Riyadh Jasim,MOHAMMED RIYADH JASIM,AL KHAFAJI,Iraq,IRQ,Rowing
https://en.asiangames2018.id/athletes/athlete/AL-KHAFAJI-Mohammed-Riyadh-Jasim-5345191/,AL KHAFAJI Mohammed Riyadh Jasim,MOHAMMED RIYADH JASIM,AL KHAFAJI,Iraq,IRQ,Rowing
https://en.asiangames2018.id/athletes/athlete/AL-KHFAJI-Mohammed-Sad-Nadhim-3008657/,AL KHFAJI Mohammed Sad Nadhim,Mohammed Sad Nadhim,Al Khfaji,Iraq,IRQ,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-KINANI-Ahmed-Fadhil-Mohammed-3008051/,AL KINANI Ahmed Fadhil Mohammed,Ahmed Fadhil Mohammed,Al Kinani,Iraq,IRQ,Athletics
