url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ABDIKHAMIT-Arailym-3029331/,ABDIKHAMIT Arailym,Arailym,Abdikhamit,Kazakhstan,KAZ,Handball
https://en.asiangames2018.id/athletes/athlete/ABDIRBEKOVA-Dayana-3021299/,ABDIRBEKOVA Dayana,Dayana,Abdirbekova,Kazakhstan,KAZ,Rhythmic Gymnastics
https://en.asiangames2018.id/athletes/athlete/ABDULABAYEV-Ilgam-3030308/,ABDULABAYEV Ilgam,Ilgam,Abdulabayev,Kazakhstan,KAZ,Hockey
https://en.asiangames2018.id/athletes/athlete/ABDULLIN-Ilfat-3028369/,ABDULLIN Ilfat,ILFAT,ABDULLIN,Kazakhstan,KAZ,Archery
https://en.asiangames2018.id/athletes/athlete/ABIKEYEVA-Elmira-3029288/,ABIKEYEVA Elmira,Elmira,Abikeyeva,Kazakhstan,KAZ,Basketball
https://en.asiangames2018.id/athletes/athlete/ABILDA-Dana-3029330/,ABILDA Dana,Dana,Abilda,Kazakhstan,KAZ,Handball
https://en.asiangames2018.id/athletes/athlete/ADILKHANOVA-Alina-3021296/,ADILKHANOVA Alina,Alina,Adilkhanova,Kazakhstan,KAZ,Rhythmic Gymnastics
https://en.asiangames2018.id/athletes/athlete/ADILOV-Shakir-3029446/,ADILOV Shakir,SHAKIR,ADILOV,Kazakhstan,KAZ,Cycling Mountain Bike
https://en.asiangames2018.id/athletes/athlete/AGAMBAYEVA-Margarita-3017098/,AGAMBAYEVA Margarita,Margarita,Agambayeva,Kazakhstan,KAZ,Sport Climbing
https://en.asiangames2018.id/athletes/athlete/AGAYEVA-Albina-3017421/,AGAYEVA Albina,ALBINA,AGAYEVA,Kazakhstan,KAZ,Golf
https://en.asiangames2018.id/athletes/athlete/AIDOSSOVA-Diana-3029158/,AIDOSSOVA Diana,Diana,Aidossova,Kazakhstan,KAZ,Athletics
https://en.asiangames2018.id/athletes/athlete/AINAGULOV-Mirambek-3029516/,AINAGULOV Mirambek,MIRAMBEK,AINAGULOV,Kazakhstan,KAZ,Wrestling
https://en.asiangames2018.id/athletes/athlete/AINAZAROV-Yermek-3021587/,AINAZAROV Yermek,YERMEK,AINAZAROV,Kazakhstan,KAZ,Karate
https://en.asiangames2018.id/athletes/athlete/AINITDINOVA-Gozal-3028790/,AINITDINOVA Gozal,GOZAL,AINITDINOVA,Kazakhstan,KAZ,Tennis
https://en.asiangames2018.id/athletes/athlete/AITBEK-Aibol-3029400/,AITBEK Aibol,AIBOL,AITBEK,Kazakhstan,KAZ,Sambo
https://en.asiangames2018.id/athletes/athlete/AITKALI-Ruslan-3029286/,AITKALI Ruslan,Ruslan,Aitkali,Kazakhstan,KAZ,Basketball 3x3
https://en.asiangames2018.id/athletes/athlete/AKHIDULLAYEVA-Ardak-3030016/,AKHIDULLAYEVA Ardak,ARDAK,AKHIDULLAYEVA,Kazakhstan,KAZ,Modern Pentathlon
https://en.asiangames2018.id/athletes/athlete/AKHMETOV-Ruslan-3029572/,AKHMETOV Ruslan,Ruslan,Akhmetov,Kazakhstan,KAZ,Water Polo
https://en.asiangames2018.id/athletes/athlete/AKHMETOVA-Adelina-3029154/,AKHMETOVA Adelina,Adelina,Akhmetova,Kazakhstan,KAZ,Athletics
https://en.asiangames2018.id/athletes/athlete/AKILBAYEVA-Aizhan-3029578/,AKILBAYEVA Aizhan,Aizhan,Akilbayeva,Kazakhstan,KAZ,Water Polo
https://en.asiangames2018.id/athletes/athlete/AKILOVA-Natalya-3029533/,AKILOVA Natalya,Natalya,Akilova,Kazakhstan,KAZ,Volleyball
https://en.asiangames2018.id/athletes/athlete/AKIMOV-Damir-3029550/,AKIMOV Damir,Damir,Akimov,Kazakhstan,KAZ,Volleyball
https://en.asiangames2018.id/athletes/athlete/ALDABERGANOV-Nurlybek-3029204/,ALDABERGANOV Nurlybek,NURLYBEK,ALDABERGANOV,Kazakhstan,KAZ,Kurash
https://en.asiangames2018.id/athletes/athlete/ALDANGOROVA-Fariza-3029438/,ALDANGOROVA Fariza,FARIZA,ALDANGOROVA,Kazakhstan,KAZ,Taekwondo
https://en.asiangames2018.id/athletes/athlete/ALEXANDROVA-Irina-3029327/,ALEXANDROVA Irina,Irina,Alexandrova,Kazakhstan,KAZ,Handball
https://en.asiangames2018.id/athletes/athlete/ALEXANIN-Dmitriy-3028754/,ALEXANIN Dmitriy,DMITRIY,ALEXANIN,Kazakhstan,KAZ,Fencing
https://en.asiangames2018.id/athletes/athlete/ALEXEYEV-Yevgeniy-3021641/,ALEXEYEV Yevgeniy,YEVGENIY,ALEXEYEV,Kazakhstan,KAZ,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/ALIBAYEVA-Azhar-3029579/,ALIBAYEVA Azhar,Azhar,Alibayeva,Kazakhstan,KAZ,Water Polo
https://en.asiangames2018.id/athletes/athlete/ALIBEKOVA-Assel-3028766/,ALIBEKOVA Assel,ASSEL,ALIBEKOVA,Kazakhstan,KAZ,Fencing
https://en.asiangames2018.id/athletes/athlete/ALIMBEKOVA-Alexandra-3029300/,ALIMBEKOVA Alexandra,ALEXANDRA,ALIMBEKOVA,Kazakhstan,KAZ,Basketball 3x3
https://en.asiangames2018.id/athletes/athlete/ALIMZHANOV-Elmir-3028753/,ALIMZHANOV Elmir,ELMIR,ALIMZHANOV,Kazakhstan,KAZ,Fencing
https://en.asiangames2018.id/athletes/athlete/ALIYEV-Pirmammad-3017022/,ALIYEV Pirmammad,Pirmammad,Aliyev,Kazakhstan,KAZ,Trampoline Gymnastics
https://en.asiangames2018.id/athletes/athlete/ALMENTAY-Bakdaulet-3028877/,ALMENTAY Bakdaulet,BAKDAULET,ALMENTAY,Kazakhstan,KAZ,Wrestling
https://en.asiangames2018.id/athletes/athlete/ALTAYEV-Altay-3030011/,ALTAYEV Altay,Altay,Altayev,Kazakhstan,KAZ,Water Polo
https://en.asiangames2018.id/athletes/athlete/AMANKHANOVA-Galiyabanu-3029018/,AMANKHANOVA Galiyabanu,GALIYABANU,AMANKHANOVA,Kazakhstan,KAZ,Kurash
https://en.asiangames2018.id/athletes/athlete/AMANKUL-Abilkhan-3021526/,AMANKUL Abilkhan,ABILKHAN,AMANKUL,Kazakhstan,KAZ,Boxing
https://en.asiangames2018.id/athletes/athlete/AMIRALI-Didar-3021586/,AMIRALI Didar,DIDAR,AMIRALI,Kazakhstan,KAZ,Karate
https://en.asiangames2018.id/athletes/athlete/ANANCHENKO-Zoya-3021666/,ANANCHENKO Zoya,ZOYA,ANANCHENKO,Kazakhstan,KAZ,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/ANARKULOVA-Sana-3029531/,ANARKULOVA Sana,Sana,Anarkulova,Kazakhstan,KAZ,Volleyball
https://en.asiangames2018.id/athletes/athlete/ANDRYUCHSHENKO-Dmitriy-3029451/,ANDRYUCHSHENKO Dmitriy,DMITRIY,ANDRYUCHSHENKO,Kazakhstan,KAZ,Cycling Road
https://en.asiangames2018.id/athletes/athlete/ANIKONOVA-Kristina-3029541/,ANIKONOVA Kristina,Kristina,Anikonova,Kazakhstan,KAZ,Volleyball
