url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ABDULMOTAALY-Abdulmotaaly-3030466/,ABDULMOTAALY Abdulmotaaly,ABDULMOTAALY,ABDULMOTAALY,Kingdom of Saudi Arabia,KSA,Paragliding
https://en.asiangames2018.id/athletes/athlete/ABU-ALRAHI-Muneer-3010888/,ABU ALRAHI Muneer,Muneer,Abu Alrahi,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/ABU-HARBESH-Rana-3015433/,ABU HARBESH Rana,RANA,ABU HARBESH,Kingdom of Saudi Arabia,KSA,Badminton
https://en.asiangames2018.id/athletes/athlete/ABULJADAYEL-Yara-Ahmed-3023827/,ABULJADAYEL Yara Ahmed,Yara Ahmed,Abuljadayel,Kingdom of Saudi Arabia,KSA,Athletics
https://en.asiangames2018.id/athletes/athlete/AHMAD-Saud-3014601/,AHMAD Saud,SAUD,AHMAD,Kingdom of Saudi Arabia,KSA,JetSki
https://en.asiangames2018.id/athletes/athlete/AKBAR-Yousef-Mohammedali-H-3009783/,AKBAR Yousef Mohammedali H,YOUSEF MOHAMMEDALI H,AKBAR,Kingdom of Saudi Arabia,KSA,Bowling
https://en.asiangames2018.id/athletes/athlete/AL-DUHAYLIB-Mohsen-Hussain-A-3015993/,AL DUHAYLIB Mohsen Hussain A,MOHSEN HUSSAIN A,AL DUHAYLIB,Kingdom of Saudi Arabia,KSA,Weightlifting
https://en.asiangames2018.id/athletes/athlete/AL-HABASHI-Nawaf-Abdullah-9953694/,AL HABASHI Nawaf Abdullah,Nawaf Abdullah,Al Habashi,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/AL-HABIB-Hassan-3010970/,AL HABIB Hassan,HASSAN,AL HABIB,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/AL-HIZAM-Hussain-Asim-3013247/,AL HIZAM Hussain Asim,Hussain Asim,Al Hizam,Kingdom of Saudi Arabia,KSA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-HUMAYD-Mahmoud-Mohammed-S-3016003/,AL HUMAYD Mahmoud Mohammed S,MAHMOUD MOHAMMED S,AL HUMAYD,Kingdom of Saudi Arabia,KSA,Weightlifting
https://en.asiangames2018.id/athletes/athlete/AL-IBRAHIM-Hassan-Ahmed-3007327/,AL IBRAHIM Hassan Ahmed,HASSAN AHMED,AL IBRAHIM,Kingdom of Saudi Arabia,KSA,Cycling Track
https://en.asiangames2018.id/athletes/athlete/AL-MURDHI-Abdulmalik-3010173/,AL MURDHI Abdulmalik,Abdulmalik,Al Murdhi,Kingdom of Saudi Arabia,KSA,Ju-Jitsu
https://en.asiangames2018.id/athletes/athlete/AL-QAREE-Mohammed-Jasem-3012591/,AL QAREE Mohammed Jasem,Mohammed Jasem,Al Qaree,Kingdom of Saudi Arabia,KSA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-SALEEM-Mansour-Abdulrahim-M-3016014/,AL SALEEM Mansour Abdulrahim M,MANSOUR ABDULRAHIM M,AL SALEEM,Kingdom of Saudi Arabia,KSA,Weightlifting
https://en.asiangames2018.id/athletes/athlete/ALABAS-Mohammed-3017553/,ALABAS Mohammed,Mohammed,Alabas,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/ALABBAD-Abdulaziz-Abbad-3008698/,ALABBAD Abdulaziz Abbad,ABDULAZIZ ABBAD,ALABBAD,Kingdom of Saudi Arabia,KSA,Table Tennis
https://en.asiangames2018.id/athletes/athlete/ALABBAS-Abdullah-3010949/,ALABBAS Abdullah,Abdullah,Alabbas,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/ALABDULALI-Ahmad-3010868/,ALABDULALI Ahmad,Ahmad,Alabdulali,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/ALABDULBAQI-Hassan-9960620/,ALABDULBAQI Hassan,Hassan,Alabdulbaqi,Kingdom of Saudi Arabia,KSA,Volleyball
https://en.asiangames2018.id/athletes/athlete/ALAHDAL-Ibrahim-3024455/,ALAHDAL Ibrahim,IBRAHIM,ALAHDAL,Kingdom of Saudi Arabia,KSA,Bridge
https://en.asiangames2018.id/athletes/athlete/ALAMMARI-Mesfer-Aboud-3006387/,ALAMMARI Mesfer Aboud,MESFER ABOUD,ALAMMARI,Kingdom of Saudi Arabia,KSA,Shooting
https://en.asiangames2018.id/athletes/athlete/ALAMRI-Abdulelah-Ali-3014470/,ALAMRI Abdulelah Ali,Abdulelah Ali,Alamri,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/ALAMRI-Ali-Ahmed-3009290/,ALAMRI Ali Ahmed,Ali Ahmed,Alamri,Kingdom of Saudi Arabia,KSA,Athletics
https://en.asiangames2018.id/athletes/athlete/ALAMRI-Tariq-Ahmed-3009148/,ALAMRI Tariq Ahmed,Tariq Ahmed,Alamri,Kingdom of Saudi Arabia,KSA,Athletics
https://en.asiangames2018.id/athletes/athlete/ALANAZI-Abdulrahman-Enad-3011186/,ALANAZI Abdulrahman Enad,ABDULRAHMAN ENAD,ALANAZI,Kingdom of Saudi Arabia,KSA,Taekwondo
https://en.asiangames2018.id/athletes/athlete/ALANAZI-Atallah-Nidaa-3006392/,ALANAZI Atallah Nidaa,ATALLAH NIDAA,ALANAZI,Kingdom of Saudi Arabia,KSA,Shooting
https://en.asiangames2018.id/athletes/athlete/ALARYANI-Ayman-3011944/,ALARYANI Ayman,Ayman,Alaryani,Kingdom of Saudi Arabia,KSA,Water Polo
https://en.asiangames2018.id/athletes/athlete/ALASMARI-Ali-Hassan-3014475/,ALASMARI Ali Hassan,Ali Hassan,Alasmari,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/ALASMARI-Ghazi-Mushabbab-3011229/,ALASMARI Ghazi Mushabbab,GHAZI MUSHABBAB,ALASMARI,Kingdom of Saudi Arabia,KSA,Taekwondo
https://en.asiangames2018.id/athletes/athlete/ALBAKHEET-Ahmed-Abdulrahman-3014544/,ALBAKHEET Ahmed Abdulrahman,Ahmed Abdulrahman,Albakheet,Kingdom of Saudi Arabia,KSA,Volleyball
https://en.asiangames2018.id/athletes/athlete/ALBAKHEET-Nawaf-Abdulrahman-3014573/,ALBAKHEET Nawaf Abdulrahman,Nawaf Abdulrahman,Albakheet,Kingdom of Saudi Arabia,KSA,Volleyball
https://en.asiangames2018.id/athletes/athlete/ALBANAQI-Mutib-Hammad-3014388/,ALBANAQI Mutib Hammad,Mutib Hammad,Albanaqi,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/ALBARIQI-Adel-Ali-N-3009994/,ALBARIQI Adel Ali N,ADEL ALI N,ALBARIQI,Kingdom of Saudi Arabia,KSA,Bowling
https://en.asiangames2018.id/athletes/athlete/ALBASHA-Mohammed-3010951/,ALBASHA Mohammed,MOHAMMED,ALBASHA,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/ALBASSAS-Mohammad-Maizn-3014495/,ALBASSAS Mohammad Maizn,Mohammad Maizn,Albassas,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/ALBUKHARI-Amin-Mohammedsal-3014481/,ALBUKHARI Amin Mohammedsal,Amin Mohammedsal,Albukhari,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/ALDAWODI-Sultan-Mubarak-3009210/,ALDAWODI Sultan Mubarak,Sultan Mubarak,Aldawodi,Kingdom of Saudi Arabia,KSA,Athletics
https://en.asiangames2018.id/athletes/athlete/ALDAWSARI-Abdulrahman-Rashed-3014566/,ALDAWSARI Abdulrahman Rashed,ABDULRAHMAN RASHED,ALDAWSARI,Kingdom of Saudi Arabia,KSA,Volleyball
https://en.asiangames2018.id/athletes/athlete/ALDOSARI-Abdulrahman-Mutlaq-3013683/,ALDOSARI Abdulrahman Mutlaq,Abdulrahman Mutlaq,Aldosari,Kingdom of Saudi Arabia,KSA,Football
https://en.asiangames2018.id/athletes/athlete/ALDOSARI-Safar-Mohammed-3006394/,ALDOSARI Safar Mohammed,SAFAR MOHAMMED,ALDOSARI,Kingdom of Saudi Arabia,KSA,Shooting
https://en.asiangames2018.id/athletes/athlete/ALDUGHTHER-Bader-3012666/,ALDUGHTHER Bader,Bader,Aldughther,Kingdom of Saudi Arabia,KSA,Water Polo
https://en.asiangames2018.id/athletes/athlete/ALDUHAMI-Ramzy-Hamad-3008123/,ALDUHAMI Ramzy Hamad,RAMZY HAMAD,ALDUHAMI,Kingdom of Saudi Arabia,KSA,Equestrian
https://en.asiangames2018.id/athletes/athlete/ALEID-Khaled-Abdulaziz-3008130/,ALEID Khaled Abdulaziz,KHALED ABDULAZIZ,ALEID,Kingdom of Saudi Arabia,KSA,Equestrian
https://en.asiangames2018.id/athletes/athlete/ALGURASHI-Meshari-Saad-3014584/,ALGURASHI Meshari Saad,Meshari Saad,Algurashi,Kingdom of Saudi Arabia,KSA,Volleyball
https://en.asiangames2018.id/athletes/athlete/ALHABRATI-Ayman-Hejji-3007322/,ALHABRATI Ayman Hejji,AYMAN HEJJI,ALHABRATI,Kingdom of Saudi Arabia,KSA,Cycling Track
https://en.asiangames2018.id/athletes/athlete/ALHAMMAD-Abdullah-3010940/,ALHAMMAD Abdullah,Abdullah,Alhammad,Kingdom of Saudi Arabia,KSA,Handball
https://en.asiangames2018.id/athletes/athlete/ALHARBI-Abdullah-Imbarak-3006429/,ALHARBI Abdullah Imbarak,ABDULLAH IMBARAK,ALHARBI,Kingdom of Saudi Arabia,KSA,Karate
https://en.asiangames2018.id/athletes/athlete/ALHARBI-Hussain-Ghuwayli-3006389/,ALHARBI Hussain Ghuwayli,HUSSAIN GHUWAYLI,ALHARBI,Kingdom of Saudi Arabia,KSA,Shooting
https://en.asiangames2018.id/athletes/athlete/ALHARBI-Khaled-3011938/,ALHARBI Khaled,Khaled,Alharbi,Kingdom of Saudi Arabia,KSA,Water Polo
https://en.asiangames2018.id/athletes/athlete/ALHARBI-Yousef-Saad-3013678/,ALHARBI Yousef Saad,Yousef Saad,Alharbi,Kingdom of Saudi Arabia,KSA,Football
