url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ABASOV-Gianzhali-3024040/,ABASOV Gianzhali,GIANZHALI,ABASOV,Kyrgyzstan,KGZ,Karate
https://en.asiangames2018.id/athletes/athlete/ABDILAEV-Urmatbek-3024043/,ABDILAEV Urmatbek,URMATBEK,ABDILAEV,Kyrgyzstan,KGZ,Karate
https://en.asiangames2018.id/athletes/athlete/ABDIZHAMIL-UULU-Alymgeldi-3005446/,ABDIZHAMIL UULU Alymgeldi,Alymgeldi,Abdizhamil Uulu,Kyrgyzstan,KGZ,Ju-Jitsu
https://en.asiangames2018.id/athletes/athlete/ABDRAIMOV-Turar-3009655/,ABDRAIMOV Turar,TURAR,ABDRAIMOV,Kyrgyzstan,KGZ,Volleyball
https://en.asiangames2018.id/athletes/athlete/ABDRAKHMAN-UULU-Kubatbek-3024013/,ABDRAKHMAN UULU Kubatbek,KUBATBEK,ABDRAKHMAN UULU,Kyrgyzstan,KGZ,Fencing
https://en.asiangames2018.id/athletes/athlete/ABDUGANIEV-Kanatbek-3000233/,ABDUGANIEV Kanatbek,KANATBEK,ABDUGANIEV,Kyrgyzstan,KGZ,Wushu
https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Sirozhiddin-3009213/,ABDULLAEV Sirozhiddin,SIROZHIDDIN,ABDULLAEV,Kyrgyzstan,KGZ,Boxing
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMANOV-Abdurakhman-3009236/,ABDURAKHMANOV Abdurakhman,ABDURAKHMAN,ABDURAKHMANOV,Kyrgyzstan,KGZ,Boxing
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMANOV-Odilzhon-3023288/,ABDURAKHMANOV Odilzhon,Odilzhon,Abdurakhmanov,Kyrgyzstan,KGZ,Football
https://en.asiangames2018.id/athletes/athlete/ABDYL-KHAMITOVA-Kamilia-3024018/,ABDYL KHAMITOVA Kamilia,KAMILIA,ABDYL KHAMITOVA,Kyrgyzstan,KGZ,Fencing
https://en.asiangames2018.id/athletes/athlete/ABSATAROV-Kutmanbek-3009630/,ABSATAROV Kutmanbek,Kutmanbek,Absatarov,Kyrgyzstan,KGZ,Volleyball
https://en.asiangames2018.id/athletes/athlete/AITAKHUNOV-Akbar-3023897/,AITAKHUNOV Akbar,AKBAR,AITAKHUNOV,Kyrgyzstan,KGZ,Taekwondo
https://en.asiangames2018.id/athletes/athlete/AITIMBETOV-Temirlan-3007890/,AITIMBETOV Temirlan,TEMIRLAN,AITIMBETOV,Kyrgyzstan,KGZ,Modern Pentathlon
https://en.asiangames2018.id/athletes/athlete/AKBAR-UULU-Nooruzbek-3024298/,AKBAR UULU Nooruzbek,NOORUZBEK,AKBAR UULU,Kyrgyzstan,KGZ,Shooting
https://en.asiangames2018.id/athletes/athlete/AKBAROV-Rafael-3024049/,AKBAROV Rafael,RAFAEL,AKBAROV,Kyrgyzstan,KGZ,Karate
https://en.asiangames2018.id/athletes/athlete/AKIMALIEV-Kalysbek-3022418/,AKIMALIEV Kalysbek,Kalysbek,Akimaliev,Kyrgyzstan,KGZ,Football
https://en.asiangames2018.id/athletes/athlete/AKIMKANOV-Zholdoshbek-3006918/,AKIMKANOV Zholdoshbek,ZHOLDOSHBEK,AKIMKANOV,Kyrgyzstan,KGZ,Pencak Silat
