url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/AO-Ka-Hou-3004501/,AO Ka Hou,KA HOU,AO,"Macau, China",MAC,Golf
https://en.asiangames2018.id/athletes/athlete/AU-Hoi-Ian-3003084/,AU Hoi Ian,HOI IAN,AU,"Macau, China",MAC,Cycling Road
https://en.asiangames2018.id/athletes/athlete/AU-Hoi-Ian-3003084/,AU Hoi Ian,HOI IAN,AU,"Macau, China",MAC,Cycling Track
https://en.asiangames2018.id/athletes/athlete/AU-IEONG-Sin-Ieng-3003206/,AU IEONG Sin Ieng,SIN IENG,AU IEONG,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/CARREIRA-CHIU-Rogerio-Jose-3002388/,CARREIRA CHIU Rogerio Jose,Rogerio Jose,Carreira Chiu,"Macau, China",MAC,Triathlon
https://en.asiangames2018.id/athletes/athlete/CHAN-Chi-Ian-3003403/,CHAN Chi Ian,CHI IAN,CHAN,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/CHAO-Man-Hou-3002108/,CHAO Man Hou,MAN HOU,CHAO,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/CHAO-Man-Kit-3002714/,CHAO Man Kit,Man Kit,Chao,"Macau, China",MAC,Triathlon
https://en.asiangames2018.id/athletes/athlete/CHAU-Cheng-Han-3003244/,CHAU Cheng Han,CHENG HAN,CHAU,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/CHE-Pui-Ngai-3002778/,CHE Pui Ngai,PUI NGAI,CHE,"Macau, China",MAC,Badminton
https://en.asiangames2018.id/athletes/athlete/CHE-Weng-Si-3002304/,CHE Weng Si,WENG SI,CHE,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/CHEANG-Weng-Lam-3013125/,CHEANG Weng Lam,WENG LAM,CHEANG,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/CHEONG-Cheng-I-3002204/,CHEONG Cheng I,CHENG I,CHEONG,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/CHEONG-Chi-Cheng-3002147/,CHEONG Chi Cheng,CHI CHENG,CHEONG,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/CHEONG-Chi-Chon-3003072/,CHEONG Chi Chon,CHI CHON,CHEONG,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/CHEONG-Pui-Seng-3003100/,CHEONG Pui Seng,PUI SENG,CHEONG,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/CHEONG-Sin-Yi-Louisa-3002384/,CHEONG Sin Yi Louisa,SIN YI LOUISA,CHEONG,"Macau, China",MAC,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/CHEUNG-I-Ching-3002774/,CHEUNG I Ching,I CHING,CHEUNG,"Macau, China",MAC,Karate
https://en.asiangames2018.id/athletes/athlete/CHIM-Cho-Kuan-3002765/,CHIM Cho Kuan,CHO KUAN,CHIM,"Macau, China",MAC,Taekwondo
https://en.asiangames2018.id/athletes/athlete/CHOI-Kit-Fan-Filomena-3002301/,CHOI Kit Fan Filomena,KIT FAN FILOMENA,CHOI,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/CHOI-Sut-Kuan-3009940/,CHOI Sut Kuan,SUT KUAN,CHOI,"Macau, China",MAC,Diving
https://en.asiangames2018.id/athletes/athlete/CHOI-Weng-Tong-3002186/,CHOI Weng Tong,WENG TONG,CHOI,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/CHONG-Weng-I-3002211/,CHONG Weng I,WENG I,CHONG,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/CHOU-Kit-3002099/,CHOU Kit,KIT,CHOU,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/DIAS-de-SOUZA-Veronica-3002297/,DIAS de SOUZA Veronica,VERONICA,DIAS DE SOUZA,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/DIAS-MA-Zoe-3002289/,DIAS MA Zoe,ZOE,DIAS MA,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/FENG-Xiao-3021626/,FENG Xiao,XIAO,FENG,"Macau, China",MAC,Taekwondo
https://en.asiangames2018.id/athletes/athlete/GONG-Xuexin-3009239/,GONG Xuexin,XUEXIN,GONG,"Macau, China",MAC,Badminton
https://en.asiangames2018.id/athletes/athlete/HO-Ka-U-3002455/,HO Ka U,KA U,HO,"Macau, China",MAC,Fencing
https://en.asiangames2018.id/athletes/athlete/HO-Man-Lok-3002296/,HO Man Lok,MAN LOK,HO,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/HO-Peng-I-3002450/,HO Peng I,PENG I,HO,"Macau, China",MAC,Fencing
https://en.asiangames2018.id/athletes/athlete/HO-Pui-Kei-3003118/,HO Pui Kei,PUI KEI,HO,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/HOI-Long-3002747/,HOI Long,Long,Hoi,"Macau, China",MAC,Triathlon
https://en.asiangames2018.id/athletes/athlete/HOI-Man-Kit-3002439/,HOI Man Kit,MAN KIT,HOI,"Macau, China",MAC,Fencing
https://en.asiangames2018.id/athletes/athlete/HUANG-Junhua-3002558/,HUANG Junhua,JUNHUA,HUANG,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/HUANG-Liya-3002452/,HUANG Liya,LIYA,HUANG,"Macau, China",MAC,Fencing
https://en.asiangames2018.id/athletes/athlete/HUI-Tong-3002303/,HUI Tong,TONG,HUI,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/HUN-Pui-In-3004492/,HUN Pui In,PUI IN,HUN,"Macau, China",MAC,Golf
https://en.asiangames2018.id/athletes/athlete/HUN-Teng-Teng-3004497/,HUN Teng Teng,TENG TENG,HUN,"Macau, China",MAC,Golf
https://en.asiangames2018.id/athletes/athlete/KAN-Kai-Wa-3003190/,KAN Kai Wa,KAI WA,KAN,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/KOK-Mun-Wa-3003078/,KOK Mun Wa,MUN WA,KOK,"Macau, China",MAC,Cycling Road
https://en.asiangames2018.id/athletes/athlete/KOK-Mun-Wa-3003078/,KOK Mun Wa,MUN WA,KOK,"Macau, China",MAC,Cycling Track
https://en.asiangames2018.id/athletes/athlete/KOU-Chin-3003198/,KOU Chin,CHIN,KOU,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/KOU-Chin-3013296/,KOU Chin,CHIN,KOU,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/KUAN-I-Cheng-3002111/,KUAN I Cheng,I CHENG,KUAN,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/KUAN-Ieong-Sin-3004498/,KUAN Ieong Sin,IEONG SIN,KUAN,"Macau, China",MAC,Golf
https://en.asiangames2018.id/athletes/athlete/KUOK-Kin-Hang-3003172/,KUOK Kin Hang,KIN HANG,KUOK,"Macau, China",MAC,Karate
https://en.asiangames2018.id/athletes/athlete/LAI-Ho-Tat-Costa-3002372/,LAI Ho Tat Costa,Ho Tat Costa,Lai,"Macau, China",MAC,Athletics
https://en.asiangames2018.id/athletes/athlete/LAM-Sou-Keng-Julia-3013110/,LAM Sou Keng Julia,SOU KENG JULIA,LAM,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/LAO-Hou-Kit-3002383/,LAO Hou Kit,HOU KIT,LAO,"Macau, China",MAC,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/LAO-Kuan-Fong-3002103/,LAO Kuan Fong,KUAN FONG,LAO,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/LAO-Long-San-3003076/,LAO Long San,LONG SAN,LAO,"Macau, China",MAC,Cycling Track
https://en.asiangames2018.id/athletes/athlete/LAO-Long-San-3003076/,LAO Long San,LONG SAN,LAO,"Macau, China",MAC,Cycling Road
https://en.asiangames2018.id/athletes/athlete/LEE-Tak-Man-3002288/,LEE Tak Man,TAK MAN,LEE,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/LEI-Cheok-Ian-3008369/,LEI Cheok Ian,CHEOK IAN,LEI,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/LEI-Cheuk-Sze-3003383/,LEI Cheuk Sze,CHEUK SZE,LEI,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/LEI-Cho-Ieng-3002754/,LEI Cho Ieng,Cho Ieng,Lei,"Macau, China",MAC,Triathlon
https://en.asiangames2018.id/athletes/athlete/LEI-On-Kei-3002149/,LEI On Kei,ON KEI,LEI,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/LEI-Wai-Shing-3003559/,LEI Wai Shing,WAI SHING,LEI,"Macau, China",MAC,Diving
https://en.asiangames2018.id/athletes/athlete/LEONG-Chou-Kin-3002294/,LEONG Chou Kin,CHOU KIN,LEONG,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/LEONG-Mei-Hun-3003239/,LEONG Mei Hun,MEI HUN,LEONG,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/LEONG-Sut-Chan-3002307/,LEONG Sut Chan,SUT CHAN,LEONG,"Macau, China",MAC,Diving
https://en.asiangames2018.id/athletes/athlete/LEONG-Sut-In-3002312/,LEONG Sut In,SUT IN,LEONG,"Macau, China",MAC,Diving
https://en.asiangames2018.id/athletes/athlete/LI-Ni-3008402/,LI Ni,NI,LI,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/LI-Yi-3003109/,LI Yi,YI,LI,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/LIN-Sizhuang-3002102/,LIN Sizhuang,SIZHUANG,LIN,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/LIO-Chon-Hou-3002456/,LIO Chon Hou,Chon Hou,LIO,"Macau, China",MAC,Judo
https://en.asiangames2018.id/athletes/athlete/LIU-Kwai-Chi-3002309/,LIU Kwai Chi,KWAI CHI,LIU,"Macau, China",MAC,Squash
https://en.asiangames2018.id/athletes/athlete/LIU-Qing-3021627/,LIU Qing,QING,LIU,"Macau, China",MAC,Taekwondo
https://en.asiangames2018.id/athletes/athlete/LIU-Tsun-Man-3002340/,LIU Tsun Man,TSUN MAN,LIU,"Macau, China",MAC,Squash
https://en.asiangames2018.id/athletes/athlete/LO-Wai-Lam-3003226/,LO Wai Lam,WAI LAM,LO,"Macau, China",MAC,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/LOI-Im-Lan-3002368/,LOI Im Lan,Im Lan,Loi,"Macau, China",MAC,Athletics
https://en.asiangames2018.id/athletes/athlete/LONG-Chi-Wai-3002152/,LONG Chi Wai,CHI WAI,LONG,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/LOU-Wai-Kit-3003176/,LOU Wai Kit,WAI KIT,LOU,"Macau, China",MAC,Karate
https://en.asiangames2018.id/athletes/athlete/MAK-Tin-Ian-3002222/,MAK Tin Ian,TIN IAN,MAK,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/MAN-Si-Kei-3002293/,MAN Si Kei,SI KEI,MAN,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/MIO-Iat-San-3003193/,MIO Iat San,IAT SAN,MIO,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/NG-Kuok-Kun-3002357/,NG Kuok Kun,KUOK KUN,NG,"Macau, China",MAC,Boxing
https://en.asiangames2018.id/athletes/athlete/NG-Si-Cheng-3002385/,NG Si Cheng,SI CHENG,NG,"Macau, China",MAC,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/NG-Tou-Lam-3003179/,NG Tou Lam,TOU LAM,NG,"Macau, China",MAC,Karate
https://en.asiangames2018.id/athletes/athlete/NG-Weng-Chi-3003067/,NG Weng Chi,WENG CHI,NG,"Macau, China",MAC,Badminton
https://en.asiangames2018.id/athletes/athlete/NGOU-Pok-Man-3005001/,NGOU Pok Man,POK MAN,NGOU,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/PUI-Pang-Fong-3002781/,PUI Pang Fong,PANG FONG,PUI,"Macau, China",MAC,Badminton
https://en.asiangames2018.id/athletes/athlete/SI-Ngai-3004487/,SI Ngai,NGAI,SI,"Macau, China",MAC,Golf
https://en.asiangames2018.id/athletes/athlete/SIO-Ka-Kun-3002105/,SIO Ka Kun,KA KUN,SIO,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/SONG-Chi-Kuan-3003104/,SONG Chi Kuan,CHI KUAN,SONG,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/SOU-Cho-Man-3003160/,SOU Cho Man,CHO MAN,SOU,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/SOU-Soi-Lam-3013417/,SOU Soi Lam,SOI LAM,SOU,"Macau, China",MAC,Karate
https://en.asiangames2018.id/athletes/athlete/TAM-Sut-Fei-3002215/,TAM Sut Fei,SUT FEI,TAM,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/TAM-Tsz-Sun-3002291/,TAM Tsz Sun,TSZ SUN,TAM,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/TAN-Chi-Yan-3002173/,TAN Chi Yan,CHI YAN,TAN,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/TANG-Hio-Fong-3002225/,TANG Hio Fong,HIO FONG,TANG,"Macau, China",MAC,Diving
https://en.asiangames2018.id/athletes/athlete/TANG-Lai-Man-3002458/,TANG Lai Man,Lai Man,TANG,"Macau, China",MAC,Judo
https://en.asiangames2018.id/athletes/athlete/TANG-Nga-Hei-3002454/,TANG Nga Hei,NGA HEI,TANG,"Macau, China",MAC,Fencing
https://en.asiangames2018.id/athletes/athlete/U-Sio-Mei-3002220/,U Sio Mei,SIO MEI,U,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/VONG-Chi-Ieng-3002459/,VONG Chi Ieng,Chi Ieng,VONG,"Macau, China",MAC,Judo
https://en.asiangames2018.id/athletes/athlete/VONG-Erica-Man-Wai-3002142/,VONG Erica Man Wai,ERICA MAN WAI,VONG,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/WANG-Chun-3002158/,WANG Chun,CHUN,WANG,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/WONG-Chi-Cheng-3002720/,WONG Chi Cheng,CHI CHENG,WONG,"Macau, China",MAC,Taekwondo
https://en.asiangames2018.id/athletes/athlete/WONG-Chi-Wai-3002378/,WONG Chi Wai,Chi Wai,Wong,"Macau, China",MAC,Athletics
https://en.asiangames2018.id/athletes/athlete/WONG-Chin-Wa-3002390/,WONG Chin Wa,Chin Wa,Wong,"Macau, China",MAC,Triathlon
https://en.asiangames2018.id/athletes/athlete/WONG-Choi-Chi-3002214/,WONG Choi Chi,CHOI CHI,WONG,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/WONG-Ka-Chun-3002370/,WONG Ka Chun,Ka Chun,Wong,"Macau, China",MAC,Athletics
https://en.asiangames2018.id/athletes/athlete/WONG-Ka-Lei-3002457/,WONG Ka Lei,Ka Lei,WONG,"Macau, China",MAC,Judo
https://en.asiangames2018.id/athletes/athlete/WONG-Lei-Lei-3002761/,WONG Lei Lei,LEI LEI,WONG,"Macau, China",MAC,Taekwondo
https://en.asiangames2018.id/athletes/athlete/WONG-Sok-I-3003481/,WONG Sok I,SOK I,WONG,"Macau, China",MAC,Karate
https://en.asiangames2018.id/athletes/athlete/WONG-Son-Ian-3002298/,WONG Son Ian,SON IAN,WONG,"Macau, China",MAC,Bowling
https://en.asiangames2018.id/athletes/athlete/WU-Nok-In-3003073/,WU Nok In,NOK IN,WU,"Macau, China",MAC,Wushu
https://en.asiangames2018.id/athletes/athlete/XIAO-Jieyu-3004494/,XIAO Jieyu,JIEYU,XIAO,"Macau, China",MAC,Golf
https://en.asiangames2018.id/athletes/athlete/XIAO-Zikang-3003069/,XIAO Zikang,ZIKANG,XIAO,"Macau, China",MAC,Table Tennis
https://en.asiangames2018.id/athletes/athlete/YEUNG-Weng-Chi-3002345/,YEUNG Weng Chi,WENG CHI,YEUNG,"Macau, China",MAC,Squash
https://en.asiangames2018.id/athletes/athlete/YUM-Cheng-Man-3013079/,YUM Cheng Man,CHENG MAN,YUM,"Macau, China",MAC,Swimming
https://en.asiangames2018.id/athletes/athlete/ZHENG-Zexuan-3003394/,ZHENG Zexuan,ZEXUAN,ZHENG,"Macau, China",MAC,Artistic Swimming
