url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/A-MALIK-Nur-Syazreen-3004574/,A MALIK Nur Syazreen,NUR SYAZREEN,A MALIK,Malaysia,MAS,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/ABD-RAHIM-Muhammad-Razie-3004426/,ABD RAHIM Muhammad Razie,Muhammad Razie,Abd Rahim,Malaysia,MAS,Hockey
https://en.asiangames2018.id/athletes/athlete/ABD-RAHMAN-Mohammad-Hairi-3004469/,ABD RAHMAN Mohammad Hairi,Mohammad Hairi,Abd Rahman,Malaysia,MAS,Hockey
https://en.asiangames2018.id/athletes/athlete/ABD-RAHMAN-Nurshahira-3023055/,ABD RAHMAN Nurshahira,Nurshahira,Abd Rahman,Malaysia,MAS,Handball
https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhamad-Norhaffizi-3009903/,ABD RAZAK Muhamad Norhaffizi,MUHAMAD NORHAFFIZI,ABD RAZAK,Malaysia,MAS,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhammad-Zulkifli-3009873/,ABD RAZAK Muhammad Zulkifli,MUHAMMAD ZULKIFLI,ABD RAZAK,Malaysia,MAS,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/ABDUL-AZIH-Muhamad-Nor-Azam-3005474/,ABDUL AZIH Muhamad Nor Azam,Muhamad Nor Azam,Abdul Azih,Malaysia,MAS,Football
https://en.asiangames2018.id/athletes/athlete/ABDUL-AZIZ-Ahmad-Syukri-3006117/,ABDUL AZIZ Ahmad Syukri,Ahmad Syukri,Abdul Aziz,Malaysia,MAS,Sailing
https://en.asiangames2018.id/athletes/athlete/ABDUL-HADI-Farah-Ann-3005391/,ABDUL HADI Farah Ann,Farah Ann,Abdul Hadi,Malaysia,MAS,Artistic Gymnastics
https://en.asiangames2018.id/athletes/athlete/ABDUL-HALIL-Nur-Afisa-3007566/,ABDUL HALIL Nur Afisa,NUR AFISA,ABDUL HALIL,Malaysia,MAS,Archery
https://en.asiangames2018.id/athletes/athlete/ABDUL-HALIM-Mohamad-Faisal-3005385/,ABDUL HALIM Mohamad Faisal,Mohamad Faisal,Abdul Halim,Malaysia,MAS,Football
https://en.asiangames2018.id/athletes/athlete/ABDUL-MALEK-Muhamad-Syafiq-Ridhwan-3005113/,ABDUL MALEK Muhamad Syafiq Ridhwan,MUHAMAD SYAFIQ RIDHWAN,ABDUL MALEK,Malaysia,MAS,Bowling
https://en.asiangames2018.id/athletes/athlete/ABDUL-MUTALIB-Mohamad-Sukri-3004472/,ABDUL MUTALIB Mohamad Sukri,Mohamad Sukri,Abdul Mutalib,Malaysia,MAS,Hockey
https://en.asiangames2018.id/athletes/athlete/ABDUL-MUTALIP-Amalina-Syairah-3011595/,ABDUL MUTALIP Amalina Syairah,Amalina Syairah,Abdul Mutalip,Malaysia,MAS,Sport Climbing
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Nuur-Fatin-Solehah-3006236/,ABDUL RAHMAN Nuur Fatin Solehah,Nuur Fatin Solehah,Abdul Rahman,Malaysia,MAS,Sailing
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Siti-Safiyah-Amirah-3005125/,ABDUL RAHMAN Siti Safiyah Amirah,SITI SAFIYAH AMIRAH,ABDUL RAHMAN,Malaysia,MAS,Bowling
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Muhammad-Akhyar-3005478/,ABDUL RASHID Muhammad Akhyar,Muhammad Akhyar,Abdul Rashid,Malaysia,MAS,Football
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Nuraini-3005530/,ABDUL RASHID Nuraini,Nuraini,Abdul Rashid,Malaysia,MAS,Hockey
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Nurrashidah-3010061/,ABDUL RASHID Nurrashidah,NURRASHIDAH,ABDUL RASHID,Malaysia,MAS,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZAK-Amirul-Ikram-3023298/,ABDUL RAZAK Amirul Ikram,Amirul Ikram,Abdul Razak,Malaysia,MAS,Handball
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZAK-Mohamad-Hadi-Fayyadh-3029109/,ABDUL RAZAK Mohamad Hadi Fayyadh,Mohamad Hadi Fayyadh,Abdul Razak,Malaysia,MAS,Football
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZAK-Nabil-3023289/,ABDUL RAZAK Nabil,Nabil,Abdul Razak,Malaysia,MAS,Handball
https://en.asiangames2018.id/athletes/athlete/ABDUL-ULOOM-Nuratiqah-3008344/,ABDUL ULOOM Nuratiqah,NURATIQAH,ABDUL ULOOM,Malaysia,MAS,Sport Climbing
