url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ABDUL-LATHEEF-Zakariyya-3005033/,ABDUL LATHEEF Zakariyya,Zakariyya,Abdul Latheef,Maldives,MDV,Basketball
https://en.asiangames2018.id/athletes/athlete/ABDUL-MATHEEN-Azina-3021189/,ABDUL MATHEEN Azina,Azina,Abdul Matheen,Maldives,MDV,Football
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHEED-Ismail-3024687/,ABDUL RASHEED Ismail,ISMAIL,ABDUL RASHEED,Maldives,MDV,Athletics
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHEED-Zeina-3004539/,ABDUL RASHEED Zeina,ZEINA,ABDUL RASHEED,Maldives,MDV,Tennis
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Aishath-3021182/,ABDUL RAZZAQ Aishath,Aishath,Abdul Razzaq,Maldives,MDV,Football
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Aminath-Nabeeha-3005203/,ABDUL RAZZAQ Aminath Nabeeha,AMINATH NABEEHA,ABDUL RAZZAQ,Maldives,MDV,Badminton
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Fathimath-Nabaaha-3005204/,ABDUL RAZZAQ Fathimath Nabaaha,FATHIMATH NABAAHA,ABDUL RAZZAQ,Maldives,MDV,Badminton
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Ali-Shamal-3011433/,ABDULLA Ali Shamal,Ali Shamal,Abdulla,Maldives,MDV,Football
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Azzam-3011423/,ABDULLA Azzam,Azzam,Abdulla,Maldives,MDV,Football
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Faaih-Fazeel-3004526/,ABDULLA Faaih Fazeel,FAAIH FAZEEL,ABDULLA,Maldives,MDV,Tennis
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Mohamed-3023131/,ABDULLA Mohamed,MOHAMED,ABDULLA,Maldives,MDV,Shooting
https://en.asiangames2018.id/athletes/athlete/ABDULLA-ZUBAIR-ABDUL-BAAIS-9957206/,ABDULLA ZUBAIR ABDUL BAAIS,ABDUL BAAIS,ABDULLA ZUBAIR,Maldives,MDV,Rowing
https://en.asiangames2018.id/athletes/athlete/ADAM-Asfag-3017228/,ADAM Asfag,Asfag,Adam,Maldives,MDV,Beach Volleyball
https://en.asiangames2018.id/athletes/athlete/ADAM-Fairooz-3107655/,ADAM Fairooz,FAIROOZ,ADAM,Maldives,MDV,Volleyball
https://en.asiangames2018.id/athletes/athlete/ADAM-Isham-3011509/,ADAM Isham,Isham,Adam,Maldives,MDV,Football
https://en.asiangames2018.id/athletes/athlete/ADAM-Naseem-3021758/,ADAM Naseem,Naseem,Adam,Maldives,MDV,Volleyball
