url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ARKAR-MOE-Naw-3003261/,ARKAR MOE Naw,NAW,ARKAR MOE,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/ARKAR-MOE-Naw-3003261/,ARKAR MOE Naw,NAW,ARKAR MOE,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/AUNG-Htike-Htike-3002674/,AUNG Htike Htike,Htike Htike,Aung,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/AUNG-Lwin-Moe-3002739/,AUNG Lwin Moe,Lwin Moe,Aung,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/AUNG-Nay-Lin-3005411/,AUNG Nay Lin,Nay Lin,Aung,Myanmar,MYA,Volleyball
https://en.asiangames2018.id/athletes/athlete/AUNG-Sai-Min-3003142/,AUNG Sai Min,SAI MIN,AUNG,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/AUNG-Sai-Min-3003142/,AUNG Sai Min,SAI MIN,AUNG,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/AUNG-Saw-Moe-3003136/,AUNG Saw Moe,SAW MOE,AUNG,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/AUNG-Saw-Moe-3003136/,AUNG Saw Moe,SAW MOE,AUNG,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/AUNG-Si-Thu-3002723/,AUNG Si Thu,Si Thu,Aung,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/AUNG-Su-Mon-3002882/,AUNG Su Mon,SU MON,AUNG,Myanmar,MYA,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/AUNG-Than-Htay-3003165/,AUNG Than Htay,THAN HTAY,AUNG,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/AUNG-Thiha-Htet-3002669/,AUNG Thiha Htet,Thiha Htet,Aung,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/AUNG-Wai-Lin-3002864/,AUNG Wai Lin,WAI LIN,AUNG,Myanmar,MYA,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/AUNG-Ye-Yint-3002678/,AUNG Ye Yint,Ye Yint,Aung,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/AUNG-Zaw-Htet-3005418/,AUNG Zaw Htet,Zaw Htet,Aung,Myanmar,MYA,Volleyball
https://en.asiangames2018.id/athletes/athlete/AUNG-Zaw-Zaw-3002853/,AUNG Zaw Zaw,ZAW ZAW,AUNG,Myanmar,MYA,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/AYE-Kyaw-Saw-3003134/,AYE Kyaw Saw,KYAW SAW,AYE,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/AYE-Kyaw-Saw-3003134/,AYE Kyaw Saw,KYAW SAW,AYE,Myanmar,MYA,Canoe/Kayak Slalom
https://en.asiangames2018.id/athletes/athlete/AYE-Kyaw-Saw-3003134/,AYE Kyaw Saw,KYAW SAW,AYE,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/AYE-MYAT-YADANAR-Oo-3002174/,AYE MYAT YADANAR Oo,OO,AYE MYAT YADANAR,Myanmar,MYA,Shooting
https://en.asiangames2018.id/athletes/athlete/AYE-THEIN-Aye-3003236/,AYE THEIN Aye,AYE,AYE THEIN,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/AYE-THEIN-Aye-3003236/,AYE THEIN Aye,AYE,AYE THEIN,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/AYE-THIN-Naw-3003240/,AYE THIN Naw,NAW,AYE THIN,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/AYE-THIN-Naw-3003240/,AYE THIN Naw,NAW,AYE THIN,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/BO-BO-Hlaing-3002727/,BO BO Hlaing,Hlaing,Bo Bo,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/CHIT-Dway-Ko-Ko-9953708/,CHIT Dway Ko Ko,Dway Ko Ko,Chit,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/EAIN-Myat-Noe-3002824/,EAIN Myat Noe,MYAT NOE,EAIN,Myanmar,MYA,Wushu
https://en.asiangames2018.id/athletes/athlete/EAIN-Si-Thu-3003137/,EAIN Si Thu,SI THU,EAIN,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/EAIN-Si-Thu-3003137/,EAIN Si Thu,SI THU,EAIN,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/EAIN-HLAING-Saw-Htet-3024532/,EAIN HLAING Saw Htet,SAW HTET,EAIN HLAING,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/ENG-Lairo-3002878/,ENG Lairo,LAIRO,ENG,Myanmar,MYA,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/HLA-HTWE-Hla-3003242/,HLA HTWE Hla,HLA,HLA HTWE,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/HLA-HTWE-Hla-3003242/,HLA HTWE Hla,HLA,HLA HTWE,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/HLAING-NAY-MYO-9957210/,HLAING NAY MYO,NAY MYO,HLAING,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/HLAING-Nay-Myo-3030547/,HLAING Nay Myo,NAY MYO,HLAING,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/HLAING-Su-Su-3002772/,HLAING Su Su,SU SU,HLAING,Myanmar,MYA,Archery
https://en.asiangames2018.id/athletes/athlete/HLAING-Zaw-Win-3005410/,HLAING Zaw Win,Zaw Win,Hlaing,Myanmar,MYA,Volleyball
https://en.asiangames2018.id/athletes/athlete/HTEIN-Win-3003216/,HTEIN Win,WIN,HTEIN,Myanmar,MYA,Canoe/Kayak Sprint
https://en.asiangames2018.id/athletes/athlete/HTEIN-Win-3003216/,HTEIN Win,WIN,HTEIN,Myanmar,MYA,Rowing
https://en.asiangames2018.id/athletes/athlete/HTET-Kyaw-Zin-9953704/,HTET Kyaw Zin,Kyaw Zin,Htet,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/HTET-Su-Yee-3002888/,HTET Su Yee,SU YEE,HTET,Myanmar,MYA,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/HTET-Zaw-Linn-3024169/,HTET Zaw Linn,ZAW LINN,HTET,Myanmar,MYA,Taekwondo
https://en.asiangames2018.id/athletes/athlete/JULIUS-Dhaysi-Oo-3024176/,JULIUS Dhaysi Oo,DHAYSI OO,JULIUS,Myanmar,MYA,Taekwondo
https://en.asiangames2018.id/athletes/athlete/KHANT-Min-Kyaw-3002735/,KHANT Min Kyaw,Min Kyaw,Khant,Myanmar,MYA,Football
https://en.asiangames2018.id/athletes/athlete/KHANT-Myat-Kaung-3030047/,KHANT Myat Kaung,Myat Kaung,Khant,Myanmar,MYA,Football
