url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/AL-AASMI-Rashid-Huwaishal-Moghrab-3000024/,AL AASMI Rashid Huwaishal Moghrab,Rashid Huwaishal Moghrab,Al Aasmi,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-ABRI-Yousuf-Mohammed-Nasser-3000103/,AL ABRI Yousuf Mohammed Nasser,YOUSUF MOHAMMED NASSER,AL ABRI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-ADAWI-Issa-Samir-Hamed-3000004/,AL ADAWI Issa Samir Hamed,ISSA SAMIR HAMED,AL ADAWI,Oman,OMA,Swimming
https://en.asiangames2018.id/athletes/athlete/AL-AJMI-Murshid-Mohamed-Murshid-3000043/,AL AJMI Murshid Mohamed Murshid,MURSHID MOHAMED MURSHID,AL AJMI,Oman,OMA,Weightlifting
https://en.asiangames2018.id/athletes/athlete/AL-BADRI-Hatem-Hamood-Salim-3021160/,AL BADRI Hatem Hamood Salim,HATEM HAMOOD SALIM,AL BADRI,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-BALUSHI-Muad-Darwish-Abdul-R-3000093/,AL BALUSHI Muad Darwish 'Abdul R.,MUAD DARWISH 'ABDUL RAHMAN,AL BALUSHI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-BALUSHI-Wadha-Nasiir-Nasser-3000118/,AL BALUSHI Wadha Nasiir Nasser,WADHA NASIIR NASSER,AL BALUSHI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-BATTASHI-Asad-Sultan-Obaid-3000042/,AL BATTASHI Asad Sultan Obaid,ASAD SULTAN OBAID,AL BATTASHI,Oman,OMA,Weightlifting
https://en.asiangames2018.id/athletes/athlete/AL-BULUSHI-Jamal-Saleh-Mohamed-3000095/,AL BULUSHI Jamal Saleh Mohamed,JAMAL SALEH MOHAMED,AL BULUSHI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-FAZARI-Hamed-Salim-Hamed-3000081/,AL FAZARI Hamed Salim Hamed,HAMED SALIM HAMED,AL FAZARI,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-GAHAFFI-Fakhari-Khamis-Bakhit-3000109/,AL GAHAFFI Fakhari Khamis Bakhit,FAKHARI KHAMIS BAKHIT,AL GAHAFFI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-HADAIFI-Ibrahim-Khalfan-Ali-3021161/,AL HADAIFI Ibrahim Khalfan Ali,IBRAHIM KHALFAN ALI,AL HADAIFI,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-HADI-Musab-Mohammed-Sulaiyam-3000050/,AL HADI Musab Mohammed Sulaiyam,Musab Mohammed Sulaiyam,Al Hadi,Oman,OMA,Sailing
https://en.asiangames2018.id/athletes/athlete/AL-HARTHI-Barakat-Mubarak-Mabrook-3000022/,AL HARTHI Barakat Mubarak Mabrook,Barakat Mubarak Mabrook,Al Harthi,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-HARTHI-Yousuf-Marzohuq-Gharib-3021157/,AL HARTHI Yousuf Marzohuq Gharib,YOUSUF MARZOHUQ GHARIB,AL HARTHI,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-HASHMI-Mazin-Sulaiman-Zahran-3000026/,AL HASHMI Mazin Sulaiman Zahran,Mazin Sulaiman Zahran,Al Hashmi,Oman,OMA,Beach Volleyball
https://en.asiangames2018.id/athletes/athlete/AL-HASHMI-Said-Muslem-Khalfan-3000114/,AL HASHMI Said Muslem Khalfan,SAID MUSLEM KHALFAN,AL HASHMI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-HASNI-Mahmood-Salim-Ghashim-3000070/,AL HASNI Mahmood Salim Ghashim,Mahmood Salim Ghashim,Al Hasni,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-HINAI-Abdulmalik-Gharib-Juma-3000053/,AL HINAI Abdulmalik Gharib Juma,Abdulmalik Gharib Juma,Al Hinai,Oman,OMA,Sailing
https://en.asiangames2018.id/athletes/athlete/AL-JALBUBI-Nouh-Rashid-Said-3000001/,AL JALBUBI Nouh Rashid Said,Nouh Rashid Said,Al Jalbubi,Oman,OMA,Beach Volleyball
https://en.asiangames2018.id/athletes/athlete/AL-KENDI-Waleed-Issa-Al-Habashi-3000051/,AL KENDI Waleed Issa Al-Habashi,Waleed Issa Al-Habashi,Al Kendi,Oman,OMA,Sailing
https://en.asiangames2018.id/athletes/athlete/AL-KHATRI-Hamed-Said-Masoud-3000107/,AL KHATRI Hamed Said Masoud,HAMED SAID MASOUD,AL KHATRI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-KHATRI-Hilal-Harib-Khalafan-Kham-3000116/,AL KHATRI Hilal Harib Khalafan Kham,HILAL HARIB KHALAFAN KHAMIS,AL KHATRI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-KHATRI-Said-Ali-Rabia-3000135/,AL KHATRI Said Ali Rabia,SAID ALI RABIA,AL KHATRI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-KULAIBI-Abdul-Rahman-Yahya-M-3000052/,AL KULAIBI Abdul Rahman Yahya M.,ABDUL RAHMAN YAHYA MAHFOODH,AL KULAIBI,Oman,OMA,Swimming
https://en.asiangames2018.id/athletes/athlete/AL-LAUN-Sami-Awadh-Said-3000086/,AL LAUN Sami Awadh Said,Sami Awadh Said,Al Laun,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-MABSALI-Adnan-Issa-Salim-Rashid-3000054/,AL MABSALI Adnan Issa Salim Rashid,ADNAN ISSA SALIM RASHID,AL MABSALI,Oman,OMA,Sailing
https://en.asiangames2018.id/athletes/athlete/AL-MALKI-Salyem-Mohamed-Said-3000104/,AL MALKI Salyem Mohamed Said,SALYEM MOHAMED SAID,AL MALKI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-NABHANI-Fatma-Talib-Sulaiman-3000005/,AL NABHANI Fatma Talib Sulaiman,FATMA TALIB SULAIMAN,AL NABHANI,Oman,OMA,Tennis
https://en.asiangames2018.id/athletes/athlete/AL-NABHANI-Mohammed-Talib-Sulaiman-3000006/,AL NABHANI Mohammed Talib Sulaiman,MOHAMMED TALIB SULAIMAN,AL NABHANI,Oman,OMA,Tennis
https://en.asiangames2018.id/athletes/athlete/AL-NASSERI-Yasir-Salim-Mohammed-3000126/,AL NASSERI Yasir Salim Mohammed,YASIR SALIM MOHAMMED,AL NASSERI,Oman,OMA,Shooting
https://en.asiangames2018.id/athletes/athlete/AL-NOFALI-Ahmed-Said-Salmeen-3000076/,AL NOFALI Ahmed Said Salmeen,AHMED SAID SALMEEN,AL NOFALI,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-NOFLI-Younis-Ghabish-Salmeen-3000087/,AL NOFLI Younis Ghabish Salmeen,Younis Ghabish Salmeen,Al Nofli,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-NOUFALI-Yahya-Salim-Khamis-3021232/,AL NOUFALI Yahya Salim Khamis,YAHYA SALIM KHAMIS,AL NOUFALI,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-OMRANI-Yousuf-Thani-Abdullah-3000021/,AL OMRANI Yousuf Thani Abdullah,YOUSUF THANI ABDULLAH,AL OMRANI,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-QURAINI-Abdullah-Salim-Ali-3021164/,AL QURAINI Abdullah Salim Ali,ABDULLAH SALIM ALI,AL QURAINI,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-QURAINI-Obaid-Abdullah-Mohammed-3000056/,AL QURAINI Obaid Abdullah Mohammed,Obaid Abdullah Mohammed,Al Quraini,Oman,OMA,Athletics
https://en.asiangames2018.id/athletes/athlete/AL-RAIISI-Marwan-Abdul-Rahman-Yahya-3000072/,AL RAIISI Marwan Abdul Rahman Yahya,Marwan Abdul Rahman Yahya Issa,Al Raiisi,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-RIYAMI-Samiha-Nayel-Abdullah-3000055/,AL RIYAMI Samiha Nayel Abdullah,SAMIHA NAYEL ABDULLAH,AL RIYAMI,Oman,OMA,Sailing
https://en.asiangames2018.id/athletes/athlete/AL-SHEREIQI-Haitham-Khalfan-3000003/,AL SHEREIQI Haitham Khalfan,Haitham Khalfan,Al Shereiqi,Oman,OMA,Beach Volleyball
https://en.asiangames2018.id/athletes/athlete/AL-SHIBLI-Qasim-5255005/,AL SHIBLI Qasim,Qasim,Al Shibli,Oman,OMA,Hockey
https://en.asiangames2018.id/athletes/athlete/AL-SHUHOUMI-Hussein-Rashid-Ali-3000131/,AL SHUHOUMI Hussein Rashid Ali,HUSSEIN RASHID ALI,AL SHUHOUMI,Oman,OMA,Shooting
