url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/Maqbool-3028503/,Maqbool,Maqbool,,Pakistan,PAK,Football
https://en.asiangames2018.id/athletes/athlete/ABBAS-Qasir-3005199/,ABBAS Qasir,QASIR,ABBAS,Pakistan,PAK,Kabaddi
https://en.asiangames2018.id/athletes/athlete/ABBAS-Tanveer-3007953/,ABBAS Tanveer,TANVEER,ABBAS,Pakistan,PAK,Athletics
https://en.asiangames2018.id/athletes/athlete/ABBAS-Tasawar-3016536/,ABBAS Tasawar,Tasawar,Abbas,Pakistan,PAK,Hockey
https://en.asiangames2018.id/athletes/athlete/ABID-Muhammad-3005105/,ABID Muhammad,MUHAMMAD,ABID,Pakistan,PAK,Tennis
https://en.asiangames2018.id/athletes/athlete/ADIL-Ghufran-3011962/,ADIL Ghufran,GHUFRAN,ADIL,Pakistan,PAK,Shooting
https://en.asiangames2018.id/athletes/athlete/ADNAN-3020225/,ADNAN,,ADNAN,Pakistan,PAK,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/AFSAR-Aneila-Aysha-3005347/,AFSAR Aneila Aysha,ANEILA AYSHA,AFSAR,Pakistan,PAK,Taekwondo
https://en.asiangames2018.id/athletes/athlete/AFTAB-Muhammad-Nauman-3021149/,AFTAB Muhammad Nauman,MUHAMMAD NAUMAN,AFTAB,Pakistan,PAK,Soft Tennis
https://en.asiangames2018.id/athletes/athlete/AFZAL-Muhammad-3011031/,AFZAL Muhammad,Muhammad,Afzal,Pakistan,PAK,Rugby Sevens
https://en.asiangames2018.id/athletes/athlete/AGA-Kawas-Behram-3012988/,AGA Kawas Behram,KAWAS BEHRAM,AGA,Pakistan,PAK,Swimming
https://en.asiangames2018.id/athletes/athlete/AGHA-Rubina-3019824/,AGHA Rubina,RUBINA,AGHA,Pakistan,PAK,Bridge
https://en.asiangames2018.id/athletes/athlete/AHMAD-Ajaz-3016327/,AHMAD Ajaz,Ajaz,Ahmad,Pakistan,PAK,Hockey
https://en.asiangames2018.id/athletes/athlete/AHMAD-Ijaz-3019875/,AHMAD Ijaz,IJAZ,AHMAD,Pakistan,PAK,Taekwondo
https://en.asiangames2018.id/athletes/athlete/AHMAD-Israr-3013724/,AHMAD Israr,ISRAR,AHMAD,Pakistan,PAK,Squash
https://en.asiangames2018.id/athletes/athlete/AHMAD-Yousaf-3028510/,AHMAD Yousaf,Yousaf,Ahmad,Pakistan,PAK,Football
https://en.asiangames2018.id/athletes/athlete/AHMED-Farman-3019008/,AHMED Farman,FARMAN,AHMED,Pakistan,PAK,Paragliding
