url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ALABDI-Abdulazizhussein-Saleh-3006317/,ALABDI Abdulazizhussein Saleh,Abdulazizhussein Saleh,Alabdi,Yemen,YEM,Athletics
https://en.asiangames2018.id/athletes/athlete/ALARIFI-Shihab-Abdulrahman-Ghaleb-3007296/,ALARIFI Shihab Abdulrahman Ghaleb,SHIHAB ABDULRAHMAN GHALEB,ALARIFI,Yemen,YEM,Taekwondo
https://en.asiangames2018.id/athletes/athlete/ALAZZANI-Hussein-Abdullah-Hussein-3006186/,ALAZZANI Hussein Abdullah Hussein,HUSSEIN ABDULLAH HUSSEIN ABDUL,ALAZZANI,Yemen,YEM,Wrestling
https://en.asiangames2018.id/athletes/athlete/ALDUBHANI-Muneer-Ahmed-Ali-3007836/,ALDUBHANI Muneer Ahmed Ali,MUNEER AHMED ALI,ALDUBHANI,Yemen,YEM,Table Tennis
https://en.asiangames2018.id/athletes/athlete/ALGARBI-Nabil-Mohammed-Saghir-3006456/,ALGARBI Nabil Mohammed Saghir,Nabil Mohammed Saghir,Algarbi,Yemen,YEM,Athletics
https://en.asiangames2018.id/athletes/athlete/ALHAJJ-Helal-Ali-Mohammed-3006446/,ALHAJJ Helal Ali Mohammed,HELAL ALI MOHAMMED,ALHAJJ,Yemen,YEM,Wushu
https://en.asiangames2018.id/athletes/athlete/ALHUMAIDHA-Noor-Aldeenmohammed-Farea-Mahdi-3005752/,ALHUMAIDHA Noor Aldeenmohammed Farea Mahdi,Noor Aldeenmohammed Farea,Alhumaidha,Yemen,YEM,Athletics
https://en.asiangames2018.id/athletes/athlete/ALI-Omar-Ahmed-Ahmed-3006835/,ALI Omar Ahmed Ahmed,OMAR AHMED AHMED,ALI,Yemen,YEM,Table Tennis
https://en.asiangames2018.id/athletes/athlete/ALJARRAH-Hussein-Mohammed-Hezam-3011916/,ALJARRAH Hussein Mohammed Hezam,Hussein Mohammed Hezam,ALJARRAH,Yemen,YEM,Judo
https://en.asiangames2018.id/athletes/athlete/ALJARRAH-Hussein-Mohammed-Hezam-3011916/,ALJARRAH Hussein Mohammed Hezam,Hussein Mohammed Hezam,ALJARRAH,Yemen,YEM,Kurash
https://en.asiangames2018.id/athletes/athlete/ALKHUDHARI-Yuosef-Ali-Ali-3007297/,ALKHUDHARI Yuosef Ali Ali,YUOSEF ALI ALI,ALKHUDHARI,Yemen,YEM,Wushu
https://en.asiangames2018.id/athletes/athlete/ALKHULAQI-Ahmed-Salem-Ali-3006596/,ALKHULAQI Ahmed Salem Ali,AHMED SALEM ALI,ALKHULAQI,Yemen,YEM,Taekwondo
https://en.asiangames2018.id/athletes/athlete/ALMADHFARI-Ali-Ahmed-Omar-3008049/,ALMADHFARI Ali Ahmed Omar,ALI AHMED OMAR,ALMADHFARI,Yemen,YEM,Karate
https://en.asiangames2018.id/athletes/athlete/ALMADHFARI-Entesar-Mohsen-Ali-Saleh-3011886/,ALMADHFARI Entesar Mohsen Ali Saleh,Entesar Mohsen Ali Saleh,Almadhfari,Yemen,YEM,Athletics
https://en.asiangames2018.id/athletes/athlete/ALMAGHREBI-Mohammed-Abdullah-Derhem-3005941/,ALMAGHREBI Mohammed Abdullah Derhem,MOHAMMED ABDULLAH DERHEM,ALMAGHREBI,Yemen,YEM,Wrestling
https://en.asiangames2018.id/athletes/athlete/ALMAHAQERI-Taha-Mohammed-Mohammed-3007832/,ALMAHAQERI Taha Mohammed Mohammed,TAHA MOHAMMED MOHAMMED,ALMAHAQERI,Yemen,YEM,Table Tennis
https://en.asiangames2018.id/athletes/athlete/ALQUHALI-Mohammed-Hasan-Mohammed-G-3006208/,ALQUHALI Mohammed Hasan Mohammed G,MOHAMMED HASAN MOHAMMED GABER,ALQUHALI,Yemen,YEM,Wrestling
https://en.asiangames2018.id/athletes/athlete/ALRAHOMI-Saddam-Hussein-Hussein-3006433/,ALRAHOMI Saddam Hussein Hussein,SADDAM HUSSEIN HUSSEIN,ALRAHOMI,Yemen,YEM,Wushu
https://en.asiangames2018.id/athletes/athlete/ALSABRI-Gamal-Mohammed-Yahya-3005937/,ALSABRI Gamal Mohammed Yahya,GAMAL MOHAMMED YAHYA,ALSABRI,Yemen,YEM,Wrestling
https://en.asiangames2018.id/athletes/athlete/ALYAMANI-Mokhtar-3007314/,ALYAMANI Mokhtar,MOKHTAR ALI ABDULHADI ABDULLAH,ALYAMANI,Yemen,YEM,Swimming
