url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/Memo-5345107/,Memo,MEMO,,Indonesia,INA,Rowing
https://en.asiangames2018.id/athletes/athlete/ABADI-Teuku-Tegar-3023826/,ABADI Teuku Tegar,Teuku Tegar,Abadi,Indonesia,INA,Athletics
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Rahmat-Erwin-3018308/,ABDULLAH Rahmat Erwin,RAHMAT ERWIN,ABDULLAH,Indonesia,INA,Weightlifting
https://en.asiangames2018.id/athletes/athlete/ABDURRAHMAN-WAHYU-Muhammad-3017225/,ABDURRAHMAN WAHYU Muhammad,MUHAMMAD,ABDURRAHMAN WAHYU,Indonesia,INA,Taekwondo
https://en.asiangames2018.id/athletes/athlete/ABU-Dzar-Yulianto-3022172/,ABU Dzar Yulianto,Dzar Yulianto,Abu,Indonesia,INA,Sport Climbing
https://en.asiangames2018.id/athletes/athlete/ADESTA-Putu-Wiradamungga-3017516/,ADESTA Putu Wiradamungga,PUTU WIRADAMUNGGA,ADESTA,Indonesia,INA,Kurash
https://en.asiangames2018.id/athletes/athlete/ADI-PUTRA-Komang-Harik-3025168/,ADI PUTRA Komang Harik,KOMANG HARIK,ADI PUTRA,Indonesia,INA,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/ADITYA-Yudha-Tri-3020555/,ADITYA Yudha Tri,Yudha Tri,Aditya,Indonesia,INA,Trampoline Gymnastics
https://en.asiangames2018.id/athletes/athlete/ADJHARI-Riski-Moehammad-Adjhari-3020916/,ADJHARI Riski Moehammad Adjhari,RISKI MOEHAMMAD ADJHARI,ADJHARI,Indonesia,INA,Baseball
https://en.asiangames2018.id/athletes/athlete/ADMADI-Puguh-3019890/,ADMADI Puguh,PUGUH,ADMADI,Indonesia,INA,Cycling Track
https://en.asiangames2018.id/athletes/athlete/ADRIYANI-Triya-Resky-3018991/,ADRIYANI Triya Resky,TRIYA RESKY,ADRIYANI,Indonesia,INA,Archery
https://en.asiangames2018.id/athletes/athlete/ADSIT-Gavin-Kwan-3020391/,ADSIT Gavin Kwan,Gavin Kwan,Adsit,Indonesia,INA,Football
