url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Anisah-Najihah-3022795/,ABDULLAH Anisah Najihah,ANISAH NAJIHAH,ABDULLAH,Brunei Darussalam,BRU,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/ANG-Guat-Lian-3015713/,ANG Guat Lian,GUAT LIAN,ANG,Brunei Darussalam,BRU,Wushu
https://en.asiangames2018.id/athletes/athlete/AR-RASYID-Muhammad-Noor-Firdaus-3015636/,AR RASYID Muhammad Noor Firdaus,Muhammad Noor Firdaus,Ar Rasyid,Brunei Darussalam,BRU,Athletics
https://en.asiangames2018.id/athletes/athlete/HAJI-RAYA-Norleyermah-3015623/,HAJI RAYA Norleyermah,NORLEYERMAH,HAJI RAYA,Brunei Darussalam,BRU,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/HJ-ABDUL-MAJID-Mohd-Aritz-Maldini-3016974/,HJ ABDUL MAJID Mohd Aritz Maldini,MOHD ARITZ MALDINI,HJ ABDUL MAJID,Brunei Darussalam,BRU,Golf
https://en.asiangames2018.id/athletes/athlete/ISMAIL-Md-Fakhri-3015630/,ISMAIL Md Fakhri,Md Fakhri,Ismail,Brunei Darussalam,BRU,Athletics
https://en.asiangames2018.id/athletes/athlete/KAMARUL-ZAMAN-Wahidah-3015984/,KAMARUL ZAMAN Wahidah,WAHIDAH,KAMARUL ZAMAN,Brunei Darussalam,BRU,Karate
https://en.asiangames2018.id/athletes/athlete/LACHKAR-Basma-3015708/,LACHKAR Basma,BASMA,LACHKAR,Brunei Darussalam,BRU,Wushu
https://en.asiangames2018.id/athletes/athlete/PG-ANAK-JAAFAR-Pg-Mohd-Nasir-3015662/,PG ANAK JAAFAR Pg Mohd Nasir,PG MOHD NASIR,PG ANAK JAAFAR,Brunei Darussalam,BRU,Equestrian
https://en.asiangames2018.id/athletes/athlete/PG-DATO-SETIA-YUSOF-Ak-Yusri-Amir-3016957/,PG DATO SETIA YUSOF Ak Yusri Amir,AK YUSRI AMIR,PG DATO SETIA YUSOF,Brunei Darussalam,BRU,Weightlifting
https://en.asiangames2018.id/athletes/athlete/PG-HJ-ALLI-Ak-Muhd-Syakir-3019146/,PG HJ ALLI Ak Muhd Syakir,AK MUHD SYAKIR,PG HJ ALLI,Brunei Darussalam,BRU,Golf
https://en.asiangames2018.id/athletes/athlete/ROSLAN-Md-Sufi-Shayiran-3015684/,ROSLAN Md Sufi Shayiran,MD SUFI SHAYIRAN,ROSLAN,Brunei Darussalam,BRU,Wushu
https://en.asiangames2018.id/athletes/athlete/ROSLAN-Mohammad-Adi-Salihin-3015675/,ROSLAN Mohammad Adi Salihin,MOHAMMAD ADI SALIHIN,ROSLAN,Brunei Darussalam,BRU,Wushu
https://en.asiangames2018.id/athletes/athlete/SIMAT-Nur-Azimatunnaemah-3022797/,SIMAT Nur Azimatunnaemah,NUR AZIMATUNNAEMAH,SIMAT,Brunei Darussalam,BRU,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/ZAINAL-Qistina-Athirah-3022796/,ZAINAL Qistina Athirah,QISTINA ATHIRAH,ZAINAL,Brunei Darussalam,BRU,Pencak Silat
