url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/ANNA-LEE-Fisher-3024744/,ANNA LEE Fisher,Fisher,Anna Lee,"Hong Kong, China",HKG,Sailing
https://en.asiangames2018.id/athletes/athlete/AU-Chi-Fung-3022959/,AU Chi Fung,Chi Fung,Au,"Hong Kong, China",HKG,Sport Climbing
https://en.asiangames2018.id/athletes/athlete/AU-Chin-To-3026940/,AU Chin To,Chin To,Au,"Hong Kong, China",HKG,Volleyball
https://en.asiangames2018.id/athletes/athlete/AU-Chun-Ming-3025258/,AU Chun Ming,CHUN MING,AU,"Hong Kong, China",HKG,Squash
https://en.asiangames2018.id/athletes/athlete/AU-Hoi-Shun-Stephanie-3025399/,AU Hoi Shun Stephanie,HOI SHUN STEPHANIE,AU,"Hong Kong, China",HKG,Swimming
https://en.asiangames2018.id/athletes/athlete/AU-Jasper-Tsz-Shun-3027040/,AU Jasper Tsz Shun,Jasper Tsz Shun,Au,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/AU-Sin-Ying-3024499/,AU Sin Ying,SIN YING,AU,"Hong Kong, China",HKG,Fencing
https://en.asiangames2018.id/athletes/athlete/AU-Wing-Chi-Annie-3025262/,AU Wing Chi Annie,WING CHI ANNIE,AU,"Hong Kong, China",HKG,Squash
https://en.asiangames2018.id/athletes/athlete/AU-YEUNG-Wai-Kong-3025959/,AU YEUNG Wai Kong,Wai Kong,Au Yeung,"Hong Kong, China",HKG,Basketball
https://en.asiangames2018.id/athletes/athlete/AU-YEUNG-Wai-Yan-3026917/,AU YEUNG Wai Yan,Wai Yan,Au Yeung,"Hong Kong, China",HKG,Beach Volleyball
https://en.asiangames2018.id/athletes/athlete/BERNARD-Ian-Kay-3024739/,BERNARD Ian Kay,Ian Kay,Bernard,"Hong Kong, China",HKG,Sailing
https://en.asiangames2018.id/athletes/athlete/BEZY-Nicholas-Brian-3024737/,BEZY Nicholas Brian,Nicholas Brian,Bezy,"Hong Kong, China",HKG,Sailing
https://en.asiangames2018.id/athletes/athlete/BROWN-Bailee-3028160/,BROWN Bailee,Bailee,Brown,"Hong Kong, China",HKG,Triathlon
https://en.asiangames2018.id/athletes/athlete/CHAM-Ching-Man-3026537/,CHAM Ching Man,Ching Man,Cham,"Hong Kong, China",HKG,Football
https://en.asiangames2018.id/athletes/athlete/CHAN-Cheuk-Kiu-3023706/,CHAN Cheuk Kiu,CHEUK KIU,CHAN,"Hong Kong, China",HKG,Baseball
https://en.asiangames2018.id/athletes/athlete/CHAN-Cheung-Chi-Shoji-3022960/,CHAN Cheung Chi Shoji,Cheung Chi Shoji,Chan,"Hong Kong, China",HKG,Sport Climbing
https://en.asiangames2018.id/athletes/athlete/CHAN-Chi-3027071/,CHAN Chi,Chi,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHAN-Chi-Fung-3025327/,CHAN Chi Fung,CHI FUNG,CHAN,"Hong Kong, China",HKG,Rowing
https://en.asiangames2018.id/athletes/athlete/CHAN-Ching-Hang-3026464/,CHAN Ching Hang,Ching Hang,Chan,"Hong Kong, China",HKG,Basketball
https://en.asiangames2018.id/athletes/athlete/CHAN-Ching-Nam-3027072/,CHAN Ching Nam,Ching Nam,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHAN-Chun-Hei-3025400/,CHAN Chun Hei,CHUN HEI,CHAN,"Hong Kong, China",HKG,Swimming
https://en.asiangames2018.id/athletes/athlete/CHAN-Chun-Leung-3024558/,CHAN Chun Leung,Chun Leung,Chan,"Hong Kong, China",HKG,Water Polo
https://en.asiangames2018.id/athletes/athlete/CHAN-Chung-Wang-3025203/,CHAN Chung Wang,Chung Wang,Chan,"Hong Kong, China",HKG,Athletics
https://en.asiangames2018.id/athletes/athlete/CHAN-Courtney-3026895/,CHAN Courtney,COURTNEY,CHAN,"Hong Kong, China",HKG,Softball
https://en.asiangames2018.id/athletes/athlete/CHAN-Eu-Eu-3026947/,CHAN Eu Eu,Eu Eu,Chan,"Hong Kong, China",HKG,Volleyball
https://en.asiangames2018.id/athletes/athlete/CHAN-Hei-Man-Hayley-Victoria-3024750/,CHAN Hei Man Hayley Victoria,Hei Man Hayley Victoria,Chan,"Hong Kong, China",HKG,Sailing
https://en.asiangames2018.id/athletes/athlete/CHAN-Ho-Ling-3025263/,CHAN Ho Ling,HO LING,CHAN,"Hong Kong, China",HKG,Squash
https://en.asiangames2018.id/athletes/athlete/CHAN-Hoi-Kei-3026902/,CHAN Hoi Kei,HOI KEI,CHAN,"Hong Kong, China",HKG,Softball
https://en.asiangames2018.id/athletes/athlete/CHAN-Hoi-Lam-3025486/,CHAN Hoi Lam,HOI LAM,CHAN,"Hong Kong, China",HKG,Artistic Swimming
https://en.asiangames2018.id/athletes/athlete/CHAN-Hou-Fung-3027041/,CHAN Hou Fung,Hou Fung,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHAN-Ka-Chun-3027042/,CHAN Ka Chun,Ka Chun,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHAN-Ka-Chun-3025201/,CHAN Ka Chun,Ka Chun,Chan,"Hong Kong, China",HKG,Athletics
https://en.asiangames2018.id/athletes/athlete/CHAN-Ka-Him-3026840/,CHAN Ka Him,Ka Him,Chan,"Hong Kong, China",HKG,Handball
https://en.asiangames2018.id/athletes/athlete/CHAN-Ka-Ho-3026491/,CHAN Ka Ho,Ka Ho,Chan,"Hong Kong, China",HKG,Football
https://en.asiangames2018.id/athletes/athlete/CHAN-Kam-Ling-3026877/,CHAN Kam Ling,Kam Ling,Chan,"Hong Kong, China",HKG,Handball
https://en.asiangames2018.id/athletes/athlete/CHAN-Kin-Lok-3025401/,CHAN Kin Lok,KIN LOK,CHAN,"Hong Kong, China",HKG,Swimming
https://en.asiangames2018.id/athletes/athlete/CHAN-Lam-3023119/,CHAN Lam,LAM,CHAN,"Hong Kong, China",HKG,Diving
https://en.asiangames2018.id/athletes/athlete/CHAN-Ming-Tai-3025197/,CHAN Ming Tai,Ming Tai,Chan,"Hong Kong, China",HKG,Athletics
https://en.asiangames2018.id/athletes/athlete/CHAN-Pui-Kei-3025207/,CHAN Pui Kei,Pui Kei,Chan,"Hong Kong, China",HKG,Athletics
https://en.asiangames2018.id/athletes/athlete/CHAN-Pui-Yi-Pearlie-3025923/,CHAN Pui Yi Pearlie,PUI YI PEARLIE,CHAN,"Hong Kong, China",HKG,Bridge
https://en.asiangames2018.id/athletes/athlete/CHAN-Shuk-Han-3023908/,CHAN Shuk Han,SHUK HAN,CHAN,"Hong Kong, China",HKG,Bowling
https://en.asiangames2018.id/athletes/athlete/CHAN-Stephanie-Chor-Ki-3027034/,CHAN Stephanie Chor Ki,Stephanie Chor Ki,Chan,"Hong Kong, China",HKG,Rugby Sevens
https://en.asiangames2018.id/athletes/athlete/CHAN-Sze-Ting-3024574/,CHAN Sze Ting,Sze Ting,Chan,"Hong Kong, China",HKG,Water Polo
https://en.asiangames2018.id/athletes/athlete/CHAN-Tik-Lun-3025324/,CHAN Tik Lun,TIK LUN,CHAN,"Hong Kong, China",HKG,Rowing
https://en.asiangames2018.id/athletes/athlete/CHAN-Tsz-Ching-3027017/,CHAN Tsz Ching,Tsz Ching,Chan,"Hong Kong, China",HKG,Rugby Sevens
https://en.asiangames2018.id/athletes/athlete/CHAN-Tsz-Sum-Elizabeth-3024727/,CHAN Tsz Sum Elizabeth,Tsz Sum Elizabeth,Chan,"Hong Kong, China",HKG,Artistic Gymnastics
https://en.asiangames2018.id/athletes/athlete/CHAN-Wing-Sze-3026536/,CHAN Wing Sze,Wing Sze,Chan,"Hong Kong, China",HKG,Football
https://en.asiangames2018.id/athletes/athlete/CHAN-Yi-Man-3027069/,CHAN Yi Man,Yi Man,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHAN-Yin-Ching-Tiffany-3027070/,CHAN Yin Ching Tiffany,Yin Ching Tiffany,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHAN-Yin-Fei-3024503/,CHAN Yin Fei,YIN FEI,CHAN,"Hong Kong, China",HKG,Fencing
https://en.asiangames2018.id/athletes/athlete/CHAN-Yin-Yu-3026899/,CHAN Yin Yu,YIN YU,CHAN,"Hong Kong, China",HKG,Softball
https://en.asiangames2018.id/athletes/athlete/CHAN-Yuk-Fung-Angus-3027044/,CHAN Yuk Fung Angus,Yuk Fung Angus,Chan,"Hong Kong, China",HKG,Hockey
https://en.asiangames2018.id/athletes/athlete/CHANG-Chi-Hin-Cyrus-3024481/,CHANG Chi Hin Cyrus,CHI HIN CYRUS,CHANG,"Hong Kong, China",HKG,Fencing
https://en.asiangames2018.id/athletes/athlete/CHANG-Karen-Ngai-Hing-3024502/,CHANG Karen Ngai Hing,KAREN NGAI HING,CHANG,"Hong Kong, China",HKG,Fencing
https://en.asiangames2018.id/athletes/athlete/CHAU-Gordon-Chun-Ming-3023707/,CHAU Gordon Chun Ming,GORDON CHUN MING,CHAU,"Hong Kong, China",HKG,Baseball
https://en.asiangames2018.id/athletes/athlete/CHAU-Hoi-Wah-3023322/,CHAU Hoi Wah,HOI WAH,CHAU,"Hong Kong, China",HKG,Badminton
https://en.asiangames2018.id/athletes/athlete/CHAU-Yee-Ping-3025319/,CHAU Yee Ping,YEE PING,CHAU,"Hong Kong, China",HKG,Rowing
https://en.asiangames2018.id/athletes/athlete/CHEN-Sie-Lam-3026898/,CHEN Sie Lam,SIE LAM,CHEN,"Hong Kong, China",HKG,Softball
https://en.asiangames2018.id/athletes/athlete/CHENG-Camille-Lily-Mei-3025402/,CHENG Camille Lily Mei,CAMILLE LILY MEI,CHENG,"Hong Kong, China",HKG,Swimming
https://en.asiangames2018.id/athletes/athlete/CHENG-Chin-Lung-3026484/,CHENG Chin Lung,Chin Lung,Cheng,"Hong Kong, China",HKG,Football
https://en.asiangames2018.id/athletes/athlete/CHENG-Chun-Leung-Michael-3024749/,CHENG Chun Leung Michael,Chun Leung Michael,Cheng,"Hong Kong, China",HKG,Sailing
