sport_name,gold,silver,bronze,total_medals
Sepaktakraw,4,0,0,4
Paragliding,2,1,1,4
Taekwondo,2,0,2,4
JetSki,1,2,2,5
Shooting,1,1,0,2
Cycling Track,1,0,0,1
Athletics,0,3,1,4
Pencak Silat,0,2,5,7
Weightlifting,0,1,6,7
Boxing,0,1,5,6
Cycling Mountain Bike,0,1,2,3
Bridge,0,1,1,2
Cycling BMX,0,1,0,1
Tennis,0,1,0,1
Volleyball,0,1,0,1
Rowing,0,0,3,3
Sailing,0,0,3,3
Canoe/Kayak Sprint,0,0,2,2
Canoe/Kayak Slalom,0,0,2,2
Equestrian,0,0,2,2
Judo,0,0,2,2
Basketball 3x3,0,0,1,1
Badminton,0,0,1,1
Cycling Road,0,0,1,1
Ju-Jitsu,0,0,1,1
Karate,0,0,1,1
Kabaddi,0,0,1,1
Wushu,0,0,1,1
