sport_name,gold,silver,bronze,total_medals
Swimming,19,20,13,52
Judo,9,3,1,13
Athletics,6,2,10,18
Karate,4,0,2,6
Sailing,4,0,0,4
Skateboard,3,2,0,5
Equestrian,3,1,0,4
Triathlon,3,0,0,3
Cycling Track,2,3,4,9
Soft Tennis,2,1,1,4
Canoe/Kayak Slalom,2,1,0,3
Fencing,2,0,6,8
Bowling,2,0,0,2
Golf,2,0,0,2
Hockey,2,0,0,2
Wrestling,1,3,6,10
Badminton,1,1,4,6
Sport Climbing,1,1,1,3
Football,1,1,0,2
Paragliding,1,1,0,2
Rugby Sevens,1,1,0,2
Rowing,1,0,2,3
Archery,1,0,1,2
Cycling BMX,1,0,0,1
Softball,1,0,0,1
Artistic Gymnastics,0,3,3,6
Cycling Road,0,2,2,4
Artistic Swimming,0,2,0,2
Sepaktakraw,0,1,1,2
Shooting,0,1,1,2
Water Polo,0,1,1,2
Basketball 3x3,0,1,0,1
Baseball,0,1,0,1
Beach Volleyball,0,1,0,1
Trampoline Gymnastics,0,1,0,1
Wushu,0,1,0,1
Tennis,0,0,4,4
Canoe/Kayak Sprint,0,0,2,2
Taekwondo,0,0,2,2
Basketball,0,0,1,1
Boxing,0,0,1,1
Diving,0,0,1,1
Handball,0,0,1,1
Sambo,0,0,1,1
Squash,0,0,1,1
Weightlifting,0,0,1,1
