sport_name,gold,silver,bronze,total_medals
Fencing,6,3,6,15
Taekwondo,5,5,2,12
Judo,4,6,3,13
Cycling Track,4,3,4,11
Archery,4,3,1,8
Shooting,3,4,5,12
Bowling,2,2,2,6
Soft Tennis,2,2,2,6
Artistic Gymnastics,2,1,1,4
Wrestling,2,0,6,8
Cycling Road,2,0,0,2
Rowing,1,4,1,6
Paragliding,1,2,2,5
Modern Pentathlon,1,2,1,4
Swimming,1,1,4,6
Athletics,1,1,3,5
Canoe/Kayak Sprint,1,1,1,3
Sport Climbing,1,1,1,3
Sailing,1,1,1,3
Football,1,0,1,2
Handball,1,0,1,2
Ju-Jitsu,1,0,1,2
Baseball,1,0,0,1
Boxing,1,0,0,1
Weightlifting,0,3,2,5
Diving,0,2,3,5
Golf,0,2,1,3
Table Tennis,0,1,3,4
Wushu,0,1,2,3
Equestrian,0,1,1,2
Roller Skate,0,1,1,2
Sepaktakraw,0,1,1,2
Volleyball,0,1,1,2
Basketball 3x3,0,1,0,1
Kabaddi,0,1,0,1
Triathlon,0,1,0,1
Basketball,0,0,1,1
Rhythmic Gymnastics,0,0,1,1
Karate,0,0,1,1
Rugby Sevens,0,0,1,1
Skateboard,0,0,1,1
Tennis,0,0,1,1
