sport_name,gold,silver,bronze,total_medals
Pencak Silat,14,0,1,15
Sport Climbing,3,2,1,6
Badminton,2,2,4,8
Paragliding,2,1,3,6
Cycling Mountain Bike,2,0,1,3
Rowing,1,2,2,5
Sepaktakraw,1,1,3,5
Wushu,1,1,3,5
JetSki,1,1,1,3
Weightlifting,1,1,1,3
Karate,1,0,3,4
Tennis,1,0,0,1
Taekwondo,1,0,0,1
Canoe/Kayak Sprint,0,3,2,5
Skateboard,0,2,2,4
Athletics,0,2,1,3
Soft Tennis,0,1,3,4
Beach Volleyball,0,1,2,3
Archery,0,1,1,2
Cycling BMX,0,1,1,2
Artistic Gymnastics,0,1,1,2
Shooting,0,1,0,1
Bridge,0,0,4,4
Boxing,0,0,2,2
Kurash,0,0,1,1
