sport_name,gold,silver,bronze,total_medals
Canoe/Kayak Sprint,2,4,1,7
Ju-Jitsu,2,0,3,5
Sambo,2,0,3,5
Cycling Road,2,0,0,2
Rhythmic Gymnastics,2,0,0,2
Athletics,1,1,5,7
Judo,1,1,3,5
Karate,1,1,1,3
Water Polo,1,1,0,2
Fencing,1,0,2,3
Wrestling,0,4,6,10
Boxing,0,2,0,2
Taekwondo,0,1,4,5
Tennis,0,1,2,3
Triathlon,0,1,0,1
Swimming,0,0,4,4
Cycling Track,0,0,2,2
Cycling Mountain Bike,0,0,1,1
Canoe/Kayak Slalom,0,0,1,1
Trampoline Gymnastics,0,0,1,1
Kurash,0,0,1,1
Rowing,0,0,1,1
Rugby Sevens,0,0,1,1
Shooting,0,0,1,1
Artistic Swimming,0,0,1,1
