url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDORABBOH-Farhan-3003623/,ABDORABBOH Farhan,FARHAN,ABDORABBOH,Qatar,QAT,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ABDUL-HALIL-Nur-Afisa-3007566/,ABDUL HALIL Nur Afisa,NUR AFISA,ABDUL HALIL,Malaysia,MAS,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ABDULLIN-Ilfat-3028369/,ABDULLIN Ilfat,ILFAT,ABDULLIN,Kazakhstan,KAZ,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ABEDI-Mino-3015689/,ABEDI Mino,MINO,ABEDI,IR Iran,IRI,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ADRIYANI-Triya-Resky-3018991/,ADRIYANI Triya Resky,TRIYA RESKY,ADRIYANI,Indonesia,INA,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AGATA-SALSABILLA-Riau-Ega-3018977/,AGATA SALSABILLA Riau Ega,RIAU EGA,AGATA SALSABILLA,Indonesia,INA,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AHMED-Maria-3028664/,AHMED Maria,MARIA,AHMED,Qatar,QAT,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AKBAR-Yoke-Rizaldi-3018986/,AKBAR Yoke Rizaldi,YOKE RIZALDI,AKBAR,Indonesia,INA,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AKTER-Nasrin-3013367/,AKTER Nasrin,NASRIN,AKTER,Bangladesh,BAN,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AKTER-Roksana-3013600/,AKTER Roksana,ROKSANA,AKTER,Bangladesh,BAN,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AKTHER-Bonna-3013607/,AKTHER Bonna,BONNA,AKTHER,Bangladesh,BAN,Archery,AR
https://en.asiangames2018.id/athletes/athlete/AL-DAGHMAN-Eshaq-Ibrahim-Mohammed-3000317/,AL DAGHMAN Eshaq Ibrahim Mohammed,ESHAQ IBRAHIM MOHAMMED,AL DAGHMAN,Iraq,IRQ,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALABADI-Ahmed-3003618/,ALABADI Ahmed,AHMED,ALABADI,Qatar,QAT,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALAHMED-Alya-3024654/,ALAHMED Alya,ALYA,ALAHMED,United Arab Emirates,UAE,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALAM-Md-Jabed-3022842/,ALAM Md Jabed,MD JABED,ALAM,Bangladesh,BAN,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALBLOOSHI-Ghalia-3029618/,ALBLOOSHI Ghalia,GHALIA,ALBLOOSHI,United Arab Emirates,UAE,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALKAABI-Ahmed-3029619/,ALKAABI Ahmed,AHMED,ALKAABI,United Arab Emirates,UAE,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALMANSOORI-Hamdan-3024644/,ALMANSOORI Hamdan,HAMDAN,ALMANSOORI,United Arab Emirates,UAE,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALMASHHADANI-Fatimah-Saad-Mahmood-3000319/,ALMASHHADANI Fatimah Saad Mahmood,FATIMAH SAAD MAHMOOD,ALMASHHADANI,Iraq,IRQ,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALMOHANADI-Ibrahim-3003595/,ALMOHANADI Ibrahim,IBRAHIM,ALMOHANADI,Qatar,QAT,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALOBADI-Abdulaziz-3003605/,ALOBADI Abdulaziz,ABDULAZIZ,ALOBADI,Qatar,QAT,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALOTAIBI-Fares-Mater-3010184/,ALOTAIBI Fares Mater,FARES MATER,ALOTAIBI,Kingdom of Saudi Arabia,KSA,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALTANGEREL-Enkhtuya-3027319/,ALTANGEREL Enkhtuya,ENKHTUYA,ALTANGEREL,Mongolia,MGL,Archery,AR
https://en.asiangames2018.id/athletes/athlete/ALWI-Mansour-Fahd-3010187/,ALWI Mansour Fahd,MANSOUR,ALWI,Kingdom of Saudi Arabia,KSA,Archery,AR
