url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDUL-MALEK-Muhamad-Syafiq-Ridhwan-3005113/,ABDUL MALEK Muhamad Syafiq Ridhwan,MUHAMAD SYAFIQ RIDHWAN,ABDUL MALEK,Malaysia,MAS,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Siti-Safiyah-Amirah-3005125/,ABDUL RAHMAN Siti Safiyah Amirah,SITI SAFIYAH AMIRAH,ABDUL RAHMAN,Malaysia,MAS,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ABOUJASSOUM-Ghanim-3002470/,ABOUJASSOUM Ghanim,GHANIM,ABOUJASSOUM,Qatar,QAT,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/AKAASH-ASHOK-KUMAR-3005946/,AKAASH ASHOK KUMAR,,AKAASH ASHOK KUMAR,India,IND,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/AKBAR-Yousef-Mohammedali-H-3009783/,AKBAR Yousef Mohammedali H,YOUSEF MOHAMMEDALI H,AKBAR,Kingdom of Saudi Arabia,KSA,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/AL-DEYAB-Ahmed-3028665/,AL-DEYAB Ahmed,AHMED,AL-DEYAB,Qatar,QAT,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALAWADHI-Ahmed-3005837/,ALAWADHI Ahmed,AHMED,ALAWADHI,Bahrain,BRN,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALBARIQI-Adel-Ali-N-3009994/,ALBARIQI Adel Ali N,ADEL ALI N,ALBARIQI,Kingdom of Saudi Arabia,KSA,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALGOUD-Ahmed-3005840/,ALGOUD Ahmed,AHMED,ALGOUD,Bahrain,BRN,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALHASSAN-Shaker-3029626/,ALHASSAN Shaker,SHAKER,ALHASSAN,United Arab Emirates,UAE,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALI-Abdulla-3005942/,ALI Abdulla,ABDULLA,ALI,Bahrain,BRN,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALI-Mohamed-3024244/,ALI Mohamed,MOHAMED,ALI,United Arab Emirates,UAE,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALJABIR-Yousef-3002468/,ALJABIR Yousef,YOUSEF,ALJABIR,Qatar,QAT,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALJANAHI-Ali-3002478/,ALJANAHI Ali,ALI,ALJANAHI,Qatar,QAT,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALKHELIWI-Abdulrahman-Abdulwahab-3010006/,ALKHELIWI Abdulrahman Abdulwahab,ABDULRAHMAN ABDULWAHAB,ALKHELIWI,Kingdom of Saudi Arabia,KSA,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALMAHRI-Ahmed-3024227/,ALMAHRI Ahmed,AHMED,ALMAHRI,United Arab Emirates,UAE,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALMASRI-Sultan-Faroug-A-3010002/,ALMASRI Sultan Faroug A,SULTAN FAROUG A,ALMASRI,Kingdom of Saudi Arabia,KSA,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALMEREKHI-Mohammed-3002469/,ALMEREKHI Mohammed,MOHAMMED,ALMEREKHI,Qatar,QAT,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALMUDHAHKI-Omar-3006284/,ALMUDHAHKI Omar,OMAR,ALMUDHAHKI,Bahrain,BRN,Bowling,BO
https://en.asiangames2018.id/athletes/athlete/ALMURAIKHI-Jassim-3003035/,ALMURAIKHI Jassim,JASSIM,ALMURAIKHI,Qatar,QAT,Bowling,BO
