url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ADACHI-Kazuya-3024140/,ADACHI Kazuya,Kazuya,ADACHI,Japan,JPN,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/ARIFAL-Arifal-3019663/,ARIFAL Arifal,Arifal,ARIFAL,Indonesia,INA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/AYE-Kyaw-Saw-3003134/,AYE Kyaw Saw,KYAW SAW,AYE,Myanmar,MYA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/BAK-Jae-Hyeong-3015470/,BAK Jae Hyeong,Jae Hyeong,BAK,Republic of Korea,KOR,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/BUKANOV-Abubakir-3001307/,BUKANOV Abubakir,Abubakir,BUKANOV,Uzbekistan,UZB,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHAIDET-Yutthakan-3016807/,CHAIDET Yutthakan,Yutthakan,CHAIDET,Thailand,THA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHANG-Chuhan-3007112/,CHANG Chuhan,Chuhan,CHANG,Chinese Taipei,TPE,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHANG-Yunchuan-3007118/,CHANG Yunchuan,Yunchuan,CHANG,Chinese Taipei,TPE,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHEN-Fangjia-3011439/,CHEN Fangjia,Fangjia,CHEN,China,CHN,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHEN-Shi-3011451/,CHEN Shi,Shi,CHEN,China,CHN,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHEN-Weihan-3007106/,CHEN Weihan,Weihan,CHEN,Chinese Taipei,TPE,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/CHONSUK-Worada-3016829/,CHONSUK Worada,Worada,CHONSUK,Thailand,THA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/DUANGLAWA-Atcharaporn-3016824/,DUANGLAWA Atcharaporn,Atcharaporn,DUANGLAWA,Thailand,THA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/FATTAHPOUR-Amir-Mohammad-3003026/,FATTAHPOUR Amir Mohammad,Amir Mohammad,FATTAHPOUR,IR Iran,IRI,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/HANEDA-Takuya-3024141/,HANEDA Takuya,Takuya,HANEDA,Japan,JPN,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/HUSSLEIN-Hermann-Ludwig-3016822/,HUSSLEIN Hermann Ludwig,Hermann Ludwig,HUSSLEIN,Thailand,THA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KIM-Beom-Soo-3015469/,KIM Beom Soo,Beom Soo,KIM,Republic of Korea,KOR,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KIRPICHEV-Ramil-3005037/,KIRPICHEV Ramil,Ramil,KIRPICHEV,Uzbekistan,UZB,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KONARANGDASTENAEI-Mohammadmahdi-3021123/,KONARANGDASTENAEI Mohammadmahdi,Mohammadmahdi,KONARANGDASTENAEI,IR Iran,IRI,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KONDRATENKO-Xeniya-3021687/,KONDRATENKO Xeniya,XENIYA,KONDRATENKO,Kazakhstan,KAZ,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KULIKOV-Alexandr-3021688/,KULIKOV Alexandr,Alexandr,KULIKOV,Kazakhstan,KAZ,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KURNIA-Sumita-3019657/,KURNIA Sumita,Sumita,KURNIA,Indonesia,INA,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/KUSHWAHA-Vishvjeet-Singh-3002698/,KUSHWAHA Vishvjeet Singh,VISHVJEET SINGH,KUSHWAHA,India,IND,Canoe/Kayak Slalom,CS
https://en.asiangames2018.id/athletes/athlete/LEE-Dong-Heon-3015471/,LEE Dong Heon,Dong Heon,LEE,Republic of Korea,KOR,Canoe/Kayak Slalom,CS
