url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/AKBAR-Rio-3019878/,AKBAR Rio,RIO,AKBAR,Indonesia,INA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/CALUAG-Christopher-John-3005821/,CALUAG Christopher John,CHRISTOPHER JOHN,CALUAG,Philippines,PHI,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/CALUAG-Daniel-Patrick-3005813/,CALUAG Daniel Patrick,DANIEL PATRICK,CALUAG,Philippines,PHI,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/CHA-Seungho-3013055/,CHA Seungho,SEUNGHO,CHA,Republic of Korea,KOR,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/FINES-Sienna-Elaine-3005836/,FINES Sienna Elaine,SIENNA ELAINE,FINES,Philippines,PHI,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/FRANCA-SARMENTO-Valeria-Bakhita-3015070/,FRANCA SARMENTO Valeria Bakhita,VALERIA BAKHITA,FRANCA SARMENTO,Timor Leste,TLS,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/HATAKEYAMA-Sae-3024122/,HATAKEYAMA Sae,SAE,HATAKEYAMA,Japan,JPN,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/INKHOKSONG-Nonthakon-3008185/,INKHOKSONG Nonthakon,NONTHAKON,INKHOKSONG,Thailand,THA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/KAEWSRIKHAO-Sittichok-3008187/,KAEWSRIKHAO Sittichok,SITTICHOK,KAEWSRIKHAO,Thailand,THA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/KERDMANEE-Chamavee-3008190/,KERDMANEE Chamavee,CHAMAVEE,KERDMANEE,Thailand,THA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/KIM-Beomjung-3013053/,KIM Beomjung,BEOMJUNG,KIM,Republic of Korea,KOR,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/KITWANITSATHIAN-Chutikan-3008192/,KITWANITSATHIAN Chutikan,CHUTIKAN,KITWANITSATHIAN,Thailand,THA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/LESTARI-Wiji-3028347/,LESTARI Wiji,WIJI,LESTARI,Indonesia,INA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/LI-Xiaogang-3013485/,LI Xiaogang,XIAOGANG,LI,China,CHN,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/LU-Yan-3013559/,LU Yan,YAN,LU,China,CHN,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/MAMAT-Noor-Quraataina-3004842/,MAMAT Noor Quraataina,NOOR QURAATAINA,MAMAT,Malaysia,MAS,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/NAGASAKO-Yoshitaku-3024124/,NAGASAKO Yoshitaku,YOSHITAKU,NAGASAKO,Japan,JPN,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/NOPIANTI-Cupi-3028338/,NOPIANTI Cupi,CUPI,NOPIANTI,Indonesia,INA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/SAE-TAE-Waranya-3008191/,SAE TAE Waranya,WARANYA,SAE TAE,Thailand,THA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/SAPUTRA-I-Gusti-Bagus-3019879/,SAPUTRA I Gusti Bagus,I GUSTI BAGUS,SAPUTRA,Indonesia,INA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/SUN-Yue-3009893/,SUN Yue,YUE,SUN,China,CHN,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/SYARIFUDIN-Toni-3019877/,SYARIFUDIN Toni,TONI,SYARIFUDIN,Indonesia,INA,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/YOSHIMURA-Jukia-3024123/,YOSHIMURA Jukia,JUKIA,YOSHIMURA,Japan,JPN,Cycling BMX,CB
https://en.asiangames2018.id/athletes/athlete/ZHANG-Yaru-3013582/,ZHANG Yaru,YARU,ZHANG,China,CHN,Cycling BMX,CB
