url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABOU-RACHID-Elias-3014292/,ABOU RACHID Elias,ELIAS,ABOU RACHID,Lebanon,LBN,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/ADILOV-Shakir-3029446/,ADILOV Shakir,SHAKIR,ADILOV,Kazakhstan,KAZ,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/BELGIRA-Lea-Denise-3030538/,BELGIRA Lea Denise,LEA DENISE,BELGIRA,Philippines,PHI,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/BOLD-Iderbold-3027179/,BOLD Iderbold,IDERBOLD,BOLD,Mongolia,MGL,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/CHATKAMNOED-Siraphatson-3008153/,CHATKAMNOED Siraphatson,SIRAPHATSON,CHATKAMNOED,Thailand,THA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/CHIANG-Shengshan-3008980/,CHIANG Shengshan,SHENGSHAN,CHIANG,Chinese Taipei,TPE,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/CHOU-Peini-3008994/,CHOU Peini,PEINI,CHOU,Chinese Taipei,TPE,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/DEEKABALLES-Vipavee-3008152/,DEEKABALLES Vipavee,VIPAVEE,DEEKABALLES,Thailand,THA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/DORMITORIO-Ariana-Thea-Patrice-3011144/,DORMITORIO Ariana Thea Patrice,ARIANA THEA PATRICE,DORMITORIO,Philippines,PHI,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/dos-SANTOS-TILMAN-Eugenio-Manuel-3014306/,dos SANTOS TILMAN Eugenio Manuel,EUGENIO MANUEL,DOS SANTOS TILMAN,Timor Leste,TLS,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/ERDENETSOGT-Enkhsaran-3027190/,ERDENETSOGT Enkhsaran,ENKHSARAN,ERDENETSOGT,Mongolia,MGL,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/FANANI-Zaenal-3019900/,FANANI Zaenal,ZAENAL,FANANI,Indonesia,INA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/FARISI-Rafika-Mokhamad-3019902/,FARISI Rafika Mokhamad,RAFIKA MOKHAMAD,FARISI,Indonesia,INA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/FARR-John-Derick-3020685/,FARR John Derick,JOHN DERICK,FARR,Philippines,PHI,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/GANTOGTOKH-Enkhjin-3027189/,GANTOGTOKH Enkhjin,ENKHJIN,GANTOGTOKH,Mongolia,MGL,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/KAZANTSEV-Kirill-3029445/,KAZANTSEV Kirill,KIRILL,KAZANTSEV,Kazakhstan,KAZ,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/KWON-Soonwoo-3013046/,KWON Soonwoo,SOONWOO,KWON,Republic of Korea,KOR,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/LAI-Chun-Kin-3025952/,LAI Chun Kin,CHUN KIN,LAI,"Hong Kong, China",HKG,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/LI-Hongfeng-3010347/,LI Hongfeng,HONGFENG,LI,China,CHN,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/LI-Matias-3015066/,LI Matias,MATIAS,LI,Timor Leste,TLS,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/LYU-Xianjing-3011013/,LYU Xianjing,XIANJING,LYU,China,CHN,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/MA-Hao-3010032/,MA Hao,HAO,MA,China,CHN,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/MAGAR-Laxmi-3013729/,MAGAR Laxmi,LAXMI,MAGAR,Nepal,NEP,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/MAGAR-Rajesh-3014105/,MAGAR Rajesh,RAJESH,MAGAR,Nepal,NEP,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/MARQUES-Cabral-3030592/,MARQUES Cabral,CABRAL,MARQUES,Timor Leste,TLS,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/MONTEIRO-SEIXAS-CARVALHO-D-S-3015060/,MONTEIRO SEIXAS CARVALHO D. S.,DIAMANTINO SANDRO,MONTEIRO SEIXAS CARVALHO,Timor Leste,TLS,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/MUKHIB-Khoiful-3019884/,MUKHIB Khoiful,KHOIFUL,MUKHIB,Indonesia,INA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/NOVIANA-Noviana-3019908/,NOVIANA Noviana,NOVIANA,NOVIANA,Indonesia,INA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/PANYAWAN-Natalie-3008147/,PANYAWAN Natalie,NATALIE,PANYAWAN,Thailand,THA,Cycling Mountain Bike,CM
https://en.asiangames2018.id/athletes/athlete/PARTOAZAR-Faranak-3000543/,PARTOAZAR Faranak,FARANAK,PARTOAZAR,IR Iran,IRI,Cycling Mountain Bike,CM
