url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/AL-ALI-Saeed-3006615/,AL ALI Saeed,SAEED,AL ALI,Qatar,QAT,Diving,DV
https://en.asiangames2018.id/athletes/athlete/ALMALKI-Mohammed-3007130/,ALMALKI Mohammed,MOHAMMED,ALMALKI,Qatar,QAT,Diving,DV
https://en.asiangames2018.id/athletes/athlete/ANASTI-Maria-Natalie-Dinda-3020040/,ANASTI Maria Natalie Dinda,MARIA NATALIE DINDA,ANASTI,Indonesia,INA,Diving,DV
https://en.asiangames2018.id/athletes/athlete/ANDRIYAN-Andriyan-3020035/,ANDRIYAN Andriyan,ANDRIYAN,ANDRIYAN,Indonesia,INA,Diving,DV
https://en.asiangames2018.id/athletes/athlete/ARAI-Matsuri-3008231/,ARAI Matsuri,MATSURI,ARAI,Japan,JPN,Diving,DV
https://en.asiangames2018.id/athletes/athlete/AZMAN-Ahmad-Amsyar-3005250/,AZMAN Ahmad Amsyar,AHMAD AMSYAR,AZMAN,Malaysia,MAS,Diving,DV
https://en.asiangames2018.id/athletes/athlete/BALGHAITH-Abdulaziz-3006332/,BALGHAITH Abdulaziz,ABDULAZIZ,BALGHAITH,Qatar,QAT,Diving,DV
https://en.asiangames2018.id/athletes/athlete/BOTIROV-Doston-3004814/,BOTIROV Doston,DOSTON,BOTIROV,Uzbekistan,UZB,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CAO-Yuan-3009722/,CAO Yuan,YUAN,CAO,China,CHN,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHAN-Jonathan-Fan-Keng-3002707/,CHAN Jonathan Fan Keng,JONATHAN FAN KENG,CHAN,Singapore,SGP,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHAN-Lam-3023119/,CHAN Lam,LAM,CHAN,"Hong Kong, China",HKG,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHANG-Yani-3009725/,CHANG Yani,YANI,CHANG,China,CHN,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHEN-Aisen-3009728/,CHEN Aisen,AISEN,CHEN,China,CHN,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHEN-Yiwen-3009732/,CHEN Yiwen,YIWEN,CHEN,China,CHN,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHEONG-Jun-Hoong-3005251/,CHEONG Jun Hoong,JUN HOONG,CHEONG,Malaysia,MAS,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHEW-Yiwei-3005252/,CHEW Yiwei,YIWEI,CHEW,Malaysia,MAS,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHO-Eunbi-3016584/,CHO Eunbi,EUNBI,CHO,Republic of Korea,KOR,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHOI-Sut-Kuan-3009940/,CHOI Sut Kuan,SUT KUAN,CHOI,"Macau, China",MAC,Diving,DV
https://en.asiangames2018.id/athletes/athlete/CHONG-Joshua-James-3002712/,CHONG Joshua James,JOSHUA JAMES,CHONG,Singapore,SGP,Diving,DV
https://en.asiangames2018.id/athletes/athlete/FONG-Kay-Yian-3002709/,FONG Kay Yian,KAY YIAN,FONG,Singapore,SGP,Diving,DV
https://en.asiangames2018.id/athletes/athlete/HARIMURTI-Della-Dinarsari-3020041/,HARIMURTI Della Dinarsari,DELLA DINARSARI,HARIMURTI,Indonesia,INA,Diving,DV
https://en.asiangames2018.id/athletes/athlete/HYON-Il-Myong-3027637/,HYON Il Myong,IL MYONG,HYON,DPR Korea,PRK,Diving,DV
