url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDRAKHMAN-UULU-Kubatbek-3024013/,ABDRAKHMAN UULU Kubatbek,KUBATBEK,ABDRAKHMAN UULU,Kyrgyzstan,KGZ,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Kiria-Tikanah-3006549/,ABDUL RAHMAN Kiria Tikanah,KIRIA TIKANAH,ABDUL RAHMAN,Singapore,SGP,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ABDYL-KHAMITOVA-Kamilia-3024018/,ABDYL KHAMITOVA Kamilia,KAMILIA,ABDYL KHAMITOVA,Kyrgyzstan,KGZ,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ABEDINI-SHORMASTI-Mojtaba-3000652/,ABEDINI SHORMASTI Mojtaba,MOJTABA,ABEDINI SHORMASTI,IR Iran,IRI,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ABELLA-Hanniel-3005859/,ABELLA Hanniel,HANNIEL,ABELLA,Philippines,PHI,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ABOU-JAOUDE-Rita-3008633/,ABOU JAOUDE Rita,RITA,ABOU JAOUDE,Lebanon,LBN,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ABUJBARA-Amira-3001927/,ABUJBARA Amira,AMIRA,ABUJBARA,Qatar,QAT,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/AHMAD-Saif-3001832/,AHMAD Saif,SAIF,AHMAD,United Arab Emirates,UAE,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/AINI-Nurul-3020269/,AINI Nurul,NURUL,AINI,Indonesia,INA,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/AIRY-Sher-Singh-3016244/,AIRY Sher Singh,SHER SINGH,AIRY,Nepal,NEP,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/AL-ABDULLA-Thkrayat-3001913/,AL ABDULLA Thkrayat,THKRAYAT,AL ABDULLA,Qatar,QAT,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/AL-BDULLA-Wadha-3001911/,AL BDULLA Wadha,WADHA,AL BDULLA,Qatar,QAT,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ALBADER-Yousef-3001884/,ALBADER Yousef,YOUSEF,ALBADER,Qatar,QAT,Fencing,FE
https://en.asiangames2018.id/athletes/athlete/ALDOSARI-Mohammed-3004343/,ALDOSARI Mohammed,MOHAMMED,ALDOSARI,Qatar,QAT,Fencing,FE
