url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/Maqbool-3028503/,Maqbool,Maqbool,,Pakistan,PAK,Football,FB
https://en.asiangames2018.id/athletes/athlete/AALKANDARI-Abdulaziz-3007109/,AALKANDARI Abdulaziz,Abdulaziz,Aalkandari,Bahrain,BRN,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABBASIAN-Shahin-3023455/,ABBASIAN Shahin,Shahin,Abbasian,IR Iran,IRI,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDALLAH-Hani-9953608/,ABDALLAH Hani,Hani,Abdallah,Palestine,PLE,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDELSALAM-Saadou-3006787/,ABDELSALAM Saadou,Saadou,Abdelsalam,Palestine,PLE,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDIXOLIKOV-Bobir-3001497/,ABDIXOLIKOV Bobir,Bobir,Abdixolikov,Uzbekistan,UZB,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDUL-AZIH-Muhamad-Nor-Azam-3005474/,ABDUL AZIH Muhamad Nor Azam,Muhamad Nor Azam,Abdul Azih,Malaysia,MAS,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDUL-HALIM-Mohamad-Faisal-3005385/,ABDUL HALIM Mohamad Faisal,Mohamad Faisal,Abdul Halim,Malaysia,MAS,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDUL-MATHEEN-Azina-3021189/,ABDUL MATHEEN Azina,Azina,Abdul Matheen,Maldives,MDV,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Muhammad-Akhyar-3005478/,ABDUL RASHID Muhammad Akhyar,Muhammad Akhyar,Abdul Rashid,Malaysia,MAS,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZAK-Mohamad-Hadi-Fayyadh-3029109/,ABDUL RAZAK Mohamad Hadi Fayyadh,Mohamad Hadi Fayyadh,Abdul Razak,Malaysia,MAS,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZZAQ-Aishath-3021182/,ABDUL RAZZAQ Aishath,Aishath,Abdul Razzaq,Maldives,MDV,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Ali-Shamal-3011433/,ABDULLA Ali Shamal,Ali Shamal,Abdulla,Maldives,MDV,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Azzam-3011423/,ABDULLA Azzam,Azzam,Abdulla,Maldives,MDV,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDULLA-Husain-9953626/,ABDULLA Husain,Husain,Abdulla,United Arab Emirates,UAE,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Md-3005241/,ABDULLAH Md,Md,Abdullah,Bangladesh,BAN,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMANOV-Odilzhon-3023288/,ABDURAKHMANOV Odilzhon,Odilzhon,Abdurakhmanov,Kyrgyzstan,KGZ,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABUAKER-Naim-9953606/,ABUAKER Naim,Naim,Abuaker,Palestine,PLE,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABUHAMAM-Ahmed-3006589/,ABUHAMAM Ahmed,Ahmed,Abuhamam,Palestine,PLE,Football,FB
https://en.asiangames2018.id/athletes/athlete/ABUWARDA-Mahmoud-3006618/,ABUWARDA Mahmoud,Mahmoud,Abuwarda,Palestine,PLE,Football,FB
