url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/AGAYEVA-Albina-3017421/,AGAYEVA Albina,ALBINA,AGAYEVA,Kazakhstan,KAZ,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AKBAR-Kevin-Caesario-3020235/,AKBAR Kevin Caesario,KEVIN CAESARIO,AKBAR,Indonesia,INA,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AKTER-Liza-3004787/,AKTER Liza,LIZA,AKTER,Bangladesh,BAN,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AKTHER-Sonya-3004785/,AKTHER Sonya,SONYA,AKTHER,Bangladesh,BAN,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AL-KAABI-Saleh-3001431/,AL KAABI Saleh,SALEH,AL KAABI,Qatar,QAT,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AL-KUWARI-Jaham-3001434/,AL KUWARI Jaham,JAHAM,AL KUWARI,Qatar,QAT,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AL-SHAHRANI-Abdulrahman-3001435/,AL SHAHRANI Abdulrahman,ABDULRAHMAN,AL SHAHRANI,Qatar,QAT,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AL-SHAHRANI-Ali-3001433/,AL SHAHRANI Ali,ALI,AL SHAHRANI,Qatar,QAT,Golf,GO
https://en.asiangames2018.id/athletes/athlete/ALHAJERI-Mohamed-3016782/,ALHAJERI Mohamed,MOHAMED,ALHAJERI,United Arab Emirates,UAE,Golf,GO
https://en.asiangames2018.id/athletes/athlete/ALHELOO-Reema-3016793/,ALHELOO Reema,REEMA,ALHELOO,United Arab Emirates,UAE,Golf,GO
https://en.asiangames2018.id/athletes/athlete/ALTANSUKH-Enerel-3028717/,ALTANSUKH Enerel,ENEREL,ALTANSUKH,Mongolia,MGL,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AMGALAN-Khayankhyarvaa-3028704/,AMGALAN Khayankhyarvaa,KHAYANKHYARVAA,AMGALAN,Mongolia,MGL,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AN-Hoyu-3012105/,AN Hoyu,HOYU,AN,Chinese Taipei,TPE,Golf,GO
https://en.asiangames2018.id/athletes/athlete/AO-Ka-Hou-3004501/,AO Ka Hou,KA HOU,AO,"Macau, China",MAC,Golf,GO
https://en.asiangames2018.id/athletes/athlete/ASHLEY-LAU-Jen-Wen-3007384/,ASHLEY LAU Jen Wen,JEN WEN,ASHLEY LAU,Malaysia,MAS,Golf,GO
https://en.asiangames2018.id/athletes/athlete/B-K-Ajit-3018125/,B K Ajit,AJIT,B K,Nepal,NEP,Golf,GO
https://en.asiangames2018.id/athletes/athlete/BAKHA-Md-Shafique-3004781/,BAKHA Md Shafique,MD SHAFIQUE,BAKHA,Bangladesh,BAN,Golf,GO
https://en.asiangames2018.id/athletes/athlete/BEDI-Aadil-3003781/,BEDI Aadil,AADIL,BEDI,India,IND,Golf,GO
https://en.asiangames2018.id/athletes/athlete/BIN-MOHD-FATHI-Muhammad-Afif-3007414/,BIN MOHD FATHI Muhammad Afif,MUHAMMAD AFIF,BIN MOHD FATHI,Malaysia,MAS,Golf,GO
https://en.asiangames2018.id/athletes/athlete/BOLDBAATAR-Munkhbaatar-3028702/,BOLDBAATAR Munkhbaatar,MUNKHBAATAR,BOLDBAATAR,Mongolia,MGL,Golf,GO
https://en.asiangames2018.id/athletes/athlete/BUNNABODEE-Kan-3012631/,BUNNABODEE Kan,KAN,BUNNABODEE,Thailand,THA,Golf,GO
https://en.asiangames2018.id/athletes/athlete/BYAMBAJAV-Batnaran-3028715/,BYAMBAJAV Batnaran,BATNARAN,BYAMBAJAV,Mongolia,MGL,Golf,GO
https://en.asiangames2018.id/athletes/athlete/CASTRO-Luis-Miguel-3016879/,CASTRO Luis Miguel,LUIS MIGUEL,CASTRO,Philippines,PHI,Golf,GO
https://en.asiangames2018.id/athletes/athlete/CHANG-Ervin-3007400/,CHANG Ervin,ERVIN,CHANG,Malaysia,MAS,Golf,GO
https://en.asiangames2018.id/athletes/athlete/CHEN-Sergey-3002056/,CHEN Sergey,SERGEY,CHEN,Uzbekistan,UZB,Golf,GO
https://en.asiangames2018.id/athletes/athlete/CHEN-Yilong-9954204/,CHEN Yilong,YILONG,CHEN,China,CHN,Golf,GO
https://en.asiangames2018.id/athletes/athlete/CHEUNG-Matthew-3024276/,CHEUNG Matthew,MATTHEW,CHEUNG,"Hong Kong, China",HKG,Golf,GO
https://en.asiangames2018.id/athletes/athlete/CHEUNG-Michelle-3024283/,CHEUNG Michelle,MICHELLE,CHEUNG,"Hong Kong, China",HKG,Golf,GO
