url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/Navdeep-3003934/,Navdeep,Navdeep,,India,IND,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABD-RAHMAN-Nurshahira-3023055/,ABD RAHMAN Nurshahira,Nurshahira,Abd Rahman,Malaysia,MAS,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDIKHAMIT-Arailym-3029331/,ABDIKHAMIT Arailym,Arailym,Abdikhamit,Kazakhstan,KAZ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDLKAN-Ali-Adnan-Chyad-3003489/,ABDLKAN Ali Adnan Chyad,Ali Adnan Chyad,Abdlkan,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZAK-Amirul-Ikram-3023298/,ABDUL RAZAK Amirul Ikram,Amirul Ikram,Abdul Razak,Malaysia,MAS,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAZAK-Nabil-3023289/,ABDUL RAZAK Nabil,Nabil,Abdul Razak,Malaysia,MAS,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDULHAMIDOVA-Surayyokhon-3000721/,ABDULHAMIDOVA Surayyokhon,SURAYYOKHON,ABDULHAMIDOVA,Uzbekistan,UZB,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Khairul-Amirul-3023422/,ABDULLAH Khairul Amirul,Khairul Amirul,Abdullah,Malaysia,MAS,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDULREDHA-Mohamed-3008209/,ABDULREDHA Mohamed,Mohamed,Abdulredha,Bahrain,BRN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABDUMANNONOVA-Oyazimkhon-3000722/,ABDUMANNONOVA Oyazimkhon,OYAZIMKHON,ABDUMANNONOVA,Uzbekistan,UZB,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABILDA-Dana-3029330/,ABILDA Dana,Dana,Abilda,Kazakhstan,KAZ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABOUEI-Ehsan-3029913/,ABOUEI Ehsan,Ehsan,Abouei,IR Iran,IRI,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ABU-ALRAHI-Muneer-3010888/,ABU ALRAHI Muneer,Muneer,Abu Alrahi,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AGARIE-Yuto-3003668/,AGARIE Yuto,Yuto,Agarie,Japan,JPN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AHLAWAT-Deepak-3003911/,AHLAWAT Deepak,Deepak,Ahlawat,India,IND,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AHMAD-YUSOP-Farah-Atifah-3023056/,AHMAD YUSOP Farah Atifah,Farah Atifah,Ahmad Yusop,Malaysia,MAS,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AHMED-Isa-3030336/,AHMED Isa,Isa,Ahmed,Bahrain,BRN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AHMED-Mohamed-3008886/,AHMED Mohamed,Mohamed,Ahmed,Bahrain,BRN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AKIYAMA-Natsumi-3025490/,AKIYAMA Natsumi,Natsumi,Akiyama,Japan,JPN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-AKAYSHEE-Ali-Abdulridha-3008017/,AL AKAYSHEE Ali Abdulridha,Ali Abdulridha,Al Akayshee,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Ahmed-Makki-Saleh-3003462/,AL AZZAWI Ahmed Makki Saleh,Ahmed Makki Saleh,Al Azzawi,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Mohammed-Ali-Mahdi-3004339/,AL AZZAWI Mohammed Ali Mahdi,Mohammed Ali Mahdi,Al Azzawi,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-AZZAWI-Mustafa-Mohammed-3003684/,AL AZZAWI Mustafa Mohammed,Mustafa Mohammed,Al Azzawi,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-BAGHDADI-Raed-Abd-Zaid-Alwan-3003483/,AL BAGHDADI Raed Abd Zaid Alwan,Raed Abd Zaid Alwan,Al Baghdadi,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-BEHADILI-Maytham-Oudah-3003692/,AL BEHADILI Maytham Oudah,Maytham Oudah,Al Behadili,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-BEHADILI-Mohanad-Adil-Talib-3003690/,AL BEHADILI Mohanad Adil Talib,Mohanad Adil Talib,Al Behadili,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/AL-HABIB-Hassan-3010970/,AL HABIB Hassan,HASSAN,AL HABIB,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALABAS-Mohammed-3017553/,ALABAS Mohammed,Mohammed,Alabas,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALABBAS-Abdullah-3010949/,ALABBAS Abdullah,Abdullah,Alabbas,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALABDULALI-Ahmad-3010868/,ALABDULALI Ahmad,Ahmad,Alabdulali,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALAKAYSHI-Majid-Abdulridha-3003664/,ALAKAYSHI Majid Abdulridha,Majid Abdulridha,Alakayshi,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALBASHA-Mohammed-3010951/,ALBASHA Mohammed,MOHAMMED,ALBASHA,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALBATTAT-Karrar-Kadhim-3003493/,ALBATTAT Karrar Kadhim,Karrar Kadhim,Albattat,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALEXANDROVA-Irina-3029327/,ALEXANDROVA Irina,Irina,Alexandrova,Kazakhstan,KAZ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALFARDAN-Hasan-3008207/,ALFARDAN Hasan,Hasan,Alfardan,Bahrain,BRN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALHAMMAD-Abdullah-3010940/,ALHAMMAD Abdullah,Abdullah,Alhammad,Kingdom of Saudi Arabia,KSA,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALI-Asif-3007810/,ALI Asif,ASIF,ALI,Pakistan,PAK,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALI-Mohamed-3008712/,ALI Mohamed,Mohamed,Ali,Bahrain,BRN,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALI-Muntadher-Qasim-Jebur-3003686/,ALI Muntadher Qasim Jebur,Muntadher Qasim Jebur,Ali,Iraq,IRQ,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALI-Yousef-3003354/,ALI Yousef,Yousef,Ali,Qatar,QAT,Handball,HB
https://en.asiangames2018.id/athletes/athlete/ALIBRAHIM-Ali-3010858/,ALIBRAHIM Ali,Ali,Alibrahim,Kingdom of Saudi Arabia,KSA,Handball,HB
