url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABBAS-Tasawar-3016536/,ABBAS Tasawar,Tasawar,Abbas,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ABD-RAHIM-Muhammad-Razie-3004426/,ABD RAHIM Muhammad Razie,Muhammad Razie,Abd Rahim,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ABD-RAHMAN-Mohammad-Hairi-3004469/,ABD RAHMAN Mohammad Hairi,Mohammad Hairi,Abd Rahman,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ABDUL-MUTALIB-Mohamad-Sukri-3004472/,ABDUL MUTALIB Mohamad Sukri,Mohamad Sukri,Abdul Mutalib,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Nuraini-3005530/,ABDUL RASHID Nuraini,Nuraini,Abdul Rashid,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ABDULABAYEV-Ilgam-3030308/,ABDULABAYEV Ilgam,Ilgam,Abdulabayev,Kazakhstan,KAZ,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AHMAD-Ajaz-3016327/,AHMAD Ajaz,Ajaz,Ahmad,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-AKBAR-Abdullah-Jihad-3027805/,AL AKBAR Abdullah Jihad,ABDULLAH JIHAD,AL AKBAR,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-ARDH-Aulia-Akbar-3027809/,AL ARDH Aulia Akbar,Aulia Akbar,Al Ardh,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-FAZARI-Hamed-Salim-Hamed-3000081/,AL FAZARI Hamed Salim Hamed,HAMED SALIM HAMED,AL FAZARI,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-HASNI-Mahmood-Salim-Ghashim-3000070/,AL HASNI Mahmood Salim Ghashim,Mahmood Salim Ghashim,Al Hasni,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-LAUN-Sami-Awadh-Said-3000086/,AL LAUN Sami Awadh Said,Sami Awadh Said,Al Laun,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-NOFALI-Ahmed-Said-Salmeen-3000076/,AL NOFALI Ahmed Said Salmeen,AHMED SAID SALMEEN,AL NOFALI,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-NOFLI-Younis-Ghabish-Salmeen-3000087/,AL NOFLI Younis Ghabish Salmeen,Younis Ghabish Salmeen,Al Nofli,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-RAIISI-Marwan-Abdul-Rahman-Yahya-3000072/,AL RAIISI Marwan Abdul Rahman Yahya,Marwan Abdul Rahman Yahya Issa,Al Raiisi,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-SHIBLI-Qasim-5255005/,AL SHIBLI Qasim,Qasim,Al Shibli,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-FARSI-Ibrahim-3030554/,AL-FARSI Ibrahim,Ibrahim,Al-Farsi,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-FAZARI-Rashad-Salim-Hamed-3000079/,AL-FAZARI Rashad Salim Hamed,Rashad Salim Hamed,Al-Fazari,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-HASANI-Imad-Ayyad-Masoud-Ayyad-3000073/,AL-HASANI Imad Ayyad Masoud Ayyad,Imad Ayyad Masoud Ayyad,Al-Hasani,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-HASANI-Muhanna-Nasser-Ali-3000068/,AL-HASANI Muhanna Nasser Ali,Muhanna Nasser Ali,Al-Hasani,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-NOUFALI-Fahad-Khamis-Salmeen-3000082/,AL-NOUFALI Fahad Khamis Salmeen,Fahad Khamis Salmeen,Al-Noufali,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-QASMI-Asaad-Ali-Mubarak-3000071/,AL-QASMI Asaad Ali Mubarak,Asaad Ali Mubarak,Al-Qasmi,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-SAADI-Salah-Nasser-Ahmed-3000078/,AL-SAADI Salah Nasser Ahmed,Salah Nasser Ahmed,Al-Saadi,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-SHAAIBI-Ammaar-Juma-Salim-3000077/,AL-SHAAIBI Ammaar Juma Salim,Ammaar Juma Salim,Al-Shaaibi,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-SHAAIBI-Khalid-Juma-Salim-Hamood-3000074/,AL-SHAAIBI Khalid Juma Salim Hamood,Khalid Juma Salim Hamood,Al-Shaaibi,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-SHIBLI-Qasim-Moosa-Khalfan-3000069/,AL-SHIBLI Qasim Moosa Khalfan,Qasim Moosa Khalfan,Al-Shibli,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AL-ZADJALI-Ali-3030555/,AL-ZADJALI Ali,Ali,Al-Zadjali,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ALAM-Mohammad-Safiul-3011544/,ALAM Mohammad Safiul,MOHAMMAD SAFIUL,ALAM,Bangladesh,BAN,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ALI-Amjad-3016333/,ALI Amjad,Amjad,Ali,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ALI-Mubashar-3016376/,ALI Mubashar,Mubashar,Ali,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ALI-Rizwan-3016451/,ALI Rizwan,Rizwan,Ali,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ALLOUN-Faisal-3030556/,ALLOUN Faisal,Faisal,Alloun,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AMANIAH-Sarah-3027816/,AMANIAH Sarah,Sarah,Amaniah,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AN-Hyoju-3016315/,AN Hyoju,Hyoju,An,Republic of Korea,KOR,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ARDAM-3027801/,ARDAM,,Ardam,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ARINDAH-Aulia-Ghassani-Putri-3027838/,ARINDAH Aulia Ghassani Putri,Aulia Ghassani Putri,Arindah,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ARSHAD-Muhammad-Toseeq-3016488/,ARSHAD Muhammad Toseeq,Muhammad Toseeq,Arshad,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ASAI-Yu-3025645/,ASAI Yu,Yu,Asai,Japan,JPN,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ASHARI-Muhammad-Firhan-3017242/,ASHARI Muhammad Firhan,Muhammad Firhan,Ashari,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/ATIQ-Muhammad-3016394/,ATIQ Muhammad,Muhammad,Atiq,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AU-Jasper-Tsz-Shun-3027040/,AU Jasper Tsz Shun,Jasper Tsz Shun,Au,"Hong Kong, China",HKG,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AUDAH-Bara-Ibnu-3027807/,AUDAH Bara Ibnu,Bara Ibnu,Audah,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AUNALAL-Richard-Brando-3027803/,AUNALAL Richard Brando,Richard Brando,Aunalal,Indonesia,INA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AUNJAI-Natthakarn-3021473/,AUNJAI Natthakarn,Natthakarn,Aunjai,Thailand,THA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AWANG-NOH-Surizan-3005539/,AWANG NOH Surizan,Surizan,Awang Noh,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/AZIZ-Nur-Zafirah-3005547/,AZIZ Nur Zafirah,Nur Zafirah,Aziz,Malaysia,MAS,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BAE-Jongsuk-3016482/,BAE Jongsuk,Jongsuk,Bae,Republic of Korea,KOR,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BAIT-SHAMAIAA-Mahmood-Ashoor-R-3000084/,BAIT SHAMAIAA Mahmood Ashoor R.,Mahmood Ashoor Ramadhan,Bait Shamaiaa,Oman,OMA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BAKHAVADDIN-Guzal-3021250/,BAKHAVADDIN Guzal,Guzal,Bakhavaddin,Kazakhstan,KAZ,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BHUTTA-Muhammad-Umar-3016499/,BHUTTA Muhammad Umar,Muhammad Umar,Bhutta,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BILAL-Aleem-5255002/,BILAL Aleem,Aleem,Bilal,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BILAL-Muhammad-Aleem-3016380/,BILAL Muhammad Aleem,MUHAMMAD ALEEM,BILAL,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BISSIROVA-Alina-3021247/,BISSIROVA Alina,Alina,Bissirova,Kazakhstan,KAZ,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BOON-ART-Thanakrit-3021433/,BOON ART Thanakrit,Thanakrit,Boon Art,Thailand,THA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BOONMEE-Chakan-3021410/,BOONMEE Chakan,Chakan,Boonmee,Thailand,THA,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BOTHALE-APPUHAMILAGE-DON-R-S-N-3029808/,BOTHALE APPUHAMILAGE DON R. S. N.,Ravidu Seran Nimanka,Bothale Appuhamilage Don,Sri Lanka,SRI,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BUTT-Ammad-Shakeel-3016337/,BUTT Ammad Shakeel,Ammad Shakeel,Butt,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/BUTT-Imran-3016357/,BUTT Imran,Imran,Butt,Pakistan,PAK,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/CHAN-Chi-3027071/,CHAN Chi,Chi,Chan,"Hong Kong, China",HKG,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/CHAN-Ching-Nam-3027072/,CHAN Ching Nam,Ching Nam,Chan,"Hong Kong, China",HKG,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/CHAN-Hou-Fung-3027041/,CHAN Hou Fung,Hou Fung,Chan,"Hong Kong, China",HKG,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/CHAN-Ka-Chun-3027042/,CHAN Ka Chun,Ka Chun,Chan,"Hong Kong, China",HKG,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/CHAN-Yi-Man-3027069/,CHAN Yi Man,Yi Man,Chan,"Hong Kong, China",HKG,Hockey,HO
https://en.asiangames2018.id/athletes/athlete/CHAN-Yin-Ching-Tiffany-3027070/,CHAN Yin Ching Tiffany,Yin Ching Tiffany,Chan,"Hong Kong, China",HKG,Hockey,HO
