url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ARDHANA-Andriani-Shintya-3020070/,ARDHANA Andriani Shintya,ANDRIANI SHINTYA,ARDHANA,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/AU-IEONG-Sin-Ieng-3003206/,AU IEONG Sin Ieng,SIN IENG,AU IEONG,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/BAEK-Seoyeon-3016606/,BAEK Seoyeon,SEOYEON,BAEK,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHA-Ye-Gyong-3027633/,CHA Ye Gyong,YE GYONG,CHA,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHAN-Chi-Ian-3003403/,CHAN Chi Ian,CHI IAN,CHAN,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHAN-Hoi-Lam-3025486/,CHAN Hoi Lam,HOI LAM,CHAN,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHANG-Hao-3004431/,CHANG Hao,HAO,CHANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHAU-Cheng-Han-3003244/,CHAU Cheng Han,CHENG HAN,CHAU,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHEUNG-Ka-Wing-3030383/,CHEUNG Ka Wing,KA WING,CHEUNG,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHEW-Ching-Lam-3025479/,CHEW Ching Lam,CHING LAM,CHEW,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHIANG-Yi-Min-Hannah-3002346/,CHIANG Yi Min Hannah,YI MIN HANNAH,CHIANG,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/CHOI-Jungyeon-3016596/,CHOI Jungyeon,JUNGYEON,CHOI,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/DEGTYAREVA-Yana-3030034/,DEGTYAREVA Yana,YANA,DEGTYAREVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/ELTISHEVA-Anna-3001192/,ELTISHEVA Anna,ANNA,ELTISHEVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/FENG-Yu-3004435/,FENG Yu,YU,FENG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/FOONG-Yan-Nie-3005382/,FOONG Yan Nie,YAN NIE,FOONG,Malaysia,MAS,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/FUKUMURA-Juka-3025896/,FUKUMURA Juka,JUKA,FUKUMURA,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/GAN-Hua-Wei-3005383/,GAN Hua Wei,HUA WEI,GAN,Malaysia,MAS,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/GISWATAMA-Nabila-Putri-3020069/,GISWATAMA Nabila Putri,NABILA PUTRI,GISWATAMA,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/GUO-Li-3004440/,GUO Li,LI,GUO,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/HARYONO-Sherly-3020071/,HARYONO Sherly,SHERLY,HARYONO,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/INUI-Yukiko-3025897/,INUI Yukiko,YUKIKO,INUI,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/JANG-Hyon-Ok-3027627/,JANG Hyon Ok,HYON OK,JANG,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/JIANG-Tingting-3004824/,JIANG Tingting,TINGTING,JIANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/JIANG-Wenwen-3004830/,JIANG Wenwen,WENWEN,JIANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/JONG-Na-Ri-3027629/,JONG Na Ri,NA RI,JONG,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/JUNG-Younghee-3016585/,JUNG Younghee,YOUNGHEE,JUNG,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KAWAZOE-Haruka-3025481/,KAWAZOE Haruka,HARUKA,KAWAZOE,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KHAKIMOVA-Khurshida-3001201/,KHAKIMOVA Khurshida,KHURSHIDA,KHAKIMOVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KIJIMA-Moeka-3030141/,KIJIMA Moeka,MOEKA,KIJIMA,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KIM-Junhee-3016600/,KIM Junhee,JUNHEE,KIM,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KIM-Sojin-3016583/,KIM Sojin,SOJIN,KIM,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KO-Su-Rim-3027630/,KO Su Rim,SU RIM,KO,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KONOVALENKO-Renata-3030032/,KONOVALENKO Renata,RENATA,KONOVALENKO,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KOO-Yemo-3016588/,KOO Yemo,YEMO,KOO,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KOU-Chin-3013296/,KOU Chin,CHIN,KOU,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KOU-Chin-3003198/,KOU Chin,CHIN,KOU,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KRYLOVA-Yelena-3030031/,KRYLOVA Yelena,YELENA,KRYLOVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KWOK-Kam-Wing-3025482/,KWOK Kam Wing,KAM WING,KWOK,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/KYOGOKU-Okina-3025898/,KYOGOKU Okina,OKINA,KYOGOKU,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LANGIT-Maharani-Sekar-3020068/,LANGIT Maharani Sekar,MAHARANI SEKAR,LANGIT,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEE-Jaehyun-3016592/,LEE Jaehyun,JAEHYUN,LEE,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEE-Riyoung-3016602/,LEE Riyoung,RIYOUNG,LEE,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEE-Yhing-Huey-3005379/,LEE Yhing Huey,YHING HUEY,LEE,Malaysia,MAS,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEE-Yi-Jie-3002351/,LEE Yi Jie,YI JIE,LEE,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEE-Youjin-3016598/,LEE Youjin,YOUJIN,LEE,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEI-Cheok-Ian-3008369/,LEI Cheok Ian,CHEOK IAN,LEI,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEI-Cheuk-Sze-3003383/,LEI Cheuk Sze,CHEUK SZE,LEI,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LEONG-Mei-Hun-3003239/,LEONG Mei Hun,MEI HUN,LEONG,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LI-Ni-3008402/,LI Ni,NI,LI,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LIANG-Xinping-3004458/,LIANG Xinping,XINPING,LIANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/LO-Wai-Lam-3003226/,LO Wai Lam,WAI LAM,LO,"Macau, China",MAC,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/MARUMO-Kei-3025899/,MARUMO Kei,KEI,MARUMO,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/MATKOVA-Alina-3030030/,MATKOVA Alina,ALINA,MATKOVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/MELATI-Petra-Septaria-Puspa-3020067/,MELATI Petra Septaria Puspa,PETRA SEPTARIA PUSPA,MELATI,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/MIN-Hae-Yon-3027626/,MIN Hae Yon,HAE YON,MIN,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/MOROZOVA-Anastasiya-3001191/,MOROZOVA Anastasiya,ANASTASIYA,MOROZOVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/MUN-Hye-Song-3027628/,MUN Hye Song,HYE SONG,MUN,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/NEMICH-Alexandra-3030029/,NEMICH Alexandra,ALEXANDRA,NEMICH,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/NEMICH-Yekaterina-3030028/,NEMICH Yekaterina,YEKATERINA,NEMICH,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/OMATA-Kano-3025901/,OMATA Kano,KANO,OMATA,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/ONKES-Diana-3001196/,ONKES Diana,DIANA,ONKES,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/PANG-Tsz-Ching-3025484/,PANG Tsz Ching,TSZ CHING,PANG,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/POON-Christie-Chi-Kiu-3025485/,POON Christie Chi Kiu,CHRISTIE CHI KIU,POON,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/RAHMADHANIA-Iin-3020065/,RAHMADHANIA Iin,IIN,RAHMADHANIA,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/RI-Il-Sim-3027634/,RI Il Sim,IL SIM,RI,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/RI-Sol-3027632/,RI Sol,SOL,RI,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/RUSSANOVA-Jennifer-3030027/,RUSSANOVA Jennifer,JENNIFER,RUSSANOVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/RUZMETOVA-Anastasiya-3001199/,RUZMETOVA Anastasiya,ANASTASIYA,RUZMETOVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SALIEVA-Alina-3001197/,SALIEVA Alina,ALINA,SALIEVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SHARITA-Naima-Syeeda-3020064/,SHARITA Naima Syeeda,NAIMA SYEEDA,SHARITA,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SHOMAKHSUDOVA-Nigora-3001203/,SHOMAKHSUDOVA Nigora,NIGORA,SHOMAKHSUDOVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SHOMIRZAEVA-Nafisa-3001195/,SHOMIRZAEVA Nafisa,NAFISA,SHOMIRZAEVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SIMONOVA-Yekaterina-3030026/,SIMONOVA Yekaterina,YEKATERINA,SIMONOVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SNG-Kai-Lin-Ariel-3002347/,SNG Kai Lin Ariel,KAI LIN ARIEL,SNG,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SOH-Li-Fei-Debbie-3002342/,SOH Li Fei Debbie,LI FEI DEBBIE,SOH,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/SOH-Yu-Tong-Posh-3002352/,SOH Yu Tong Posh,YU TONG POSH,SOH,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TAI-Vivien-Wen-Ting-3002344/,TAI Vivien Wen Ting,VIVIEN WEN TING,TAI,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TANG-Mengni-3004464/,TANG Mengni,MENGNI,TANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TEO-Mou-Wen-3002350/,TEO Mou Wen,MOU WEN,TEO,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/THEAN-Rae-Sze-Rachel-3002343/,THEAN Rae Sze Rachel,RAE SZE RACHEL,THEAN,Singapore,SGP,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TOSHKHUJAEVA-Khonzodakhon-3001198/,TOSHKHUJAEVA Khonzodakhon,KHONZODAKHON,TOSHKHUJAEVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TSUKAMOTO-Mayu-3025903/,TSUKAMOTO Mayu,MAYU,TSUKAMOTO,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TULKINOVA-Mokhirakhon-3001193/,TULKINOVA Mokhirakhon,KHONZODAKHON,TULKINOVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TULKINOVA-Nozimakhon-3001194/,TULKINOVA Nozimakhon,NOZIMAKHON,TULKINOVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TYNYBAYEVA-Kristina-3030025/,TYNYBAYEVA Kristina,KRISTINA,TYNYBAYEVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/TZE-Yan-Hei-3025488/,TZE Yan Hei,YAN HEI,TZE,"Hong Kong, China",HKG,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/UHM-Jiwan-3016580/,UHM Jiwan,JIWAN,UHM,Republic of Korea,KOR,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/UTAMI-Nurfa-Nurul-3020066/,UTAMI Nurfa Nurul,NURFA NURUL,UTAMI,Indonesia,INA,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/WANG-Liuyi-3004566/,WANG Liuyi,LIUYI,WANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/WANG-Qianyi-3004573/,WANG Qianyi,QIANYI,WANG,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/XIAO-Yanning-3004581/,XIAO Yanning,YANNING,XIAO,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/YASUNAGA-Mashiro-3025904/,YASUNAGA Mashiro,MASHIRO,YASUNAGA,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/YEZDAKOVA-Olga-3030033/,YEZDAKOVA Olga,OLGA,YEZDAKOVA,Kazakhstan,KAZ,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/YIN-Chengxin-3004682/,YIN Chengxin,CHENGXIN,YIN,China,CHN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/YOSHIDA-Megumu-3025905/,YOSHIDA Megumu,MEGUMU,YOSHIDA,Japan,JPN,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/YULDASHEVA-Gulsanam-3001200/,YULDASHEVA Gulsanam,GULSANAM,YULDASHEVA,Uzbekistan,UZB,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/YUN-Yu-Jong-3027631/,YUN Yu Jong,YU JONG,YUN,DPR Korea,PRK,Artistic Swimming,SY
https://en.asiangames2018.id/athletes/athlete/ZHENG-Zexuan-3003394/,ZHENG Zexuan,ZEXUAN,ZHENG,"Macau, China",MAC,Artistic Swimming,SY
