url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDIRAHMANOV-Sanjar-3008771/,ABDIRAHMANOV Sanjar,SANJAR,ABDIRAHMANOV,Turkmenistan,TKM,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ABDUMAJIDOVA-Oysuluv-3002610/,ABDUMAJIDOVA Oysuluv,OYSULUV,ABDUMAJIDOVA,Uzbekistan,UZB,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ABDUMALIKOVA-Mukhlisa-3002611/,ABDUMALIKOVA Mukhlisa,MUKHLISA,ABDUMALIKOVA,Uzbekistan,UZB,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ABUEIDA-Mohanad-3009703/,ABUEIDA Mohanad,MOHANAD,ABUEIDA,Palestine,PLE,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ADESTA-Putu-Wiradamungga-3017516/,ADESTA Putu Wiradamungga,PUTU WIRADAMUNGGA,ADESTA,Indonesia,INA,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ADIYA-Batsuuri-3029056/,ADIYA Batsuuri,BATSUURI,ADIYA,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AHADIVARANLOU-Ghasem-3102156/,AHADIVARANLOU Ghasem,GHASEM,AHADIVARANLOU,IR Iran,IRI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AHMADI-Nafisa-3030451/,AHMADI Nafisa,NAFISA,AHMADI,Afghanistan,AFG,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AL-RUBAYE-Mwgtaba-Ahmed-Chitheer-3000210/,AL RUBAYE Mwgtaba Ahmed Chitheer,MWGTABA AHMED CHITHEER,AL RUBAYE,Iraq,IRQ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ALDABERGANOV-Nurlybek-3029204/,ALDABERGANOV Nurlybek,NURLYBEK,ALDABERGANOV,Kazakhstan,KAZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ALFAIS-Muhammad-Dhifa-3017510/,ALFAIS Muhammad Dhifa,MUHAMMAD DHIFA,ALFAIS,Indonesia,INA,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ALI-AKBARI-Elyas-3009008/,ALI AKBARI Elyas,ELYAS,ALI AKBARI,IR Iran,IRI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ALJARRAH-Hussein-Mohammed-Hezam-3011916/,ALJARRAH Hussein Mohammed Hezam,Hussein Mohammed Hezam,ALJARRAH,Yemen,YEM,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ALLABERDYYEV-Nedir-3008761/,ALLABERDYYEV Nedir,NEDIR,ALLABERDYYEV,Turkmenistan,TKM,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ALTAWEEL-Ali-3030482/,ALTAWEEL Ali,ALI,ALTAWEEL,Kuwait,KUW,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AMANKHANOVA-Galiyabanu-3029018/,AMANKHANOVA Galiyabanu,GALIYABANU,AMANKHANOVA,Kazakhstan,KAZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ARDIARTA-I-Komang-3017517/,ARDIARTA I Komang,I KOMANG,ARDIARTA,Indonesia,INA,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AZAR-Steven-3013151/,AZAR Steven,STEVEN,AZAR,Lebanon,LBN,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AZARPEIVAND-Tahereh-3005806/,AZARPEIVAND Tahereh,TAHEREH,AZARPEIVAND,IR Iran,IRI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/AZIZI-Shirzad-3024062/,AZIZI Shirzad,SHIRZAD,AZIZI,Afghanistan,AFG,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BAGHERI-Zahra-3005794/,BAGHERI Zahra,ZAHRA,BAGHERI,IR Iran,IRI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BALABAL-Jason-3013088/,BALABAL Jason,JASON,BALABAL,Philippines,PHI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BALHARA-Pincky-3021634/,BALHARA Pincky,PINCKY,BALHARA,India,IND,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BANI-SAAD-Mahmood-Ridha-Shakir-3000316/,BANI SAAD Mahmood Ridha Shakir,MAHMOOD RIDHA SHAKIR,BANI SAAD,Iraq,IRQ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BATKHUYAG-Gonchigsuren-3029061/,BATKHUYAG Gonchigsuren,GONCHIGSUREN,BATKHUYAG,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BATTULGA-Khongorzul-3029054/,BATTULGA Khongorzul,KHONGORZUL,BATTULGA,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BAYANMUNKH-Gaajadamba-3029058/,BAYANMUNKH Gaajadamba,GAAJADAMBA,BAYANMUNKH,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BAYARBAT-Baasanjargal-3029053/,BAYARBAT Baasanjargal,BAASANJARGAL,BAYARBAT,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BAYARSAIKHAN-Temuulen-3029065/,BAYARSAIKHAN Temuulen,TEMUULEN,BAYARSAIKHAN,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BEGALIYEV-Guvanch-3008768/,BEGALIYEV Guvanch,GUVANCH,BEGALIYEV,Turkmenistan,TKM,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BOZOROVA-Dilroza-3029128/,BOZOROVA Dilroza,DILROZA,BOZOROVA,Uzbekistan,UZB,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BUI-Minh-Quan-3002730/,BUI Minh Quan,MINH QUAN,BUI,Vietnam,VIE,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/BURIEV-Ruslan-3002617/,BURIEV Ruslan,RUSLAN,BURIEV,Uzbekistan,UZB,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/CATIPON-Lloyd-Dennis-3012454/,CATIPON Lloyd Dennis,LLOYD DENNIS,CATIPON,Philippines,PHI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/CHAKMAR-Merajuddin-3024047/,CHAKMAR Merajuddin,MERAJUDDIN,CHAKMAR,Afghanistan,AFG,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/CHAN-Haocheng-3007659/,CHAN Haocheng,HAOCHENG,CHAN,Chinese Taipei,TPE,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/CHOI-Hee-Jun-3030637/,CHOI Hee Jun,Hee Jun,Choi,Republic of Korea,KOR,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/CHOI-Seo-Eun-3030638/,CHOI Seo Eun,Seo Eun,Choi,Republic of Korea,KOR,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/DAMEN-Dauren-3029003/,DAMEN Dauren,DAUREN,DAMEN,Kazakhstan,KAZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/DAWA-Helen-3012418/,DAWA Helen,HELEN,DAWA,Philippines,PHI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/DIVESH-3021631/,DIVESH,,DIVESH,India,IND,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/DODOV-Orifdzhon-3005548/,DODOV Orifdzhon,ORIFDZHON,DODOV,Tajikistan,TJK,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/DYUSSEMBAYEVA-Botagoz-3029012/,DYUSSEMBAYEVA Botagoz,BOTAGOZ,DYUSSEMBAYEVA,Kazakhstan,KAZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/DYUSSEMBAYEVA-Ulzhan-3029014/,DYUSSEMBAYEVA Ulzhan,ULZHAN,DYUSSEMBAYEVA,Kazakhstan,KAZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ELIAS-Nacif-3006716/,ELIAS Nacif,NACIF,ELIAS,Lebanon,LBN,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ERALIEV-Mirlan-3007989/,ERALIEV Mirlan,MIRLAN,ERALIEV,Kyrgyzstan,KGZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ERALIEV-Nurlan-3023822/,ERALIEV Nurlan,NURLAN,ERALIEV,Kyrgyzstan,KGZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ERDENEDALAI-Nurzedmaa-3029051/,ERDENEDALAI Nurzedmaa,NURZEDMAA,ERDENEDALAI,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ERDENETSOGT-Gerelmaa-3029050/,ERDENETSOGT Gerelmaa,GERELMAA,ERDENETSOGT,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/ESENBEK-UULU-Shatman-3007997/,ESENBEK UULU Shatman,SHATMAN,ESENBEK UULU,Kyrgyzstan,KGZ,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/FADEL-Jad-3013163/,FADEL Jad,Jad,FADEL,Lebanon,LBN,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/GAHLOT-Jacky-3003975/,GAHLOT Jacky,JACKY,GAHLOT,India,IND,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/GANBAATAR-Lundeejantsan-3029064/,GANBAATAR Lundeejantsan,LUNDEEJANTSAN,GANBAATAR,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/GANBAATAR-Minjinsor-3029059/,GANBAATAR Minjinsor,MINJINSOR,GANBAATAR,Mongolia,MGL,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/GAYBULLOEV-Maruf-3002616/,GAYBULLOEV Maruf,MARUF,GAYBULLOEV,Uzbekistan,UZB,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/GAZALSHOI-Davlatshoi-3005540/,GAZALSHOI Davlatshoi,DAVLATSHOI,GAZALSHOI,Tajikistan,TJK,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/GHANBARI-Ghanbarali-3006302/,GHANBARI Ghanbarali,GHANBARALI,GHANBARI,IR Iran,IRI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/HADIAT-Hendi-3028178/,HADIAT Hendi,HENDI,HADIAT,Indonesia,INA,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/HALIMOV-Bahodur-3009306/,HALIMOV Bahodur,BAHODUR,HALIMOV,Tajikistan,TJK,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/HOFMANN-Christof-Jr-3013108/,HOFMANN Christof Jr,CHRISTOF JR,HOFMANN,Philippines,PHI,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/HUANG-Chunta-3007665/,HUANG Chunta,CHUNTA,HUANG,Chinese Taipei,TPE,Kurash,KU
https://en.asiangames2018.id/athletes/athlete/HUANG-Shihhan-3007650/,HUANG Shihhan,SHIHHAN,HUANG,Chinese Taipei,TPE,Kurash,KU
