url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/A-MALIK-Nur-Syazreen-3004574/,A MALIK Nur Syazreen,NUR SYAZREEN,A MALIK,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABAD-Alfau-Jan-3011089/,ABAD Alfau Jan,ALFAU JAN,ABAD,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABAD-Almohaidib-3011092/,ABAD Almohaidib,ALMOHAIDIB,ABAD,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Muhammad-Iqbal-3004879/,ABDUL RAHMAN Muhammad Iqbal,MUHAMMAD IQBAL,ABDUL RAHMAN,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHID-Abdul-Raaziq-3004851/,ABDUL RASHID Abdul Raaziq,ABDUL RAAZIQ,ABDUL RASHID,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Ayubkhon-3000776/,ABDULLAEV Ayubkhon,AYUBKHON,ABDULLAEV,Uzbekistan,UZB,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Anisah-Najihah-3022795/,ABDULLAH Anisah Najihah,ANISAH NAJIHAH,ABDULLAH,Brunei Darussalam,BRU,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Mohd-Juned-3013979/,ABDULLAH Mohd Juned,MOHD JUNED,ABDULLAH,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ABU-HASSAN-Nor-Hamizah-3004570/,ABU HASSAN Nor Hamizah,NOR HAMIZAH,ABU HASSAN,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ADI-PUTRA-Komang-Harik-3025168/,ADI PUTRA Komang Harik,KOMANG HARIK,ADI PUTRA,Indonesia,INA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ADNAN-3020225/,ADNAN,,ADNAN,Pakistan,PAK,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/AHONGSHANGBAM-Sarjubala-3004017/,AHONGSHANGBAM Sarjubala,SARJUBALA,AHONGSHANGBAM,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/AJAK-Siti-Shazwana-3004604/,AJAK Siti Shazwana,SITI SHAZWANA,AJAK,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/AKIMKANOV-Zholdoshbek-3006918/,AKIMKANOV Zholdoshbek,ZHOLDOSHBEK,AKIMKANOV,Kyrgyzstan,KGZ,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/AMANKULOV-Rashit-3006914/,AMANKULOV Rashit,RASHIT,AMANKULOV,Kyrgyzstan,KGZ,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/AMZAD-Mohamad-Hazim-3013971/,AMZAD Mohamad Hazim,MOHAMAD HAZIM,AMZAD,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ARSHAD-Muhammad-Zubair-3022742/,ARSHAD Muhammad Zubair,MUHAMMAD ZUBAIR,ARSHAD,Pakistan,PAK,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ARUMSARI-Puspa-3025179/,ARUMSARI Puspa,PUSPA,ARUMSARI,Indonesia,INA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ASO-Daisuke-3006803/,ASO Daisuke,DAISUKE,ASO,Japan,JPN,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BARATOV-Khasankhon-3000781/,BARATOV Khasankhon,KHASANKHON,BARATOV,Uzbekistan,UZB,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BARATOV-Khusankhon-3000783/,BARATOV Khusankhon,KHUSANKHON,BARATOV,Uzbekistan,UZB,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BASUMATARY-Nijwm-3003918/,BASUMATARY Nijwm,NIJWM,BASUMATARY,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BINTE-MOHAMED-FAIZUL-Nurul-Syafiqah-3005011/,BINTE MOHAMED FAIZUL Nurul Syafiqah,NURUL SYAFIQAH,BINTE MOHAMED FAIZUL,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BK-Vivek-Kumar-3028751/,BK Vivek Kumar,VIVEK KUMAR,BK,Nepal,NEP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BORRE-Precious-Jade-3011079/,BORRE Precious Jade,PRECIOUS JADE,BORRE,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BOTSAVANG-O-Khe-3005403/,BOTSAVANG O Khe,O KHE,BOTSAVANG,Lao PDR,LAO,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BOUNNAVONG-Vanxay-3005400/,BOUNNAVONG Vanxay,VANXAY,BOUNNAVONG,Lao PDR,LAO,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/BUENO-Raymund-3029071/,BUENO Raymund,RAYMUND,BUENO,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CAMPOS-Alvin-3011087/,CAMPOS Alvin,ALVIN,CAMPOS,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHAMPAVANNALATH-Piyaphong-3005388/,CHAMPAVANNALATH Piyaphong,PIYAPHONG,CHAMPAVANNALATH,Lao PDR,LAO,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHANDRASHEKHAR-3003906/,CHANDRASHEKHAR,,CHANDRASHEKHAR,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHANTHAMUNEE-Saowanee-3018706/,CHANTHAMUNEE Saowanee,SAOWANEE,CHANTHAMUNEE,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHANTHILATH-Souksavanh-3024241/,CHANTHILATH Souksavanh,SOUKSAVANH,CHANTHILATH,Lao PDR,LAO,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHEARBULI-Ruhana-3018744/,CHEARBULI Ruhana,RUHANA,CHEARBULI,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHEMAENG-Adilan-3018467/,CHEMAENG Adilan,ADILAN,CHEMAENG,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHENI-Sobri-3018460/,CHENI Sobri,SOBRI,CHENI,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/CHOOSUWAN-Oraya-3018708/,CHOOSUWAN Oraya,ORAYA,CHOOSUWAN,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/da-SILVA-CONCECAO-Mateus-3014129/,da SILVA CONCECAO Mateus,MATEUS,DA SILVA CONCECAO,Timor Leste,TLS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/DAMA-Fadil-3018507/,DAMA Fadil,FADIL,DAMA,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/DEURI-Pompi-3004014/,DEURI Pompi,POMPI,DEURI,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/dos-SANTOS-BARBOSA-Silvestre-3014127/,dos SANTOS BARBOSA Silvestre,SILVESTRE,DOS SANTOS BARBOSA,Timor Leste,TLS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/DOUANGMANY-Aphinyo-3030290/,DOUANGMANY Aphinyo,APHINYO,DOUANGMANY,Lao PDR,LAO,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/DUMAAN-Dines-3011085/,DUMAAN Dines,DINES,DUMAAN,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/DWIYANTI-Ni-Made-3025187/,DWIYANTI Ni Made,NI MADE,DWIYANTI,Indonesia,INA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ENOPIA-Princesslyn-3029068/,ENOPIA Princesslyn,PRINCESSLYN,ENOPIA,Philippines,PHI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/FAROOQ-Umer-3020233/,FAROOQ Umer,UMER,FAROOQ,Pakistan,PAK,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/FEBRIANTO-Eko-3025181/,FEBRIANTO Eko,EKO,FEBRIANTO,Indonesia,INA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/FOROUGHI-NASAB-Zahra-3000823/,FOROUGHI NASAB Zahra,ZAHRA,FOROUGHI NASAB,IR Iran,IRI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/GIRI-Avnish-3028224/,GIRI Avnish,AVNISH,GIRI,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/GOMES-Joaquim-Afonso-3014131/,GOMES Joaquim Afonso,JOAQUIM AFONSO,GOMES,Timor Leste,TLS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HAIL-Siti-Nur-Khairunnisa-3007067/,HAIL Siti Nur Khairunnisa,SITI NUR KHAIRUNNISA,HAIL,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HAJI-RAYA-Norleyermah-3015623/,HAJI RAYA Norleyermah,NORLEYERMAH,HAJI RAYA,Brunei Darussalam,BRU,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HAMID-Mohd-Taqiyuddin-3004518/,HAMID Mohd Taqiyuddin,MOHD TAQIYUDDIN,HAMID,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HASHEMZADEH-Babak-3000832/,HASHEMZADEH Babak,BABAK,HASHEMZADEH,IR Iran,IRI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HAVASI-Hamed-3000828/,HAVASI Hamed,HAMED,HAVASI,IR Iran,IRI,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HENDY-Hendy-3025172/,HENDY Hendy,HENDY,HENDY,Indonesia,INA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HOANG-Thi-Loan-3006051/,HOANG Thi Loan,THI LOAN,HOANG,Vietnam,VIE,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/HUIDROM-Bishan-Meetei-3003905/,HUIDROM Bishan Meetei,BISHAN MEETEI,HUIDROM,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/IBRAHIM-Muhammad-Syafiq-3004527/,IBRAHIM Muhammad Syafiq,MUHAMMAD SYAFIQ,IBRAHIM,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/ISMAIL-Nur-Azlyana-3004978/,ISMAIL Nur Azlyana,NUR AZLYANA,ISMAIL,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JAIN-Bhoomika-3010767/,JAIN Bhoomika,BHOOMIKA,JAIN,India,IND,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JAMARI-Mohd-Al-Jufferi-3004511/,JAMARI Mohd Al Jufferi,MOHD AL JUFFERI,JAMARI,Malaysia,MAS,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JAMPIL-Yola-Primadona-3025171/,JAMPIL Yola Primadona,YOLA PRIMADONA,JAMPIL,Indonesia,INA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JEH-MA-As-Ma-3018702/,JEH MA As Ma,AS MA,JEH MA,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JEHNA-Adisak-3018697/,JEHNA Adisak,ADISAK,JEHNA,Thailand,THA,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JUANDA-Muhammad-Shakir-3004853/,JUANDA Muhammad Shakir,MUHAMMAD SHAKIR,JUANDA,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JUFFRIE-Hamillatu-Arash-3004963/,JUFFRIE Hamillatu Arash,HAMILLATU ARASH,JUFFRIE,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/JUMAEN-Muhammad-Nur-Alfian-3004854/,JUMAEN Muhammad Nur Alfian,MUHAMMAD NUR ALFIAN,JUMAEN,Singapore,SGP,Pencak Silat,PS
https://en.asiangames2018.id/athletes/athlete/KADIROVA-Elizaveta-3000778/,KADIROVA Elizaveta,ELIZAVETA,KADIROVA,Uzbekistan,UZB,Pencak Silat,PS
