url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ANDIRA-Tias-3020961/,ANDIRA Tias,Tias,Andira,Indonesia,INA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/ANDRIANTO-Muhammad-Oky-3020960/,ANDRIANTO Muhammad Oky,Muhammad Oky,Andrianto,Indonesia,INA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/BAADAI-Tulga-3027992/,BAADAI Tulga,Tulga,Baadai,Mongolia,MGL,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/CHAO-Tsucheng-3011617/,CHAO Tsucheng,Tsucheng,Chao,Chinese Taipei,TPE,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/CHEN-Tao-3018881/,CHEN Tao,Tao,Chen,China,CHN,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/CHOI-Gwangho-3017503/,CHOI Gwangho,Gwangho,Choi,Republic of Korea,KOR,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/CHOOCHORNGAMKET-Noppron-3014512/,CHOOCHORNGAMKET Noppron,Noppron,Choochorngamket,Thailand,THA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/DUNCHINSUREN-Gochoosuren-3027990/,DUNCHINSUREN Gochoosuren,GOCHOOSUREN,DUNCHINSUREN,Mongolia,MGL,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/FANG-Huiyan-3018878/,FANG Huiyan,Huiyan,Fang,China,CHN,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/GUO-Dan-3016139/,GUO Dan,Dan,Guo,China,CHN,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/HERYADIE-Salma-Falya-Niluh-3020967/,HERYADIE Salma Falya Niluh,Salma Falya Niluh,Heryadie,Indonesia,INA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/JANG-Sooji-3017493/,JANG Sooji,Sooji,Jang,Republic of Korea,KOR,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/KASTURI-RAJ-Aarathy-3010919/,KASTURI RAJ Aarathy,Aarathy,Kasturi Raj,India,IND,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/KORALALAGE-DONA-Samithri-M-P-3013235/,KORALALAGE DONA Samithri M. P.,Samithri Maleesha Perera,Koralalage Dona,Sri Lanka,SRI,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/LI-Mengchu-3011650/,LI Mengchu,Mengchu,Li,Chinese Taipei,TPE,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/LIN-Pinghung-3011623/,LIN Pinghung,Pinghung,Lin,Chinese Taipei,TPE,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/MISHRA-Amitesh-3010922/,MISHRA Amitesh,Amitesh,Mishra,India,IND,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/NAMASTA-Alifia-Meidia-3020966/,NAMASTA Alifia Meidia,Alifia Meidia,Namasta,Indonesia,INA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/NIJUN-Phat-Charawee-3014513/,NIJUN Phat Charawee,Phat Charawee,Nijun,Thailand,THA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/PURANIK-Varsha-Sriramakrishna-3010918/,PURANIK Varsha Sriramakrishna,Varsha Sriramakrishna,Puranik,India,IND,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/SEKHON-Harshveer-Singh-3010920/,SEKHON Harshveer Singh,Harshveer Singh,Sekhon,India,IND,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/SHAHRUM-Mohamad-Hazim-3029103/,SHAHRUM Mohamad Hazim,Mohamad Hazim,Shahrum,Malaysia,MAS,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/SIAMCHAI-Petpisut-3014521/,SIAMCHAI Petpisut,Petpisut,Siamchai,Thailand,THA,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/SON-Geunseong-3017498/,SON Geunseong,Geunseong,Son,Republic of Korea,KOR,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/SOYSA-Edirimunige-Dasuni-Tharin-3013222/,SOYSA Edirimunige Dasuni Tharin,Edirimunige Dasuni Tharindaya,Soysa,Sri Lanka,SRI,Roller Skate,RS
https://en.asiangames2018.id/athletes/athlete/SRISATHITHA-Patjira-3014520/,SRISATHITHA Patjira,Patjira,Srisathitha,Thailand,THA,Roller Skate,RS
