url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/Memo-5345107/,Memo,MEMO,,Indonesia,INA,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABALA-Roque-Jr-5345280/,ABALA Roque Jr,ROQUE JR,ABALA,Philippines,PHI,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABBASABADI-Khashayar-3003183/,ABBASABADI Khashayar,KHASHAYAR,ABBASABADI,IR Iran,IRI,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABDUJABBOROV-Shakhboz-3005067/,ABDUJABBOROV Shakhboz,SHAKHBOZ,ABDUJABBOROV,Uzbekistan,UZB,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABDULLA-ZUBAIR-ABDUL-BAAIS-9957206/,ABDULLA ZUBAIR ABDUL BAAIS,ABDUL BAAIS,ABDULLA ZUBAIR,Maldives,MDV,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABDULRAHMAN-A-A-A-Alsafran-5345260/,ABDULRAHMAN A A A Alsafran,A A A ALSAFRAN,ABDULRAHMAN,Kuwait,KUW,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMONOV-Shokhzodbek-3001363/,ABDURAKHMONOV Shokhzodbek,SHOKHZODBEK,ABDURAKHMONOV,Uzbekistan,UZB,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABU-JABARA-Tala-Aladin-Z-M-5345299/,ABU JABARA Tala Aladin Z M,TALA ALADIN Z M,ABU JABARA,Qatar,QAT,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ABUJBARA-Tala-3001998/,ABUJBARA Tala,TALA,ABUJBARA,Qatar,QAT,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ADELI-Saeid-5345166/,ADELI Saeid,SAEID,ADELI,IR Iran,IRI,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AHMADI-Parisa-3003132/,AHMADI Parisa,PARISA,AHMADI,IR Iran,IRI,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AHMED-UMAAN-SIFAR-9957208/,AHMED UMAAN SIFAR,UMAAN SIFAR,AHMED,Maldives,MDV,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AKSHAT-3007368/,AKSHAT,,AKSHAT,India,IND,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AL-ABDULLA-Nasser-Ghanim-W-F-5345300/,AL ABDULLA Nasser Ghanim W F,NASSER GHANIM W F,AL ABDULLA,Qatar,QAT,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AL-KHAFAJI-Mohammed-Riyadh-Jasim-5345191/,AL KHAFAJI Mohammed Riyadh Jasim,MOHAMMED RIYADH JASIM,AL KHAFAJI,Iraq,IRQ,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AL-KHAFAJI-Mohammed-Riyadh-Jasim-3000471/,AL KHAFAJI Mohammed Riyadh Jasim,MOHAMMED RIYADH JASIM,AL KHAFAJI,Iraq,IRQ,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ALHAMMADI-Ahmed-3023993/,ALHAMMADI Ahmed,AHMED,ALHAMMADI,United Arab Emirates,UAE,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ALIREZA-Husein-3011894/,ALIREZA Husein,HUSEIN,ALIREZA,Kingdom of Saudi Arabia,KSA,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ALMATROOSHI-Hamad-3023985/,ALMATROOSHI Hamad,HAMAD,ALMATROOSHI,United Arab Emirates,UAE,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ALSHALI-Sultan-3011899/,ALSHALI Sultan,SULTAN,ALSHALI,Kingdom of Saudi Arabia,KSA,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ALYASSI-Mubarak-3023996/,ALYASSI Mubarak,MUBARAK,ALYASSI,United Arab Emirates,UAE,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/AMPOSTA-Alvin-5345281/,AMPOSTA Alvin,ALVIN,AMPOSTA,Philippines,PHI,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ANNU-3012708/,ANNU,,ANNU,India,IND,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ANUGRAH-Rendi-Syuhada-3019638/,ANUGRAH Rendi Syuhada,RENDI SYUHADA,ANUGRAH,Indonesia,INA,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ARAKAWA-Ryuta-3025779/,ARAKAWA Ryuta,RYUTA,ARAKAWA,Japan,JPN,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ARDIANTO-Jefri-3019636/,ARDIANTO Jefri,JEFRI,ARDIANTO,Indonesia,INA,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ARKAR-MOE-Naw-3003261/,ARKAR MOE Naw,NAW,ARKAR MOE,Myanmar,MYA,Rowing,RO
https://en.asiangames2018.id/athletes/athlete/ARNUNAMANG-Piyapong-3016881/,ARNUNAMANG Piyapong,PIYAPONG,ARNUNAMANG,Thailand,THA,Rowing,RO
